Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_4s_one_electron,J_total_Ca
17.900000000000002,0.00688824920557999,0.0011523517705563468,0.00014912286003115587,0.00034723482792822574,4.0577997091994224e-05,8.589633122675779e-06,0.018723503888701653
17.95,0.006836048616338574,0.0011421369124867652,0.00014777524901049747,0.0003416077477496737,3.990721851778704e-05,8.51183229245611e-06,0.018558035017861352
18.0,0.006784235230812818,0.0011320060921366846,0.00014643885243852947,0.00033608036613538746,3.924858402313319e-05,8.434679919819264e-06,0.018394203411566827
18.05,0.006732806637437037,0.0011219589149402585,0.00014511362117516466,0.0003306507778669023,3.860185592593008e-05,8.358173186004678e-06,0.018231990496233925
18.1,0.0066817604296203256,0.0011119949786695222,0.00014379950481195096,0.0003253171165282014,3.7966801516555535e-05,8.282309197015417e-06,0.018071377952866167
18.150000000000002,0.006631094205956228,0.001102113873791618,0.00014249645172987888,0.00032007755367315896,3.734319294786325e-05,8.207084987049051e-06,0.017912347712655676
18.2,0.006580805570427227,0.0010923151838164173,0.00014120440915556923,0.0003149302980115641,3.6730807127721255e-05,8.132497521831585e-06,0.0177548819526778
18.25,0.006530892132604084,0.0010825984856347296,0.0001399233232158767,0.0003098735946133007,3.612942561403269e-05,8.058543701856596e-06,0.01759896309167709
18.3,0.006481351507840185,0.00107296334984731,0.00013865313899094606,0.00030490572413027344,3.553883451218056e-05,7.985220365531796e-06,0.01744457378594267
18.35,0.006432181317460872,0.0010634093410848383,0.00013739380056575407,0.0003000250020356671,3.495882437483794e-05,7.91252429223505e-06,0.01729169692527043
18.400000000000002,0.0063833791889479005,0.0010539360183190712,0.00013614525108017253,0.0002952297778801497,3.4389190104088035e-05,7.840452205281998e-06,0.01714031562901028
18.45,0.006334942756119065,0.0010445429351653563,0.0001349074327775863,0.00029051843456462986,3.3829730855799035e-05,7.7690007748073e-06,0.016990413242196203
18.5,0.00628686965930306,0.0010352296401766826,0.00013368028705209873,0.0002858893876291888,3.328024994619983e-05,7.69816662056151e-06,0.016841973331757135
18.55,0.00623915754550969,0.0010259956771294662,0.00013246375449435868,0.00028134108455782315,3.27405547606051e-05,7.6279463146256324e-06,0.01669497968280685
18.6,0.006191804068595429,0.001016840585301234,0.00013125777493603957,0.00027687200409863034,3.2210456664237734e-05,7.558336384045197e-06,0.016549416295010708
18.650000000000002,0.006144806889424463,0.001007763899740395,0.00013006228749300354,0.0002724806555990889,3.1689770915099506e-05,7.4893333133858596e-06,0.016405267379027626
18.7,0.006098163676025251,0.000998765151528269,0.00012887723060718114,0.0002681655783560883,3.117831657884106e-05,7.420933547212372e-06,0.0162625173530254
18.75,0.006051872103742672,0.0009898438680335433,0.00012770254208719676,0.0002639253409803686,3.067591644558369e-05,7.353133492492755e-06,0.01612115083926752
18.8,0.006005929855385869,0.0009809995731593344,0.0001265381591477712,0.00025975854077504753,3.018239694864703e-05,7.285929520929547e-06,0.01598115266076998
18.85,0.005960334621371788,0.0009722317875830105,0.00012538401844792903,0.00025566380312790575,2.9697588085136866e-05,7.2193179712198065e-06,0.01584250783802615
18.900000000000002,0.005915084099864537,0.0009635400289889473,0.00012424005612804095,0.00025163978091712204,2.9221323338349358e-05,7.153295151245719e-06,0.01570520158579837
