Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(5),J_total_Br
2.8000000000000003,0.024302836082193503,0.07013544117991494,0.04531302978208983,0.03967585287968338,0.08388426644904849,0.015494787727048136,0.08571691096576277,0.007176531874318239,1.9674533821537288
2.85,0.02428509969472279,0.06949408215527413,0.045272189390470646,0.0376145308828936,0.08167854511136216,0.014641579851650906,0.08460931085949765,0.007154524824771315,1.9356407248989127
2.9000000000000004,0.02426706715511976,0.06884818191849205,0.04522954606325328,0.03566733543705778,0.07948160728776968,0.013810724732508148,0.08348625602075162,0.007122669419413735,1.9039294458970781
2.95,0.02424873938615886,0.06819801359226972,0.04518506645825002,0.03383124681898221,0.07729650693377779,0.013005095263906691,0.08234929147048883,0.007080246377309004,1.8723497770662354
3.0,0.024230117325147064,0.06754384876322247,0.045138718207398856,0.03210307514528251,0.0751261580530803,0.012227029794845514,0.08119994936411362,0.007026911129541311,1.8409314489087127
3.0500000000000003,0.024211201923810197,0.06688595730509246,0.045090469951523604,0.03047948551069698,0.0729733292059787,0.011478374805475762,0.08003974307233744,0.006962621847833288,1.8097033739977053
3.1,0.02419199414817968,0.06622460720924754,0.04504029137335984,0.028957022001438425,0.07084063920166432,0.010760528529948821,0.07887016181218622,0.006887577985689596,1.7786933952780837
3.1500000000000004,0.02417249497847961,0.06556006442221379,0.044988153228832546,0.027532130527672057,0.06873055391305864,0.010074484446598394,0.07769266582123723,0.006802168006391116,1.7479280898456029
3.2,0.024152705409013913,0.0648925926899903,0.04493402737657324,0.02620118043231194,0.06664538414863631,0.009420873813596147,0.07650868206344558,0.006706925121068732,1.7174326200808814
3.25,0.024132626448053553,0.06422245340890077,0.0448778868056666,0.024960484845590356,0.06458728451249661,0.00880000663954687,0.07531960045089138,0.006602489994878879,1.6872306250764706
3.3000000000000003,0.024112259117723477,0.06354990548274703,0.044819705661618914,0.023806319766249664,0.06255825318181965,0.008211910650899462,0.07412677056241852,0.0064895795006452515,1.657344146223282
3.35,0.02409160445388927,0.06287520518604187,0.044759459270542895,0.022734941860714914,0.060560132529651,0.007656367957630344,0.07293149883740402,0.006368960708096051,1.6277935816322369
3.4000000000000004,0.024070663506043307,0.062198606033113606,0.04469712416155599,0.02174260498122078,0.05859461052061191,0.007132949230678642,0.07173504622075011,0.006241429393993891,1.5985976647725908
3.45,0.024049437337190317,0.06152035865289048,0.04463267808739151,0.020825575412588528,0.05666322280754064,0.006641045293612018,0.07053862623358274,0.006107792445037973,1.5697734633231728
3.5,0.024027927023732198,0.060840710669189085,0.04456610004322474,0.01998014586518483,0.05476735545813854,0.006179896100854746,0.06934340344301985,0.0059688536024110435,1.5413363947683552
3.5500000000000003,0.024006133655351994,0.060159906586347595,0.044497370283718335,0.019202648238561746,0.052908248242339376,0.005748617128815768,0.06815049230369227,0.0058254020651965265,1.513300255737406
3.6,0.023984058334896946,0.0594781876800603,0.04442647033829418,0.018489465186396877,0.051086998413250984,0.005346223247207997,0.06696095634340786,0.0056782035304903345,1.4856772624929258
3.6500000000000004,0.023961702178260515,0.058795791893284995,0.044353383024641244,0.017837040518654135,0.04930456491705751,0.004971650168111212,0.06577580766539837,0.005527993301692235,1.458478100329259
3.7,0.023939066314263315,0.05811295373710939,0.04427809246047155,0.017241888481402085,0.047561772970141344,0.004623773591884105,0.06459600673993049,0.005375471143925191,1.4317119799519262
3.75,0.023916151884532895,0.05742990419647543,0.04420058407353882,0.016700601958495993,0.045859318944814015,0.0043014261835404724,0.06342246245865298,0.005221297607467707,1.4053866991800747
3.8000000000000003,0.023892960043382306,0.05674687064067265,0.044120844609937,0.016209859642393975,0.04419777550837282,0.004003412522062382,0.06225603242584975,0.005066091577096515,1.3795087085508615
3.85,0.023869491957687422,0.05606407673852223,0.044038862140698035,0.01576643222378033,0.04257759696366318,0.00372852216948847,0.06109752346173376,0.00491042883786466,1.3540831796117851
3.9000000000000004,0.023845748806762993,0.055381742378182615,0.04395462606671087,0.015367187651457476,0.04099912474287391,0.003475541007452214,0.05994769229401429,0.004754841476565931,1.3291140748681918
3.95,0.02382173178223739,0.05470008359151598,0.04386812712198584,0.015009095515188888,0.03946259300987685,0.003243260986950636,0.05880724641516835,0.004599817963392148,1.304604218511606
4.0,0.023797442087926033,0.05401931248296107,0.04377935737529077,0.014689230604877528,0.03796813433000037,0.0030304884331557595,0.05767684508411559,0.004445803780460127,1.2805553671930443
4.05,0.023772880939703495,0.05333963716286397,0.043688310230187405,0.014404775699695572,0.036515785369665044,0.0028360510415795536,0.056557100452311215,0.0042932024833144955,1.2569682802264845
4.1000000000000005,0.023748049565374293,0.052661261685222366,0.04359498042349873,0.014153023640589485,0.03510549259177501,0.0026588036953083182,0.0554485787956098,0.0041423770985082545,1.2338427887132706
4.15,0.023722949204542352,0.05198438598980236,0.04349936402223965,0.013931378739016124,0.03373711791612809,0.0024976332256924695,0.054351801834595696,0.00399365177519997,1.2111778631702699
4.2,0.023697581108479162,0.0513092058485889,0.043401458419045545,0.013737357573865848,0.03241044431735645,0.0023514622311001225,0.053267248127406526,0.0038473136216302605,1.1889716793246965
4.25,0.023671946539990645,0.0506359128165326,0.043301262326134626,0.013568589227340964,0.031125181336024953,0.002219252060347805,0.05219535452038226,0.0037036146685707747,1.1672216818080579
4.3,0.023646046773282765,0.0499646941865558,0.04319877576784206,0.01342281500912328,0.029880970481477653,0.002100005059389868,0.05113651764314077,0.003562773911572215,1.1459246455418908
4.3500000000000005,0.023619883093825855,0.04929573294878073,0.043094000071764976,0.013297887716522317,0.028677390507829706,0.0019927661719209133,0.05009109543590476,0.0034249793922501164,1.1250767346599657
4.4,0.02359345679821777,0.04862920775394147,0.04298693785855907,0.013191770476482335,0.02751396254714169,0.0018966239768300373,0.04905940869807608,0.0032903902860948464,1.1046735588563825
4.45,0.02356676919404581,0.047965292880940105,0.042877593030428734,0.013102535213375387,0.026390155086283427,0.0018107112380217956,0.048041742648167074,0.0031591389705157478,1.0847102270872886
4.5,0.023539821599747515,0.04730415820850523,0.04276597075835393,0.013028360784451033,0.025305388776294045,0.0017342050350439273,0.04703834848625196,0.003031333052153834,1.065181398586672
4.55,0.02351261534447032,0.04664596919090868,0.04265207746809777,0.012967530822679074,0.024259041065172217,0.001666326536274599,0.04604944495109057,0.002907057337034083,1.0460813311843615
4.6000000000000005,0.02348515176793013,0.0459908868376933,0.042535920825040104,0.01291843132453627,0.023250450646990113,0.0016063404701464213,0.04507521986500226,0.0027863757309767056,1.0274039269376996
4.65,0.02345743222026884,0.04533906769736185,0.042417509717882836,0.012879548018074624,0.022278921722018362,0.0015535543440324932,0.044115831660429296,0.002669333060934798,1.0091427751078497
4.7,0.02342945806191087,0.04469066384497329,0.04229685424127366,0.012849463544388252,0.021343728064182426,0.0015073174549937699,0.04317141088292597,0.0025559568106517756,0.9912911925277874
4.75,0.023401230663418683,0.04404582287358982,0.042173965677395356,0.01282685448338683,0.020444116893650194,0.0014670197315822255,0.04224206166604564,0.0024462587663053835,0.9738422614222118
4.800000000000001,0.023372751405347444,0.04340468788951391,0.042048856476568225,0.012810488252601913,0.01957931255368061,0.0014320904412998396,0.04132786317427239,0.0023402365696868974,0.9567888647501777
4.8500000000000005,0.023344021678098723,0.042767397511251436,0.04192154023691373,0.012799219905612188,0.01874851999205334,0.0014019967941146182,0.04042887101076115,0.0022378751780086975,0.9401237191496113
4.9,0.02331504288177341,0.04213408587213271,0.04179203168312752,0.012791988854586704,0.017950928048455324,0.00137624246861362,0.03954511858721141,0.002139148230688016,0.9238394055692641
4.95,0.02328581642602379,0.04150488262652043,0.041660346644410186,0.012787815539421354,0.01718571255013123,0.0013543660839092956,0.03867661845370904,0.002044019324461363,0.9079283976783956
5.0,0.02325634372990489,0.04087991295952928,0.04152650203160425,0.012785798063991364,0.016452039218917244,0.0013359396372879346,0.037823363586829514,0.0019524431989792657,0.8923830881477474
5.050000000000001,0.02322662622172508,0.04025929760017877,0.041390515813585625,0.012785108818167974,0.015749066393481205,0.0013205669247756337,0.03698532863470896,0.001864366835646708,0.877195812897419
5.1000000000000005,0.023196665338896034,0.03964315283789774,0.041252406992957916,0.012784991102455843,0.01507594757119349,0.0013078819592756666,0.03616247111815863,0.001779730472938802,0.8623588734082392
5.15,0.023166462527782032,0.03903159054229532,0.04111219558109729,0.01278475577040264,0.014431833774560207,0.0012975473986794382,0.03535473258722708,0.0016984685417579686,0.8478645571933244
5.2,0.023136019243548682,0.03842471818611064,0.040969902572595814,0.012783777902316457,0.013815875747571807,0.0012892529943498165,0.03456203973290608,0.0016205105246293902,0.8337051565258647
