Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(10),J_4s(1),J_4p(1),J_total_Ga
0.7000000000000001,0.028024041645688412,0.10196737507756264,0.052819330338169664,0.23828171889839217,0.17373823577417297,0.14515379287200342,0.11621463413031395,0.20146393579983773,3.981322800697842
0.75,0.02801726261585331,0.1016409685030328,0.05281747652303911,0.23216455580317757,0.1731716038011276,0.1449497356182675,0.08844054771983355,0.16029569502885352,3.8662542024403233
0.8,0.02801001846186623,0.10129343512921925,0.05281522273366109,0.22581671995541944,0.17250294111140474,0.14468939548010842,0.06777715906702116,0.12658733146417678,3.771184934562708
0.8500000000000001,0.02800230964702006,0.10092504378256688,0.05281251723848866,0.2192692707462892,0.17172498573990597,0.14436517212860892,0.05279865937834884,0.09933388878458267,3.6922011950494897
0.9,0.027994136663295817,0.1005360747024815,0.05280930573880571,0.21255336358361968,0.17083127802936116,0.1439699453566889,0.042246618891131425,0.07753596091304343,3.6257393047699904
0.9500000000000001,0.0279855000319186,0.10012681920031873,0.05280553149531533,0.20569999449811763,0.16981625395948716,0.14349727692082823,0.0350528115997989,0.06026604594557439,3.568699778542979
1.0,0.027976400303918018,0.09969757954574851,0.052801135463190645,0.19873975370109115,0.1686753187043875,0.14294157324572596,0.030338662268615983,0.04670045669740655,3.5184797057988826
1.05,0.02796683806066293,0.09924866899770873,0.0527960564343905,0.19170259305408016,0.16740490040916653,0.14229820516994093,0.02740088140925633,0.03612960651924041,3.4729553623234084
1.1,0.02795681391434675,0.0987804119027427,0.05279023118578753,0.18461761158305737,0.16600248460569622,0.1415635843764442,0.025690171612636918,0.027955656168649853,3.4304378127075625
1.1500000000000001,0.02794632850840648,0.0982931437960926,0.0527835946316121,0.17751286217040915,0.16446663005417755,0.14073519892329447,0.02478758078451525,0.02168342675966463,3.3896165946261947
1.2000000000000002,0.02793538251786503,0.09778721145660496,0.05277607997881029,0.17041518152890345,0.16279696710296984,0.13981161227361627,0.02438130445442627,0.016908281038951846,3.349500846181395
1.25,0.027923976649592248,0.09726297288244709,0.0527676188840859,0.1633500446022977,0.1609941799063112,0.13879243143798026,0.02424548197406073,0.01330319682757855,3.3093632561665594
1.3,0.027912111642484774,0.09672079716901817,0.052758141611598725,0.1563414437054461,0.15905997403076955,0.13767825037902937,0.024221696978719783,0.010606299380327335,3.268689596016168
1.35,0.02789978826756862,0.09616106428231311,0.052747577190494756,0.14941179203818156,0.1569970311197819,0.13647057482254993,0.0242033725888464,0.008609513826893038,3.2271349462678716
1.4000000000000001,0.02788700732803095,0.0955841647300425,0.052735853571628265,0.14258185068387255,0.15480895237512163,0.13517173421955497,0.024122950592977466,0.007148623493967479,3.1844867480398635
1.4500000000000002,0.027873769659189317,0.09499049913913184,0.05272289778299404,0.1358706778227056,0.1525001926585841,0.13378478595161722,0.023941586796783636,0.006094793907741038,3.1406342629090025
1.5,0.02786007612840727,0.09438047775215554,0.052708636083515295,0.12929559863111875,0.15007598702087258,0.13231341608795041,0.023641028375924276,0.005347492954361723,3.095543754235405
1.55,0.027845927634965646,0.09375451985725235,0.05269299411493146,0.12287219417956345,0.14754227143206392,0.13076184018275902,0.023217327045424695,0.004828670578319172,3.0492386031222947
1.6,0.027831325109898344,0.09311305316658113,0.05267589705160247,0.11661430755880502,0.1449055994237392,0.12913470681326178,0.022676060339294313,0.004478033673577903,3.0017835730074034
1.6500000000000001,0.027816269515800764,0.09245651315783457,0.052657269748096265,0.11053406544075729,0.1421730562615733,0.1274370058460082,0.02202876717518588,0.004249248136285421,2.953272493233542
1.7000000000000002,0.027800761846618165,0.09178534239209896,0.05263703688445881,0.1046419132972305,0.13935217215362572,0.1256739828047656,0.021290343861718537,0.004106910112454355,2.9038187151839496
1.75,0.0277848031274202,0.091099989819721,0.052615123109084234,0.09894666254626215,0.13645083586848272,0.12385106020503514,0.020477187272763236,0.004024145491269642,2.8535477869393557
1.8,0.027768394414166776,0.09040091008404139,0.05259145317911072,0.09345554796138662,0.13347720999340307,0.1219737663151414,0.019605909968807105,0.003980716317122075,2.8025918833604226
1.85,0.027751536793469422,0.08968856283103889,0.05256595209826853,0.08817429375743747,0.1304396489101871,0.12004767149220155,0.01869248602972663,0.003961532385546033,2.7510856121816403
1.9000000000000001,0.02773423138235134,0.08896341203120676,0.05253854525210199,0.08310718685254476,0.12734662040983952,0.11807833201009986,0.017751715670684474,0.003955484384934147,2.6991628903311566
1.9500000000000002,0.027716479328008508,0.08822592531842133,0.052509158540480126,0.07825715589675075,0.12420663171011649,0.11607124113181515,0.016796921316815257,0.003954530854750805,2.646954647396474
2.0,0.027698281807573465,0.08747657334919734,0.05247771850730155,0.07362585475110148,0.12102816048621488,0.11403178706652996,0.015839808018381057,0.003952984744621554,2.594587165223526
2.0500000000000003,0.02767964002788276,0.0867158291845675,0.052444152467290145,0.06921374919590412,0.11781959137718535,0.11196521738077837,0.014890437372722845,0.0039469565536768315,2.542180904990468
2.1,0.027660555225248587,0.08594416769587225,0.05240838862976924,0.0650202057422494,0.1145891582916376,0.10987660939221362,0.01395727702637025,0.003933920130917651,2.489849706960976
2.15,0.027641028665234667,0.08516206499498674,0.05237035621929419,0.061043581516306615,0.111344892707933,0.10777084605609384,0.01304729790611277,0.00391237451190263,2.437700274801485
2.2,0.027621061642436225,0.08436999788892587,0.05232998559301724,0.05728131428084056,0.1080945780477874,0.10565259685183087,0.012166099081721043,0.0038815809508810284,2.385831877101865
2.25,0.02760065548026358,0.08356844335833347,0.05228720835465375,0.053730011752422986,0.10484571009898723,0.10352630318505018,0.011318046049379756,0.003841358857266417,2.334336214710414
