Q,J_1s_one_electron,J_2s_one_electron,J_2p_one_electron,J_total_B
10.8,0.000759402191875409,3.627428805599225e-05,5.443427760680016e-07,0.0015918973026388704
10.850000000000001,0.0007424303743041017,3.542061144804118e-05,5.268785640001404e-07,0.001556228850068286
10.9,0.0007258887318362979,3.458994568113505e-05,5.10038506075878e-07,0.001521467393540942
10.950000000000001,0.000709765155129929,3.378159374714588e-05,4.937980139153189e-07,0.0014875872957680648
11.0,0.0006940479069639272,3.299488201529148e-05,4.781335581757557e-07,0.001454563711516613
11.05,0.0006787256099445347,3.222915937435831e-05,4.6302261900679283e-07,0.0014223725612567927
11.100000000000001,0.0006637872346417581,3.1483796409004333e-05,4.4844363900955096e-07,0.0013909905057405342
11.15,0.0006492220881402756,3.075818460868878e-05,4.3437597856384746e-07,0.0013603949214764928
11.200000000000001,0.0006350198029897068,3.005173560784236e-05,4.207998733951872e-07,0.0013305638770684935
11.25,0.0006211703265397147,2.9363880455954316e-05,4.0769639426082333e-07,0.0013014761103855989
11.3,0.0006076639106459364,2.8694068916311368e-05,3.950474086410993e-07,0.0012731110065331366
11.350000000000001,0.000594491101733282,2.804176879218183e-05,3.8283554432885476e-07,0.0012454485765952565
11.4,0.0005816427312036215,2.7406465279291042e-05,3.710441548157913e-07,0.0012184694371206407
11.450000000000001,0.0005691099061753757,2.6787660343486644e-05,3.596572863804679e-07,0.001192154790324105
11.5,0.0005568840005429938,2.6184872122541365e-05,3.486596467880149e-07,0.0011664864049778583
11.55,0.0005449566463447317,2.5597634351087093e-05,3.3803657551672884e-07,0.0011414465979671545
11.600000000000001,0.0005333197254276001,2.5025495807719762e-05,3.277740154315065e-07,0.0011170182164860713
11.65,0.0005219653613987443,2.4468019783356062e-05,3.1785848582854897e-07,0.0010931846208500292
11.700000000000001,0.0005108859118529293,2.3924783569964173e-05,3.0827705678000693e-07,0.0010699296679025669
11.75,0.0005000739608661915,2.3395377968829448e-05,2.9901732471120536e-07,0.001047237694994753
11.8,0.0004895223117460691,2.2879406817552104e-05,2.9006738914680956e-07,0.0010250935045163893
11.850000000000001,0.0004792239800292082,2.237648653501021e-05,2.814158305658316e-07,0.0010034823489590027
11.9,0.00046917218671745553,2.1886245683553732e-05,2.7305168930866305e-07,0.0009823899164913272
11.950000000000001,0.0004593603517438978,2.140832454772805e-05,2.649644454824458e-07,0.0009618023170287342
12.0,0.00044978208766062114,2.0942374728855815e-05,2.5714399981402586e-07,0.000941706068778768
12.05,0.0004404311935402588,2.0488058754834495e-05,2.495806554024815e-07,0.0009220880852455891
12.100000000000001,0.0004313016490837082,2.0045049704535703e-05,2.4226510032584084e-07,0.0009029356626768136
12.15,0.0004223876089266607,1.9613030846217938e-05,2.351883910590343e-07,0.0008842364679368163
12.200000000000001,0.0004136833971378748,1.9191695289390217e-05,2.283419366624473e-07,0.0008659785267911926
12.25,0.00040518350190238097,1.8780745649588203e-05,2.217174837026189e-07,0.0008481502125876411
12.3,0.0003968825703830502,1.837989372554695e-05,2.153071018686724e-07,0.000830740235319063
12.350000000000001,0.0003887754037542168,1.7988860188277152e-05,2.0910317025001583e-07,0.0008137376310552379
12.4,0.0003808569524012621,1.760737428157202e-05,2.0309836424266386e-07,0.0007971317517299109
12.450000000000001,0.00037312231128030067,1.723517353349242e-05,1.9728564305326343e-07,0.0007809122552706394
12.5,0.0003655667154323278,1.687200347839705e-05,1.9165823777153134e-07,0.0007650690960592213
12.55,0.0003581855356463823,1.6517617389102273e-05,1.862096399833405e-07,0.0007495925157109524
12.600000000000001,0.0003509742742664962,1.6171776018774344e-05,1.8093359089815313e-07,0.0007344730341614393
12.65,0.0003439285611373795,1.5834247352172878e-05,1.7582407096585464e-07,0.0007197014410500705
12.700000000000001,0.000337044149683981,1.5504806365880602e-05,1.708752899593444e-07,0.0007052687873896825
12.75,0.00033031691312024813,1.5183234797169846e-05,1.6608167750045934e-07,0.0006911663775123365
12.8,0.0003237428407825656,1.4869320921170248e-05,1.6143787400795537e-07,0.0006773857612814797
12.850000000000001,0.0003173180345835373,1.456285933601675e-05,1.5693872204737182e-07,0.0006639187265611554
12.9,0.0003110387055819157,1.4263650755669644e-05,1.5257925806362516e-07,0.0006507572919332343
12.950000000000001,0.0003049011706646482,1.3971501810111489e-05,1.4835470447816147e-07,0.0006378936996539976
13.0,0.00029890184933715444,1.3686224852637946e-05,1.4426046213341855e-07,0.0006253204088417181
