Q,J_1s_one_electron,J_2s_one_electron,J_2p_one_electron,J_total_Ne
2.75,0.06989889201685152,0.008837101584416236,0.04263285026274317,0.41326908877899454
2.8000000000000003,0.06928997412428878,0.008246610905875149,0.04054274478030426,0.39832963874215344
2.85,0.06867771767973187,0.0077316718100999765,0.03855803112035042,0.3841669657017662
2.9000000000000004,0.06806239619031017,0.007284211616510199,0.03667354912884721,0.370734510386724
2.95,0.06744427973094072,0.00689687840529515,0.03488434607734724,0.3579883927365552
3.0,0.0668236347812609,0.006562988254649212,0.03318567618826642,0.3458873032014187
3.0500000000000003,0.0662007240708863,0.006276474886081146,0.03157299862024223,0.33439238963538825
3.1,0.06557580643302366,0.0060318418638588105,0.030041974215451253,0.32346714188647246
3.1500000000000004,0.06494913666645108,0.005824117430311468,0.02858846126552098,0.313077275786651
3.2,0.06432096540586066,0.0056488120067312315,0.027208510513352505,0.3031906179052988
3.25,0.06369153900054168,0.005501878348171441,0.025898359574120608,0.2937769921421499
3.3000000000000003,0.06306109940136645,0.005379674307920826,0.024654426929331133,0.2848081089945613
3.35,0.062429884056024836,0.005278928142421177,0.02347330562253034,0.2762574581320741
3.4000000000000004,0.06179812581243862,0.005196706268657702,0.022351756763570815,0.2681002047436175
3.45,0.06116605283027214,0.005130383372514412,0.021286702929785687,0.26031308998428726
3.5,0.06053388850044172,0.005077614757329673,0.020275221536596777,0.2528743357351234
3.5500000000000003,0.059901851372513366,0.005036310816120159,0.019314538236621624,0.24576355379699677
3.6,0.05927015508986564,0.005004613507992734,0.01840202039492591,0.2389616595652722
3.6500000000000004,0.05863900833248264,0.004980874718564542,0.01753517067841091,0.23245079017255982
3.7,0.058008614767231376,0.004963636385283103,0.016711620789182872,0.2262142270401262
3.75,0.05737917300546714,0.004951612270979971,0.015929125364906666,0.22023632274233423
3.8000000000000003,0.05675087656780127,0.004943671272470478,0.015185556063413791,0.21450243206102626
3.85,0.05612391385585668,0.004938822155253048,0.014478895844051255,0.208998847086527
3.9000000000000004,0.055498468130828656,0.004936199610138924,0.013807233454283854,0.20371273620763827
3.95,0.05487471749866123,0.0049350515327729666,0.013168758126776934,0.19863208682353
4.0,0.054252834901642684,0.004934727432340523,0.012561754489485181,0.1937456516048775
4.05,0.05363298811621841,0.00493466788117565,0.011984597689067457,0.18904289812919287
4.1000000000000005,0.05301533975681381,0.004934394922399055,0.011435748726160214,0.18451396171538703
4.15,0.05240004728545618,0.004933503358047438,0.010913749999608452,0.18014960128465796
4.2,0.05178726302698041,0.004931652845354302,0.010417221055616564,0.1759411580783688
4.25,0.05117713418960083,0.004928560733864652,0.009944854536895222,0.1718805170683023
4.3,0.05056980289062905,0.004923995580883051,0.009495412326202683,0.1679600709002403
4.3500000000000005,0.04996540618711614,0.004917771287346213,0.00906772187817639,0.16417268621798303
4.4,0.04936407611119655,0.004909741800565346,0.008660672732993232,0.1605116722214832
4.45,0.04876593970991056,0.004899796334393672,0.008273213205159578,0.15697075131956595
4.5,0.04817111908928269,0.0048878550612393165,0.007904347240594694,0.15354403174461217
4.55,0.047579731462433696,0.004873865233965478,0.007553131435114449,0.15022598200348503
4.6000000000000005,0.04699188920150545,0.004857797699103526,0.0072186722074323445,0.14701140704581203
4.65,0.04640769989317957,0.004839643765957714,0.006900123119858415,0.14389542603742506
4.7,0.04582726639757261,0.004819412399111334,0.006596682339982851,0.140873451633265
4.75,0.04525068691029389,0.004797127704563276,0.006307590236771683,0.13794117065034442
4.800000000000001,0.04467805502745427,0.004772826682241716,0.006032127104668215,0.13509452604740124
4.8500000000000005,0.04410945981341823,0.004746557219968873,0.0057696110094806255,0.13232970012365797
4.9,0.04354498587109483,0.004718376306098719,0.005519395750037221,0.12964309885461042
4.95,0.04298471341456757,0.004688348440029148,0.005280868929802555,0.12703133728800875
5.0,0.042428718343867265,0.004656544221612294,0.005053450132865628,0.1244912259281529
5.050000000000001,0.041877072321696636,0.004623039102162048,0.004836589198933361,0.12201975804131752
5.1000000000000005,0.04132984285192029,0.004587912281296519,0.004629764592185502,0.11961409781954663
5.15,0.04078709335963854,0.004551245735264973,0.004432481859069371,0.11727156934422324
5.2,0.04024888327266893,0.004513123363702995,0.004244272170332689,0.11498964629473998
5.25,0.03971526810426457,0.004473630242944961,0.004064690942808738,0.11276594235127149
5.300000000000001,0.039186299536903786,0.0044328519751078085,0.00389331653667945,0.11059820224409989
5.3500000000000005,0.038662025506991396,0.004390874123152194,0.003729749024147827,0.10848429340517414
5.4,0.03814249029031721,0.004347781723033828,0.003573609025650652,0.10642219818060598
5.45,0.03762773458812356,0.004303658864885885,0.003424536609935596,0.10441000656563247
5.5,0.037117795613638996,0.004258588335929132,0.003282190254512912,0.10244590942621373
5.550000000000001,0.0366127071789413,0.0042126513184958915,0.003146245863171016,0.1005281921739005
5.6000000000000005,0.0361124997820188,0.004165927137182417,0.0030163958374171693,0.09865522886290545
5.65,0.035617200693904554,0.004118493049716925,0.0028923481988690977,0.09682547668045755
5.7,0.035126834045763965,0.004070424076652015,0.002773825759780987,0.09503747080351788
5.75,0.03464142091582201,0.004021792865464822,0.002660565339037621,0.09328981959679938
5.800000000000001,0.03416097941602188,0.003972669585080022,0.00255231702109393,0.09158120012876739
5.8500000000000005,0.0336855247783126,0.00392312184722337,0.0024488434554738613,0.08991035398391511
5.9,0.033215069440468495,0.0038732146513702,0.00234991919457246,0.08827608335111214
5.95,0.03274962313134906,0.0038230103503773174,0.0022553300676287063,0.086677247369225
6.0,0.03228919295551304,0.0037725686341809088,0.0021648725888539647,0.08511275871251167
6.050000000000001,0.0318337834771056,0.003721946529209925,0.0020783533978123215,0.08358158039950497
6.1000000000000005,0.031383396802943025,0.0036711984114064854,0.0019955887302547204,0.08208272281022734
6.15,0.030938032664723777,0.0036203760309641694,0.0019164039177088587,0.08061524089762903
6.2,0.030497688500300324,0.003569528547093814,0.0018406329142216732,0.07917823158011832
6.25,0.030062359533950384,0.003518702571306311,0.0017681178487409185,0.07777083130295889
6.300000000000001,0.029632038855591056,0.0034679422178646832,0.0016987086017072825,0.07639221375715519
