Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_total_P
2.75,0.052902315744184955,0.04667476826310833,0.011908980709004743,0.08685925885134496,0.004598820879879479,0.7579241451803043
2.8000000000000003,0.052691155700466966,0.044182323752166054,0.011254375699123438,0.08509656948301597,0.004593077792850904,0.7406143605801615
2.85,0.05247740932422812,0.041800710448525055,0.010620735866053398,0.08333817527803677,0.004583243137609404,0.7235764923586621
2.9000000000000004,0.052261132764300625,0.03952750004438741,0.01000940843155599,0.08158618152660947,0.004568720843065546,0.7068193341693416
2.95,0.052042382336336075,0.037360109868090144,0.009421390192564551,0.07984258456847174,0.004549155316095015,0.690350738153097
3.0,0.051821214494900916,0.0352958256033082,0.008857367622194122,0.07810927009818752,0.00452438192723694,0.6741775818116426
3.0500000000000003,0.05159768580622052,0.03333182272724199,0.008317754778436423,0.07638801226251685,0.004494385883128516,0.6583057578482846
3.1,0.05137185292155649,0.03146518664833919,0.0078027287029248694,0.07468047348103034,0.004459268193824277,0.642740182013296
3.1500000000000004,0.051143772551202414,0.02969293153685494,0.007312262134480501,0.07298820492173808,0.004419217629502512,0.6274848148640116
3.2,0.050913501439083506,0.02801201785286996,0.006846153469889076,0.07131264756483742,0.004374487722305449,0.612542694079626
3.25,0.050681096337946326,0.026419368586313496,0.006404053984516369,0.06965513378962968,0.00432537800823098,0.5979159745800233
3.3000000000000003,0.050446613985125066,0.024911884232148344,0.005985492383661064,0.06801688942210155,0.00427221882384738,0.5836059742060205
3.35,0.05021011107887182,0.023486456531237553,0.005589896796618398,0.06639903618350812,0.004215359075612949,0.5696132231413432
3.4000000000000004,0.04997164425523857,0.022139981013610834,0.005216614353045417,0.06480259448343774,0.004155156487953927,0.5559375156082779
3.45,0.049731270065499676,0.020869368385965887,0.004864928498413426,0.0632284865042011,0.00409196991193681,0.542577962660775
3.5,0.04948904495410403,0.019671554809360888,0.004534074214540376,0.061677539526891215,0.004026153341082318,0.5295330451406048
3.5500000000000003,0.04924502523714701,0.018543511116267748,0.004223251314363912,0.060150489453044104,0.003958051336112851,0.5168006660621606
3.6,0.048999267081352986,0.017482251018544344,0.003931635978794061,0.05864798447943365,0.0038879956075173663,0.5043782018565368
3.6500000000000004,0.04875182648355975,0.0164848383595325,0.0036583906989008357,0.05717058888711159,0.003816302544901552,0.4922625520413604
3.7,0.04850275925069718,0.015548393464477098,0.0034026727798123295,0.05571878690931439,0.0037432715161601704,0.48045018699434
3.75,0.04825212098025283,0.014670098643865943,0.0031636415542777327,0.0542929866462691,0.003669183788422868,0.46893719359967617
3.8000000000000003,0.047999967041218165,0.013847202904184258,0.002940464444472913,0.052893523998215404,0.003594301947228315,0.45771931861072807
3.85,0.04774635255550927,0.013077025920028412,0.002732322000742008,0.051520666591098684,0.0035188697111156425,0.4467920096324984
