Q,J_1s_one_electron,J_2s_one_electron,J_2p_one_electron,J_total_N
4.05,0.048516474124130425,0.005129000862692452,0.002761740937518927,0.11557617278620254
4.1000000000000005,0.04753468759150249,0.005025969634028568,0.0025946347100529055,0.11290521858122084
4.15,0.046568222971161234,0.004922731342714733,0.0024385841795595774,0.11029766116643067
4.2,0.04561709884571886,0.004819504172123878,0.002292801189905439,0.1077516096054018
4.25,0.044681318098332305,0.004716489148598755,0.0021565574123629874,0.10526528673095109
4.3,0.04376086868218256,0.004613870729545683,0.0020291795601992497,0.10283701750405425
4.3500000000000005,0.042855724376418367,0.004511817461798699,0.0019100450024332717,0.10046521868373394
4.4,0.04196584552742806,0.004410482689625807,0.001798577742463852,0.0981483896614993
4.45,0.04109117977443362,0.0043100052952806875,0.0016942447302519537,0.09588510433018448
4.5,0.04023166275852586,0.004210510458015612,0.0015965524794706932,0.09367400387149502
4.55,0.03938721881437772,0.004112110420035864,0.001505043963529329,0.09151379035941515
4.6000000000000005,0.038557761643984716,0.004014905250054517,0.001419295766655312,0.08940322108804441
4.65,0.037743194971887634,0.00391898359695278,0.0013389154682977584,0.0873411035425741
4.7,0.036943413181431566,0.0038244234276117147,0.0012635392410131419,0.085326290941126
4.75,0.03615830193170937,0.0037312927442964116,0.0011928296437250247,0.08335767828318665
4.800000000000001,0.035387738754924264,0.0036396502780783346,0.001126473593828237,0.0814341988474899
4.8500000000000005,0.034631593633987844,0.0035495461557059366,0.0010641805030474048,0.07955482108852976
4.9,0.03388972956024489,0.003461022538103581,0.0010056805632720168,0.077718545886513
4.95,0.033162003071286354,0.003374114229317057,0.0009507231697865638,0.07592440411056652
5.0,0.03244826476887561,0.003288849255249678,0.0008990754704047314,0.07417145445946478
5.050000000000001,0.03174835981707232,0.003205249411963053,0.000850521030010653,0.07245878154810272
5.1000000000000005,0.031062128420691653,0.0031233307836654265,0.0008048586009163056,0.07078549421146307
5.15,0.030389406284285384,0.0030431042307903456,0.0007619009902700809,0.0691507240009617
5.2,0.029730025051875903,0.0029645758487901494,0.0007214740165045928,0.06755362385084589
5.25,0.029083812727713213,0.002887747398441317,0.0006834155474982989,0.06599336689480395
5.300000000000001,0.02845059407836083,0.0028126167085901054,0.0006475746137515673,0.06446914541515657
5.3500000000000005,0.027830191016447743,0.0027391780523637554,0.0006138105904487594,0.06298016990896928
5.4,0.027222422966451002,0.002667422497940603,0.0005819924427986727,0.06152566825717923
5.45,0.026627107212897915,0.002597338235016733,0.0005519980295208215,0.06010488498439176
5.5,0.026044059231397066,0.002528910878131337,0.0005237134597785553,0.05871708059839247
5.550000000000001,0.025473093002925187,0.0024621237480214535,0.0004970324992556997,0.05736153099966038
5.6000000000000005,0.02491402131181147,0.002396958132172205,0.00047185602143462376,0.056037526952271224
5.65,0.02436665602787259,0.002333393525713535,0.0004480915004634382,0.05474437360856257
5.7,0.023830808373161438,0.0022714078537911216,0.00042565254230128157,0.05348139008080896
5.75,0.023306289173799254,0.0022109776765091987,0.000404458451105815,0.05224790905393435
5.800000000000001,0.022792909097365862,0.002152078377508223,0.00038443382807851743,0.05104327643398372
5.8500000000000005,0.022290478876325674,0.0020946843372018197,0.0003655082002132129,0.04986685102769463
5.9,0.021798809517967976,0.002038769091656335,0.00034761567660338786,0.04871800424905878
5.95,0.021317712501339802,0.001984305478053585,0.0003306946301560477,0.047596119849254916
6.0,0.020846999961647322,0.0019312657676336174,0.0003146874027356451,0.046500593666768814
6.050000000000001,0.02038648486259841,0.0018796217869702263,0.0002995400319224867,0.04543083339490473
6.1000000000000005,0.019935981157154448,0.0018293450283880077,0.00028520199771726504,0.0443862583642367
6.15,0.01949530393715354,0.0017804067502862934,0.0002716259876581705,0.04336629933785418
6.2,0.01906426957226088,0.0017327780680927544,0.0002587676789405144,0.04237039831752881
6.25,0.018642695838694164,0.0016864300365279329,0.00024658553624190246,0.0413980083591699
6.300000000000001,0.0182304020381639,0.0016413337238217693,0.00023504062405965755,0.040448593396150305
6.3500000000000005,0.017827209107459364,0.001597460278484386,0.00022409643246221693,0.03952162806927415
6.4,0.017432939719101415,0.001554780989196089,0.00021371871524335543,0.03861659756232507
