Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_3d(5),J_total_Mn
5.6000000000000005,0.02984912081981915,0.01844050322929257,0.043316438702456286,0.008965132549181822,0.004149605052606251,0.0004949300016884988,0.006120536184639845,0.43089831665353856
5.65,0.029766783540584672,0.01787832063288572,0.04285885333148525,0.008710320698003506,0.004148258314581126,0.000481389338103223,0.005885467583362055,0.4251436362123628
5.7,0.029684031143049974,0.017331602648598406,0.042401695332341796,0.008459037336861852,0.004147579728493644,0.0004679832427204313,0.005659891474558797,0.419480416480268
5.75,0.02960087043550936,0.016800104398034872,0.04194510783441967,0.008211488177938134,0.004147324939675961,0.0004547274076977894,0.005443410629083458,0.4139060306283513
5.800000000000001,0.029517308224819135,0.016283577383683006,0.04148923067849376,0.00796785829329849,0.004147274539817353,0.0004416361688899484,0.005235644776035151,0.40841801533142363
5.8500000000000005,0.029433351315387213,0.015781769927632448,0.04103420036179692,0.007728312983954113,0.00414723225360236,0.00042872255613182877,0.0050362298823525475,0.4030140586703696
5.9,0.029349006508173656,0.01529442759449591,0.040580149990176,0.007492998661836984,0.004147023231949325,0.00041599834551198626,0.004844817461112911,0.39769198885835355
5.95,0.029264280599702222,0.014821293598575749,0.04012720923709929,0.007262043738013236,0.004146492447047894,0.00040347411302869645,0.0046610739076661375,0.39244976374185353
6.0,0.02917918038108295,0.014362109195350792,0.03967550430928232,0.007035559511281306,0.004145503184475545,0.000391159289099272,0.004484679862724983,0.38728546102980077
6.050000000000001,0.02909371263704586,0.013916614057389561,0.03922515791869558,0.0068136410520536475,0.004143935627771457,0.0003790622134629735,0.0043153296015296366,0.38219726920635455
6.1000000000000005,0.029007884144985847,0.013484546634824509,0.038776289260714955,0.006596368077103739,0.004141685530957975,0.0003671901900804355,0.004152730448206334,0.3771834790850583
6.15,0.02892170167401875,0.013065644500548167,0.03832901399817363,0.006383805811379465,0.004138662974622728,0.00035554954168849363,0.00399660221444521,0.37224247596427396
6.2,0.028835171984048766,0.012659644680316428,0.03788344425107336,0.006176005833644466,0.004134791201305831,0.0003441456637193079,0.003846676661631694,0.36737273234589163
6.25,0.028748301824847132,0.012266283967966111,0.03743968859171247,0.0059730069032148244,0.004130005526074368,0.00033298307733727403,0.0037026969855775737,0.36257280118133955
6.300000000000001,0.028661097935142238,0.01188529922597411,0.036997852044988476,0.005774835765514039,0.004124252318308814,0.0003220654813869459,0.0035644173230122652,0.35784130961087973
6.3500000000000005,0.028573567041721145,0.011516427671603647,0.036558036093634234,0.005581507934578408,0.0041174880508715065,0.00031139580308050505,0.0034316022790112687,0.35317695316405817
