Q,J_1s_one_electron,J_2s_one_electron,J_total_Be
9.25,0.0006472646742772535,2.427287336081346e-05,0.001343075095276134
9.3,0.0006301035872513689,2.3598086580135507e-05,0.0013074033476630088
9.35,0.0006134598750272931,2.2944765731653574e-05,0.0012728092815178934
9.4,0.0005973161532374015,2.231214457982744e-05,0.0012392565956344578
9.450000000000001,0.0005816556782547461,2.1699487140695353e-05,0.001206710330790883
9.5,0.0005664623216380187,2.110608637511995e-05,0.0011751368160262774
9.55,0.0005517205456657855,2.053126294327448e-05,0.00114450361721812
9.600000000000001,0.0005374153799109895,1.997436401727715e-05,0.0011147794878565332
9.65,0.0005235323988089964,1.9434762149048022e-05,0.0010859343219160888
9.700000000000001,0.0005100577001746616,1.891185419062127e-05,0.0010579391087305657
9.75,0.0004969778846259751,1.84050602642939e-05,0.001030765889780538
9.8,0.0004842800358738095,1.7913822780131667e-05,0.0010043877173078822
9.850000000000001,0.00047195170183920364,1.7437605498485917e-05,0.0009787786146753792
9.9,0.00045998087656139007,1.697589263529866e-05,0.0009539135383933774
9.950000000000001,0.0004483559828614953,1.652818800809146e-05,0.0009297683417391735
10.0,0.0004370658557284741,1.6094014220644504e-05,0.0009063197398982371
10.05,0.0004260997263953703,1.5672911884476395e-05,0.0008835452765596933
10.100000000000001,0.0004154472070754986,1.5264438875334947e-05,0.0008614232919016672
10.15,0.00040509827632952144,1.4868169623001641e-05,0.0008399328919050462
10.200000000000001,0.0003950432650357499,1.4483694432801146e-05,0.0008190539189371021
10.25,0.0003852728429372699,1.411061883729051e-05,0.0007987669235491208
10.3,0.0003757780057406954,1.3748562976680828e-05,0.0007790531374347525
10.350000000000001,0.0003665500627425272,1.339716100661924e-05,0.0007598944474982929
10.4,0.0003575806249601748,1.3056060532028698e-05,0.000741273370984407
10.450000000000001,0.0003488615937457613,1.2724922065769766e-05,0.000723173031623062
10.5,0.0003403851498618282,1.2403418510951604e-05,0.0007055771367455596
10.55,0.00033214374299899715,1.2091234665778171e-05,0.0006884699553295506
10.600000000000001,0.0003241300817165689,1.1788066749872644e-05,0.0006718362969328831
10.65,0.00031633712378788633,1.149362195107552e-05,0.0006556614914779237
10.700000000000001,0.00030875806693312074,1.1207617991762617e-05,0.0006399313698497667
10.75,0.0003013863399229238,1.0929782713776785e-05,0.0006246322452734012
10.8,0.00029421559403712544,1.065985368111195e-05,0.0006097508954364748
10.850000000000001,0.00028723969486338336,1.0397577799531298e-05,0.0005952745453258293
10.9,0.0002804527144213532,1.0142710952341322e-05,0.000581190850747389
10.950000000000001,0.00027384892359860486,9.895017651582157e-06,0.0005674878825003741
11.0,0.00026742278488512533,9.65427070393087e-06,0.0005541541111781125
11.05,0.00026116894539382685,9.420250890648488e-06,0.0005411783925689507
11.100000000000001,0.0002550822301550533,9.192746660934615e-06,0.0005285499536319758
11.15,0.0002491576356735971,8.971553838083958e-06,0.0005162583790233621
11.200000000000001,0.00024339032373725723,8.75647533786867e-06,0.0005042935981502518
11.25,0.0002377756154664523,8.547320898598196e-06,0.000492645872730101
11.3,0.00023230898559485977,8.343906822334423e-06,0.00048130578483438836
11.350000000000001,0.00022698605697150408,8.146055726765363e-06,0.00047026422539653886
11.4,0.00022180259527512607,7.953596307263909e-06,0.00045951238316477993
11.450000000000001,0.00021675450393207542,7.766363108681015e-06,0.0004490417340815129
11.5,0.00021183781922935,7.584196306443993e-06,0.000438844031071588
11.55,0.00020704870561476555,7.40694149655071e-06,0.0004289112942226325
11.600000000000001,0.0002023834511765973,7.234449494070094e-06,0.00041923580134133477
11.65,0.00019783846329535874,7.066576139777317e-06,0.0004098100788702721
11.700000000000001,0.000193410264460706,6.903182114569633e-06,0.00040062689315055125
11.75,0.00018909548824675928,6.744132761325366e-06,0.0003916792420161693
11.8,0.00018489087543941684,6.589297913884035e-06,0.00038296034670660175
11.850000000000001,0.00018079327030952154,6.438551732840845e-06,0.00037446364408472475
11.9,0.00017679961702599532,6.291772547862631e-06,0.0003661827791477159
11.950000000000001,0.00017290695620331422,6.148842706246045e-06,0.00035811159781912053
12.0,0.0001691124215779364,6.009648427451568e-06,0.0003502441400107759
12.05,0.00016541323680852087,5.874079663358958e-06,0.00034257463294375964
12.100000000000001,0.00016180671239500135,5.742029964001606e-06,0.00033509748471800593
12.15,0.0001582902427117812,5.613396348548054e-06,0.0003278072781206585
12.200000000000001,0.0001548613031505212,5.4880791813095835e-06,0.0003206987646636616
12.25,0.0001515174473681819,5.36598205256276e-06,0.00031376685884148934
12.3,0.00014825630463616123,5.247011663985203e-06,0.00030700663260029286
12.350000000000001,0.0001450755772865494,5.131077718512111e-06,0.000300413310010123
12.4,0.00014197303825168295,5.018092814429474e-06,0.00029398226213222487
12.450000000000001,0.00013894652869334367,4.907972343528262e-06,0.0002877090020737439
12.5,0.00013599395571810014,4.8006343931516705e-06,0.00028158918022250365
12.55,0.00013311329017543202,4.695999651974844e-06,0.0002756185796548137
12.600000000000001,0.00013030256453542188,4.593991319363777e-06,0.00026979311170957133
12.65,0.00012755987084292697,4.494535018166653e-06,0.0002641088117221873
12.700000000000001,0.00012488335874527446,4.397558710797477e-06,0.00025856183491214385
12.75,0.0001222712335906451,4.302992618477935e-06,0.0002531484524182461
12.8,0.00011972175459442383,4.210769143509221e-06,0.0002478650474758661
12.850000000000001,0.00011723323307091183,4.12082279445127e-06,0.00024270811173072621
12.9,0.00011480403072789689,4.033090114092035e-06,0.00023767424168397785
12.950000000000001,0.00011243255802168323,3.9475096100945744e-06,0.0002327601352635556
13.0,0.00011011727257028041,3.864021688214615e-06,0.00022796258851699003
13.05,0.00010785667762254039,3.7825685879857177e-06,0.00022327849242105222
13.100000000000001,0.00010564932058112669,3.7030943207737734e-06,0.0002187048298038009
13.15,0.00010349379157728006,3.6255446101065907e-06,0.0002142386723747733
13.200000000000001,0.00010138872209542999,3.549866834188449e-06,0.00020987717785923686
13.25,9.93327836457797e-05,3.4760099705133195e-06,0.00020561758723258605
13.3,9.732468648306495e-05,3.403924542494023e-06,0.00020145722205111794
13.350000000000001,9.536317836976239e-05,3.3335625680282336e-06,0.00019739348187558124
13.4,9.344704338208861e-05,3.264877509925415e-06,0.00019342384178402806
13.450000000000001,9.157510075719918e-05,3.197824228122063e-06,0.00018954584997064248
13.5,8.974620378006001e-05,3.132358933615666e-06,0.00018575712542735136
13.55,8.795923870852188e-05,3.0684391440506177e-06,0.000182055355705145
13.600000000000001,8.621312373519006e-05,3.006023640892206e-06,0.00017843829475216452
13.65,8.450680798473334e-05,2.9450724281273627e-06,0.0001749037608257214
13.700000000000001,8.283927054533196e-05,2.8855466924334404e-06,0.0001714496344755308
13.75,8.120951953301512e-05,2.8274087647587237e-06,0.0001680738565955477
13.8,7.96165911876853e-05,2.770622083260616e-06,0.00016477442654189183
13.850000000000001,7.805954899967682e-05,2.7151511575497833e-06,0.0001615494003144532
13.9,7.653748286573785e-05,2.6609615341905333e-06,0.00015839688879985676
13.950000000000001,7.504950827336999e-05,2.6080197634098048e-06,0.00015531505607355959
14.0,7.359476551250091e-05,2.5562933669690856e-06,0.00015230211775894
14.05,7.217241891350325e-05,2.505750807155362e-06,0.00014935633944131722
14.100000000000001,7.07816561106137e-05,2.456361456849076e-06,0.00014647603513492555
14.15,6.942168732983995e-05,2.4080955706286603e-06,0.00014365956580093722
14.200000000000001,6.809174470047974e-05,2.3609242568729276e-06,0.00014090533791470534
14.25,6.679108158940985e-05,2.314819450824107e-06,0.00013821180208046792
14.3,6.551897195733317e-05,2.269753888575792e-06,0.00013557745169181793
14.350000000000001,6.42747097362057e-05,2.2257010819515476e-06,0.0001330008216363145
14.4,6.305760822709194e-05,2.182635294241212e-06,0.00013048048704266633
14.450000000000001,6.186699951772781e-05,2.1405315167632915e-06,0.0001280150620689822
14.5,6.070223391909655e-05,2.099365446223089e-06,0.00012560319873063927
14.55,5.95626794203487e-05,2.059113462837358e-06,0.0001232435857663721
14.600000000000001,5.844772116142392e-05,2.0197526091975125e-06,0.00012093494754124286
14.65,5.7356760922754694e-05,1.981260569844405e-06,0.0001186760429851982
14.700000000000001,5.628921663145643e-05,1.9436156515288357e-06,0.00011646566456597052
14.75,5.5244521883430516e-05,1.9067967641329454e-06,0.00011430263729512693
14.8,5.422212548082722e-05,1.8707834022285455e-06,0.00011218581776611154
14.850000000000001,5.3221490984337664e-05,1.8355556272494683e-06,0.00011011409322317427
14.9,5.2242096279801716e-05,1.8010940502558234e-06,0.00010808638066011508
14.950000000000001,5.12834331586392e-05,1.767379815268942e-06,0.00010610162594781629
15.0,5.0345006911629546e-05,1.7343945831566086e-06,0.00010415880298957231
15.05,4.942633593558151e-05,1.7021205160489277e-06,0.00010225691290326087
15.100000000000001,4.8526951352453266e-05,1.6705402622659807e-06,0.00010039498322943849
15.15,4.764639664049732e-05,1.6396369417390866e-06,9.857206716447281e-05
15.200000000000001,4.6784227277021474e-05,1.6093941319082184e-06,9.678724281785939e-05
15.25,4.5940010392371856e-05,1.579795854078777e-06,9.503961249290127e-05
15.3,4.51133244347574e-05,1.550826560221536e-06,9.332830198995787e-05
15.350000000000001,4.4303758845550436e-05,1.5224711202002347e-06,9.165245993150134e-05
15.4,4.351091374470977e-05,1.4947148094118178e-06,9.001125710824317e-05
15.450000000000001,4.273439962598636e-05,1.4675432968249337e-06,8.840388584562259e-05
15.5,4.197383706158396e-05,1.4409426334028288e-06,8.682955938997358e-05
15.55,4.1228856415957694e-05,1.4148992408972683e-06,8.528751131370993e-05
15.600000000000001,4.049909756844676e-05,1.3893999010006591e-06,8.377699493889483e-05
15.65,3.97842096444464e-05,1.3644317448439796e-06,8.229728277858076e-05
15.700000000000001,3.9083850754836064e-05,1.3399822428286096e-06,8.084766599532935e-05
