Q,J_1s(2),J_2s(2),J_2p(2),J_total
9.25,2.617336026035389e-06,3.3289227483130704e-07,9.760752108431053e-10,2.951204376077539e-06
9.3,2.5349745621349397e-06,3.223575747889982e-07,9.350152166158655e-10,2.8582671521405538e-06
9.35,2.4556161792203423e-06,3.122094629524808e-07,8.958874694918878e-10,2.768721529642315e-06
9.4,2.3791365825077613e-06,3.024318238166287e-07,8.585915000585884e-10,2.6824269978244484e-06
9.450000000000001,2.305417225792421e-06,2.9300929312549797e-07,8.230325534494638e-10,2.5992495514713682e-06
9.5,2.2343450180134487e-06,2.8392721919213015e-07,7.891212367167031e-10,2.5190613584422956e-06
9.55,2.165812046185345e-06,2.751716263961021e-07,7.567731896473827e-10,2.4417404457710947e-06
9.600000000000001,2.099715313706847e-06,2.667291807258582e-07,7.259087773539279e-10,2.367170403210059e-06
9.65,2.035956493122214e-06,2.58587157241591e-07,6.964528030961514e-10,2.295240103166901e-06
9.700000000000001,1.9744416924699323e-06,2.5073340934258004e-07,6.683342399087003e-10,2.225843436052421e-06
9.75,1.9150812344095332e-06,2.431563397304508e-07,6.414859797148554e-10,2.158879060119699e-06
9.8,1.8577894473690452e-06,2.358448729668422e-07,6.158445987062188e-10,2.0942501649345934e-06
9.850000000000001,1.8024844680040445e-06,2.2878842953052873e-07,5.913501378586408e-10,2.031864247672432e-06
9.9,1.749088054304167e-06,2.2197690128511917e-07,5.679458975383095e-10,1.9716329014868243e-06
9.950000000000001,1.6975254087250078e-06,2.1540062827414225e-07,5.45578245229013e-10,1.9134716152443788e-06
10.0,1.6477250107624374e-06,2.090503767656079e-07,5.241964354825946e-10,1.857299583963528e-06
10.05,1.5996184584228007e-06,2.0291731847305536e-07,5.037524412601097e-10,1.8030395293371162e-06
10.100000000000001,1.5531403180766335e-06,1.9699301088470572e-07,4.842007958916663e-10,1.7506175297572311e-06
10.15,1.5082279822151873e-06,1.9126937863660308e-07,4.654984449386596e-10,1.699962859296729e-06
10.200000000000001,1.4648215346588001e-06,1.8573869586963486e-07,4.47604607293643e-10,1.6510078351357287e-06
10.25,1.4228636227938534e-06,1.8039356951405124e-07,4.3048064490065155e-10,1.6036876729528053e-06
10.3,1.3822993364408942e-06,1.752269234485756e-07,4.140899405227183e-10,1.5579403498299924e-06
10.350000000000001,1.3430760929807712e-06,1.7023198348446264e-07,3.983977830240071e-10,1.5137064742482577e-06
10.4,1.3051435283881695e-06,1.6540226312788389e-07,3.8337125967152e-10,1.470929162775725e-06
10.450000000000001,1.2684533938431354e-06,1.6073155007686948e-07,3.689791549961289e-10,1.4295539230750008e-06
10.5,1.2329594576109556e-06,1.5621389341168367e-07,3.551918557848512e-10,1.3895285428784242e-06
10.55,1.1986174118992254e-06,1.518435914399884e-07,3.4198126180605464e-10,1.3508029846010197e-06
10.600000000000001,1.1653847844183385e-06,1.4761518016047966e-07,3.293207018968976e-10,1.313329285280715e-06
10.65,1.1332208543877804e-06,1.4352342231084153e-07,3.171848550678331e-10,1.2770614615536896e-06
10.700000000000001,1.1020865727458515e-06,1.395632969679021e-07,3.0554967630271795e-10,1.2419554193900564e-06
10.75,1.0719444863346664e-06,1.3572998966977664e-07,2.9439232675502323e-10,1.207968868331198e-06
10.8,1.0427586658455926e-06,1.3201888303156258e-07,2.83691108061003e-10,1.175061239985216e-06
10.850000000000001,1.0144946373228408e-06,1.2842554782782437e-07,2.7342540050959463e-10,1.1431936105511747e-06
10.9,9.871193170345934e-07,1.2494573451666588e-07,2.6357560482634506e-10,1.1123286271560856e-06
10.950000000000001,9.606009495320893e-07,1.2157536518165792e-07,2.541230873449575e-10,1.0824304378010922e-06
11.0,9.349090487273992e-07,1.183105258692635e-07,2.450501283551753e-10,1.0534646247250178e-06
11.05,9.100143418302751e-07,1.1514745930068773e-07,2.363398734297614e-10,1.0253981410043926e-06
11.100000000000001,8.858887159936021e-07,1.1208255793829771e-07,2.2797628754641246e-10,9.981992502194462e-07
11.15,8.625051675254565e-07,1.0911235738788467e-07,2.1994411183256705e-10,9.718374690251738e-07
11.200000000000001,8.398377535338358e-07,1.0623353011911176e-07,2.1222882277237478e-10,9.462835124757199e-07
11.25,8.178615458776469e-07,1.0344287948749171e-07,2.0481659372559556e-10,9.215092419588643e-07
11.3,7.965525873045895e-07,1.0073733404217326e-07,1.9769425861796495e-10,8.974876156053807e-07
11.350000000000001,7.758878496632752e-07,9.811394210470692e-08,1.9084927767167855e-10,8.741926410456538e-07
11.4,7.558451940831335e-07,9.55698666047823e-08,1.842697050531071e-10,8.515993303929689e-07
11.450000000000001,7.364033330215626e-07,9.310238015971522e-08,1.7794415832275858e-10,8.296836573396006e-07
11.5,7.175417940833264e-07,9.070886038519423e-08,1.718617895798568e-10,8.084225162581006e-07
11.55,6.992408855223783e-07,8.838678542548548e-08,1.6601225820075656e-10,7.877936832060646e-07
11.600000000000001,6.81481663341233e-07,8.613372969194621e-08,1.6038570507681752e-10,7.67775778738256e-07
11.65,6.642458999075944e-07,8.39473597993062e-08,1.5497272826331132e-10,7.483482324351639e-07
11.700000000000001,6.47516054012308e-07,8.182543068975127e-08,1.4976435995650167e-10,7.294912490620157e-07
11.75,6.312752422968092e-07,7.976578193538766e-08,1.4475204472123261e-10,7.111857762769181e-07
11.8,6.155072119820754e-07,7.776633421017028e-08,1.3992761889619357e-10,6.934134738111418e-07
11.850000000000001,6.001963148347512e-07,7.582508592286402e-08,1.3528329110856615e-10,6.761566840487239e-07
11.9,5.853274823095287e-07,7.394011000305584e-08,1.3081162383397518e-10,6.593984039364186e-07
11.950000000000001,5.708862018100964e-07,7.210955083266314e-08,1.2650551594161564e-10,6.431222581587012e-07
12.0,5.568584940140393e-07,7.033162131578735e-08,1.223581861681226e-10,6.273124735159947e-07
12.05,5.432308912099127e-07,6.860460008013756e-08,1.1836315746718926e-10,6.119538544475175e-07
12.100000000000001,5.299904165974698e-07,6.692682880361102e-08,1.1451424218517659e-10,5.97031759643266e-07
