Q,J_1s_one_electron,J_1s(2),J_total_helium
5.3500000000000005,0.0004957960187995647,0.0009915920375991294,0.0009915920375991294
5.4,0.00047274357959520985,0.0009454871591904197,0.0009454871591904197
5.45,0.0004509111003374244,0.0009018222006748488,0.0009018222006748488
5.5,0.0004302264654934655,0.000860452930986931,0.000860452930986931
5.550000000000001,0.00041062225435884125,0.0008212445087176825,0.0008212445087176825
5.6000000000000005,0.0003920354081744525,0.000784070816348905,0.000784070816348905
5.65,0.00037440692271860484,0.0007488138454372097,0.0007488138454372097
5.7,0.0003576815642857178,0.0007153631285714356,0.0007153631285714356
5.75,0.00034180760714567094,0.0006836152142913419,0.0006836152142913419
5.800000000000001,0.0003267365907430586,0.0006534731814861172,0.0006534731814861172
5.8500000000000005,0.0003124230950457798,0.0006248461900915597,0.0006248461900915597
5.9,0.00029882453258883534,0.0005976490651776707,0.0005976490651776707
5.95,0.0002859009558832711,0.0005718019117665422,0.0005718019117665422
6.0,0.0002736148789730571,0.0005472297579461142,0.0005472297579461142
6.050000000000001,0.0002619311120254084,0.0005238622240508168,0.0005238622240508168
6.1000000000000005,0.000250816607933592,0.000501633215867184,0.000501633215867184
6.15,0.0002402403199964787,0.0004804806399929574,0.0004804806399929574
6.2,0.00023017306981678941,0.00046034613963357883,0.00046034613963357883
6.25,0.00022058742463082698,0.00044117484926165396,0.00044117484926165396
6.300000000000001,0.00021145758334713754,0.0004229151666942751,0.0004229151666942751
6.3500000000000005,0.00020275927063056576,0.0004055185412611315,0.0004055185412611315
6.4,0.00019446963842207406,0.0003889392768441481,0.0003889392768441481
6.45,0.00018656717433396648,0.00037313434866793297,0.00037313434866793297
6.5,0.0001790316164051942,0.0003580632328103884,0.0003580632328103884
6.550000000000001,0.00017184387374262597,0.00034368774748525194,0.00034368774748525194
6.6000000000000005,0.00016498595261187304,0.0003299719052237461,0.0003299719052237461
6.65,0.00015844088757578157,0.00031688177515156314,0.00031688177515156314
6.7,0.0001521926773103368,0.0003043853546206736,0.0003043853546206736
6.75,0.00014622622475670482,0.00029245244951340963,0.00029245244951340963
6.800000000000001,0.0001405272812947172,0.0002810545625894344,0.0002810545625894344
6.8500000000000005,0.0001350823946474837,0.0002701647892949674,0.0002701647892949674
6.9,0.0001298788602491917,0.0002597577204983834,0.0002597577204983834
6.95,0.0001249046758286974,0.0002498093516573948,0.0002498093516573948
7.0,0.0001201484989803831,0.0002402969979607662,0.0002402969979607662
7.050000000000001,0.00011559960751109757,0.00023119921502219514,0.00023119921502219514
7.1000000000000005,0.0001112478623679432,0.0002224957247358864,0.0002224957247358864
7.15,0.00010708367296633605,0.0002141673459326721,0.0002141673459326721
7.2,0.00010309796475126479,0.00020619592950252958,0.00020619592950252958
7.25,9.928214883709495e-05,0.0001985642976741899,0.0001985642976741899
7.300000000000001,9.562809358270936e-05,0.00019125618716541872,0.00019125618716541872
7.3500000000000005,9.212809796931794e-05,0.0001842561959386359,0.0001842561959386359
7.4,8.877486665798725e-05,0.0001775497333159745,0.0001775497333159745
7.45,8.55614866129034e-05,0.0001711229732258068,0.0001711229732258068
7.5,8.248140518464716e-05,0.00016496281036929432,0.00016496281036929432
7.550000000000001,7.95284095553911e-05,0.0001590568191107822,0.0001590568191107822
7.6000000000000005,7.669660745497299e-05,0.00015339321490994597,0.00015339321490994597
7.65,7.39804090633053e-05,0.0001479608181266106,0.0001479608181266106
7.7,7.137451002059451e-05,0.00014274902004118902,0.00014274902004118902
7.75,6.887387547239978e-05,0.00013774775094479956,0.00013774775094479956
7.800000000000001,6.647372508170099e-05,0.00013294745016340198,0.00013294745016340198
7.8500000000000005,6.416951894490009e-05,0.00012833903788980018,0.00012833903788980018
7.9,6.195694435307912e-05,0.00012391388870615824,0.00012391388870615824
7.95,5.983190334391308e-05,0.00011966380668782617,0.00011966380668782617
8.0,5.779050099340694e-05,0.00011558100198681387,0.00011558100198681387
8.05,5.58290344001224e-05,0.0001116580688002448,0.0001116580688002448
8.1,5.39439823177997e-05,0.0001078879646355994,0.0001078879646355994
8.15,5.2131995395282244e-05,0.00010426399079056449,0.00010426399079056449
8.200000000000001,5.038988698544039e-05,0.00010077977397088079,0.00010077977397088079
8.25,4.8714624487372704e-05,9.742924897474541e-05,9.742924897474541e-05
8.3,4.7103321188564466e-05,9.420664237712893e-05,9.420664237712893e-05
8.35,4.5553228575911185e-05,9.110645715182237e-05,9.110645715182237e-05
8.4,4.4061729086581944e-05,8.812345817316389e-05,8.812345817316389e-05
8.450000000000001,4.262632927162347e-05,8.525265854324694e-05,8.525265854324694e-05
8.5,4.1244653346989825e-05,8.248930669397965e-05,8.248930669397965e-05
8.55,3.991443710834636e-05,7.982887421669273e-05,7.982887421669273e-05
8.6,3.863352218754191e-05,7.726704437508383e-05,7.726704437508383e-05
8.65,3.739985063007972e-05,7.479970126015944e-05,7.479970126015944e-05
8.700000000000001,3.621145977425861e-05,7.242291954851722e-05,7.242291954851722e-05
8.75,3.50664774138996e-05,7.01329548277992e-05,7.01329548277992e-05
8.8,3.396311722773523e-05,6.792623445547046e-05,6.792623445547046e-05
8.85,3.289967445962034e-05,6.579934891924068e-05,6.579934891924068e-05
8.9,3.187452183472912e-05,6.374904366945824e-05,6.374904366945824e-05
8.950000000000001,3.0886105697845145e-05,6.177221139569029e-05,6.177221139569029e-05
9.0,2.99329423607248e-05,5.98658847214496e-05,5.98658847214496e-05
9.05,2.9013614646333408e-05,5.8027229292666815e-05,5.8027229292666815e-05
9.1,2.8126768618515627e-05,5.6253537237031254e-05,5.6253537237031254e-05
9.15,2.7271110486372537e-05,5.4542220972745073e-05,5.4542220972745073e-05
9.200000000000001,2.6445403673284295e-05,5.289080734656859e-05,5.289080734656859e-05
9.25,2.564846604113612e-05,5.129693208227224e-05,5.129693208227224e-05
9.3,2.4879167260886612e-05,4.9758334521773224e-05,4.9758334521773224e-05
9.35,2.4136426321159253e-05,4.8272852642318506e-05,4.8272852642318506e-05
9.4,2.3419209167043763e-05,4.6838418334087526e-05,4.6838418334087526e-05
9.450000000000001,2.272652646176918e-05,4.545305292353836e-05,4.545305292353836e-05
9.5,2.2057431464352408e-05,4.4114862928704816e-05,4.4114862928704816e-05
9.55,2.1411018016741418e-05,4.2822036033482836e-05,4.2822036033482836e-05
9.600000000000001,2.0786418634360458e-05,4.1572837268720915e-05,4.1572837268720915e-05
9.65,2.0182802694327203e-05,4.0365605388654406e-05,4.0365605388654406e-05
9.700000000000001,1.9599374715952772e-05,3.9198749431905544e-05,3.9198749431905544e-05
9.75,1.903537272845414e-05,3.807074545690828e-05,3.807074545690828e-05
9.8,1.849006672110641e-05,3.698013344221282e-05,3.698013344221282e-05
9.850000000000001,1.796275717134341e-05,3.592551434268682e-05,3.592551434268682e-05
9.9,1.74527736465763e-05,3.49055472931526e-05,3.49055472931526e-05
9.950000000000001,1.6959473475746716e-05,3.391894695149343e-05,3.391894695149343e-05
10.0,1.6482240486861557e-05,3.2964480973723114e-05,3.2964480973723114e-05
10.05,1.602048380697266e-05,3.204096761394532e-05,3.204096761394532e-05
10.100000000000001,1.557363672126854e-05,3.114727344253708e-05,3.114727344253708e-05
10.15,1.5141155588135379e-05,3.0282311176270758e-05,3.0282311176270758e-05
10.200000000000001,1.472251880722405e-05,2.94450376144481e-05,2.94450376144481e-05
10.25,1.4317225837728205e-05,2.863445167545641e-05,2.863445167545641e-05
10.3,1.3924796264236002e-05,2.7849592528472004e-05,2.7849592528472004e-05
10.350000000000001,1.3544768907667332e-05,2.7089537815334664e-05,2.7089537815334664e-05
10.4,1.3176700978947231e-05,2.6353401957894463e-05,2.6353401957894463e-05
10.450000000000001,1.2820167273197947e-05,2.5640334546395894e-05,2.5640334546395894e-05
10.5,1.2474759402355453e-05,2.4949518804710907e-05,2.4949518804710907e-05
10.55,1.2140085064231938e-05,2.4280170128463876e-05,2.4280170128463876e-05
10.600000000000001,1.1815767346155673e-05,2.3631534692311346e-05,2.3631534692311346e-05
10.65,1.1501444061421818e-05,2.3002888122843637e-05,2.3002888122843637e-05
10.700000000000001,1.1196767116884891e-05,2.2393534233769782e-05,2.2393534233769782e-05
10.75,1.0901401910114738e-05,2.1802803820229476e-05,2.1802803820229476e-05
10.8,1.0615026754623281e-05,2.1230053509246562e-05,2.1230053509246562e-05
10.850000000000001,1.033733233175072e-05,2.067466466350144e-05,2.067466466350144e-05
10.9,1.0068021167875455e-05,2.013604233575091e-05,2.013604233575091e-05
10.950000000000001,9.806807135684151e-06,1.9613614271368302e-05,1.9613614271368302e-05
