Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(8),J_4s(2),J_total_Ni
4.45,0.028740659175429985,0.041878520138005984,0.050726302887593146,0.01494032939494903,0.008850753608651837,0.02317845256980834,0.0006816176673717168,0.7153722122874501
4.5,0.02868921995129412,0.04097666075287039,0.050445971306891935,0.01486641543324555,0.00840461003372178,0.022399113161385077,0.0006807286150352361,0.7027224428396535
4.55,0.028637334241526747,0.04008675950748662,0.05016195257938547,0.014783584772162791,0.007990717876202891,0.021646124077392248,0.0006794901648253181,0.6904593527246712
4.6000000000000005,0.028585005931881485,0.03920895353931745,0.049874338949514485,0.014691876603426662,0.007607228942956744,0.020918632483995166,0.0006778683930803701,0.6785658761622007
4.65,0.028532238929221077,0.03834336698112603,0.04958322454531018,0.014591393372029172,0.0072523713652553595,0.020215808682350317,0.0006758376103351746,0.6670257187076187
4.7,0.02847903716087891,0.03749011123609738,0.04928870524044661,0.014482293044917827,0.006924448511795204,0.01953684590152649,0.0006733793999662882,0.6558233314093836
4.75,0.028425404574022373,0.03664928526097949,0.04899087851717916,0.014364781956478539,0.0066218376954000294,0.01888096004865498,0.0006704817447029862,0.6449438847370818
4.800000000000001,0.028371345135018218,0.035820975856418434,0.04868984333039955,0.014239108205121767,0.006342988703837734,0.018247389421889106,0.0006671382340697272,0.6343732424417928
4.8500000000000005,0.028316862828800107,0.035005257963680904,0.04838569997302654,0.014105555574747236,0.006086422182433074,0.01763539439119336,0.0006633473462879465,0.6240979354893369
4.9,0.028261961658238483,0.0342021949669787,0.048078549942940266,0.01396443795461651,0.0058507278935835075,0.017044257051480768,0.0006591117986086764,0.6141051361878735
4.95,0.02820664564351295,0.03341183900063205,0.04776849581165686,0.01381609423116289,0.0056345628758785685,0.01647328085216754,0.0006544379604710342,0.6043826326141107
5.0,0.028150918821487254,0.03263423126033233,0.04745564109492839,0.013660883625476945,0.0054366495232800365,0.015921790206809897,0.0006493353242838142,0.5949188034268904
5.050000000000001,0.028094785245087024,0.03186940231778941,0.047140090125441944,0.013499181450589964,0.005255773602736683,0.015389130086124789,0.0006438160290076596,0.5857025931430182
5.1000000000000005,0.028038248982680404,0.03111737243807494,0.04682194792778017,0.013331375263206737,0.005090782226677659,0.014874665597368822,0.0006378944320734255,0.5767234879377685
5.15,0.027981314117461648,0.030378151898998753,0.04650132009579429,0.013157861385186893,0.004940581795046318,0.01437778155275394,0.0006315867255085927,0.5679714920213871
5.2,0.027923984746837823,0.02965174131188322,0.04617831267252938,0.012979041770817275,0.004804135919894864,0.01389788202931144,0.0006249105924584422,0.5594371046330305
5.25,0.027866264981818715,0.028938131943127245,0.04585303203283054,0.012795321196735807,0.0046804633440520865,0.01343438992237342,0.0006178849005828215,0.5511112976848124
5.300000000000001,0.027808158946410016,0.028237306035979525,0.04552558476874769,0.012607104752242198,0.004568635863994696,0.012986746494621303,0.0006105294290835513,0.5429854940808554
5.3500000000000005,0.0277496707770099,0.027549237131968506,0.045196077577845876,0.01241479560864703,0.004467776265789602,0.012554410922451336,0.0006028646263727418,0.5350515467294199
