Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_4s_one_electron,J_total_K
0.8,0.04610272654889356,0.16976868730456054,0.24326571992733748,0.0962981499759398,0.2979054453675728,0.03720183961255544,3.3206976792352143
0.8500000000000001,0.046067767218751166,0.1678634207287146,0.21929413881434046,0.09624583291278525,0.28463615105846335,0.033907316632644645,3.1856498739837487
0.9,0.046030726899230164,0.16587004575906175,0.19673729892435463,0.09618427042202758,0.2708022234221195,0.030336106317399355,3.049531212547575
0.9500000000000001,0.04599161223790773,0.16379286862375492,0.17570772601808526,0.09611258336210474,0.25657482392258407,0.02673344077328113,2.91384229824091
1.0,0.04595043026169543,0.1616363072928556,0.15627539672235335,0.09602989125907438,0.2421211506012089,0.023271501616037533,2.7799020213315457
1.05,0.04590718839315393,0.1594048700427773,0.1384721638379936,0.09593531833522036,0.2275994839585397,0.020057473132695586,2.648834731443106
1.1,0.045861894463606674,0.15710313513760382,0.12229661730333403,0.09582799937016558,0.21315544140360906,0.017148181117288254,2.5215721195690253
1.1500000000000001,0.045814556722111814,0.1547357318982823,0.10771912634798816,0.09570708534398774,0.19891938439428522,0.014564703764348824,2.3988623521307515
1.2000000000000002,0.04576518384013753,0.15230732321443138,0.0946868536969304,0.09557174881820228,0.18500486628157317,0.012304500957000003,2.2812829130586514
1.25,0.045713784912280835,0.1498225894216353,0.08312857592021772,0.09542118901728976,0.17150797558701147,0.010350568062135261,2.1692554561962107
1.3,0.045660369453633005,0.1472862134009042,0.07295918444745171,0.09525463658028281,0.1585074146747697,0.008677925329960541,2.0630617674642533
1.35,0.04560494739449302,0.14470286673652702,0.0640837787560996,0.09507135795847706,0.14606515312845547,0.007257997242302645,1.962860249538137
1.4000000000000001,0.045547529073121824,0.1420771967766593,0.05640129621477578,0.09487065944138068,0.13422750451357107,0.006061433358273975,1.8687024612170982
1.4500000000000002,0.045488125227160406,0.1394138144645806,0.04980765153412964,0.094651890798457,0.12302649103724574,0.005059830610235077,1.780549304076193
1.5,0.04542674698423604,0.1367172828384886,0.044198382449197146,0.09441444852900328,0.11248137997785523,0.004226708548596892,1.6982865041335917
1.55,0.045363405852174216,0.13399210612812068,0.039470817058594225,0.09415777871666646,0.10260029637113147,0.003537992404305135,1.6217391010088709
1.6,0.04529811370913187,0.1312427194040106,0.03552579234310647,0.09388137948867382,0.09338183664369701,0.0029721822993031047,1.550684730006026
1.6500000000000001,0.0452308827938769,0.1284734787581254,0.032268963147290705,0.09358480308292688,0.08481662655897347,0.0025103300838744138,1.4848655573338627
1.7000000000000002,0.04516172569636279,0.1256886520124225,0.02961174685033069,0.09326765752874594,0.076888783314516,0.002135904713753659,1.4239987988915572
1.75,0.04509065534868564,0.12289240996464398,0.027471951682811926,0.09292960794933651,0.06957725558914465,0.001834598915662266,1.3677858141388324
1.8,0.04501768501646323,0.12008881818891917,0.025774136801482345,0.09257037749604048,0.06285702673041718,0.0015941107252360497,1.3159198160977115
1.85,0.04494282829063984,0.11728182941314765,0.024449750434829293,0.09218974792618927,0.05670017522619834,0.0014039206490117483,1.2680922758405708
1.9000000000000001,0.04486609907969575,0.11447527649640116,0.023437089227057673,0.09178755983793208,0.05107679335869006,0.0012550767332273984,1.2239981255192693
1.9500000000000002,0.044787511602222815,0.11167286602840758,0.022681117831668745,0.09136371257679968,0.045955769794095755,0.0011399943153286097,1.1833398794652994
2.0,0.044707080379817826,0.10887817257019079,0.02213318324885124,0.09091816382999901,0.04130544513358191,0.001052273715158326,1.1458307998943635
2.0500000000000003,0.044624820230239975,0.10609463355068581,0.021750653688002868,0.09045092892552752,0.0370941514501349,0.0009865369253460937,1.1111972341171779
2.1,0.0445407462607778,0.10332554482908847,0.02149650711171606,0.08996207985415047,0.03329064784410817,0.0009382830332832108,1.0791802456259996
2.15,0.04445487386177262,0.10057405692721129,0.0213388902524567,0.08945174403309927,0.029864464315258892,0.0009037613472664191,1.0495366535202966
2.2,0.04436721870024922,0.09784317193050555,0.021250664899181062,0.08892010283102085,0.02678616597961932,0.0008798608046291836,1.0220395847283419
2.25,0.04427779671360953,0.09513574105090593,0.021208954690463615,0.08836738987423345,0.02402754902594088,0.0008640140756003351,0.9964786323866046
2.3000000000000003,0.04418662410335064,0.09245446283943556,0.02119470254767312,0.08779388915471883,0.021561778943438137,0.0008541147545416192,0.9726597023244021
2.35,0.04409371732877481,0.08980188203170365,0.021192246232841473,0.08719993296050393,0.01936348056353147,0.0008484460919518629,0.9504046184228042
2.4000000000000004,0.043999093100664834,0.08718038900511513,0.021188917298372006,0.08658589964915446,0.01740878842000258,0.0008456198284504631,0.9295505470516966
2.45,0.04390276837490432,0.08459221982285002,0.021174666874625218,0.08595221128502231,0.0156753648993252,0.0008445238216998203,0.9099492910725441
2.5,0.04380476034602762,0.08203945683647454,0.021141720274907495,0.08529933116066105,0.0141423926633185,0.0008442772937754056,0.8914664951524721
2.5500000000000003,0.04370508644068936,0.07952402981642616,0.021084261241000022,0.0846277612224559,0.012790546903532103,0.0008441926606654697,0.8739807964128246
