Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(2),J_total_Kr
1.35,0.024000729509797283,0.08318394051951114,0.14872606167915162,0.04443611109829978,0.13093262332032038,0.10168541260054319,0.03784677004530572,0.08124930392823838,0.048001459019594565,0.16636788103902228,0.26661666658979866,0.29745212335830323,0.7855957399219222,0.07569354009061144,1.0168541260054318,0.48749582356943033,3.1440773595941147
1.4000000000000001,0.02399263623327282,0.08282469160148062,0.14415799306006957,0.04443118431345654,0.1301144295033238,0.10152535886381182,0.034749048432288605,0.07062608496624566,0.04798527246654564,0.16564938320296124,0.2665871058807392,0.28831598612013914,0.7806865770199428,0.06949809686457721,1.0152535886381182,0.4237565097974739,3.0577325199904974
1.4500000000000002,0.02398425113745951,0.08245432968256271,0.13959023621577246,0.04442573388891271,0.1292326970756476,0.10134390950551111,0.032476294811222814,0.061254130446975204,0.04796850227491902,0.16490865936512542,0.26655440333347624,0.2791804724315449,0.7753961824538856,0.06495258962244563,1.013439095055111,0.36752478268185124,2.9799246872183587
1.5,0.023975574825546003,0.08207304312862264,0.1350332965203975,0.044419725071737026,0.1282868767669344,0.1011396895418231,0.030862624245132822,0.05303069753090809,0.047951149651092005,0.16414608625724528,0.26651835043042216,0.270066593040795,0.7697212606016064,0.061725248490265644,1.011396895418231,0.31818418518544855,2.909709769075106
1.55,0.023966607947922422,0.08168102531957729,0.13049722846392406,0.044413122132226555,0.12727672660700495,0.10091139485454596,0.029763587993468253,0.04585308988747938,0.047933215895844844,0.16336205063915457,0.2664787327933593,0.2609944569278481,0.7636603596420297,0.059527175986936506,1.0091139485454597,0.2751185393248763,2.8461884797555093
1.6,0.023957351191856695,0.08127847428930636,0.12599161240882778,0.04440588847119318,0.12620230908602476,0.10065780472622689,0.029055209413507824,0.039620997398728895,0.04791470238371339,0.16255694857861272,0.2664353308271591,0.25198322481765556,0.7572138545161485,0.05811041882701565,1.006578047262269,0.23772598439237336,2.7885185116049476
1.6500000000000001,0.023947805271557012,0.08086559236278465,0.1215255347021303,0.0443979867369925,0.12506398569341495,0.10037779293482718,0.028632620664131646,0.034238176221517966,0.047895610543114024,0.1617311847255693,0.266387920421955,0.2430510694042606,0.7503839141604898,0.05726524132826329,1.0037779293482718,0.2054290573291078,2.7359219272610313
1.7000000000000002,0.023937970918944916,0.08044258580031405,0.11710757114038188,0.04438937894818369,0.12386240909127463,0.10007033731342656,0.02840845003511593,0.029613594063000542,0.04787594183788983,0.1608851716006281,0.2663362736891022,0.23421514228076376,0.7431744545476477,0.05681690007023186,1.0007033731342656,0.17768156437800325,2.687688821538532
1.75,0.023927848875373907,0.08000966445626542,0.11274577375646427,0.04438002661811485,0.12259851317884925,0.09973452772248469,0.028311078813344697,0.025662150882459593,0.047855697750747814,0.16001932891253084,0.26628015970868907,0.22549154751292855,0.7355910790730955,0.056622157626689394,0.9973452772248469,0.15397290529475754,2.6431781531042855
1.8,0.02391743988444667,0.07956704145746667,0.1084476608696758,0.04436989087823158,0.12127350130086267,0.09936957242035024,0.028282859318422914,0.022305069421019084,0.04783487976889334,0.15913408291493333,0.2662193452693895,0.2168953217393516,0.727641007805176,0.05656571863684583,0.9936957242035025,0.1338304165261145,2.601816496864207
1.85,0.02390674468601252,0.07911493290437407,0.10422021031517427,0.04435893259745819,0.1198888328457268,0.0989748028513791,0.028278362354924688,0.019470034496444567,0.04781348937202504,0.15822986580874815,0.26615359558474916,0.20844042063034854,0.7193329970743607,0.056556724709849376,0.9897480285137911,0.1168202069786674,2.5630953286725395
1.9000000000000001,0.02389576401136671,0.07865355759647931,0.10006985574600266,0.04434711249556295,0.11844620847081609,0.09854967689981657,0.028262702782796852,0.017091145748446515,0.04779152802273342,0.15730711519295862,0.26608267497337773,0.20013971149200532,0.7106772508248965,0.056525405565593705,0.9854967689981657,0.10254687449067909,2.5265673295604105
1.9500000000000002,0.02388449857962498,0.07818313678204412,0.09600248588086743,0.04433439124896274,0.11694755418191248,0.09809378068138257,0.028209975952672082,0.01510873590557629,0.04776899715924996,0.15636627356408825,0.26600634749377644,0.19200497176173487,0.7016853250914749,0.056419951905344164,0.9809378068138257,0.09065241543345773,2.4918420892229523
2.0,0.02387294909520978,0.07770389393120618,0.09202344655366206,0.04432072958792633,0.11539500448310784,0.09760682896335113,0.02810182503192965,0.013469095807989056,0.04774589819041956,0.15540778786241236,0.265924377527558,0.1840468931073241,0.692370026898647,0.0562036500638593,0.9760682896335113,0.08081457484793433,2.458581498131666
2.0500000000000003,0.023861116246357755,0.0772160545307371,0.08813754540640137,0.04430608838458654,0.11379088480222574,0.09708866431807674,0.027926149354079194,0.012124138326114493,0.04772223249271551,0.1544321090614742,0.2658365303075192,0.17627509081280274,0.6827453088133544,0.05585229870815839,0.9708866431807673,0.07274482995668696,2.426495043333479
2.1,0.02384900070454062,0.07671984589822262,0.08434905905564799,0.04429042873156063,0.11213769338538002,0.09653925512475169,0.027675956442821975,0.011031025829321747,0.04769800140908124,0.15343969179644523,0.2657425723893638,0.16869811811129598,0.67282616031228,0.05535191288564395,0.9653925512475169,0.06618615497593047,2.3953351631275575
2.15,0.023836603124681287,0.0762154970131356,0.08066174255351806,0.044273712011302695,0.11043808284271737,0.09595869254012648,0.027348354893342215,0.010151779797731976,0.047673206249362575,0.1524309940262712,0.26564227206781615,0.16132348510703612,0.6626284970563042,0.05469670978668443,0.9595869254012648,0.06091067878639185,2.364892768481131
2.2,0.02382392414604365,0.07570323836214866,0.07707884095778014,0.04425589995657138,0.10869484151573183,0.0953471865614818,0.02694368146861916,0.00945288633468638,0.0476478482920873,0.15140647672429733,0.2655353997394283,0.15415768191556029,0.652169049094391,0.05388736293723832,0.953471865614818,0.05671731800811828,2.334993002325939
2.25,0.023810964393675478,0.07518330179604446,0.07360310282121776,0.04423695470259446,0.10691087482479476,0.09470506130481675,0.026464753258854626,0.00890490753076446,0.047621928787350956,0.15036660359208892,0.26542172821556675,0.14720620564243553,0.6414652489487686,0.05292950651770925,0.9470506130481675,0.05342944518458676,2.3054912799366742
2.3000000000000003,0.023797724480289027,0.07465592039569774,0.07023679540813269,0.04421683883165329,0.10508918674371218,0.09403274961852114,0.02591623427119276,0.008482105671299438,0.04759544896057805,0.14931184079139548,0.26530103298991975,0.14047359081626537,0.6305351204622731,0.05183246854238552,0.9403274961852114,0.05089263402779663,2.276269632775825
2.35,0.02378420500847159,0.07412132834479236,0.06698172144543876,0.04419551541090156,0.10323286153620256,0.09333078714821125,0.025304105121169245,0.00816208500726371,0.04756841001694318,0.14824265668958472,0.2651730924654094,0.13396344289087753,0.6193971692172153,0.05060821024233849,0.9333078714821125,0.04897251004358226,2.247233363048063
2.4000000000000004,0.02377040657312783,0.07357976080717482,0.06383923721705703,0.04417294802428049,0.1013450458771945,0.09259980596237405,0.024635224383729566,0.00792545408596952,0.04754081314625566,0.14715952161434964,0.26503768814568296,0.12767847443411406,0.608070275263167,0.04927044876745913,0.9259980596237405,0.047552724515817116,2.218308005510586
2.45,0.02375632976406626,0.07303145380701241,0.060810271813108274,0.04414910079940452,0.09942893146980442,0.09184052784138658,0.02391697046431443,0.007755510347275616,0.04751265952813252,0.14606290761402482,0.2648946047964271,0.12162054362621655,0.5965735888188265,0.04783394092862886,0.9184052784138658,0.046533062083653695,2.1894365858097755
2.5,0.023741975168653333,0.07247664411020246,0.05789534734954064,0.044123938430273665,0.09748773825681342,0.09105375732470182,0.023156953436577556,0.0076379477375415296,0.047483950337306666,0.14495328822040493,0.26474363058164196,0.11579069469908128,0.5849264295408805,0.04631390687315511,0.9105375732470182,0.045827686425249176,2.160577159924738
2.5500000000000003,0.023727343374469603,0.07191556910575683,0.055094599979179475,0.04409742619662817,0.09552469831348012,0.09024037460282222,0.022362787058603003,0.00756058740034358,0.047454686748939205,0.14383113821151366,0.26458455717976903,0.11018919995835895,0.5731481898808808,0.044725574117206006,0.9024037460282222,0.045363524402061484,2.1317006165269508
2.6,0.02371243497191316,0.07134846668615265,0.052407801521589435,0.044069529980703376,0.09354304049667114,0.08940132833236131,0.021541912044186793,0.007513131008582936,0.04742486994382632,0.1426969333723053,0.26441717988422025,0.10481560304317887,0.5612582429800268,0.043083824088373586,0.8940132833236131,0.045078786051497614,2.1027887226870416
2.6500000000000004,0.02369725055670552,0.07077557512589039,0.04983438154645667,0.04404021628207357,0.0915459759136441,0.08853762844422508,0.020701462570241864,0.007486935958852116,0.04739450111341104,0.14155115025178078,0.2642412976924414,0.09966876309291334,0.5492758554818646,0.04140292514048373,0.8853762844422508,0.044921615753112695,2.0738323929682583
2.7,0.023681790732264587,0.07019713295772864,0.04737344975329409,0.04400945223119643,0.08953668426245961,0.08765033900688327,0.019848168902577575,0.0074748114183385145,0.047363581464529174,0.14039426591545728,0.26405671338717857,0.09474689950658818,0.5372201055747576,0.03969633780515515,0.8765033900688326,0.04484886851003109,2.04483016223253
