Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_total_Mg
30.3,0.00016013390992311344,1.1943630767988585e-05,4.480427978557654e-07,2.597684036723932e-07,0.0003466097773999499
30.35,0.00015877808795156104,1.1837282289616e-05,4.44039080915262e-07,2.566002811411223e-07,0.0003436584203310313
30.400000000000002,0.00015743535974593827,1.1732022680829556e-05,4.4007653011771605e-07,2.534753360834665e-07,0.0003407357699302718
30.450000000000003,0.00015610558412088341,1.1627839382095279e-05,4.361546683469031e-07,2.5039291869258565e-07,0.0003378415138548067
30.5,0.0001547886215619428,1.1524719994495307e-05,4.322730246213206e-07,2.473523898576991e-07,0.0003349753435012651
30.55,0.0001534843342041798,1.1422652277480123e-05,4.2843113400780426e-07,2.4435312097303315e-07,0.00033213695395717364
30.6,0.000152192585811077,1.1321624146654887e-05,4.2462853753646186e-07,2.413944937504499e-07,0.00032932604395303935
30.650000000000002,0.0001509132417537257,1.1221623671599197e-05,4.208647821169028e-07,2.384759000356764e-07,0.0003265423158150977
30.700000000000003,0.0001496461689902997,1.1122639073719823e-05,4.1713942045574364e-07,2.3559674162806178e-07,0.00032378547541871887
30.75,0.00014839123604580893,1.102465872413585e-05,4.134520109753664e-07,2.3275643010379255e-07,0.00032105523214246307
30.8,0.00014714831299212852,1.0927671141595682e-05,4.098021177339096e-07,2.2995438664249142e-07,0.00031835129882277114
30.85,0.00014591727142830064,1.0831664990425469e-05,4.061893103464754e-07,2.2719004185713183e-07,0.00031567339170928793
30.900000000000002,0.00014469798446110335,1.0736629078508356e-05,4.026131639075279e-07,2.2446283562719838e-07,0.0003130212304208016
30.950000000000003,0.00014349032668588407,1.064255235529411e-05,3.990732589144669e-07,2.2177221693503048e-07,0.0003103945379017955
31.0,0.00014229417416765345,1.0549423909838635e-05,3.9556918119235656e-07,2.191176437052807e-07,0.00030779304037960054
31.05,0.00014110940442243529,1.0457232968872856e-05,3.9210052181978973e-07,2.1649858264742506e-07,0.0003052164673221404
31.1,0.00013993589639887038,1.0365968894900584e-05,3.8866687705587283e-07,2.13914509101265e-07,0.00030266455139626124
31.150000000000002,0.00013877353046006874,1.0275621184324782e-05,3.8526784826830805e-07,2.113649068853569e-07,0.0003001370284266358
31.200000000000003,0.00013762218836570796,1.0186179465601866e-05,3.819030418625588e-07,2.0884926814831225e-07,0.00029763363735523467
31.25,0.000136481753254374,1.0097633497423558e-05,3.785720692120798e-07,2.0636709322290948e-07,0.00029515412020135673
31.3,0.00013535210962614013,1.0009973166925827e-05,3.752745465895937e-07,2.0391789048295906e-07,0.0002926982220222088
31.35,0.00013423314332538215,9.92318848792457e-06,3.7201009509940094e-07,2.015011762028693e-07,0.0002902656908740295
31.400000000000002,0.0001331247415238248,9.83726959917748e-06,3.687783406107003e-07,1.9911647441985464e-07,0.0002878562777737451
31.450000000000003,0.0001320267927038173,9.752206762671785e-06,3.655789136919097e-07,1.9676331679873564e-07,0.0002854697366611544
31.5,0.00013093918664183429,9.667990361937413e-06,3.6241144954596725e-07,1.9444124249927755e-07,0.000283105824361631
31.55,0.00012986181439219864,9.58461090038513e-06,3.59275587946598e-07,1.9214979804601553e-07,0.00028076430054933685
31.6,0.00012879456827102407,9.502058999669379e-06,3.561709731755342e-07,1.8988853720051898e-07,0.00027844492771094103
31.650000000000002,0.00012773734184037304,9.420325398075265e-06,3.53097253960666e-07,1.8765702083604306e-07,0.0002761474711098342
31.700000000000003,0.0001266900298926277,9.339400948929436e-06,3.5005408341511563e-07,1.8545481681452153e-07,0.00027387169875083163
31.75,0.000125652528435071,9.259276619034408e-06,3.470411189772159e-07,1.8328149986585322e-07,0.0002716173813453604
31.8,0.00012462473467467406,9.179943487125967e-06,3.4405802235138013e-07,1.8113665146943635e-07,0.00026938429227711945
31.85,0.00012360654700308826,9.101392742353357e-06,3.411044594498499e-07,1.7901985973790693e-07,0.0002671722075682104
31.900000000000002,0.00012259786498183782,9.023615682781772e-06,3.381801003353031e-07,1.769307193030346e-07,0.000264980905845728
31.950000000000003,0.00012159858932771064,8.946603713916895e-06,3.352846191643137e-07,1.748688312037363e-07,0.0002628101683088061
32.0,0.0001206086218983449,8.870348347251104e-06,3.3241769413164634e-07,1.728338027761633e-07,0.00026065977869611226
32.050000000000004,0.00011962786567800752,8.794841198830976e-06,3.2957900741537174e-07,1.7082524754582056e-07,0.00025852952325378266
32.1,0.00011865622476356392,8.720073987845855e-06,3.267682451227953e-07,1.6884278512168093e-07,0.00025641919070379523
32.15,0.00011769360435063311,8.646038535236967e-06,3.2398509723717725e-07,1.668860410922492e-07,0.000254328572212768
32.2,0.00011673991071992883,8.572726762326957e-06,3.2122925756523983e-07,1.649546469235433e-07,0.0002522574613611833
32.25,0.0001157950512237826,8.500130689469451e-06,3.1850042368544696e-07,1.630482398589523e-07,0.0002502056541130287
32.300000000000004,0.00011485893427284482,8.42824243471821e-06,3.1579829689703856e-07,1.6116646282093103e-07,0.0002481729487858457
32.35,0.00011393146932296468,8.357054212515834e-06,3.131225821698181e-07,1.593089643145026e-07,0.0002461591460211876
32.4,0.00011301256686224265,8.286558332401405e-06,3.104729880946703e-07,1.5747539833252516e-07,0.0002441640487554726
32.45,0.00011210213839825601,8.216747197737011e-06,3.078492268348061e-07,1.5566542426269386e-07,0.0002421874621912318
32.5,0.000111200096445454,8.147613304452786e-06,3.052510140777208e-07,1.5387870679624257e-07,0.00024022919376874647
32.550000000000004,0.00011030635451271879,8.07914923981004e-06,3.02678068987849e-07,1.521149158383089e-07,0.0002382890531380632
32.6,0.00010942082709109312,8.01134768118247e-06,3.0013011415991587e-07,1.5037372641993644e-07,0.00023636685213139063
32.65,0.00010854342964166847,7.944201394854881e-06,2.976068755729627e-07,1.4865481861167466e-07,0.00023446240473586267
32.7,0.00010767407858363481,7.877703234839352e-06,2.951080825450447e-07,1.4695787743875154e-07,0.00023257552706667094
32.75,0.00010681269128248811,7.811846141708518e-06,2.9263346768858704e-07,1.4528259279778594e-07,0.00023070603734055717
32.800000000000004,0.00010595918603839243,7.746623141445599e-06,2.901827668663854e-07,1.4362865937500695e-07,0.0002288537558496589
32.85,0.00010511348207469738,7.682027344311125e-06,2.8775571914825015e-07,1.4199577656595746e-07,0.00022701850493570924
32.9,0.00010427549952660514,7.618051943725856e-06,2.8535206676827305e-07,1.4038364839664556e-07,0.00022520010896457843
32.95,0.000103445159429988,7.554690215169853e-06,2.829715550827161e-07,1.38791983446122e-07,0.0002233983943011579
33.0,0.00010262238371035304,7.491935515097363e-06,2.8061393252850816e-07,1.3722049477045317e-07,0.00022161318928458053
33.050000000000004,0.00010180709517195073,7.429781279867194e-06,2.7827895058233825e-07,1.3566889982806102e-07,0.00021984432420376888
33.1,0.00010099921748702855,7.3682210246885514e-06,2.759663637203436e-07,1.3413692040640885e-07,0.00021809163127331336
33.15,0.00010019867518522379,7.307248342581836e-06,2.7367592937837253e-07,1.326242825500003e-07,0.000216354944609668
33.2,9.940539364309677e-05,7.246856903354395e-06,2.714074079128227e-07,1.311307164896717e-07,0.000214634100207666
33.25,9.861929907380126e-05,7.187040452590915e-06,2.691605625620434e-07,1.2965595657315096e-07,0.00021292893591734734
