Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(2),J_total_Kr
1.75,0.02391964438448565,0.08002080669173273,0.11293385714420731,0.04436846410597848,0.12260183225394586,0.0979379907444299,0.028314695003407303,0.025591399553160782,0.0478392887689713,0.16004161338346545,0.2662107846358709,0.22586771428841462,0.7356109935236752,0.056629390006814606,0.9793799074442989,0.1535483973189647,2.6251280893704756
1.8,0.02390925584614842,0.07957864927621876,0.10864097323438139,0.04435821364786736,0.12127752607370829,0.09758242542947888,0.028286323198964104,0.022234687184618178,0.04781851169229684,0.15915729855243752,0.26614928188720416,0.21728194646876278,0.7276651564422497,0.05657264639792821,0.9758242542947888,0.13340812310770905,2.5838772188433774
1.85,0.023898580748215475,0.07912691622122622,0.10441628855979111,0.04434714047155088,0.11989353198842496,0.09719818595987709,0.028281815320456805,0.01940294174324823,0.04779716149643095,0.15825383244245245,0.2660828428293053,0.20883257711958222,0.7193611919305498,0.05656363064091361,0.9719818595987708,0.11641765045948937,2.5452907465174945
1.9000000000000001,0.023887619587525506,0.07866582475245437,0.10026654465385813,0.04433520732594503,0.11845153074053856,0.09678476157374423,0.028266362370291304,0.017029461453242255,0.04777523917505101,0.15733164950490874,0.26601124395567016,0.20053308930771627,0.7107091844432314,0.05653272474058261,0.9678476157374423,0.10217676871945353,2.5089175155840557
1.9500000000000002,0.023876372875535866,0.07819559549310408,0.09619792100708238,0.04432237681300776,0.11695343089868224,0.09634176208403804,0.028214096457084052,0.015053827830373647,0.04775274575107173,0.15639119098620816,0.26593426087804656,0.19239584201416476,0.7017205853920934,0.056428192914168104,0.9634176208403804,0.09032296698224188,2.4743634057583748
2.0,0.023864841138396865,0.07771645227631058,0.09221603553019758,0.04430861143856818,0.1154013523685787,0.09586891855150942,0.02810666402236397,0.013421668507063373,0.04772968227679373,0.15543290455262115,0.2658516686314091,0.18443207106039516,0.6924081142114722,0.05621332804472794,0.9586891855150942,0.08053001104238024,2.4412869653348936
2.0500000000000003,0.023853024916996833,0.07722862194555076,0.08832594820820835,0.044293873662589335,0.11379760903690862,0.0953660828194154,0.02793194117626791,0.012084343370697833,0.047706049833993666,0.15445724389110152,0.265763241975536,0.1766518964164167,0.6827856542214518,0.05586388235253582,0.953660828194154,0.072506060224187,2.4093948571093766
2.1,0.023840924766980357,0.07673233414486283,0.08453216770473472,0.04427812594881519,0.1121446907549826,0.09483322599422697,0.02768289297335603,0.010998581176974016,0.047681849533960714,0.15346466828972566,0.2656687556928911,0.16906433540946944,0.6728681445298956,0.05536578594671206,0.9483322599422697,0.0659914870618441,2.3784372864067684
2.15,0.023828541258742442,0.07622782110080643,0.08083866066939895,0.04426133081375521,0.11044524486046553,0.09427043596270732,0.027356573206711216,0.010126088043689436,0.047657082517484885,0.15245564220161287,0.26556798488253125,0.1616773213387979,0.6626714691627932,0.05471314641342243,0.9427043596270732,0.060756528262136615,2.3482035344058523
2.2,0.02381587497740133,0.0757153173981007,0.07724886349796463,0.044243450874963126,0.10870205742534883,0.09367791403983335,0.026953257672309633,0.009433144375951732,0.04763174995480266,0.1514306347962014,0.2654607052497788,0.15449772699592926,0.652212344552093,0.053906515344619266,0.9367791403983334,0.056598866255710395,2.3185176835474683
2.25,0.0238029265227528,0.07519505975082183,0.07376569629503185,0.0442244488985686,0.10691803440709696,0.09305597084432196,0.026475701515844097,0.00889020273081486,0.0476058530455056,0.15039011950164366,0.2653466933914116,0.1475313925900637,0.6415082064425818,0.052951403031688195,0.9305597084432196,0.05334121638488916,2.2892345928310034
2.3000000000000003,0.023789696509208626,0.07466728677093876,0.07039157879181451,0.044204287846023094,0.10509618286765926,0.09240502149921978,0.025928509929611904,0.008471495806156115,0.04757939301841725,0.1493345735418775,0.26522572707613856,0.14078315758362903,0.6305770972059556,0.05185701985922381,0.9240502149921979,0.050828974836936686,2.2602361581143757
2.35,0.023776185565721687,0.07413223873582703,0.06712844797643513,0.044182930920022796,0.10323959241206268,0.09172558025432351,0.02531761087394411,0.008154661045040546,0.04755237113144337,0.14826447747165405,0.2650975855201368,0.13425689595287027,0.619437554472376,0.05063522174788822,0.9172558025432351,0.048927966270243275,2.231427875109847
2.4000000000000004,0.023762394335700127,0.07359015735624154,0.06397777720087693,0.044160341609573384,0.10135141698480211,0.0910182546253032,0.02464981845569249,0.00792038619642345,0.04752478867140025,0.14718031471248308,0.2649620496574403,0.12795555440175385,0.6081085019088127,0.04929963691138498,0.9101825462530321,0.047522317178540704,2.202735709694848
2.45,0.023748323476912636,0.07304128554605695,0.06094059653690374,0.04413648373416267,0.09943485714842445,0.09028373914147592,0.02393247594403588,0.00775207848472589,0.04749664695382527,0.1460825710921139,0.264818902404976,0.12188119307380749,0.5966091428905467,0.04786495188807176,0.9028373914147592,0.04651247090835534,2.1741032706264556
2.5,0.023733973661386767,0.0724858671949086,0.05801751416259848,0.044111321487008553,0.09749314295474276,0.08952280879038224,0.023173168013549662,0.007635558740073087,0.047467947322773534,0.1449717343898172,0.2646679289220513,0.11603502832519696,0.5849588577284566,0.046346336027099325,0.8952280879038224,0.04581335244043852,2.1454892730596558
2.5500000000000003,0.023719345575301882,0.07192414694469429,0.05520873857144115,0.044084819477350635,0.09552951750519183,0.08873631224280315,0.02237949257698897,0.007558780860682396,0.047438691150603764,0.14384829388938858,0.2645089168641038,0.1104174771428823,0.5731771050311509,0.04475898515397794,0.8873631224280315,0.04535268516409438,2.1168652768242326
2.6,0.023704439918878224,0.07135636997073143,0.05251410140683084,0.04405694277175508,0.09354722128309541,0.08792516493675642,0.021558883430354416,0.007511576259663969,0.04740887983775645,0.14271273994146286,0.26434165663053044,0.10502820281366168,0.5612833276985725,0.04311776686070883,0.8792516493675642,0.04506945755798381,2.0882136807082405
2.6500000000000004,0.02368925740626323,0.07078278176820947,0.04993308073647501,0.04402765693440284,0.09154947732719955,0.08709034209346274,0.020718475824907392,0.007485422438786964,0.04737851481252646,0.14156556353641894,0.26416594160641704,0.09986616147295002,0.5492968639631973,0.041436951649814785,0.8709034209346274,0.04491253463272178,2.059525952608674
2.7,0.02367379876541613,0.07020362794443612,0.0474648245929695,0.04399692806633255,0.08953947730285573,0.08623287173239028,0.019865007965005527,0.007473234487529532,0.04734759753083226,0.14040725588887223,0.2639815683979953,0.094929649185939,0.5372368638171344,0.039730015930011055,0.8623287173239027,0.04483940692517719,2.0308010749998644
2.75,0.023658064737991612,0.06961915401724839,0.04510817461903591,0.04396472284360979,0.08752036851481572,0.08535382774638532,0.01900475227951861,0.007469178089973475,0.047316129475983223,0.13923830803449677,0.2637883370616587,0.09021634923807181,0.5251222110888943,0.03800950455903722,0.8535382774638532,0.04481506853984085,2.0020441854618363
2.8000000000000003,0.02364205607922321,0.06902960521984788,0.04286168966815748,0.043931008554395544,0.08549524189381857,0.08445432309167905,0.018143471110407018,0.007468502504229553,0.04728411215844642,0.13805921043969577,0.26358605132637325,0.08572337933631496,0.5129714513629114,0.036286942220814036,0.8445432309167905,0.04481101502537732,1.9732653927867236
2.85,0.023625773557806866,0.06843522631222203,0.04072366922365274,0.04389575313488717,0.08346712097807878,0.08353550314131944,0.017286392194381314,0.007467391934176364,0.04725154711561373,0.13687045262444406,0.263374518809323,0.08144733844730548,0.5008027258684726,0.03457278438876263,0.8353550314131943,0.04480435160505818,1.944478750272174
2.9000000000000004,0.02360921795578509,0.06783626139923049,0.0386921765114587,0.0438589252041062,0.08143895190048217,0.08259853924439745,0.016438199977445805,0.00746283372139267,0.04721843591157018,0.13567252279846098,0.2631535512246372,0.0773843530229174,0.488633711402893,0.03287639995489161,0.8259853924439744,0.04477700232835602,1.9157013690877007
2.95,0.023592390068431897,0.06723295375536698,0.03676506119398231,0.04382049409750813,0.07941359438280604,0.08164462252739346,0.015603039396519513,0.007452501830496189,0.047184780136863794,0.13446590751073395,0.26292296458504877,0.07353012238796462,0.47648156629683625,0.031206078793039025,0.8164462252739346,0.04471501098297713,1.8869526559673981
3.0,0.02357529070413875,0.06662554565614968,0.03493998154424283,0.04378042989939022,0.07739381372962727,0.08067495796812686,0.01478452928891424,0.007434654171428287,0.0471505814082775,0.13325109131229937,0.2626825793963413,0.06987996308848567,0.4643628823777636,0.02956905857782848,0.8067495796812686,0.04460792502856972,1.8582536608708342
3.0500000000000003,0.023557920684301525,0.06601427821604927,0.03321442601110878,0.04373870347407448,0.07538227380678693,0.07969075876720551,0.013985783052729309,0.00740804238819839,0.04711584136860305,0.13202855643209854,0.26243222084444684,0.06642885202221756,0.4522936428407216,0.027971566105458617,0.796907587672055,0.04444825432919034,1.8296265216147918
3.1,0.023540280843208566,0.06539939123282773,0.031585734097668544,0.04369528649584405,0.0733815309823413,0.07869324103658702,0.013209434583795492,0.007371832838225196,0.04708056168641713,0.13079878246565546,0.2621717189750643,0.06317146819533709,0.44028918589404786,0.026418869167590984,0.7869324103658702,0.044230997029351175,1.8010939937793342
3.1500000000000004,0.023522372027929766,0.06478112303813614,0.030051116485613916,0.0436501514776125,0.07139402900184147,0.07768361881991694,0.012457667862854422,0.007325537584555653,0.04704474405585953,0.12956224607627229,0.261900908865675,0.06010223297122783,0.4283641740110488,0.024915335725708844,0.7768361881991693,0.043953225507333916,1.7726790554122955
3.2,0.02350419509820662,0.06415971035420125,0.02860767434891552,0.0436032717983067,0.0694220947645306,0.07666309945472657,0.011732248865591974,0.007268954321247555,0.04700839019641324,0.1283194207084025,0.2616196307898402,0.05721534869783104,0.41653256858718357,0.023464497731183948,0.7666309945472658,0.04361372592748533,1.7444045771856058
3.25,0.02348575092634315,0.06353538815641915,0.027252417809987495,0.04355462172894566,0.06746793496260053,0.07563287928237429,0.011034558723301205,0.0072021142475431526,0.0469715018526863,0.1270707763128383,0.26132773037367396,0.05450483561997499,0.4048076097756032,0.02206911744660241,0.7563287928237429,0.04321268548525892,1.716293049690381
3.3000000000000003,0.023467040397097585,0.062908389541669,0.02598228350094524,0.04350417645739904,0.06553363354197846,0.07459413970780894,0.01036562727845681,0.007125236997478128,0.04693408079419517,0.125816779083338,0.26102505874439424,0.05196456700189048,0.39320180125187076,0.02073125455691362,0.7459413970780894,0.04275142198486877,1.6883663604955605
3.35,0.023448064407574624,0.062278945602157965,0.024794151201425436,0.0434519121118106,0.06362114994017708,0.07354804360782606,0.009726166362127246,0.00703869181724607,0.04689612881514925,0.12455789120431593,0.2607114726708636,0.04958830240285087,0.38172689964106243,0.019452332724254492,0.7354804360782606,0.04223215090347642,1.6606456144402335
3.4000000000000004,0.023428823867118212,0.061647285304611624,0.023684859532742273,0.0433978057826739,0.06173231805449716,0.07249573208347372,0.009116602273330518,0.0069429642624288,0.046857647734236424,0.12329457060922325,0.2603868346960434,0.047369719065484546,0.37039390832698293,0.018233204546661035,0.7249573208347372,0.0416577855745728,1.6331509913879416
