Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(5),J_total_Br
3.4000000000000004,0.024070663506043307,0.062198606033113606,0.02174260498122078,0.04469712416155599,0.05859461052061191,0.07173504622075011,0.007132949230678642,0.006241429393993891,0.048141327012086614,0.12439721206622721,0.2681827449693359,0.04348520996244156,0.3515676631236715,0.014265898461357285,0.7173504622075011,0.031207146969969457,1.5985976647725908
3.45,0.024049437337190317,0.06152035865289048,0.020825575412588528,0.04463267808739151,0.05666322280754064,0.07053862623358274,0.006641045293612018,0.006107792445037973,0.048098874674380634,0.12304071730578096,0.26779606852434906,0.041651150825177057,0.33997933684524384,0.013282090587224037,0.7053862623358275,0.030538962225189866,1.5697734633231728
3.5,0.024027927023732198,0.060840710669189085,0.01998014586518483,0.04456610004322474,0.05476735545813854,0.06934340344301985,0.006179896100854746,0.0059688536024110435,0.048055854047464396,0.12168142133837817,0.2673966002593484,0.03996029173036966,0.3286041327488312,0.012359792201709493,0.6934340344301986,0.029844268012055218,1.5413363947683552
3.5500000000000003,0.024006133655351994,0.060159906586347595,0.019202648238561746,0.044497370283718335,0.052908248242339376,0.06815049230369227,0.005748617128815768,0.0058254020651965265,0.04801226731070399,0.12031981317269519,0.26698422170231,0.03840529647712349,0.3174494894540363,0.011497234257631536,0.6815049230369228,0.02912701032598263,1.513300255737406
3.6,0.023984058334896946,0.0594781876800603,0.018489465186396877,0.04442647033829418,0.051086998413250984,0.06696095634340786,0.005346223247207997,0.0056782035304903345,0.04796811666979389,0.1189563753601206,0.2665588220297651,0.036978930372793754,0.3065219904795059,0.010692446494415994,0.6696095634340786,0.028391017652451674,1.4856772624929258
3.6500000000000004,0.023961702178260515,0.058795791893284995,0.017837040518654135,0.044353383024641244,0.04930456491705751,0.06577580766539837,0.004971650168111212,0.005527993301692235,0.04792340435652103,0.11759158378656999,0.26612029814784743,0.03567408103730827,0.29582738950234505,0.009943300336222424,0.6577580766539837,0.027639966508461174,1.458478100329259
3.7,0.023939066314263315,0.05811295373710939,0.017241888481402085,0.04427809246047155,0.047561772970141344,0.06459600673993049,0.004623773591884105,0.005375471143925191,0.04787813262852663,0.11622590747421878,0.2656685547628293,0.03448377696280417,0.28537063782084804,0.00924754718376821,0.6459600673993049,0.026877355719625955,1.4317119799519262
3.75,0.023916151884532895,0.05742990419647543,0.016700601958495993,0.04420058407353882,0.045859318944814015,0.06342246245865298,0.0043014261835404724,0.005221297607467707,0.04783230376906579,0.11485980839295086,0.2652035044412329,0.03340120391699199,0.2751559136688841,0.008602852367080945,0.6342246245865297,0.026106488037338536,1.4053866991800747
3.8000000000000003,0.023892960043382306,0.05674687064067265,0.016209859642393975,0.044120844609937,0.04419777550837282,0.06225603242584975,0.004003412522062382,0.005066091577096515,0.04778592008676461,0.1134937412813453,0.264725067659622,0.03241971928478795,0.2651866530502369,0.008006825044124763,0.6225603242584975,0.025330457885482573,1.3795087085508615
3.85,0.023869491957687422,0.05606407673852223,0.01576643222378033,0.044038862140698035,0.04257759696366318,0.06109752346173376,0.00372852216948847,0.00491042883786466,0.047738983915374844,0.11212815347704445,0.26423317284418824,0.03153286444756066,0.2554655817819791,0.00745704433897694,0.6109752346173376,0.0245521441893233,1.3540831796117851
3.9000000000000004,0.023845748806762993,0.055381742378182615,0.015367187651457476,0.04395462606671087,0.04099912474287391,0.05994769229401429,0.003475541007452214,0.004754841476565931,0.047691497613525986,0.11076348475636523,0.26372775640026525,0.03073437530291495,0.24599474845724348,0.006951082014904428,0.5994769229401429,0.023774207382829655,1.3291140748681918
3.95,0.02382173178223739,0.05470008359151598,0.015009095515188888,0.04386812712198584,0.03946259300987685,0.05880724641516835,0.003243260986950636,0.004599817963392148,0.04764346356447478,0.10940016718303196,0.263208762731915,0.030018191030377776,0.2367755580592611,0.006486521973901272,0.5880724641516835,0.022999089816960742,1.304604218511606
4.0,0.023797442087926033,0.05401931248296107,0.014689230604877528,0.04377935737529077,0.03796813433000037,0.05767684508411559,0.0030304884331557595,0.004445803780460127,0.047594884175852066,0.10803862496592213,0.2626761442517446,0.029378461209755055,0.2278088059800022,0.006060976866311519,0.5767684508411559,0.022229018902300633,1.2805553671930443
4.05,0.023772880939703495,0.05333963716286397,0.014404775699695572,0.043688310230187405,0.036515785369665044,0.056557100452311215,0.0028360510415795536,0.0042932024833144955,0.04754576187940699,0.10667927432572794,0.26212986138112443,0.028809551399391144,0.21909471221799026,0.005672102083159107,0.5655710045231122,0.021466012416572477,1.2569682802264845
4.1000000000000005,0.023748049565374293,0.052661261685222366,0.014153023640589485,0.04359498042349873,0.03510549259177501,0.0554485787956098,0.0026588036953083182,0.0041423770985082545,0.047496099130748586,0.10532252337044473,0.26156988254099234,0.02830604728117897,0.2106329555506501,0.0053176073906166365,0.554485787956098,0.02071188549254127,1.2338427887132706
4.15,0.023722949204542352,0.05198438598980236,0.013931378739016124,0.04349936402223965,0.03373711791612809,0.054351801834595696,0.0024976332256924695,0.00399365177519997,0.047445898409084704,0.10396877197960472,0.26099618413343795,0.027862757478032248,0.20242270749676852,0.004995266451384939,0.5435180183459569,0.01996825887599985,1.2111778631702699
4.2,0.023697581108479162,0.0513092058485889,0.013737357573865848,0.043401458419045545,0.03241044431735645,0.053267248127406526,0.0023514622311001225,0.0038473136216302605,0.047395162216958324,0.1026184116971778,0.26040875051427326,0.027474715147731695,0.1944626659041387,0.004702924462200245,0.5326724812740653,0.019236568108151303,1.1889716793246965
