Q,J_1s,J_2s,J_2p,J_total
6.0,0.0002727660589962652,2.2315948259616756e-05,0.00011162283956267551,0.0008134096936371149
6.050000000000001,0.0002618976155289294,2.1300607805978094e-05,0.00010600891055678238,0.0007784142677833797
6.1000000000000005,0.00025149255714563125,2.0335036760321547e-05,0.00010071079676881637,0.0007450767813495384
6.15,0.00024153007589100442,1.9416667860597844e-05,9.57088978366103e-05,0.0007133112831764251
6.2,0.0002319903331967657,1.8543069114149976e-05,9.098493915812958e-05,0.0006830366829380906
6.25,0.00022285441374401987,1.771193686165534e-05,8.652187518806418e-05,0.0006541764515874788
6.300000000000001,0.0002141042815306851,1.6921089149806253e-05,8.23038002731552e-05,0.0006266583419072932
6.3500000000000005,0.00020572273804041668,1.6168459406170707e-05,7.831586640282401e-05,0.0006004141276988228
6.4,0.0001976933824140575,1.545209040865152e-05,7.454420730602469e-05,0.0005753793602574674
6.45,0.00019000057352911207,1.4770128541169524e-05,7.097586837462755e-05,0.0005514931408898183
6.5,0.00018262939389701146,1.4120818326599323e-05,6.759874193852619e-05,0.0005286979083242739
6.550000000000001,0.00017556561529203925,1.3502497227557055e-05,6.44015074584819e-05,0.0005069392399561564
6.6000000000000005,0.00016879566602971452,1.2913590705351612e-05,6.137357623985525e-05,0.0004861656659498428
6.65,0.0001623065998161871,1.235260752724185e-05,5.850504030417358e-05,0.00046632849529520503
6.7,0.00015608606609380607,1.181813531207398e-05,5.5786625086263374e-05,0.00044738165298428687
6.75,0.0001501222818114668,1.1308836304387467e-05,5.320964565271198e-05,0.0004292815275371325
6.800000000000001,0.00014440400455164402,1.0823443367161337e-05,5.0765966162976764e-05,0.00041198682816356424
6.8500000000000005,0.00013892050694917709,1.0360756183512457e-05,4.844796231775813e-05,0.00039545845090089535
6.9,0.0001336615523398921,9.919637657842514e-06,4.624848656050297e-05,0.00037965935311647515
6.95,0.0001286173715800387,9.499010507152475e-06,4.4160835817299904e-05,0.0003645544358089821
7.0,0.0001237786409802786,9.09785403349329e-06,4.21787215781304e-05,0.0003501104331838046
7.050000000000001,0.00011913646130060573,8.715201068793831e-06,4.02962421386106e-05,0.0003362958090160203
7.1000000000000005,0.00011468233775510169,8.35013508359522e-06,3.850785683613317e-05,0.00032308065934966016
7.15,0.00011040816097784048,8.00178745151984e-06,3.680836212782276e-05,0.00031043662111436614
7.2,0.0001063061889035623,7.669334861610013e-06,3.519286937007005e-05,0.0002983367862704847
7.25,0.00010236902951893403,7.351996870981153e-06,3.365678417070612e-05,0.00028675562112124263
7.300000000000001,9.858962444231556e-05,7.049033590545137e-06,3.21957871952202e-05,0.0002756688904561618
7.3500000000000005,9.496123329195692e-05,6.759743496868811e-06,3.0805816317891214e-05,0.0002650535862134339
7.4,9.147741880446301e-05,6.483461363538079e-06,2.9483050017374935e-05,0.00025488786037075205
7.45,8.813203266719153e-05,6.219556305698564e-06,2.8223891924235916e-05,0.000245150961794252
7.5,8.49192020299894e-05,5.96742993173763e-06,2.702495643519664e-05,0.00023582317679384732
7.550000000000001,8.183331666333593e-05,5.72651459635906e-06,2.5883055315557333e-05,0.00022688577315050466
7.6000000000000005,7.886901673154578e-05,5.496271749579881e-06,2.4795185217368294e-05,0.0002183209473969879
7.65,7.602118115119404e-05,5.2761903764480425e-06,2.3758516046561015e-05,0.0002101117751484062
7.7,7.32849165063689e-05,5.065785522539818e-06,2.2770380117409453e-05,0.00020224216429263635
7.75,7.06555464937272e-05,4.864596900546139e-06,2.1828262037435463e-05,0.0001946968108634176
7.800000000000001,6.81286018716387e-05,4.6721875734978636e-06,2.0929789270231487e-05,0.00018746115743073613
7.8500000000000005,6.569981088895026e-05,4.488142710410944e-06,2.0072723327679867e-05,0.00018052135385408213
7.9,6.336509017008886e-05,4.312068410353553e-06,1.9254951546732077e-05,0.00017386422025434897
7.95,6.112053603435445e-05,4.143590591148847e-06,1.8474479409300703e-05,0.000167477212069608
8.0,5.896241622832972e-05,3.982353939128883e-06,1.7729423366935306e-05,0.00016134838706878782
8.05,5.688716205136086e-05,3.8280209165478606e-06,1.70180041348248e-05,0.00015546637420546706
8.1,5.489136085504002e-05,3.6802708234463625e-06,1.633854042231308e-05,0.00014982034420159892
8.15,5.297174889854932e-05,3.5387989109327645e-06,1.5689443069550428e-05,0.000144399981758065
8.200000000000001,5.112520454261395e-05,3.4033155430141686e-06,1.5069209562149014e-05,0.00013919545929555428
8.25,4.934874176565133e-05,3.2735454042666735e-06,1.4476418897779711e-05,0.00013419741213539543
8.3,4.763950398650787e-05,3.1492267507846398e-06,1.3909726780557315e-05,0.00012939691503569966
8.35,4.599475817893762e-05,3.0301107019905527e-06,1.3367861120822471e-05,0.0001247854600035013
8.4,4.4411889263701534e-05,2.9159605710215107e-06,1.284961781955362e-05,0.00012035493530855332
8.450000000000001,4.2888394764860016e-05,2.806551231536087e-06,1.2353856818144274e-05,0.00011609760562908075
8.5,4.1421879717485804e-05,2.701668518905768e-06,1.1879498395666196e-05,0.00011200609326411553
8.55,4.001005181465147e-05,2.601108663869564e-06,1.1425519697020525e-05,0.00010807336035108313
8.6,3.8650716782140563e-05,2.5046777568384048e-06,1.0990951476562759e-05,0.00010429269203108345
8.65,3.734177396989546e-05,2.4121912411379917e-06,1.0574875042881454e-05,0.00010065768050782981
8.700000000000001,3.6081212149755875e-05,2.323473433575524e-06,1.0176419391423796e-05,9.716220994951039e-05
8.75,3.486710550955095e-05,2.238357070806766e-06,9.79475851259698e-06,9.380044218590939e-05
8.8,3.3697609834096225e-05,2.1566828800662233e-06,9.429108863841828e-06,9.056680315600856e-05
8.85,3.257095886410958e-05,2.078299172904577e-06,9.078726994977671e-06,8.745597006398366e-05
8.9,3.148546082449866e-05,2.003061460654229e-06,8.742907316860494e-06,8.446285920402677e-05
8.950000000000001,3.0439495113893106e-05,1.9308320904165106e-06,8.420980004085733e-06,8.15826144167907e-05
9.0,2.9431509147690486e-05,1.8614799004323542e-06,8.112309023104792e-06,7.881059614245526e-05
9.05,2.846001534726438e-05,1.794879893762895e-06,7.816290277716505e-06,7.614237103748756e-05
9.1,2.752358826834269e-05,1.7309129292673609e-06,7.532349864443601e-06,7.35737021241073e-05
9.15,2.662086186190489e-05,1.6694654289229587e-06,7.259942430812969e-06,7.110053944328164e-05
9.200000000000001,2.5750526861273734e-05,1.6104291005857641e-06,6.998549630031609e-06,6.871901118378222e-05
9.25,2.4911328289384215e-05,1.5537006753425696e-06,6.747678665988151e-06,6.642541526142987e-05
9.3,2.4102063080507296e-05,1.4991816586518799e-06,6.506860922917534e-06,6.421621132415342e-05
9.35,2.3321577810985208e-05,1.4467780945176403e-06,6.275650674444712e-06,6.208801315989512e-05
9.4,2.2568766533799442e-05,1.3964003419820142e-06,6.053623867074512e-06,6.003758148571193e-05
9.450000000000001,2.1842568712046527e-05,1.3479628632639733e-06,5.840376973522012e-06,5.806181709766503e-05
9.5,2.1141967246634908e-05,1.3013840229083882e-06,5.635525911581154e-06,5.61577543622489e-05
9.55,2.046598659374528e-05,1.256585897346218e-06,5.438705024512161e-06,5.432255503120732e-05
9.600000000000001,1.9813690967813346e-05,1.2134940943001708e-06,5.249566119191222e-06,5.2553502362609475e-05
9.65,1.918418262599938e-05,1.1720375815020076e-06,5.0677775585103425e-06,5.0847995532023466e-05
9.700000000000001,1.857660023030546e-05,1.1321485242177211e-06,4.893023404743249e-06,4.9203544318532857e-05
9.75,1.7990117283687423e-05,1.093762131105095e-06,4.725002610805297e-06,4.7617764051195625e-05
9.8,1.742394063668478e-05,1.0568165079547716e-06,4.563428256532696e-06,4.60883708023445e-05
9.850000000000001,1.6877309061261332e-05,1.0212525188911502e-06,4.4080268272907805e-06,4.4613176814886525e-05
9.9,1.634949188870792e-05,9.870136546330544e-07,4.2585375323922975e-06,4.319008615146654e-05
9.950000000000001,1.5839787708611583e-05,9.54045907436475e-07,4.114711660966866e-06,4.181709055402985e-05
10.0,1.5347523126039944e-05,9.222976523627377e-07,3.976311973071927e-06,4.049226550294922e-05
10.05,1.4872051574226334e-05,8.917195345352393e-07,3.843112123974493e-06,3.921376646547213e-05
10.100000000000001,1.441275218017296e-05,8.622643620666647e-07,3.7148961196631614e-06,3.797982532380558e-05
10.15,1.3969028680712539e-05,8.338870043561581e-07,3.5914578017707843e-06,3.6788746973678964e-05
10.200000000000001,1.354030838668764e-05,8.065442954725896e-07,3.472600360201549e-06,3.563890608472356e-05
10.25,1.3126041193019223e-05,7.801949423557238e-07,3.358135871861919e-06,3.4528744014473734e-05
10.3,1.272569863254208e-05,7.547994375818444e-07,3.2478848639934753e-06,3.34567658682348e-05
10.350000000000001,1.2338772971587324e-05,7.303199764543774e-07,3.1416759006982196e-06,3.2421537697479844e-05
10.4,1.1964776345387764e-05,7.06720378193144e-07,3.039345191332923e-06,3.1421683829827666e-05
10.450000000000001,1.1603239931474335e-05,6.839660110083063e-07,2.9407362195298973e-06,3.045588432402508e-05
10.5,1.1253713159319092e-05,6.620237208567571e-07,2.845699391676989e-06,2.9522872543705677e-05
10.55,1.0915762954562842e-05,6.408617636897066e-07,2.754091703760026e-06,2.862143284402515e-05
10.600000000000001,1.0588973016245187e-05,6.204497410106694e-07,2.665776425537182e-06,2.7750398365586073e-05
10.65,1.027294312552917e-05,6.007585385728285e-07,2.5806228010763324e-06,2.6908648930356662e-05
10.700000000000001,9.967288484484654e-06,5.817602680540438e-07,2.4985057647444603e-06,2.609510903456632e-05
10.75,9.671639083562444e-06,5.634282115565145e-07,2.4193056717923614e-06,2.530874593382264e-05
10.8,9.385639096455513e-06,5.457367687863296e-07,2.342908042728559e-06,2.4548567815940804e-05
10.850000000000001,9.10894630110575e-06,5.286614067759672e-07,2.2692033207240666e-06,2.381362205721157e-05
10.9,8.84123152567259e-06,5.121786120201178e-07,2.198086641334064e-06,2.3102993558053545e-05
10.950000000000001,8.582178118335977e-06,4.962658449021697e-07,2.1294576138644526e-06,2.24158031542052e-05
11.0,8.331481439858991e-06,4.809014962952452e-07,2.0632201137504356e-06,2.1751206099809344e-05
11.05,8.088848377885646e-06,4.6606484622784856e-07,1.999282085350964e-06,2.1108390618928915e-05
11.100000000000001,7.853996881997746e-06,4.5173602451005637e-07,1.9375553545974982e-06,2.04865765222106e-05
