Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_3d(1),J_total_scandium
1.85,0.04078724564481727,0.05795578972666481,0.04335099145286861,0.08230223078654746,0.09012526514876845,0.091829680325949,0.00521369115143137,0.08157449128963454,0.11591157945332962,0.4938133847192847,0.08670198290573722,0.5407515908926107,0.01042738230286274,0.091829680325949,1.4210100918894084
1.9000000000000001,0.04073058045814485,0.057236035254748636,0.03873064594025947,0.08207131635051486,0.08347119457770254,0.0865330428047606,0.004502362193981315,0.0814611609162897,0.11447207050949727,0.4924278981030892,0.07746129188051894,0.5008271674662153,0.00900472438796263,0.0865330428047606,1.3621873560683337
1.9500000000000002,0.04067251574304268,0.05650502066405562,0.034678706623683886,0.08182655732701839,0.07718253536550518,0.08152908600434132,0.0038970595840735734,0.08134503148608536,0.11301004132811124,0.4909593439621104,0.06935741324736777,0.46309521219303107,0.007794119168147147,0.08152908600434132,1.3070902473891945
2.0,0.040613060081930386,0.05576333895262546,0.031144103003968315,0.08156775755219846,0.0712573399559375,0.07680542477977734,0.0033853264742799163,0.08122612016386077,0.11152667790525092,0.4894065453131907,0.06228820600793663,0.427544039735625,0.0067706529485598325,0.07680542477977734,1.2555676668542013
2.0500000000000003,0.04055222224909036,0.05501159359474225,0.028077909620763297,0.08129475048059506,0.06569085507193784,0.07234942619803829,0.002955596570261804,0.08110444449818072,0.1100231871894845,0.4877685028835704,0.05615581924152659,0.394145130431627,0.005911193140523608,0.07234942619803829,1.207457703582951
2.1,0.040490011210482624,0.05425039787187788,0.025433634741356827,0.08100739945368154,0.06047594073956132,0.06814839532529561,0.002597260512717796,0.08098002242096525,0.10850079574375576,0.48604439672208927,0.05086726948271365,0.36285564443736795,0.005194521025435592,0.06814839532529561,1.1625910451576231
2.15,0.040426436123111927,0.05348037411526655,0.023167424936497198,0.08070559783525663,0.05560346429966453,0.06418972342316419,0.0023006855111548058,0.08085287224622385,0.1069607482305331,0.4842335870115398,0.046334849872994396,0.33362078579798715,0.0046013710223096116,0.06418972342316419,1.120793937604752
2.2,0.040361506333938646,0.05270215286435162,0.02123819634922317,0.08038926901892769,0.0510626656197536,0.060461004206593005,0.0020572015996548803,0.08072301266787729,0.10540430572870324,0.4823356141135662,0.04247639269844634,0.30637599371852164,0.0041144031993097605,0.060461004206593005,1.0818907263330175
2.25,0.04029523137834024,0.051916371946779706,0.019607703088839825,0.08005836631320074,0.04684149121177406,0.05695012322735767,0.0018590648879166943,0.08059046275668048,0.10383274389355941,0.4803501978792044,0.03921540617767965,0.2810489472706444,0.0037181297758333886,0.05695012322735767,1.0457060109809593
2.3000000000000003,0.04022762097814113,0.051123675486736075,0.018240552606430642,0.0797128727099421,0.04292689619434313,0.05364532485565597,0.0016994057497864293,0.08045524195628226,0.10224735097347215,0.47827723625965257,0.036481105212861284,0.25756137716605876,0.0033988114995728586,0.05364532485565597,1.012066447923556
