p,I_1s,I_2s,I_2p
6.5,0.07916322815258987,0.006950105017117768,0.0008539335107139584
6.550000000000001,0.077630021791487,0.0067728109311448945,0.0008148050657900549
6.6000000000000005,0.07612168570782554,0.006599962925458255,0.0007776811988962453
6.65,0.07463815749979796,0.006431478489777894,0.0007424487941306075
6.7,0.07317935144391204,0.006267273711563763,0.0007090016720301415
6.75,0.07174516008538889,0.0061072636137777985,0.0006772401327872355
6.800000000000001,0.0703354557589717,0.0059513624610848465,0.0006470705314414729
6.8500000000000005,0.06895009204178246,0.005799484036889937,0.0006184048826881432
6.9,0.06758890513993733,0.005651541893448861,0.0005911604931266484
6.95,0.06625171521069151,0.005507449577139024,0.0005652596189395067
7.0,0.06493832762193034,0.0053671208308340755,0.0005406291471466499
7.050000000000001,0.06364853415085953,0.005230469775192573,0.0005172002987213945
7.1000000000000005,0.06238211412377023,0.005097411070544781,0.0004949083519850696
7.15,0.061138835498772984,0.0049678600609429,0.00047369238481721976
7.2,0.05991845589339794,0.0048417329018295525,0.00045349503432916223
7.25,0.058720723558960616,0.004718946672674588,0.00043426227275049703
7.300000000000001,0.057545378303582195,0.004599419475833264,0.0004159431983720226
7.3500000000000005,0.0563921523657423,0.0044830705227872905,0.0003984898404752997
7.4,0.055260771240219615,0.004369820208845129,0.00038185697725863266
7.45,0.054150954458254914,0.004259590177297998,0.0003660019658431349
7.5,0.05306241632374087,0.004152303373954115,0.00035088458351017083
7.550000000000001,0.051994866607211775,0.004047884092903856,0.0003364668793843397
7.6000000000000005,0.050948011199371715,0.003946258014304067,0.0003227130358338016
7.65,0.049921552725862524,0.0038473522349097675,0.00030958923891325006
7.7,0.048915191124931964,0.003751095292024913,0.0002970635572240173
7.75,0.04792862418962269,0.0036574171814922566,0.00028510582861144396
7.800000000000001,0.04696154807605882,0.0035662493702935502,0.00027368755416153876
7.8500000000000005,0.04601365777936237,0.0034775248042863264,0.00026278179899800927
7.9,0.04508464757868807,0.003391177911561786,0.00025236309941651736
7.95,0.04417421145281834,0.00330714460186934,0.00024240737592633117
8.0,0.04328204346771557,0.003225362262517407,0.00023289185180023561
8.05,0.04240783813738128,0.003145769751126648,0.00022379497676201573
8.1,0.04155129075932731,0.0030683073855809016,0.00021509635546709696
8.15,0.040712097725917454,0.002992916931492297,0.00020677668045630273
8.200000000000001,0.039889956812792615,0.002919541587470751,0.0001988176692852642
8.25,0.03908456744554808,0.002848125968463129,0.00019120200555283466
8.3,0.038295630945786516,0.0027786160874049143,0.00018391328357126287
8.35,0.03752285075762776,0.002710959335406342,0.00017693595643876963
8.4,0.03676593265571175,0.0026451044606750386,0.00017025528729180183
8.450000000000001,0.03602458493569144,0.0025810015463599775,0.00016385730352967261
8.5,0.03529851858816919,0.002518601987484595,0.0001577287538184917
8.55,0.03458744745699133,0.0024578584671217396,0.00015185706769467122
8.6,0.03389108838277668,0.0023987249319492835,0.00014623031760047247
8.65,0.03320916133251517,0.0023411565673119718,0.0001408371831955477
8.700000000000001,0.03254138951603866,0.0022851097719034773,0.00013566691779899498
8.75,0.03188749949012661,0.0022305421321713926,0.000130709316826286
8.8,0.031247221250977553,0.002177412396537999,0.00012595468809457132
8.85,0.03062028831574268,0.002125680449520272,0.0001213938238783821
8.9,0.030006437793783716,0.0020753072858241085,0.00011701797460557823
8.950000000000001,0.029405410448289124,0.002026254984479887,0.00011281882409081112
9.0,0.02881695074884937,0.001978486683079426,0.00010878846621052169
9.05,0.028240806915564045,0.0019319665521676682,0.00010491938292988516
9.1,0.027676730955226138,0.0018866597698365308,0.00010120442359800498
9.15,0.0271244786901,0.001842532496562767,9.763678543312728e-05
9.200000000000001,0.026583809779785264,0.0017995518503266554,9.420999512482094e-05
9.25,0.026054487736632884,0.0017576858820438908,9.091789148476205e-05
9.3,0.025536279935155774,0.001716903551338454,8.775460908224043e-05
9.35,0.02502895761585397,0.0016771747026809573,8.47145628046412e-05
9.4,0.02453229588385115,0.0016384700419129201,8.17924332869538e-05
