Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(1),J_total_Nh_relativistic
27.150000000000002,0.004464100864641261,0.0064570345483912,0.007578819801149687,0.008946316053806695,0.0030884949211893212,0.0034106550533281777,0.0018710570323518566,0.007626960869467091,0.007109601129467893,0.000943094667954413,0.0021930968408295968,0.0011522275393535109,0.0018403543969103993,0.0018888918859288311,0.0014464434752542534,0.0013089362514815427,0.00034129717444229395,0.0007626991915732801,0.0004320971607555698,0.0004316256460380493,0.00045014206623964875,0.0003414906719723849,0.00030663146598113467,9.073101972684204e-05,0.00017591102431040295,8.988939237913367e-05,4.9323764702309405e-05,4.600543974263684e-05,1.0289643323899561e-05,8.633174761809787e-06,0.22942047985087635
27.200000000000003,0.004462372181072195,0.006433156810230496,0.007572891010143557,0.008932518418205995,0.0030879517717014257,0.0033844297509327582,0.0018599542398847918,0.007594124208430372,0.00707571239584452,0.0009401839496631528,0.0021797060180176638,0.0011408558077843974,0.001837951010607828,0.0018850559087773722,0.0014322997760758559,0.0012957694952717795,0.0003388588841939075,0.000758915683692342,0.0004278057939882473,0.00043145366242432903,0.0004496654386892589,0.0003382982534443486,0.00030366791528296344,8.995906294366899e-05,0.00017510782348044063,8.900183044417915e-05,4.931160926664136e-05,4.596574911248296e-05,1.0199287169716336e-05,8.59409488983957e-06,0.22848544930162062
27.25,0.004460641359897933,0.006409335397955,0.00756694833773305,0.008918706573296227,0.0030873784672629384,0.0033584012576665144,0.0018490212077097773,0.007561379802911679,0.00704193844984162,0.0009373610497766569,0.002166338154093345,0.0011295983980330754,0.0018355099555870172,0.0018811836812091844,0.001418296061642888,0.0012827368409362365,0.00033647680620927045,0.0007551225495988268,0.00042355050658731655,0.0004312733991809088,0.0004491776941992245,0.00033513480166852947,0.000300732324271144,8.920381575335829e-05,0.00017430112782809576,8.812129529637574e-05,4.929862960004022e-05,4.592492787681438e-05,1.0110882586183374e-05,8.554861945711815e-06,0.2275553193677663
27.3,0.0044589084060055375,0.006385570400476427,0.007560991832784992,0.008904880703388804,0.0030867744088732573,0.0033325687651185295,0.0018382561183774553,0.007528727939377349,0.0070082794503669825,0.0009346242154998677,0.0021529942075101402,0.0011184548440299619,0.001833031444030041,0.0018772756345452146,0.001404430974302092,0.0012698369450411975,0.00033415007533714794,0.0007513202931655144,0.0004193313032613487,0.00043108475891409415,0.00044867885613567146,0.0003320000853714224,0.00029782445582012175,8.846503914690244e-05,0.0001734910616601583,8.724779935847847e-05,4.9284807696325476e-05,4.5882972447873005e-05,1.002439459972066e-05,8.515521431088947e-06,0.22663005964142904
27.35,0.004457173324284015,0.00636186190500726,0.007555021544381819,0.008891040992671304,0.0030861390136369495,0.0033069314605768184,0.0018276571644900235,0.007496168897243355,0.006974735548809491,0.0009319717119877575,0.002139675121509633,0.0011074246690206987,0.0018305156955351735,0.0018733322029835262,0.0013907031685115767,0.0012570684766807854,0.0003318778319285855,0.000747509414012771,0.00041514818162861797,0.00043088765004227134,0.0004481689516451014,0.00032889387433202385,0.0002949440741293595,8.774249524936409e-05,0.00017267774856773147,8.638135339705786e-05,4.927012607354125e-05,4.5839878207021304e-05,9.939785115224951e-06,8.476098036955708e-06,0.2257096398843746
27.400000000000002,0.004455436119624286,0.006338209997067435,0.0075490375218193965,0.008877187625200338,0.003085471714583707,0.00328148852715007,0.0018172225487656174,0.007463702948925772,0.00694130688910909,0.0009294018223765721,0.002126381824161104,0.001096507385874917,0.0018279629368644886,0.0018693538233989415,0.001377111310759089,0.0012444301173840922,0.0003296592219562812,0.0007436904074246466,0.00041100113236654576,0.00043068198665950695,0.0004476480115363389,0.00032581593939771334,0.00029209094473358477,8.70359473660589e-05,0.00017186131139403394,8.552196655455933e-05,4.925456797793607e-05,4.5795640716926256e-05,9.857016238993945e-06,8.436590043487746e-06,0.2247940300355774
27.450000000000003,0.0044536967969191635,0.006314614760491068,0.00754303981460485,0.008863320784894478,0.0030847719604888443,0.003256239143888313,0.0018069504841001674,0.007431330359891418,0.006907993607826725,0.0009269128478094046,0.00211311522840488,0.001085702497390934,0.0018253734016963612,0.0018653409351474973,0.0013636540794802006,0.001231920561022412,0.00032749339712887524,0.0007398637642692001,0.0004068901393598029,0.00043046768840134615,0.00044711607016482535,0.0003227660524994673,0.0002892648345124436,8.634516002702695e-05,0.00017104187220352493,8.46696463809712e-05,4.9238117630196604e-05,4.575025707596459e-05,9.776053565242164e-06,8.396971719337977e-06,0.22388320022774974
27.5,0.004451955361063318,0.006291076277433205,0.0075370284724543875,0.00884944065552724,0.003084039215694355,0.003231182485902492,0.0017968391936267574,0.007399051388708655,0.006874795834214225,0.0009245031074562332,0.0020998762320992947,0.001075009496596379,0.0018227473303828068,0.001861293979875626,0.0013503301649764254,0.0012195385137165886,0.0003253795150002584,0.0007360299709229511,0.0004028151798470433,0.00043024468031278965,0.00044657316531922713,0.0003197439866664152,0.00028646551169957124,8.566989902982622e-05,0.0001702195522523246,8.382439886517228e-05,4.922076043211482e-05,4.570372699711634e-05,9.69686844360613e-06,8.357202843103879e-06,0.22297712080716692
27.55,0.004450211816953252,0.0062675946283765925,0.00753100354529112,0.008835547420720099,0.003083272959930553,0.0032063177244829465,0.0017868869107725185,0.007366866287098326,0.006841713690284106,0.0009221709385285563,0.0020866657180711417,0.001064427867044747,0.001820084969711587,0.0018572134013339855,0.00133713826933328,0.0012072826937444918,0.00032331673907400076,0.000732189509199354,0.00039877622456624325,0.0004300128927184287,0.0004460193381103264,0.00031674951603974773,0.0002836927458910897,8.500993148068127e-05,0.0001693944719599013,8.298622846604758e-05,4.920248305923523e-05,4.565605326704512e-05,9.619438563172622e-06,8.317242419306614e-06,0.22207576235016643
27.6,0.004448466169487274,0.006244169892138489,0.0075249650832428915,0.008821641263935571,0.0030824726881383178,0.003181644027216814,0.001777091879313099,0.00733477529998485,0.006808747290879326,0.0009199146962887605,0.002073484554169527,0.001053957083107894,0.0018173865726730234,0.0018530996451958626,0.0013240771063383215,0.0011951518314486488,0.00032130423890300313,0.000728342856281201,0.00039477323789862903,0.00042977226109471874,0.000445454632862162,0.0003137824158859944,0.00028094630805354666,8.436502583402015e-05,0.00016856675088199754,8.215513814345521e-05,4.9183273396523234e-05,4.5607241421087845e-05,9.543746697502808e-06,8.27706251772816e-06,0.2211790956707825
27.650000000000002,0.004446718423565466,0.006220802145877491,0.007518913136640101,0.008807722368470343,0.0030816379102919594,0.0031571605581043214,0.0017674523534247325,0.007302778665547428,0.006775896743742931,0.0009177327540543463,0.002060333593322984,0.0010435966102644706,0.001814652398231446,0.0018489531588800647,0.001311145401399162,0.001183144669144033,0.00031934119018446817,0.0007244904846568504,0.00039080617801116527,0.0004295227259443697,0.000444879097005389,0.0003108424626096818,0.0002782259705313072,8.373495193043077e-05,0.00016773650768476305,8.133112938909813e-05,4.91631203209814e-05,4.555729870344576e-05,9.469778000996057e-06,8.236658215580531e-06,0.22028709181670686
27.700000000000003,0.004444968584089661,0.006197491465100385,0.007512847756013527,0.008793790917448446,0.0030807681512227325,0.003132866477673995,0.0017579665977339456,0.007270876615271368,0.006743162149587613,0.0009156235031971461,0.0020472136735997628,0.0010333459053843053,0.0018118827111012193,0.001844774391378229,0.001298341891461491,0.0011712599610260352,0.00031742677485029183,0.0007206328620601884,0.0003868749969975898,0.00042926423267283337,0.0004442927809728241,0.0003079294337653963,0.00027553150705341984,8.311948103306848e-05,0.00016690386012006562,8.051420225731065e-05,4.91420133834042e-05,4.5506232599631946e-05,9.397516667408999e-06,8.19605079171583e-06,0.21939972205427663
27.75,0.004443216655963409,0.006174237923669033,0.0075067689920921615,0.00877984709381449,0.0030798629504430112,0.0031087609430967703,0.0017486328873649367,0.007239069373999525,0.006710543602165172,0.0009135853531376569,0.0020341256182711777,0.0010232044170087478,0.0018090777815272753,0.0018405637930864727,0.001285665324927117,0.0011594964730786293,0.0003155601811529723,0.0007167704514142288,0.0003829796410179757,0.00042899673146686555,0.0004436957380971468,0.00030504310806926877,0.0002728626927399778,8.251838586254558e-05,0.00016606892500194885,7.97043553957202e-05,4.911994247594507e-05,4.545404936396518e-05,9.326942934601003e-06,8.155283257599245e-06,0.21851695784642627
27.8,0.004441462644091955,0.006151041593807266,0.007500676895801026,0.00876589108032693,0.0030789218619711465,0.0030848431082989985,0.0017394495079846553,0.007207357159983831,0.006678041188335847,0.0009116167313346146,0.0020210702358779116,0.0010131715856269772,0.0018062378850700932,0.001836321815641303,0.0012731144615720441,0.0011478529829827427,0.00031374060374713173,0.0007129037107782561,0.0003791200504368025,0.00042872017717514283,0.00044308802451072267,0.00030218326540990296,0.00027021930410799707,8.19314406303327e-05,0.0001652318181842073,7.890158607570311e-05,4.9096897581431075e-05,4.540075297580098e-05,9.258031300856721e-06,8.114409543030726e-06,0.21763877082963637
27.85,0.004439706553382208,0.006127902546107824,0.00749457151825901,0.008751923059551416,0.0030779444541570236,0.003061112124074375,0.0017304147558456229,0.00717574018493693,0.006645654988137547,0.0009097160832699354,0.0020080483202991792,0.0010032468439482981,0.0018033633023950624,0.001832048911759722,0.0012606880724646075,0.0011363282800248573,0.0003119672437667494,0.0007090330932984253,0.00037529615995952556,0.00042843452919091174,0.00044246969904751976,0.00029934968685876834,0.00026760111907683716,8.135842107070324e-05,0.00016439265453905162,7.810589022253363e-05,4.907286868055443e-05,4.5346344839871626e-05,9.190750450853923e-06,8.073480554587035e-06,0.2167651327962905
27.900000000000002,0.004437948388742711,0.006104820849539299,0.007488452910776693,0.008737943213854158,0.003076930309508339,0.003037567138194752,0.0017215269378265173,0.007144218654083874,0.006613385074854932,0.0009078818724291424,0.001995060650824639,0.0009934296171704225,0.0018004543190661625,0.0018277455350834452,0.001248384939883671,0.0011249211650058374,0.00031023930889819687,0.0007051590471617229,0.00037150789876762486,0.00042813975133664873,0.0004418408231470848,0.0002965421546800702,0.0002650079169731804,8.079910447124984e-05,0.00016355154793683632,7.731726244512995e-05,4.904784584928024e-05,4.5290824333747254e-05,9.125064888387173e-06,8.03253122074635e-06,0.2158960156872938
27.950000000000003,0.004436188155083619,0.00608179657145311,0.007482321124854181,0.008723951725395368,0.0030758790245176124,0.0030142072955198647,0.0017127843714705615,0.007112792766213899,0.006581231515088366,0.0009061125802773998,0.0019821079922289625,0.0009837193232437634,0.0017975112253439014,0.0018234121400271639,0.0012362038572369118,0.0011136304501500119,0.00030855601344917117,0.0007012820155532048,0.00036775519065212467,0.0004278358117507098,0.00044120146076055,0.00029376045234011275,0.0002624394785355877,8.025326970200405e-05,0.00016270861122682622,7.653569606533823e-05,4.902181952345216e-05,4.5234190060884756e-05,9.060937787242328e-06,7.991572234549786e-06,0.2150313915967462
28.0,0.004434425857316666,0.006058829777590503,0.007476176212178932,0.008709948776122743,0.003074790209489953,0.0029910317381059565,0.0017041853850217465,0.00708146271373227,0.0065491943688227115,0.0009044067062312727,0.001969191094848966,0.0009741153731317514,0.001794534315987448,0.001819049181630781,0.001224143628979204,0.0011024549590145163,0.0003069165784136177,0.0006974024366164231,0.00036403795414557136,0.00042752268277594695,0.00044055167825863867,0.0002910043645161631,0.00025989558591864054,7.972069724318891e-05,0.0001618639562189778,7.576118314674908e-05,4.899478085671553e-05,4.5176441460953563e-05,8.998334238520271e-06,7.950588739255423e-06,0.21417123278688496
28.05,0.004432661500355139,0.006035920532089558,0.007470018224623593,0.008695934547764997,0.0030736634883715926,0.0029680396053133034,0.001695728317458916,0.007050228682712157,0.0065172736894959695,0.000902762767626328,0.001956310694663199,0.0009646171710671874,0.0017915238900608956,0.0018146571154155455,0.0012122030705311105,0.0010913935263989055,0.00030532023153273286,0.0006935207434169555,0.0003603561026524585,0.0004272003408502705,0.00043989154434163967,0.00028827367710482216,0.00025737602269667486,7.920116921163497e-05,0.00016101769366671224,7.49937145231033e-05,4.8966722066697075e-05,4.511758031970837e-05,8.937223979354916e-06,7.909546183084093e-06,0.21331551170852736
28.1,0.004430895089113852,0.006013068897492243,0.007463847214243835,0.008681909221825455,0.0030724984985792065,0.0029452300339126575,0.001687411518527757,0.007019090852946591,0.006485469524067767,0.0009011792996806939,0.0019434675133739173,0.0009552241148046598,0.0017884802507436013,0.001810236397244022,0.0012003810081975103,0.0010804449982550588,0.0003037662073521388,0.0006896373639089572,0.0003567095445780939,0.0004268687663991346,0.00043922112995132103,0.00028556817722991053,0.00025488057386711304,7.86944693858901e-05,0.00016016993325065822,7.423327982639551e-05,4.89376366628422e-05,4.505761174105198e-05,8.877582851064956e-06,7.868401559470186e-06,0.2124642010206747
28.150000000000002,0.004429126628509115,0.0059902749347514606,0.007457663233276187,0.008667872979575686,0.0030712948908300348,0.002922602158190577,0.001679233348770713,0.006988049398000423,0.006453781913087656,0.0008996548554546875,0.0019306622584913252,0.0009459355958690307,0.001785403705144533,0.0018057874831838181,0.0011886762790863574,0.001069608231597373,0.0003022537472753164,0.0006857527209046478,0.00035309818345589597,0.0004265279437299237,0.0004385405081847516,0.00028288765324987136,0.00025240902585339455,7.820038323005277e-05,0.0001593207835633396,7.347986751480633e-05,4.890751947900364e-05,4.49965442890934e-05,8.819392601512565e-06,7.82711682599968e-06,0.211617273603238
28.200000000000003,0.004427356123458707,0.005967538703238136,0.0074514663341358756,0.008653826002049196,0.003070052328972819,0.00290015511005367,0.0016711921795548625,0.006957104485262327,0.006422210890763236,0.0008981880058066253,0.0019178956234200165,0.0009367509998000219,0.0017822945641205684,0.0018013108293750088,0.0011770877310275964,0.001058882094413268,0.00030078209961338604,0.0006818672320466567,0.0003495219180731166,0.0004261778609282186,0.0004378497542100023,0.0002802318947647008,0.00024996116650751295,7.77186979163586e-05,0.00015847035209478415,7.273346490058302e-05,4.887636648718041e-05,4.493438923752158e-05,8.762639111505748e-06,7.785670829823882e-06,0.21077470255890582
28.25,0.0044255835788818525,0.005944860260748314,0.007445256569414663,0.008639768470035171,0.0030687704898195705,0.002877888019131747,0.0016632863930977895,0.006926256275996826,0.006390756485028096,0.0008967773393449239,0.0019051682875475193,0.0009276697063929168,0.0017791531420986877,0.0017968068919011842,0.0011656142224922437,0.0010482654655740093,0.0002993505196313227,0.0006779813097831458,0.0003459806425949837,0.0004258185097559191,0.0004371489451836966,0.00027760069262241545,0.00024753678511216774,7.724920234654943e-05,0.00015761874521902738,7.199405817793739e-05,4.884417443094104e-05,4.4871159114013934e-05,8.707309558539287e-06,7.744066547393422e-06,0.2099364612032658
