Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(1),J_total_Bi_relativistic
57.5,0.003334022122529767,0.0007108068094777892,0.0012752035963663013,0.0007784990006576543,0.00016095030887470455,0.0003944807092321117,0.0002661620058334988,4.3877737200399386e-05,3.2568864096462755e-05,4.1434761535423273e-05,0.00010594603836022785,7.19724622189014e-05,1.3149426122719373e-05,9.75073697516751e-06,1.8729862362475877e-07,1.487676679405346e-07,9.07285501041313e-06,2.1276797690452877e-05,1.4025957121978126e-05,1.7763526981380022e-06,1.282203997011684e-06,1.1282698390960576e-06,1.5869967368576992e-06,7.925689189457103e-07,0.017134387631135516
57.550000000000004,0.0033295259961466806,0.000710417019027833,0.0012710786369522769,0.0007754491145146792,0.00016092606285627662,0.00039321935685226144,0.00026510367531336446,4.3613542408381276e-05,3.236209524532882e-05,4.1432101159498454e-05,0.00010561007128416111,7.168568317181728e-05,1.3069573293580668e-05,9.688296659207002e-06,1.8576052322215134e-07,1.4751068713582293e-07,9.072431596856746e-06,2.120951528737998e-05,1.3970106861291517e-05,1.765587209770035e-06,1.274019040506514e-06,1.1282254638424073e-06,1.581982630535676e-06,7.894317549831371e-07,0.0170920624756684
57.6,0.0033250347710053903,0.000710025180574793,0.0012669679007401243,0.0007724118566355896,0.00016090130207041672,0.0003919619965413305,0.0002640496624303446,4.335108561763614e-05,3.2156747502904784e-05,4.1429336259923104e-05,0.00010527512509922705,7.14000637083166e-05,1.2990249634468637e-05,9.626288922081798e-06,1.8423611181643384e-07,1.4626516181439576e-07,9.071987890426984e-06,2.114243628347289e-05,1.3914484873688385e-05,1.7548805062418638e-06,1.2658789453679805e-06,1.1281775944673791e-06,1.5769849447790045e-06,7.863116023710565e-07,0.017049874873423753
57.650000000000006,0.00332054844742526,0.0007096313012677106,0.001262871339048124,0.000769387174005971,0.00016087602397817522,0.0003907086185487356,0.0002629999506274624,4.309035452183621e-05,3.195281041869943e-05,4.1426465407131e-05,0.00010494119779669731,7.111559956806921e-05,1.2911451377684694e-05,9.564710561752961e-06,1.8272525229267577e-07,1.4503097373597634e-07,9.07152353446447e-06,2.1075559407014195e-05,1.3859088700285543e-05,1.7442313407172528e-06,1.2577825932726012e-06,1.128126033030711e-06,1.5720030692221327e-06,7.832068944633707e-07,0.01700782423923969
57.7,0.003316067025699572,0.0007092353883029598,0.0012587889033385236,0.0007663750138224717,0.00016085022611680476,0.00038945921311335063,0.00026195452339316345,4.283133690727746e-05,3.1750273623610185e-05,4.1423487201660735e-05,0.00010460828735886442,7.083228649976036e-05,1.2833174783921237e-05,9.503558401166769e-06,1.8122780894977548e-07,1.4380800588878021e-07,9.071038174113915e-06,2.10088833649561e-05,1.3803915837598995e-05,1.733638881773363e-06,1.2497292546095714e-06,1.1280706076596367e-06,1.5670359875388089e-06,7.801154920496044e-07,0.01696590999310505
57.75,0.003311590506095618,0.0007088374489233022,0.0012547205452173578,0.0007633753234921296,0.00016082390609881944,0.0003882137704639601,0.0002609133642614207,4.257402065214667e-05,3.154912682925798e-05,4.142040027379852e-05,0.0001042763917592189,7.055012026115926e-05,1.275541614204418e-05,9.442829288057714e-06,1.7974364766855253e-07,1.4259614266778913e-07,9.070531455717883e-06,2.0942406870352975e-05,1.3748963787762502e-05,1.7231027206518892e-06,1.241718595172656e-06,1.1280111764133056e-06,1.5620825696532509e-06,7.770351224579653e-07,0.016924131561502423
57.800000000000004,0.0033071188888547974,0.0007084374904169513,0.0012506662164342714,0.000760388050631704,0.0001607970616110633,0.00038697228081970936,0.00025987645681183763,4.2318393725794843e-05,3.134935982732804e-05,4.14172032832244e-05,0.00010394550896262506,7.026909661918687e-05,1.2678171768878697e-05,9.382520094755179e-06,1.7827263607330967e-07,1.4139527004641661e-07,9.070003026393204e-06,2.0876128669719347e-05,1.3694230108736796e-05,1.7126228663587228e-06,1.2337506717223915e-06,1.1279476322685431e-06,1.557141887132213e-06,7.739638290431831e-07,0.016882488378694986
57.85,0.003302652174192715,0.0007080355201166469,0.0012466258688823403,0.0007574131430670072,0.00016076969041378748,0.00038573473439054994,0.0002588437846697475,4.20644441880166e-05,3.1150962488916324e-05,4.1413894918661886e-05,0.00010361563692549506,6.998921134998261e-05,1.2601438008997836e-05,9.322627717993405e-06,1.7681464368162783e-07,1.4020527573608184e-07,9.069452533809034e-06,2.081004756950007e-05,1.3639712463021947e-05,1.70219972877963e-06,1.2258259165466558e-06,1.1278799092864582e-06,1.5522134638429074e-06,7.709002920887682e-07,0.016840979887636293
57.900000000000006,0.0032981903622992725,0.0007076315453987378,0.0012425994545978837,0.000754450548832233,0.0001607417903397365,0.000384501121377678,0.0002578153315063078,4.181216018833514e-05,3.095392476388111e-05,4.141047389753092e-05,0.00010328677359596073,6.971046023896958e-05,1.2525211234513625e-05,9.263149078724359e-06,1.7536954203750593e-07,1.3902604932856994e-07,9.068879626179413e-06,2.0744162460864616e-05,1.358540866343353e-05,1.691834090256676e-06,1.2179451113489571e-06,1.1278079893661148e-06,1.5472974019250637e-06,7.678439590141693e-07,0.01679960554031606
57.95,0.0032937334533387694,0.0007072255736822755,0.001238586925760283,0.0007515002161692904,0.00016071335929324312,0.00038327143197397067,0.00025679108103859335,4.156152996529363e-05,3.075823668020066e-05,4.140693896560426e-05,0.0001029589169140445,6.943283908091927e-05,1.2449487844870663e-05,9.20408112193331e-06,1.7393720482345814e-07,1.3785748241657627e-07,9.068283952476394e-06,2.067847234208629e-05,1.3531316714593207e-05,1.6815270663676045e-06,1.2101093510331692e-06,1.1277319083807705e-06,1.5423943629203755e-06,7.647950017017149e-07,0.016758364797516807
