Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(1),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_5d3/2(1),J_6s1/2(2),J_total_Ce_relativistic
1.55,0.013723467971424395,0.04794135394082444,0.024242227362894938,0.025714101995887497,0.09702169579199932,0.06569712468880153,0.06833283985924583,0.045240306709834206,0.04585287849529845,0.11956157431377065,0.1366365229697979,0.13996288484813854,0.12296496236063544,0.12434771128948555,0.12434771128948555,0.04530282493166859,0.07146618641076122,0.06195619950985374,0.045852814214293686,0.007344443219248726,4.310606078969737
1.6,0.013721650911142537,0.047867150964057546,0.024241865418397745,0.025713637635242894,0.09612326182457302,0.06565570888230245,0.06828277814993117,0.045239252115954455,0.04585173701548314,0.1144403009543228,0.1349252066224145,0.13797506356434186,0.12241217423977327,0.12375605319483891,0.12375605319483891,0.044317829820066,0.06306386849381562,0.05431053444023055,0.0399699808999007,0.00636536322714331,4.222110056471184
1.6500000000000001,0.013719776518142721,0.047790725516681405,0.024241468488405638,0.025713128452405483,0.09520557817851302,0.06561059148180512,0.06822827654068055,0.045238030891229394,0.04585041543825314,0.10941716193259264,0.13312106811892965,0.13588622403550438,0.12180200537213101,0.1231038325659942,0.1231038325659942,0.04371441480686617,0.05561893790927214,0.047659341166144016,0.034792644445524795,0.0056166806486238905,4.140320364255916
1.7000000000000002,0.013717844825308717,0.047712089807444215,0.02424103444382643,0.025712571729935078,0.09426941224070756,0.06556159288366359,0.06816912492422497,0.0452366237583804,0.04584889298605303,0.10450315424974928,0.13122653931199513,0.13370000987660088,0.1211324535496648,0.12238907992066778,0.12238907992066778,0.043384984721329185,0.04907589220631331,0.04192583849897128,0.030251723089790225,0.005058193475480897,4.064481024088139
1.75,0.013715855866522063,0.04763125637883178,0.024240561101160737,0.02571196468223644,0.09331554057031266,0.06550853405682938,0.06810511455075424,0.0452350100508411,0.04584714739437697,0.09970827953769891,0.1292445450538622,0.13142061794078053,0.12040182125810191,0.12161015993527335,0.12161015993527335,0.0432368079337831,0.04337326527147746,0.03703018389187066,0.026283027688241013,0.004653682767561091,3.993858949895921
1.8,0.013713809676660802,0.047548238103397616,0.024240046223466045,0.025711304456896098,0.09234474783068744,0.06545123696124168,0.06803603855060096,0.04523316768640321,0.04584515488516295,0.09504153466405241,0.127178473988758,0.12905275519671633,0.11960873363788545,0.12076578863657521,0.12076578863657521,0.043191516468779036,0.03844581752140872,0.0328916643545732,0.022827170437735186,0.0043711383450765725,3.9277563319107007
1.85,0.013711706291598173,0.047463048180004026,0.024239487521342962,0.02571058813604912,0.09135782572172167,0.06538952496124716,0.06796169244864497,0.045231073145296244,0.045842890145075234,0.09051090986431012,0.12503214600315551,0.12660159217686234,0.11875215195351024,0.11985504566412085,0.11985504566412085,0.043184316943302305,0.03422642605895969,0.029430494368215744,0.019829425062174267,0.004182758770039218,3.8655197231306437
1.9000000000000001,0.013709545748201268,0.04737570012997585,0.024238882653943132,0.025709812737775072,0.09035557191460944,0.0653232232330334,0.0678818746691055,0.04522870145287707,0.04584032630885846,0.08612339399053603,0.12280977686415358,0.12407271373230333,0.11783138257614373,0.1188773816558381,0.1188773816558381,0.04316299492198671,0.03064767924629597,0.026569249479967277,0.017239551335004013,0.004064795594471662,3.806546272972043
1.9500000000000002,0.01370732808432965,0.047286207793168555,0.02423822922999825,0.02570897521752232,0.08933878899108644,0.06525215916509193,0.06779638702943919,0.04522602616708135,0.04583743494792011,0.08188498642078275,0.12051594057831813,0.12147206781631024,0.11684608157046356,0.11783262090049748,0.11783262090049748,0.04308678418598807,0.02764318957662092,0.02423397050712241,0.015011594011947888,0.0039972953330471095,3.75028753952819
2.0,0.01370505333883394,0.047194585323952556,0.024237524808869593,0.0257080724695598,0.08830828338910687,0.06517616275076127,0.06770503522211589,0.04522301937076456,0.045834186064271115,0.07780071513688877,0.11815552999756142,0.11880591299500759,0.11579625505239,0.11672095947980339,0.11672095947980339,0.042925161209153885,0.025148645163100357,0.02235497641249716,0.013103664177726264,0.003963779457589927,3.6962512870411226
