Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(2),J_7p3/2(1),J_total_Mc_relativistic
1.4000000000000001,0.004763484185583822,0.0182641482637075,0.00834435379459224,0.011744386923225878,0.040390569222840136,0.023390128476710577,0.02870150939959569,0.018237788589244495,0.019262000992532217,0.07329451634465313,0.04849233301565595,0.05770229961984738,0.04180167225447408,0.0436051498192224,0.03231712979945898,0.032977037448593996,0.11396289118768621,0.09291186305026078,0.10976896541296893,0.08914014592118237,0.09324449576298029,0.08570614534287292,0.08777683844047156,0.11431367332438676,0.16320710890932755,0.1643419541495001,0.1812436391978495,0.17754070183293919,0.050004186025225765,0.02306415990275194,0.009009199931157565,8.044630225622036
1.4500000000000002,0.0047633871685065065,0.018260319868623674,0.008344351720871656,0.011744379692139428,0.04034315231847154,0.02338992612801433,0.028700958373526892,0.018237787497792007,0.019261999491768742,0.07294049016017908,0.04848451560482215,0.0576837268891234,0.04180139853680102,0.04360478808481946,0.03231712551618279,0.032977032431730786,0.11196770015379633,0.09271262951839737,0.10931522308983245,0.08909586878445179,0.0931852995638349,0.08568652430405595,0.08775281395003715,0.10708285654751992,0.15893388479086112,0.15640570100452808,0.17432991893429345,0.16925938033703913,0.04980020362798904,0.0205035566001132,0.008998299721876662,7.899041574188513
1.5,0.004763286750581293,0.0182563581043688,0.008344349436856018,0.011744371675792611,0.04029413360163573,0.023389701952219788,0.02870034817268495,0.018237786202883865,0.019261997711431375,0.07257593889438761,0.04847588016277653,0.05766324344237113,0.04180107510949764,0.04360436083936337,0.032317120104420914,0.03297702609464939,0.1099423575773369,0.09249493185761934,0.10882264444816928,0.0890445065240629,0.09311678779441278,0.08566279631932,0.08772384262908664,0.10020528413746449,0.1544964445001081,0.14844975701924912,0.16728161242812273,0.1609610410957848,0.049382002945306765,0.01863539903063642,0.00896029344320276,7.7536053844154225
1.55,0.004763182932145272,0.01825226307001601,0.008344346928377072,0.01174436281955032,0.04024351939324338,0.02338945445671335,0.0286996747971852,0.01823778467543754,0.019261995611604413,0.0722010484824008,0.04846637513758916,0.05764073456528637,0.04180069519655462,0.04360385919894654,0.032317113322987506,0.03297701815569717,0.10789019906322307,0.09225799410131574,0.10829011933164337,0.08898530943672386,0.09303801038530864,0.08563436364647198,0.08768922558246918,0.093694221977292,0.1499132362305543,0.14052290981924018,0.16014263334089204,0.15269534115914526,0.04871183091442253,0.017312237600275882,0.0088832222740253,7.608653988631333
1.6,0.004763075713546935,0.018248034867948324,0.008344344180796309,0.01174435306698478,0.040191316213941064,0.023389182103461657,0.028698934131832842,0.01823778288340511,0.019261993148312295,0.0718160094762282,0.04845594799217065,0.0576160841308108,0.04180025139860523,0.04360327347191506,0.032317104890643995,0.03297700828659281,0.10581455591492246,0.09200107237015934,0.10771666311218174,0.08891749667048406,0.09294798452044799,0.08560058561032637,0.08764821811157741,0.08755911693398573,0.14520377540460297,0.13267148652790436,0.15295544258614144,0.14450797447286318,0.04777629825293658,0.016409761861661744,0.00876145837083463,7.464575726849375
1.6500000000000001,0.0047629650951461705,0.01824367360385379,0.008344341179005956,0.011744342359881442,0.040137530782688884,0.02338888330951604,0.028698121948076517,0.01823778079158768,0.019261990273267256,0.07142101688954376,0.048444545272894164,0.05758917481176654,0.041799735664841554,0.04360259312408768,0.03231709448133302,0.03297699610691187,0.10371874679567449,0.09172345838734616,0.10710142320114661,0.08884025958205231,0.09284569972894328,0.08556078114702965,0.08760003335455464,0.08180576466740909,0.14038837939460855,0.12493880054221583,0.14576051108302224,0.1364403940696117,0.04658044109626628,0.015824173536355485,0.008593802643201117,7.321789795239549
1.7000000000000002,0.00476285107731426,0.01823917938672052,0.008344337907430017,0.011744330638245043,0.040082170015296494,0.023388556447531416,0.028697233906014023,0.01823777836144568,0.019261986933611645,0.07101627003946083,0.04843211267928907,0.05755988829518178,0.0417991392656455,0.0436018067451114,0.03231708171908386,0.032976981178198916,0.1016060695779378,0.09142448280903527,0.10644368466695646,0.08875276544779685,0.09273012339034592,0.08551423197256938,0.08754384661684712,0.07643650792583262,0.13548790439951222,0.1173647069238636,0.13859589403309028,0.12852966091461776,0.04514267086395357,0.015469688011748733,0.008382081118636121,7.180725341966126
1.75,0.004762733660433879,0.018234552328831557,0.00834433435002532,0.011744317840305864,0.040025241022917935,0.023388199846299352,0.028696265556449062,0.018237775550905232,0.01926198307165512,0.07060197238548416,0.04841859513470728,0.05752810549789181,0.04179845276604824,0.04360090201610661,0.032317066172589386,0.03297696299770747,0.09947979340695663,0.09110351835641696,0.10574287493979387,0.08865416149462539,0.09260020659709209,0.08546018633043015,0.08747880032374496,0.07145046023599058,0.13052348892374177,0.10998526442780016,0.13149690856231322,0.12080839922206285,0.04349056658189874,0.015276209090759269,0.008130109153899629,7.041804513378594
1.8,0.00476261284489909,0.018229792545759564,0.008344330490282617,0.011744303902526171,0.03996675111050578,0.02338781179129513,0.028695212342997874,0.018237772314160773,0.019261978624607025,0.07017833136582054,0.048403936857862484,0.05749370678300067,0.04179766600012942,0.04359986567875023,0.032317047349456327,0.032976940991771134,0.09734315100288489,0.09075998273716253,0.1049985675914817,0.08854357921355518,0.09245489031422562,0.08539786326299403,0.08740400951593577,0.06684374993129227,0.12551630777297268,0.10283249956685549,0.12449590510102417,0.11330483950712568,0.04165743953118979,0.015187198972254254,0.007842928455898238,6.905429086111796
1.85,0.004762488631115341,0.01822490015636139,0.008344326311227702,0.011744288759606834,0.03990670777522507,0.02338739052523861,0.02869406960424465,0.018237768601474087,0.019261973524304213,0.0697455582312311,0.04838808143514169,0.05745657217678956,0.04179676804646435,0.04359868350594085,0.03231702469013273,0.03297691450881163,0.09519933122437074,0.09039334134537637,0.1042104851859049,0.08842013891596771,0.09229311177371657,0.08532645734275547,0.08731856780099702,0.06260977958599502,0.12048733991590868,0.09593426604314255,0.11762212212737101,0.10604293238169965,0.03967958758014397,0.015157750453572027,0.007526247516700287,6.771970289492144
1.9000000000000001,0.004762361019499464,0.018219875282772472,0.008344321795422572,0.011744272344494123,0.039845118704827584,0.02338693424866864,0.028692832575944516,0.01823776435896999,0.01926196769693458,0.06930386787661064,0.04837097189358802,0.057416581585660736,0.04179574720472437,0.04359734027418437,0.03231699756151833,0.03297688281199181,0.09305147191489296,0.0900031097305706,0.10337850120243965,0.0882829544903189,0.09211381103888001,0.08524514379281878,0.08722155366818307,0.05873949612408553,0.11545715298100327,0.08931419133881388,0.11090161369996358,0.09904251796503401,0.037594152287890904,0.015152858781455865,0.007186034514870244,6.641761416820385
1.9500000000000002,0.004762230010479669,0.01821471805040108,0.008344316924966604,0.011744254588386691,0.03978199177598689,0.023386441120530836,0.028691496393272908,0.018237759528428783,0.019261961062756607,0.06885347867048021,0.048352550774453155,0.05737361501270871,0.041794590973531984,0.04359581973783291,0.032316965250265686,0.032976845071524,0.09090265305146605,0.08958885582760502,0.10250264104166702,0.08813113831544903,0.09191593767351793,0.08515308392148438,0.08711203707074945,0.05522166713707937,0.11044570657853554,0.0829917012086436,0.10435723940529525,0.0923195376472533,0.03543749310792166,0.01514588472143695,0.006828225034158154,6.515092835303233
2.0,0.004762095604495543,0.018209428587922415,0.008344311681497778,0.011744235420742741,0.03971733505259479,0.02338590925877848,0.028690056093120125,0.018237754047075765,0.01926195353581518,0.0683946122825811,0.04833276020721773,0.05732755277351468,0.04179328602966849,0.04359410460530367,0.032316926955781755,0.032976800356646394,0.08875589021360412,0.08915020194096901,0.10158308212914054,0.0879638062856046,0.0916984574504288,0.08504943079296397,0.08698908617925542,0.052043159262611854,0.10547217607590433,0.07698211220250384,0.0980087068242602,0.0858862767377369,0.03324399774081473,0.015117197051984575,0.006458516575977889,6.39220902647585
2.0500000000000003,0.004761957801998044,0.018204007027272553,0.008344306046193925,0.01174421476928736,0.03965115678401964,0.0233853367409863,0.02868850661642981,0.018237747847367907,0.019261945023653988,0.06792749350975863,0.04831154198397781,0.05727827571076527,0.04179181820872753,0.04359217651739766,0.03231688178294174,0.0329767476272826,0.08661412838866465,0.08868682647821896,0.10062015313910028,0.08778008290183408,0.09146035903480806,0.0849333350552984,0.08685177421060164,0.049189214833485734,0.10055479791925119,0.07129678210860002,0.09187265728399968,0.07975162820403495,0.03104525442549609,0.015052980979693929,0.006082228839625164,6.27330731743399
2.1,0.004761816603449502,0.01819845350364225,0.008344299999774,0.011744192560020036,0.03958346540332711,0.023384721604976923,0.028686842810580086,0.01823774085677795,0.019261935427024802,0.06745235010032516,0.048288837634095784,0.05722566540730233,0.04179017248730366,0.04359001602783114,0.03231682873452887,0.032976685725401654,0.08448023612789457,0.08819846542881413,0.09961433236573877,0.08757910638453248,0.09120066057974367,0.08480395084724794,0.0866991862407551,0.04664372339321974,0.09571073709698419,0.06594330828758949,0.08596278643307124,0.07392136923473498,0.028869519693279454,0.01494419833848293,0.0057042138667246405,6.1585379949308425
2.15,0.004761672009323609,0.018192768155470565,0.008344293522499397,0.011744168717222355,0.03951426952546395,0.023384061849459757,0.0286850594318061,0.018237732997576115,0.01926192463959389,0.06696941257709214,0.048264588499014174,0.05716960439721747,0.04178833296680014,0.043587602586085364,0.032316766703415815,0.03297661336609801,0.08235700006568099,0.08768491358600673,0.0985662452748901,0.08736003376255674,0.09091841617342894,0.08466044170811352,0.08653042591392768,0.04438948507831646,0.09095597688753615,0.0609257642034541,0.08028999200481185,0.06839844373291651,0.026741423140098877,0.014785685482854366,0.005328803932180039,6.048005527216685
