Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(1),J_total_Cs_relativistic
0.7000000000000001,0.014627457925452678,0.052061512586292207,0.02590115404074035,0.027300751997362878,0.11652879730558605,0.07118212463868503,0.07381803574228676,0.04885850997417966,0.04945856936084532,0.22149975776848038,0.16733817901938922,0.17353366893523148,0.1427178518970121,0.14450475151160855,0.2367875828689351,0.3436665548929168,0.3409316488097505,0.05819583777840409,6.949803874529376
0.75,0.01462645359014727,0.05201930104800525,0.02590110407204512,0.027300689465904252,0.11594981360001871,0.07117561120769796,0.07381024860935886,0.048858466282389566,0.04945852229062693,0.21593836001382344,0.1668905044130861,0.17299953750558786,0.1426587039827951,0.14444045820149845,0.2044329828934323,0.3173370091762874,0.3113609153283244,0.0514502470870526,6.691340654766332
0.8,0.014625380096360623,0.05197422026969182,0.025901043111141945,0.02730061318162655,0.1153342728671989,0.07116769437462757,0.07380078668207155,0.04885840571465309,0.04945845704650445,0.2101585376199629,0.16635745245243233,0.17236479950335837,0.1425796745517866,0.14435465026007116,0.17556242162066193,0.29074553271978015,0.28201377353057455,0.04433246236486997,6.438536429124322
0.8500000000000001,0.014624237465281508,0.05192627858087095,0.02590096966250148,0.027300521274955625,0.11468282756857912,0.07115819349870108,0.07378943545049202,0.04885832349333453,0.049458368486998236,0.204187921384596,0.16573157559896193,0.1716210915926198,0.1424764804891554,0.14424273648228628,0.15022090776781724,0.2643888293796807,0.2534290418734629,0.03741093573841903,6.195160624064187
0.9,0.01462302571946064,0.051875484832205214,0.025900882138499833,0.027300411761627456,0.11399616529368571,0.07114691947445473,0.0737759706343462,0.04885821392841658,0.04945825049025825,0.19805438567461936,0.16500587104318265,0.17076066796826844,0.14234446971235518,0.14409974572044748,0.12833992067019606,0.23869980436302268,0.22604864154645224,0.03104387835302607,5.964030276241779
0.9500000000000001,0.01462174488280973,0.05182184839248735,0.025900778860231233,0.027300282543784058,0.11327500752584642,0.07113367528688039,0.07376015888737941,0.04885807032211593,0.04945809585205587,0.19178583896207393,0.16417388269401115,0.16977652030376317,0.14217868122703503,0.14392039471495993,0.10976030013153157,0.21403769909188403,0.20021377757913042,0.025417492355444535,5.747059950865883
1.0,0.014620394980600472,0.05176537914545398,0.02590065805836673,0.027300131411131197,0.11252010835410114,0.07111825658779579,0.0737417585274967,0.04885788487273529,0.049457896183084805,0.1854100213396487,0.16322979298604298,0.16866248334518355,0.14197391626199501,0.14369916745803765,0.09425482840254024,0.19068489581727047,0.17616845770308284,0.020595732727818956,5.545365314404693
1.05,0.01461897603946348,0.051706087486428194,0.025900517874058396,0.027299956042157004,0.11173225313468078,0.07110045229147566,0.07372052029003243,0.048857648578479455,0.04945764180636415,0.17895431097665618,0.16216850337985253,0.167413324872399,0.14172481812845464,0.14343040339900412,0.08154932159041833,0.168848838712596,0.1540679502321221,0.01656411137964068,5.359387778157687
1.1,0.014617488087387165,0.05164398431879276,0.025900356359888403,0.02729975400541073,0.11091225710554646,0.07108004518752975,0.0736961881014364,0.04885735114196428,0.049457321655536665,0.1724455412722779,0.16098570269099757,0.16602481912111636,0.14142595821927947,0.14310839158013128,0.07134143270680615,0.1486675494977019,0.13399012389138307,0.013262808792010423,5.189022580582235
1.1500000000000001,0.014615931153716562,0.05157908105029581,0.02590017148086242,0.0272995227608407,0.11006096395757609,0.07105681256897187,0.07366849987061332,0.048856980876143194,0.04945692317484981,0.1659098302416072,0.1596779226472899,0.16449380313024106,0.14107192546396366,0.14272746771841804,0.06331671037169996,0.1302173937204483,0.11594805024406762,0.01060957107234408,5.033740680200365
1.2000000000000002,0.01461430526915209,0.051511389589191,0.025899961115446627,0.02729925966119056,0.10917924436606757,0.07103052687339023,0.07363718829511474,0.04885652461236659,0.049456432221595834,0.15937242343653132,0.15824258033469316,0.16281821583805237,0.14065741657620898,0.14228211130908183,0.05716173894433983,0.11352200025068127,0.09990268866627222,0.008514511232602159,4.8926992873724755
1.25,0.014612610465748263,0.05144092234021413,0.025899723056647738,0.02729896195345285,0.1082679944862969,0.07100095633510514,0.07360198167935747,0.04885596761127557,0.04945583297177067,0.1528575514626868,0.15667800744398838,0.1609971200899303,0.1401773245586134,0.14176704000282705,0.05257440189916492,0.09856149687804287,0.08577486211699509,0.006889071222750761,4.764838509844626
