Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_total_Xe_relativistic
15.8,0.011815784093838351,0.004404813268547488,0.01491274332575187,0.014642546925535979,0.0033650965098361786,0.002371716698531691,0.0025533324739518077,0.004838802541738852,0.00464282426931443,0.0010071211938134667,0.000454314348016978,0.0004815317536462766,0.0009412918985545199,0.0009038201570604697,0.00015545352291102652,4.6927631581465634e-05,4.635070098782008e-05,0.20436323292156744
15.850000000000001,0.011798965430855521,0.004349715259136124,0.014844616856860834,0.014568951375722995,0.0033216592936274447,0.002371715057516206,0.00255276541483236,0.00477515922045638,0.0045807125031672915,0.0009949075046063504,0.00045360366960254584,0.0004813674941332521,0.0009296267890799296,0.0008923766585892838,0.00015360262839777262,4.6817572437340716e-05,4.631957381227585e-05,0.20292650098876852
15.9,0.01178212701288705,0.004295383092855834,0.014776595364877748,0.014495514374751758,0.003278594417160424,0.0023717075487875326,0.002552125150116163,0.004712345977033259,0.0045194257153175574,0.000982763281907377,0.0004529524558863798,0.00048122896542671827,0.0009180920566504757,0.0008810650559156182,0.0001517607022414202,4.6715653396760765e-05,4.6292249424191164e-05,0.20150253878101038
15.950000000000001,0.011765269070687307,0.0042418094660773425,0.01470868142734863,0.014422238522992549,0.0032359041885085065,0.0023716889822295905,0.002551408462407958,0.0046503528264608416,0.004458953741621824,0.0009706905430133702,0.0004523573683304233,0.0004811136443309482,0.0009066868038898253,0.0008698843522288673,0.00014992811150642244,4.6621460106227775e-05,4.62684298613552e-05,0.20009120455849366
16.0,0.01174839183466219,0.004188987091597485,0.014640877588554105,0.014349126379647095,0.003193590733364095,0.0023716543866197323,0.002550612323588567,0.004589169872561523,0.004399286513114374,0.0009586912210546714,0.0004518151770879695,0.0004810191059524922,0.0008954101188508367,0.0008588335387617129,0.00014810520914263113,4.653459130755556e-05,4.6247828341797375e-05,0.19869235849380662
16.05,0.011731495534863865,0.004136908699703137,0.01457318635951437,0.01427618046285997,0.003151655999129894,0.002371599003835705,0.0025497338889878493,0.004528787308253006,0.004340414056137148,0.000946767166427976,0.0004513227584546713,0.0004809430210161254,0.0008842610759748272,0.0008479115957053247,0.00014629233419187558,4.645465853662256e-05,4.6230168955245264e-05,0.19730586264455918
16.1,0.011714580400985525,0.0040855670392099174,0.014505610218001494,0.014203403249837676,0.003110101758988323,0.0023715182831689323,0.002548770491684311,0.004469195415768284,0.004282326492427158,0.000934920148248192,0.00045087709235465395,0.00048088315323108964,0.0008732387370189598,0.0008371174930924836,0.00014448981199895452,4.6381285826061606e-05,4.6215186362930334e-05,0.19593158092629492
16.150000000000002,0.0116976466623562,0.0040349548784758445,0.014438151608558825,0.014130797176975178,0.003068929615946453,0.0023714078757434494,0.0025477196369298413,0.004410384566832858,0.0042250140391629065,0.0009231518558165233,0.00045047525986233774,0.0004808373567075668,0.0008623421519524135,0.0008264501916493442,0.00014269795442754238,4.6314109412516845e-05,4.620262550820812e-05,0.19456937908569713
16.2,0.011680694547935593,0.003985065006390232,0.014370812942527426,0.014058364639989732,0.0030281410068540683,0.002371263629039775,0.002546578996698037,0.004352345222800765,0.004168467008971377,0.0009114639001021464,0.0004501144407605015,0.0004808035734232682,0.0008515703598220169,0.0008159086436166027,0.00014091706008131962,4.625277744802058e-05,4.619224133555017e-05,0.1932191246740835
16.25,0.011663724286308953,0.00393589023333804,0.01430359659807936,0.013986107994061804,0.0029877372063925544,0.0023710815815229493,0.0025453464043545346,0.004295067934750882,0.004112675809897071,0.0008998578152349756,0.0004497919111350467,0.00048077983073997033,0.0008409223895880226,0.0008054917935408447,0.00013914741452993365,4.619694971584793e-05,4.6183798514917e-05,0.19188068702118333
16.3,0.011646736105681994,0.0038874233921399703,0.01423650492025775,0.013914029553982962,0.002947719331032519,0.0023708579573739237,0.0025440198494477524,0.004238543343545024,0.004057630945334628,0.0008883350600071653,0.0004495050410068526,0.000480764238969782,0.0008303972609307568,0.0007951985790368864,0.0001373892905389623,4.614629735244465e-05,4.617707117219949e-05,0.19055393720920616
16.35,0.011629730233875844,0.003839657338968514,0.014169540221023392,0.01384213159431045,0.0029080883429580848,0.0023705891613234414,0.0025425974726184116,0.004182762179849182,0.004003323013926373,0.0008768970193811013,0.00044925129200104803,0.0004807549889908808,0.0008199939850288814,0.000785027931521886,0.00013564294830331673,4.6100502576649584e-05,4.6171842627374826e-05,0.18923874804721308
16.400000000000002,0.011612706898322027,0.0037925849542402358,0.01410270477930785,0.013770416349528386,0.0028688450539560285,0.0023702717735875093,0.0025410775606262014,0.004127715264119351,0.0039497427094262435,0.0008655450060017805,0.0004490282150539646,0.0004807503499124165,0.0008097115653100573,0.0007749787769220154,0.00013390863568416486,4.605925842555635e-05,4.616790513863662e-05,0.187934994045788
16.45,0.011595666326057491,0.003746199143484547,0.014036000841072878,0.013698886014215324,0.002829990129267994,0.00236990254490352,0.0025394585414919174,0.004073393506553271,0.0038968808205314303,0.0008542802617115888,0.00044883344815797855,0.0004807486667882404,0.0007995489981747865,0.0007650500363524337,0.00013218658844971822,4.60222684949257e-05,4.616505964900287e-05,0.1866425513919946
16.5,0.011578608743719666,0.003700492838189211,0.013969430619376007,0.01362754274321803,0.002791524091404144,0.0023694783916660502,0.0025377389797534037,0.004019787907009386,0.0038447282306830243,0.000843103959065595,0.0004486647141443935,0.00048074835837908436,0.0007895052736941843,0.0007552406267712792,0.0001304770305197671,4.598924668259406e-05,4.616311553490441e-05,0.1853612979246166
16.55,0.011561534377541564,0.003655458996622883,0.013902996294442235,0.01355638865183135,0.002753447323916771,0.002368996391161329,0.002535917571833605,0.003966889554894353,0.0037932759178370195,0.0008320172028456058,0.00044851981850446736,0.0004807479149627796,0.0007795793762824112,0.0007455494616083859,0.0001287801742130861,4.595991693506035e-05,4.6161890359503275e-05,0.18409111310969442
16.6,0.011544443453346914,0.003611090604634897,0.013836700013741593,0.013485425815983908,0.0027157600751324114,0.0023684537768993348,0.0025339931415190317,0.003914689629020275,0.003742514954206826,0.0008210210315713085,0.00044839664724863673,0.00048074589619207745,0.0007697702853444171,0.0007359754513694055,0.00012709622049649692,4.593401299796084e-05,4.616120963254457e-05,0.1828318780163655
16.650000000000002,0.011527336196545333,0.003567380676432599,0.013770543892072523,0.013414656272429529,0.002678462461841206,0.00236784793404246,0.0025319646355469257,0.003863179397432926,0.0036924365059785723,0.0008101164190069504,0.00044829316480394946,0.00048074092899960414,0.0007600769758996335,0.0007265175042160448,0.00012542535923476729,4.591127816959693e-05,4.616090657560966e-05,0.1815834752930034
16.7,0.011510212832127538,0.003524322255336491,0.01370453001165091,0.01334408201894421,0.0026415544729422964,0.002367176394929647,0.002529831119299417,0.0038123502172121315,0.0036430318330003433,0.0007993042756620912,0.0004482074119496727,0.00048073170554945824,0.0007504984191822103,0.0007171745265231301,0.000123767769441165,4.589146505547771e-05,4.6160821891346924e-05,0.18034578914364652
16.75,0.011493073584660585,0.0034819084145134268,0.013638660422204631,0.013273705014528434,0.0026050359730441512,0.002366436834694885,0.002527591772602949,0.003762193534245429,0.0035942922884464905,0.0007885854502850556,0.00044813750379100504,0.0004807169812349345,0.0007410335832183854,0.0007079454234132274,0.0001221236195286776,4.5874335323444015e-05,4.616080353744554e-05,0.17911870530472035
16.8,0.011475918678283167,0.0034401322576881857,0.013572937141073526,0.013203527179614753,0.0025689067060188516,0.0023656270669789284,0.002525245885631252,0.0037127008829761863,0.0035462093184581655,0.0007779607313478191,0.0004480816277707837,0.0004806955727218371,0.0007316814333816067,0.0006988290992695573,0.00012049306756144739,4.585965946170126e-05,4.616070650659611e-05,0.17790211102206407
16.85,0.011458748336700929,0.003398986919833626,0.013507362153314611,0.013133550396280358,0.002533166298509378,0.0023647450397330854,0.0025227928549101395,0.003663863886127183,0.003498774461761093,0.0007674308485211184,0.00044803804171904325,0.0004806663560368245,0.0007224409329260236,0.0006898244582279117,0.0001188762615053598,4.584721654213454e-05,4.616039261130235e-05,0.17669589502825991
16.900000000000002,0.011441562783181826,0.0033584655678397424,0.013441937411812443,0.013063776508464572,0.0024978142633891092,0.0023637888311139007,0.0025202321794224095,0.003615674254400771,0.0034519793492616773,0.0007569964741386905,0.0004480050719402496,0.00048062826470021165,0.0007133110434990104,0.0006809304046482693,0.0001172733394766522,4.583679398847804e-05,4.615973027123641e-05,0.17549994752025472
16.95,0.011424362240551522,0.0033185614011618783,0.013376664837394492,0.012994207322191064,0.0024628500031727766,0.002362756645467549,0.0025175634568111267,0.0035681237861566123,0.0034058157036224407,0.0007466582246496026,0.00044798111133800096,0.00048058028790263677,0.0007042907256333804,0.0006721458435667528,0.00011568442998798838,4.582818734744335e-05,4.615859430345145e-05,0.17431416013727075
17.0,0.011407146931188827,0.0032792676524483573,0.013311546318951392,0.012924844605794626,0.0024282728133782016,0.0023616468094027334,0.0025147863796795714,0.0035212043670679828,0.0033602753388177653,0.0007364166620577172,0.0004479646175769611,0.0004805214687249877,0.0006953789392199348,0.0006634696811285284,0.00011410965219213048,4.582120006295269e-05,4.6156865718221946e-05,0.17313842593901763
17.05,0.01138991707702117,0.003240577588147849,0.013246583713561978,0.012855690090152394,0.0023940818858382627,0.0023604577679508837,0.0025119007319861436,0.0034749079697576485,0.0033153501596709387,0.0007262722953474158,0.0004479541112817617,0.00048045090240096883,0.0006865746439609704,0.0006549008250022251,0.00011254911612349194,4.5815643255936765e-05,4.6154431521081914e-05,0.17197263938421328
17.1,0.011372672899520106,0.003202484509096687,0.013181778846622935,0.012786745468919307,0.002360276311962532,0.0023591880808124226,0.0025089063855325156,0.0034292266534141943,0.0032710321613733705,0.0007162255818947552,0.0004479481742725862,0.00048036773462167853,0.0006778767998053053,0.0006464381847764053,0.00011100292293740051,4.5811335511107875e-05,4.6151184517997696e-05,0.17081669630940374
17.150000000000002,0.01135541461969687,0.003164981751086452,0.013117133511982968,0.012718012398767697,0.002326855085948172,0.002357836418687876,0.0025058032965433372,0.003384152563389761,0.0032273134289869227,0.0007062769288633128,0.000447945447837126,0.0004802711598815591,0.0006692843673653504,0.000638080672338637,0.00010947116514641913,4.5808102669186235e-05,4.6147023122312615e-05,0.1696704939080702
17.2,0.01133814245809796,0.0031280626854120913,0.01305264947208137,0.012649492499630842,0.0022938171079397024,0.0023564015596925837,0.002502591502335803,0.0033396779307800625,0.0031841861369302105,0.0006964266945840317,0.0004479446310385776,0.00048016041986507173,0.0006607963083167096,0.0006298272022377046,0.00010795392685312855,4.580577762238234e-05,4.6141851167879754e-05,0.16853393071003658
17.25,0.011320856634800761,0.0030917207194008233,0.012988328458090843,0.012581187354950318,0.0022611611871373133,0.0023548823858537712,0.0024992711180774037,0.0032957950719875203,0.0031416425484497037,0.0006866751899184279,0.00044794447905933184,0.00048003480187344406,0.0006524115857807671,0.0006216766920295031,0.00010645128397935174,4.5804200113136454e-05,4.6135577733546975e-05,0.16740690656119472
17.3,0.011303557369409214,0.003055949296922153,0.012924172170064504,0.012513098511927072,0.0022288860448535022,0.0023532778796887285,0.0024958423336301928,0.0032524963882684015,0.0030996750150764905,0.0006770226796045975,0.00044794380157998806,0.00047989363729083236,0.0006441291646907365,0.000613628062607175,0.0001049633044922984,4.5803216537784795e-05,4.6128116976604445e-05,0.16628932260354287
17.35,0.011286244881049505,0.003020741898879215,0.012860182277086893,0.01244522748177598,0.0021969903175177953,0.0023515871208628497,0.0024923054104799072,0.0032097743652646964,0.003058275976069436,0.000667469383585485,0.00044794146119331085,0.0004797363000892362,0.0006359480121416392,0.0006056802385160152,0.00010349004862799512,4.580267975576779e-05,4.6119387966312414e-05,0.1651810812555014
17.400000000000002,0.011268919388365816,0.0029860920436817553,0.01279636041742891,0.012377575739983812,0.0021654725596294447,0.0023498092829262757,0.002488660678748305,0.003167621572521572,0.0030174379578455477,0.0006580154783189503,0.0004479363718527332,0.0004795622053715008,0.0006278670977247241,0.0005978321482536661,0.00010203156911176181,4.580244890307226e-05,4.6109314513373436e-05,0.16408208619248588
17.45,0.011251581109516092,0.0029519932877010227,0.012732708198706562,0.012310144726570459,0.0021343312466580028,0.002347943630127889,0.002484908534287083,0.003126030662991142,0.0029771535733982757,0.0006486610980692076,0.00044792749735499647,0.00047937080795173943,0.0006198853938468506,0.0005900827245560829,0.00010058791137501782,4.580238920862478e-05,4.609782500299576e-05,0.16299224232776205
17.5,0.011234230262167863,0.002918439225706821,0.012669227198043363,0.01224293584635324,0.002103564777891723,0.0023459895143054044,0.002481049435851755,0.00308499437252327,0.0029374155217044514,0.0006394063361792502,0.0004479138498565063,0.00047916160097250736,0.0006120018760353546,0.0005824309046697098,9.915911376785648e-05,4.5802371814145546e-05,4.6084852242447953e-05,0.16191145579362512
17.55,0.011216867063494092,0.002885423491287037,0.012605918962236357,0.012175950469214247,0.0020731714792338275,0.002343946371850306,0.0024770839023538975,0.003044505519344167,0.0028982165871206038,0.0006302512463239354,0.0004478944884229724,0.0004789341145580575,0.000604215523228922,0.0005748756306102919,9.774520776746636e-05,4.58022735988682e-05,4.60703333218085e-05,0.1608396339228995
17.6,0.011199491730169066,0.0028529397572498684,0.012542785007925562,0.012109189930370478,0.002043149605946654,0.0023418137207463783,0.0024730125101901667,0.0030045570035234135,0.002859549638769268,0.0006211958437434224,0.00044786851761189153,0.00047868791450300825,0.0005965253180549376,0.0005674158494087104,9.634621818296612e-05,4.580197700923634e-05,4.60542094727922e-05,0.15977668523069716
17.650000000000002,0.011182104478364333,0.002820981736009059,0.012479826821766777,0.012042655530646719,0.0020134973453438047,0.0023395911576805845,0.002468835890646518,0.002965141806430114,0.00282140762991598,0.0006122401064567145,0.00044783508608742316,0.0004784226009957544,0.0005889302470937645,0.0005600505133442434,9.496216335713415e-05,4.580136989215188e-05,4.603642591475756e-05,0.15872251939638782
17.7,0.011164705523744657,0.0027895431799523983,0.012417045860607637,0.011976348536751003,0.001984212819430429,0.0023372783552250533,0.002464554727376075,0.0029262529901788173,0.0027837835973375715,0.000603383976455086,0.00044779338526720024,0.000478137807375954,0.0005814293011303532,0.0005527785801656518,9.35930553650368e-05,4.580034533105905e-05,4.6016931697719614e-05,0.1576770472458161
17.75,0.011147295081464033,0.0027586178817937466,0.01235444355166677,0.011910270181552518,0.0019552940874917974,0.0023348750590889314,0.0024601697539491105,0.00288788369706582,0.00274667066068236,0.0005946273608752073,0.0004477426480006109,0.00047783319892542636,0.000574021475393561,0.0005455990133005008,9.223890020929755e-05,4.579880148630308e-05,4.5995679563928326e-05,0.15664018073385205
17.8,0.011129873366161728,0.002728199674908888,0.012292021292716034,0.011844421664361891,0.001926739148630416,0.0023323810854388775,0.0024556817514736185,0.0028500271489964903,0.002710062021822859,0.0005859701331518286,0.000447682147278081,0.0004775084716917995,0.0005667057697835572,0.0005385107820531448,9.089969801204549e-05,4.579664144137048e-05,4.597262583406743e-05,0.15561183292730027
17.85,0.011112440591958364,0.002698282433655434,0.012229780452265627,0.011778804151213632,0.0018985459442518735,0.002329796318286964,0.0024510915462849746,0.0028126766469041505,0.0026739509642015264,0.0005774121341498933,0.0004476111949708824,0.0004771633513442506,0.0005594811890876835,0.0005315128617917837,8.957544320413594e-05,4.579377305375489e-05,4.594773029719489e-05,0.15459191798808125
17.900000000000002,0.011094996972452035,0.002668860073677077,0.012167722369752028,0.011713418775150709,0.0018707123604997384,0.0023271207069447773,0.0024464000077032023,0.002775825570161121,0.002638330852170135,0.0005689531732760026,0.00044752914060098876,0.00047679759206068585,0.0005523467431851691,0.0005246042341250015,8.826612471244232e-05,4.579010880703608e-05,4.592095607904923e-05,0.15358035115657478
17.95,0.011077542720714472,0.002639926552192451,0.01210584835572866,0.011648266636511083,0.0018432362306397975,0.002324354263542501,0.0024416080458563813,0.002739467375982462,0.0026031951303232834,0.0005605930295691715,0.0004474353701404964,0.000476410975445715,0.0005453014472411169,0.0005177838870681591,8.697172614557381e-05,4.578556566310442e-05,4.589226949083779e-05,0.15257704873513148
18.0,0.011060078049287228,0.00261147586826885,0.01204415969205914,0.011583348803216082,0.001816115337393961,0.0023214970606117826,0.0024367166095687464,0.0027035955988229284,0.0025685373228265408,0.0005523314527708384,0.0004473293048401283,0.0004760033094787782,0.0005383443218901781,0.0005110508151999878,8.569222597764302e-05,4.578006491815741e-05,4.5861639890008724e-05,0.15158192807188153
18.05,0.011042603170177929,0.002583502063081098,0.011982657632113083,0.011518666311060572,0.0017893474152242278,0.0023185492287311933,0.0024317266843120605,0.0026682038497676877,0.0025343510327397616,0.0005441681643741312,0.0004472104000863344,0.0004755744274917923,0.0005314743934103469,0.0005044040198097082,8.442759772933114e-05,4.577353206683829e-05,4.582903957917101e-05,0.1505949075449517
18.1,0.011025118294856534,0.002555999220155797,0.011921343400964285,0.011454220164004696,0.001762930152567056,0.002315510954233095,0.002426639290218842,0.0026332858159172426,0.00250062994133599,0.0005361028586523926,0.00044707814428650473,0.0004751241871756883,0.0005246906938872598,0.0004978425090349661,8.317781014573809e-05,4.576589667356289e-05,4.579444373044186e-05,0.14961590654703233
18.150000000000002,0.011007623634251652,0.0025289614656012318,0.011860218195591228,0.01139001133446717,0.0017368611940185798,0.0023123824769707446,0.0024214554801560684,0.0025988352597670753,0.0024673678074164504,0.0005281352036670089,0.0004469320577818081,0.00047465246961521964,0.0005179922613693693,0.000491365297990887,8.19428273710082e-05,4.5757092244570336e-05,4.575783029261281e-05,0.14864484547010973
18.2,0.010990119398746893,0.002502382968323193,0.01179928318507982,0.011326040763619984,0.0017111381424710949,0.002309164088144472,0.0024161763378579863,0.002564846018582461,0.0024345584666220555,0.0005202648422545974,0.0004467716917871721,0.00047415917835142606,0.0005113781400143114,0.0004849714088905467,8.072260911988763e-05,4.5747056095827095e-05,4.571917985588334e-05,0.14768164569024972
18.25,0.010972605798177246,0.0024762579402269553,0.011738539510828237,0.01126230936168439,0.001685758561201255,0.002305856128185781,0.002410802976116675,0.0025313120037688797,0.002402195830741842,0.000512491392993622,0.0004465966273579197,0.00047364423847114654,0.0005048473802267465,0.00047865987115716386,7.951711084601789e-05,4.573572922002012e-05,4.5678475500151324e-05,0.1467262295525401
18.3,0.01095508304182552,0.0024505806364056985,0.011677988286753828,0.01119881800822813,0.0016607199759104793,0.0023024589846982334,0.002405336535029046,0.002498227200238497,0.002370273887018778,0.0005048144511505394,0.0004464064743825787,0.00047310759572298007,0.0004983990387879409,0.0004724297215283401,7.8326283906314e-05,4.572305616152719e-05,4.563570268103766e-05,0.1457785203564227
18.35,0.010937551338418795,0.002425345355315586,0.01161763059950194,0.011135567552463718,0.0016360198767180218,0.002298973090453991,0.0023997781802989606,0.002465585665773072,0.002338786697453295,0.0004972335896055723,0.00044620087060138184,0.0004725492156591004,0.0004920321789773307,0.00046628000415265566,7.715007572076897e-05,4.5708984903822476e-05,4.559084917534563e-05,0.14483844234150553
18.400000000000002,0.010920010896124934,0.0024005464389377823,0.011557467508656601,0.011072558813547753,0.001611655720107238,0.0022953989214448915,0.0023941291015931888,0.002433381530383735,0.002307728398104954,0.0004897483597582428,0.00044597948064997733,0.0004719690828023382,0.0004857458706863292,0.0004602097706789358,7.59884299275726e-05,4.569346676253241e-05,4.554390504461117e-05,0.14390592067367475
18.45,0.010902461922549116,0.002376178272927644,0.011497500046952967,0.011009792580881117,0.0015876249308255563,0.0022917369949869678,0.002388390510949933,0.0024016089956679985,0.0022770931983925992,0.00048235829241280047,0.0004457419951278706,0.0004713671998379522,0.0004795391905246472,0.0004542180803384742,7.484128653402872e-05,4.567645627170154e-05,4.549486255182223e-05,0.1429808814312176
18.5,0.010884904624730414,0.0023522352867513317,0.011437729220491423,0.010947269614409958,0.0015639249037386832,0.0022879878678773035,0.0023825636412386796,0.002370262334164369,0.0022468753803933394,0.00047506289864369754,0.0004454881296911216,0.0004707435868295179,0.0004734112219194032,0.00044830400002047305,7.370858206383087e-05,4.565791105916177e-05,4.544371601421504e-05,0.1420632515908814
18.55,0.01086733920913842,0.002328711953810104,0.011378156008953323,0.010884990644927432,0.0015405530056396123,0.0022841521346021625,0.0023766497446701474,0.0023393358887049426,0.0022170692981407325,0.00046786167064128195,0.0004452176241688243,0.0004700982804583718,0.00046736105520731605,0.00044246660434094624,7.259024970075207e-05,4.5637791722425796e-05,4.5390461648178294e-05,0.14115295901410943
18.6,0.01084976588166989,0.002305602791552514,0.011318781365818183,0.010822956374376008,0.0015175065770129618,0.002280230425595315,0.00237065009135513,0.002308824071766287,0.002187669376922446,0.0004607540825378778,0.00044493024170289756,0.0004694313332860578,0.00046138778772024516,0.0004367049757052988,7.148621942824391e-05,4.5616061722179314e-05,4.533509748183749e-05,0.1402499324337889
18.650000000000002,0.010832184847645443,0.0022829023615747656,0.011259606218582316,0.01076116747615033,0.0014947829337552349,0.002276223405545516,0.0023645659679110446,0.002278721364818972,0.0021586701125777415,0.00045373959121444983,0.00044462576791072224,0.00046874281303923047,0.0004554905238643346,0.00043101820436480565,7.039641816441033e-05,4.559268729754374e-05,4.5277623349134876e-05,0.13935410144156823
18.7,0.010814596311806287,0.002260605269709467,0.011200631468978813,0.0106996245954005,0.0014723793688515723,0.0022721317717520955,0.0023583986761150297,0.0022490223176760554,0.0021300660707950707,0.0004468176370880489,0.00044430401007016136,0.0004680328019164816,0.0004496683751929767,0.0004254053884672083,6.932076989234354e-05,4.5567637387524955e-05,4.521804089434817e-05,0.13846539647542785
18.75,0.010797000478310984,0.0022387061661030085,0.01114185799319876,0.010638328349335705,0.0014502931540095762,0.0022679562525276336,0.0023521495316024357,0.0022197215478408205,0.0021018518864100587,0.0004399876448802462,0.0004439647963265063,0.00046730139591656244,0.00044392046047377835,0.0004198656341016574,6.825919578635365e-05,4.554088353792305e-05,4.515635349801393e-05,0.13758374880710153
18.8,0.010779397550732268,0.0022171997452818232,0.011083286642113666,0.010577279327528144,0.0014285215412508218,0.0022636976056467145,0.0023458198626096,0.0021908137398540866,0.0020740222627041818,0.00043324902436678173,0.00044360797492089656,0.00046654870418748676,0.0004382459057496951,0.0004143980553382484,6.721161433464775e-05,4.5512399790146356e-05,4.509256611195638e-05,0.13670909052929403
18.85,0.01076178773205388,0.0021960807462077328,0.011024918241498968,0.010516478092217086,0.0014070617644606268,0.0022593566168397578,0.002339411008759787,0.002162293644641338,0.0020465719707043585,0.0004266011711086436,0.00044323341343976497,0.00046577484839600505,0.0004326438443944742,0.00040900177426238444,6.617794145854109e-05,4.548216257157376e-05,4.5026685090613965e-05,0.13584135454307666
18.900000000000002,0.010744171224667448,0.0021753439523226345,0.010966753592258575,0.010455925178613063,0.0013859110408967082,0.002254934098330949,0.0023329243198912234,0.002134156078859967,0.0020194958484837417,0.00042004346716481865,0.0004428409980848665,0.0004649799621169521,0.0004271134171625649,0.00040367592100421125,6.515809062789171e-05,4.545015061169144e-05,4.495871812350224e-05,0.134980474545928
18.95,0.010726548230369417,0.0021549841915827453,0.010908793470650352,0.010395621095202076,0.0013650665726573305,0.0022504308874192946,0.0023263611549261534,0.0021063959242468874,0.0019927888004639383,0.00041357528178695104,0.00044243063296345325,0.0004641641902419758,0.00042165377223366354,0.00039841963376334037,6.41519729726504e-05,4.541634488679493e-05,4.488867428197372e-05,0.13412638502047255
19.0,0.010708918950357992,0.002134996336482628,0.010851038628512482,0.01033556632404972,0.0013445255481095524,0.0022458478451018522,0.0023197228807798763,0.002079008126966753,0.001966445796718883,0.00040719597209615163,0.00044200223939816344,0.0004633276884071646,0.00041626406525207985,0.0003932320588290578,6.315949739112817e-05,4.538072856779358e-05,4.4816564077881646e-05,0.13327902122345706
