Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(3),J_7s1/2(2),J_total_Mt_relativistic
57.45,0.0033099259494189415,0.0004995015496467507,0.0031204368177153046,0.001983517562371186,0.0002631747251849475,0.0007631163697912246,0.0007153251437209424,0.00030441028386477557,0.0002168169846941925,0.0001064260239801817,0.000205120731780907,0.00021891396103751386,0.00011533752882615783,8.377499958462224e-05,5.109927881233776e-06,3.924336100931614e-06,3.4938483946002545e-05,5.708521438830641e-05,6.19726259745576e-05,3.072860050485332e-05,2.2103953842966717e-05,1.0986172908449704e-06,8.275131491359447e-07,8.167321855455331e-06,1.1398928284259627e-05,1.0814714494567632e-05,2.7022029447161255e-06,1.620066395661414e-06,7.578259519314248e-07,0.03255129227179619
57.5,0.0033074432761281943,0.0004986275293327265,0.00311452804460298,0.0019778139141357347,0.00026181918560399793,0.0007623505221319311,0.0007135326541063142,0.0003028950331194453,0.00021564864133965335,0.00010582458521662437,0.00020499701637693773,0.00021840647697550037,0.00011476568742936472,8.332328991222739e-05,5.072053421354632e-06,3.894169603081649e-06,3.473746026903827e-05,5.70578441334755e-05,6.183294640299964e-05,3.0576506314200215e-05,2.19848004197179e-05,1.0904578604641474e-06,8.211352511802894e-07,8.120161661075841e-06,1.1393818492014166e-05,1.0790467821639593e-05,2.688922544479502e-06,1.6113793639643086e-06,7.533780598827072e-07,0.032473788114062964
57.550000000000004,0.0033049612890900027,0.0004977612035413729,0.003108629092163642,0.0019721261737188135,0.00026047248361225873,0.0007615827628286466,0.0007117430711319591,0.0003013878642617626,0.00021448698815422908,0.00010522686151544973,0.00020487244187254042,0.00021789946381949585,0.00011419684468701714,8.287414509034206e-05,5.0344819317239544e-06,3.86425195589156e-06,3.453765859877955e-05,5.703021793913187e-05,6.169336026570837e-05,3.042520494434049e-05,2.1866321452448675e-05,1.082366446554011e-06,8.148127917268686e-07,8.07328842172874e-06,1.138866158870735e-05,1.076625963262774e-05,2.675718089503689e-06,1.6027455022082587e-06,7.489560052870959e-07,0.03239653224949936
57.6,0.0033024799912826706,0.0004969025209690492,0.00310273995531932,0.0019664543047162903,0.00025913457362793124,0.0007608131077273453,0.0007099564040093438,0.0002998887321649451,0.00021333198514417713,0.00010463283522726038,0.000204747011451149,0.00021739292743474828,0.00011363098454067396,8.242755016919781e-05,4.99721081781243e-06,3.834580970724527e-06,3.433907331019299e-05,5.700233636637071e-05,6.155386950132099e-05,3.0274692251531097e-05,2.1748513105375018e-05,1.0743425670604012e-06,8.085453937201042e-07,8.026699571490783e-06,1.1383457895624989e-05,1.0742091517432878e-05,2.6625871391145597e-06,1.594163879171462e-06,7.44558830202768e-07,0.03231952372963362
57.650000000000006,0.0032999993856765507,0.0004960514305640325,0.0030968606289225823,0.0019607982707423852,0.0002578054102198751,0.0007600415726515656,0.0007081726618094304,0.00029839759195906336,0.00021218359256024985,0.00010404248874246446,0.0002046207283294829,0.0002168868736275803,0.00011306809101492175,8.198349028510551e-05,4.960237508720725e-06,3.805154479351257e-06,3.4141698788261105e-05,5.697419999194952e-05,6.141447603123946e-05,3.01249641111875e-05,2.1631371562562534e-05,1.0663856614087273e-06,8.023325985818425e-07,7.980392533838582e-06,1.1378207595048816e-05,1.0717964305386533e-05,2.649526889884739e-06,1.5856330591147915e-06,7.401859453214582e-07,0.032242761603155354
57.7,0.0032975194752340527,0.0004952078815256735,0.0030909911077570055,0.001955158035430222,0.00025648494810790194,0.0007592681734016954,0.0007063918534636193,0.0002969143990296103,0.00021104177089621183,0.00010345580449169759,0.00020449359575681365,0.0002163813081456866,0.00011250814821701493,8.154195066000364e-05,4.923559456952072e-06,3.7759703337493855e-06,3.394552942816153e-05,5.694580940800217e-05,6.127518175965318e-05,2.9976016416673846e-05,2.151489302602703e-05,1.058495090851797e-06,7.961738665456262e-07,7.93436475981865e-06,1.1372910725329635e-05,1.0693878051332784e-05,2.6365341791284103e-06,1.5771510652225496e-06,7.35837239672236e-07,0.03216624491602172
57.75,0.0032950402629096454,0.0004943718233035499,0.0030851313865376258,0.0019495335624323642,0.0002551731421630544,0.0007584929257542671,0.0007046139877646848,0.0002954391090160746,0.0002099064808873633,0.00010287276494623546,0.0002043656170142403,0.00021587623667843043,0.00011195114033651522,8.110291660100713e-05,4.887174138187066e-06,3.747026405904888e-06,3.3750559635442975e-05,5.6917165221755986e-05,6.113598857354495e-05,2.9827845078159585e-05,2.1399073713927638e-05,1.0506701413038934e-06,7.900685795401215e-07,7.888613765555894e-06,1.1367567180381335e-05,1.0669832044884593e-05,2.6236055807836724e-06,1.5687154793494977e-06,7.315130680618637e-07,0.032089972712233746
57.800000000000004,0.0032925617516498624,0.0004935432055966213,0.0030792814599113977,0.0019439248154213549,0.0002538699474078762,0.000757715845461266,0.0007028390733677105,0.0002939716778105232,0.0002087776835090736,0.00010229335261839915,0.00020423679541397384,0.00021537166485714168,0.00011139705164493237,8.066637349995865e-05,4.851079051060778e-06,3.7183205876155603e-06,3.355678382619867e-05,5.688826805525197e-05,6.099689834268243e-05,2.9680446021575803e-05,2.128390985890469e-05,1.0429100285518328e-06,7.840160465065737e-07,7.843137167986685e-06,1.1362176713634312e-05,1.0645824842368953e-05,2.610737582125849e-06,1.560323634053439e-06,7.272141237731971e-07,0.03201394403511458
57.85,0.003290083944393309,0.0004927219783523854,0.0030734413224576527,0.001938331758090249,0.0002525753190166707,0.000756936948249449,0.0007010671187910221,0.00029251206155619144,0.00020765533997532304,0.00010171755006195242,0.00020410713429863051,0.00021486759825541533,0.00011084586649536542,8.023230683298143e-05,4.815271716942114e-06,3.689850790296517e-06,3.3364196427237005e-05,5.685911854506805e-05,6.0857912919597194e-05,2.9533815187701186e-05,2.116939770660996e-05,1.0352139056643711e-06,7.780155109642349e-07,7.797932717757664e-06,1.1356738946354265e-05,1.0621854320302687e-05,2.5979268134865776e-06,1.5519728569662788e-06,7.229412298492139e-07,0.03193815792891606
57.900000000000006,0.0032876068440706634,0.0004919080917660318,0.0030676109686885466,0.0019327543541531361,0.0002512892123157468,0.0007561562498196736,0.0006992981324171151,0.0002910602166460775,0.00020653941173725133,0.00010114533987249036,0.00020397663704053363,0.00021436404238940965,0.00011029756932214377,7.980070216003303e-05,4.779749679715338e-06,3.6616149447876443e-06,3.3172791876249225e-05,5.682971734204549e-05,6.07190341395538e-05,2.9387948531403946e-05,2.1055533514471782e-05,1.0275808723584103e-06,7.720661605737682e-07,7.752998328317338e-06,1.1351253380104282e-05,1.0597917748616345e-05,2.5851702936659262e-06,1.5436607431767355e-06,7.186950993700917e-07,0.03186261344061943
