Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(2),J_7s1/2(2),J_total_Hs_relativistic
1.0,0.005508337558475778,0.020576895045676013,0.009590889533613374,0.012651485508198293,0.04523843715489332,0.026253922976289985,0.031077444485660796,0.01979161269126842,0.020760493499629936,0.08422303082805914,0.0546599218786013,0.06334651452437616,0.04602324356541631,0.047797525411573616,0.03574656481805329,0.03640127353332007,0.14210501759492378,0.10796891757183577,0.12578893713403383,0.10213202321254901,0.10663424887027634,0.10616567370905583,0.10912519613915231,0.17949264494262676,0.22023247840211946,0.23719800901621202,0.23470115658547533,0.21171432367424295,0.045049001346226934,8.862908139139241
1.05,0.005508239020859869,0.020573026610300825,0.009590888141269915,0.012651481637434523,0.04519104197033725,0.026253789744662408,0.031077138651591757,0.019791612315262407,0.020760493001804346,0.0838557918598291,0.05465456158904546,0.06333532666533988,0.04602313582276921,0.04779738676010984,0.03574656358779488,0.036401272109946765,0.13976714649060723,0.1078097637990431,0.12545387064966182,0.10210662915225759,0.10660034884499889,0.10613819737681585,0.10908933992140289,0.16693870711883166,0.2145864557545271,0.2260441027569562,0.22058585685679538,0.1957483287875641,0.04500139528531154,8.685417724056594
1.1,0.005508135679440704,0.020568970352390692,0.00959088654819293,0.012651477173988764,0.04514139112946853,0.026253636206991716,0.031076786315660257,0.019791611838939165,0.020760492371207293,0.08347244707762702,0.054648401000116476,0.06332248400027722,0.04602299983498682,0.047797211821378055,0.03574656188408568,0.03640127013922917,0.1373594544528461,0.1076288054347218,0.12507497298756917,0.10207519035432999,0.10655847651848734,0.10610282748975665,0.10904347888531135,0.1548578770774852,0.2085502348133519,0.21456997621028884,0.20677461802689892,0.18064593183879432,0.04477435069403318,8.508792924288493
1.1500000000000001,0.005508027534633833,0.02056472639765068,0.009590884735461856,0.012651472060395743,0.045089492603024445,0.02625346041776728,0.03107638305002691,0.01979161124202217,0.020760491581020238,0.08307324559677155,0.05464136751742075,0.0633078402334673,0.04602283007224495,0.047796993512814655,0.03574655956060148,0.03640126745220902,0.13488740638613889,0.10742451954126507,0.12464966362181441,0.10203672473007709,0.1065073685155747,0.10605806376801828,0.10898580873731276,0.14330881817385716,0.2021573196493033,0.20288653384395727,0.19334377306942688,0.16640583999807684,0.04423542096665096,8.333661857874128
1.2000000000000002,0.005507914586874103,0.02056029487757641,0.009590882683288386,0.012651466236570654,0.04503535471567733,0.02625326034720044,0.031075924240251192,0.019791610501334073,0.02076049060059327,0.08265844602774897,0.054633386158401485,0.06329124497608286,0.04602262026551705,0.04779672381142521,0.035746556436019115,0.036401263839597214,0.13235654060407828,0.10719541118854849,0.12417550270591382,0.10199017016436338,0.10644566694774621,0.10600228553124356,0.10891440478624975,0.1323397076964493,0.19544588842761537,0.19110302248565902,0.18035329079392243,0.15301646141501918,0.043333002055161045,8.160708200014675
1.25,0.005507796836615657,0.020555675929446397,0.009590880371018146,0.012651459639816388,0.04497898614377732,0.02625303388205654,0.031075405087866777,0.01979160959054054,0.02076048939510804,0.08222831620673635,0.0546243796776779,0.06327254408129977,0.046022363353085474,0.047796393687210996,0.0357465522879542,0.03640125904481513,0.12977244934414686,0.10694002302943689,0.12365021203234909,0.1019343881802843,0.10637192584004622,0.10593376743213062,0.10882724424064812,0.12198838370618265,0.18845788285756798,0.17932452962801593,0.16784907232797827,0.14045892278786343,0.04206846954324751,7.990619534454899
1.3,0.0055076742843319275,0.020550869696314086,0.009590877777132426,0.01265145220483107,0.044920395913002106,0.026252778826520645,0.031074820613057594,0.019791608479885064,0.020760487925229058,0.08178313291752566,0.05461426869594375,0.06325157998702022,0.04602205142717725,0.047795993037038076,0.03574654684624676,0.03640125275629498,0.12714075941664013,0.10665694457436922,0.1230716944184224,0.10186816877504515,0.1062846190725172,0.10585069787542174,0.10872223100159259,0.1122826577811928,0.18123807153930352,0.16764990351247064,0.15586502191889803,0.12870926883833003,0.0404758531444366,7.824050250759131
1.35,0.005507546930515636,0.020545876326999547,0.00959087487925,0.012651443863715901,0.04485959339591462,0.026252492903096537,0.03107416565743289,0.019791607135915042,0.02076048614674374,0.0813231816052539,0.05460297183218769,0.06322819206538038,0.04602167568098835,0.0477955106193009,0.035746539785574655,0.03640124459901791,0.12446711307768679,0.10634482110791114,0.12243805137798941,0.10179023637649791,0.10618214973279821,0.10575119953707855,0.10859722214847087,0.10324077148360905,0.17383311622859102,0.15617010809674384,0.14442487000447243,0.11774005766952085,0.03860738515659341,7.661596055139692
1.4000000000000001,0.005507414775678785,0.02054069597608084,0.009590871654129012,0.012651434545983326,0.04479658830942962,0.0262521737535386,0.03107343488689952,0.019791605521199407,0.020760484010191673,0.08084875608235412,0.05459040583899314,0.06320221697820246,0.046021226356359114,0.04779493398973002,0.03574653071737919,0.036401234125273914,0.12175714921312059,0.10600236219395866,0.12174759895978518,0.1016992568510215,0.10606286075187088,0.10563335137029226,0.10845005532741096,0.09487197325674229,0.16629066641871,0.14496700477246885,0.1335437544440531,0.10752151613196656,0.036523502715999016,7.5037775665635555
1.4500000000000002,0.005507277820352651,0.020535328803885037,0.00959086807766893,0.012651424178565492,0.04473139071219018,0.026251818939816055,0.03107262279462959,0.01979160359403815,0.020760481460483485,0.08036015822715184,0.054576485740670505,0.06317348903754122,0.046020692692362086,0.04779424943868943,0.03574651918109131,0.036401220804632796,0.1190164849162598,0.10562834972041182,0.12099888165483881,0.10159384547655116,0.10592504667377313,0.10549521148601865,0.10827857629711964,0.08717719213209242,0.15865850358847014,0.13411253635805226,0.12322958004353207,0.098022378127566,0.0342861527946379,7.351030908777147
