Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(7),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Yb_relativistic
12.65,0.010018344598447429,0.015078224232323878,0.016882325270959085,0.017883540100056113,0.006417093366995435,0.008143227081112314,0.006700396540226465,0.01892309603517573,0.018679177572515582,0.001844646651106811,0.0041376661150516495,0.0035069205805021496,0.0026525821734569607,0.002689939672544957,0.001959071037129291,0.0018478224519334775,0.0003495301698609369,0.0005928454481130478,0.00047953758505586984,2.0929213361762173e-05,0.48045784320923113
12.700000000000001,0.01001165308955721,0.014971186708619128,0.01685679745308302,0.017850015745296932,0.0064170359900516585,0.008014149299306307,0.006588385974021167,0.018791654600452727,0.01854401107961207,0.0018256994011734923,0.004085256702479367,0.0034527965710542145,0.002651723667047437,0.0026883084205706793,0.0019210495724735223,0.0018116447199558166,0.0003437454007073831,0.0005861872084224241,0.00047262092901824486,2.0565659566428198e-05,0.47709507124912415
12.75,0.010004941554706161,0.014864575245132685,0.016831121515807308,0.017816320595132322,0.006416920703615577,0.007886996994794424,0.006478413821702155,0.018660553823179958,0.018409250591268845,0.001807713704601471,0.004033003959729964,0.0033991236727931957,0.002650729696093857,0.0026865031793066752,0.0018837844619307403,0.0017761930235431391,0.0003382120274419242,0.0005795139001243384,0.0004657384343094841,2.0217640476084457e-05,0.4737605352255433
12.8,0.009998210061249414,0.014758392582565134,0.016805298215636692,0.017782455941329482,0.0064167278871193854,0.007761756612477632,0.006370458645244407,0.018529803827054662,0.018274906105716034,0.0017906569400708975,0.003980925353384228,0.0033459136684733945,0.0026495932905307553,0.00268451900749119,0.0018472605557078125,0.001741452676728343,0.00033292277690771235,0.0005728288589638215,0.00045889255111662475,1.9884714861285616e-05,0.4704539624520583
12.850000000000001,0.009991458676663848,0.014652641398331842,0.016779328320737606,0.01774842308880408,0.006416438665674408,0.007638414331908224,0.0062644988584546445,0.01839941453102278,0.018140987398996864,0.00177449701122621,0.003929037801748543,0.0032931777148067012,0.0026483080160812408,0.002682351445654873,0.0018114630029824577,0.0017074092870267082,0.0003278704545609757,0.0005661353456443,0.00045208563187398913,1.956644627119977e-05,0.4671750843647002
12.9,0.009984687468546723,0.01454732430685907,0.01675321261078206,0.01771422335535965,0.006416034897334026,0.007516956078680312,0.006160512739704317,0.018269395649667605,0.018007504025774248,0.0017592023561191752,0.0038773576769105607,0.0032409263540117855,0.00264686795309188,0.002679996495657249,0.0017763772462459394,0.0016740487497412533,0.0003230479489637609,0.0005594365445859833,0.0004453199323276613,1.9262403234255773e-05,0.4639236363749367
12.950000000000001,0.009977896504614298,0.014442443859887013,0.016726951876790623,0.017679858071426576,0.006415499160303309,0.0073973675356575255,0.0060584784443852005,0.018139756693685272,0.017874465320223454,0.0017447419556066955,0.0038259008074114204,0.003189169525607848,0.002645267675970291,0.0026774506008445547,0.0017419890157586598,0.0016413572424781007,0.0003184482359390044,0.0005527355628747483,0.0004385976126907175,1.897215938996675e-05,0.4606993577303196
13.0,0.009971085852700467,0.014338002546779645,0.01670054692097449,0.017645328579800817,0.006414814740106437,0.007279634154035451,0.005958374017087767,0.018010506970444443,0.017741880397007945,0.0017310853407453124,0.0037746824814962263,0.0031379165784218865,0.0026435022332143665,0.002674710626816015,0.0017082843241045143,0.0016093212198531283,0.0003140643824006127,0.0005460354293916051,0.0004319207388818292,1.869529355069115e-05,0.4575019913823091
13.05,0.009964255580755381,0.014234002794841136,0.016673998556576745,0.01761063623538232,0.006413965616722631,0.007163741164236452,0.005860177403502591,0.017881655584627364,0.0176097581523353,0.001718202599223517,0.003723717450905827,0.003087176282779942,0.0026415671280219785,0.002671773842785656,0.0016752494608118348,0.0015779274080662702,0.0003098895498709552,0.0005393390941130671,0.00042529128384061497,1.843138976297764e-05,0.4543312838586972
13.100000000000001,0.00995740575684408,0.014130446969638813,0.0166473076077128,0.017575782404913313,0.0064129364517009485,0.007049673586634906,0.005763866462045485,0.01775321143894981,0.017478107265090435,0.001706064380872168,0.0036730199351744748,0.0030369568428544095,0.0026394582994699687,0.0026686379035267905,0.001642870987091098,0.0015471627996033815,0.0003059169976979168,0.0005326494275728543,0.0004187111289132944,1.8180037445317557e-05,0.45118698514264727
