Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_total_Krypton_relativistic_ready
2.25,0.037830419367163345,0.15064448239111938,0.06357437047670447,0.12714874095340895,0.04255856911210048,0.21383605965371477,0.42767211930742954,0.3722238833392877,0.5583358250089315,0.050496059069661633,0.017286848169258892,0.034573696338517784,2.0961810731872985
2.3000000000000003,0.037812820439921666,0.14960340189269908,0.06354314273507854,0.12708628547015707,0.04122657770964198,0.21019235657483934,0.4203847131496787,0.36962008595887896,0.5544301289383184,0.04612824056463288,0.016441437084898328,0.032882874169796655,2.069352064688542
2.35,0.03779484583640033,0.1485459879121156,0.06351007036127926,0.12702014072255852,0.03994029875636056,0.20647917566364618,0.41295835132729236,0.36690232097929387,0.5503534814689408,0.04207831247389217,0.01580059441451662,0.03160118882903324,2.0429847687453293
2.4000000000000004,0.0377764963003297,0.14747280516712852,0.0634750980868694,0.1269501961737388,0.03869986196930605,0.20270282480912505,0.4054056496182501,0.36407301846321266,0.546109527694819,0.03833753242393656,0.015325689407021283,0.030651378814042566,2.0169800789277796
2.45,0.03775777258920838,0.14638442340215785,0.06343817128243145,0.1268763425648629,0.037505207440168234,0.19886970513636973,0.39773941027273946,0.3611349565279035,0.5417024347918553,0.03489458592772037,0.014983527974873564,0.029967055949747128,1.9912535938600378
2.5,0.03773867547425826,0.1452814160825523,0.06339923602877084,0.1267984720575417,0.036356099177962474,0.19498627674900634,0.3899725534980127,0.3580912351235288,0.5371368526852932,0.03173622537514248,0.014745741186692243,0.029491482373384486,1.9657342658121457
2.5500000000000003,0.03771920574038564,0.144164359169831,0.06335823918613454,0.12671647837226907,0.035252138934156796,0.19105902584990447,0.38211805169980895,0.35494524893321244,0.5324178733998186,0.02884783044266471,0.014588224407703788,0.029176448815407575,1.9403631249512976
2.6,0.03769936418614704,0.1430338299795896,0.06331512846138872,0.12663025692277743,0.034192780166632915,0.18709443340571164,0.37418886681142327,0.35170065970902553,0.5275509895635383,0.026213890765635663,0.014490626393431023,0.028981252786862047,1.9150920791521633
2.6500000000000004,0.037679151623718196,0.14189040612247575,0.0632698524731039,0.1265397049462078,0.03317734200771429,0.18309894549391992,0.36619789098783984,0.3483613683358508,0.5225420525037762,0.02381841415617377,0.014435886622672176,0.028871773245344352,1.8898827885187968
2.7,0.03765856887886517,0.14073466452752703,0.06322236081450042,0.12644472162900083,0.03220502311154496,0.17907894544523228,0.35815789089046457,0.34493148689156095,0.5173972303373414,0.02164526533726542,0.014409818467382911,0.028819636934765823,1.8647056132654516
2.75,0.03763761679091656,0.13956718054621986,0.06317260411421158,0.12634520822842316,0.03127491526708751,0.17504072786915226,0.3500814557383045,0.34141531094754113,0.5121229664213117,0.019678441232554023,0.014400735365551821,0.028801470731103642,1.8395386332523775
2.8000000000000003,0.03761629621273595,0.13838852713479574,0.0631205340948257,0.1262410681896514,0.030386016674660767,0.17099047462715797,0.34198094925431594,0.33781729232871605,0.506725938493074,0.017902289424471127,0.01439911692737515,0.0287982338547503,1.8143667372165304
2.85,0.03759460801069386,0.13719927411179922,0.06306610362917182,0.12613220725834365,0.02953724479599848,0.16693423279567837,0.33386846559135674,0.3341420125272776,0.5012130187909164,0.016301676581653372,0.014397311815177281,0.028794623630354562,1.7891807795384211
2.9000000000000004,0.037572553064638685,0.13599998748727024,0.06300926679431745,0.1260185335886349,0.028727448700042253,0.16287789464048516,0.3257557892809703,0.3303941569395896,0.49559123540938443,0.014862113556507565,0.014389274253653325,0.02877854850730665,1.7639768022228006
2.95,0.03755013226786604,0.1347912288596683,0.0629499789232499,0.1258999578464998,0.02795542083886743,0.1588271796051329,0.3176543592102658,0.3265784900715737,0.48986773510736054,0.013569843547136463,0.01437033111760698,0.02874066223521396,1.738755319630442
3.0,0.037527346527086135,0.13357355487635456,0.06288819665421631,0.12577639330843263,0.027219908200086088,0.15478761829877535,0.3095752365975507,0.3226998318345073,0.4840497477517609,0.012411899272180268,0.01433697668493935,0.0286739533698787,1.7135206633757682
3.0500000000000003,0.03750419676238887,0.13234751675330736,0.0628238779777005,0.125647755955401,0.02651962279361078,0.15076453845309468,0.30152907690618935,0.3187630350308219,0.4781445525462328,0.011376134576822652,0.014286692314525172,0.028573384629050343,1.6882803846991452
3.1,0.037480683907206394,0.13111365984968248,0.06275698228101766,0.1255139645620353,0.025853251441654245,0.14676305280420343,0.29352610560840686,0.31477296410834793,0.4721594461625219,0.01045123531578854,0.01421778849779588,0.02843557699559176,1.6630447115342524
3.1500000000000004,0.03745680890827286,0.1298725232928403,0.06268747039051155,0.1253749407810231,0.025219464851170364,0.14278804884320376,0.2855760976864075,0.3107344752416676,0.46610171286250135,0.009626713776888817,0.014129266929078881,0.028258533858157762,1.637826057421724
3.2,0.03743257272558132,0.12862463964953552,0.06261530461134172,0.12523060922268345,0.02461692595752089,0.138844180368582,0.277688360737164,0.30665239778090614,0.4599785966713592,0.008892890340112388,0.014020700435701009,0.028041400871402018,1.6126385793718896
3.25,0.037407976332337556,0.1273705346390887,0.06254044876485114,0.12508089752970228,0.02404429753691486,0.1349358607647219,0.2698717215294438,0.302531517091497,0.4537972756372455,0.008240865528817524,0.013892128799502556,0.027784257599005113,1.587497781753128
3.3000000000000003,0.03738302071491077,0.12611072688452424,0.062462868223508335,0.12492573644701667,0.023500249093071274,0.13106725792347773,0.26213451584695546,0.2983765587932356,0.4475648381898534,0.007662485111839991,0.013743968683404228,0.027487937366808456,1.5624201632786061
3.35,0.03735770687278118,0.12484572769785635,0.06238252994342078,0.12476505988684156,0.0229834630305763,0.12724229071987497,0.25448458143974995,0.2941921743933041,0.44128826158995615,0.0071503004643791715,0.01357693604798885,0.0271538720959777,1.5374229041827068
3.4000000000000004,0.037332035818484335,0.12357604089592353,0.06229940249441966,0.12459880498883932,0.022492640133539403,0.12346462694851514,0.24692925389703027,0.2899829282958947,0.43497439244384206,0.006697525993944943,0.013391979602613752,0.026783959205227505,1.5125235907182748
3.45,0.03730600857755231,0.12230216264340867,0.06221345608771933,0.12442691217543866,0.022026504373409108,0.11973768262406163,0.23947536524812327,0.2857532861605489,0.4286299292408233,0.006297995085484827,0.013190223982944189,0.026380447965888378,1.4877399741654027
3.5,0.037279626188451646,0.12102458131992616,0.06212466260115778,0.12424932520231556,0.021583807074211515,0.11606462254716642,0.23212924509433283,0.2815076045723065,0.42226140685845975,0.005946115715285316,0.012972921482048901,0.025945842964097802,1.4630897616197602
3.5500000000000003,0.037252889702518124,0.11974377740830731,0.06203299560202776,0.12406599120405552,0.02116333046705905,0.11244836203626754,0.22489672407253508,0.2772501219791634,0.41587518296874504,0.0056368266233622205,0.012741411285696166,0.02548282257139233,1.4385904359211295
