Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(1),J_total_Au_relativistic
47.5,0.004287458461541654,0.0008002822342603983,0.002089911769163364,0.0014655509507738424,0.00017371078862056915,0.000633912063141675,0.0004923961077911782,0.00011084311930356096,8.833793653687128e-05,4.410095213245074e-05,0.0001649732294459735,0.00012909085699240963,3.187524616512893e-05,2.5346558854351584e-05,5.706520470531696e-07,4.7646724768600865e-07,8.888137821438907e-06,2.9438141784723917e-05,2.2097016480305366e-05,2.9079942541478827e-06,2.1498620213225655e-06,5.806490326235054e-07,0.02618721916663849
47.550000000000004,0.004281544311394623,0.0008001743905346013,0.002082434808085261,0.0014593150475269653,0.00017368376013299265,0.0006317702883087842,0.0004903261450347904,0.00011007385149364873,8.769741338522137e-05,4.40801516821272e-05,0.00016443113055823652,0.00012855275377078156,3.165237231811965e-05,2.516130162109322e-05,5.651415727247107e-07,4.717616653935646e-07,8.882952792633332e-06,2.9342140986314963e-05,2.2005141459187937e-05,2.8875852287068866e-06,2.1341266474407233e-06,5.802969796949968e-07,0.026109641745941665
47.6,0.004275635708917921,0.0008000639768289013,0.0020749851039090317,0.0014531062885650404,0.00017365794032586404,0.0006296346777475346,0.000488264428015416,0.00010931035690778753,8.706187877431198e-05,4.40599921930599e-05,0.0001638904010669259,0.00012801670478104155,3.143117921471169e-05,2.4977495960729633e-05,5.596884910692919e-07,4.6710599478932897e-07,8.877917480394092e-06,2.9246371309732128e-05,2.1913608600467523e-05,2.8673115027014962e-06,2.118498605275281e-06,5.799568588064837e-07,0.026032365865712833
47.650000000000006,0.004269732660654749,0.0007999509765874869,0.0020675625663766958,0.001446924560922352,0.00017363329558068208,0.0006275052286260123,0.00048621093299810645,0.00010855258939680976,8.643129148745223e-05,4.404046041741178e-05,0.00016335104287107846,0.0001274827054110185,3.12116534149699e-05,2.4795129849962372e-05,5.542921533378169e-07,4.6249966126098393e-07,8.873028975807459e-06,2.9150832634913725e-05,2.182241581408869e-05,2.8471748474261795e-06,2.102979555095684e-06,5.796280616801935e-07,0.02595539010029562
47.7,0.004263835173092503,0.0007998353736758097,0.0020601671054113636,0.0014407697520148872,0.00017360979272420323,0.0006253819379234535,0.00048416563619487326,0.00010780050319906318,8.58056106649749e-05,4.402154327413268e-05,0.0001628130577956694,0.00012695075101458298,3.0993781590962666e-05,2.461419136922614e-05,5.489519208521839e-07,4.5794209968649233e-07,8.868284411147156e-06,2.9055524975170603e-05,2.1731561322932003e-05,2.8271777471143106e-06,2.0875716816417937e-06,5.793100271036075e-07,0.025878713039549344
47.75,0.004257943252662916,0.0007997171523758641,0.002052798631118133,0.0014346417496400809,0.00017358739902398665,0.0006232648024326297,0.00048212851376662556,0.00010705405293704163,8.518479580103465e-05,4.400322784730453e-05,0.00016227644759241885,0.00012642083691237631,3.077755052581384e-05,2.4434668701777643e-05,5.436671651892682e-07,4.534327546639201e-07,8.863680956953858e-06,2.89604485020039e-05,2.1641043721279647e-05,2.807323200882956e-06,2.072277528334935e-06,5.790022510739722e-07,0.025802333287307227
47.800000000000004,0.004252056905742211,0.0007995962973815047,0.002045457053784975,0.0014285404419765578,0.00017356608218397428,0.0006211538187622164,0.000480099541825086,0.00010631319361404675,8.45688067404364e-05,4.398550138449956e-05,0.00016174121394059364,0.0001258929583925319,3.056294711276248e-05,2.425655013279242e-05,5.384372682240677e-07,4.489710805859034e-07,8.859215819041547e-06,2.886560356103995e-05,2.1550862013572046e-05,2.7876145319829547e-06,2.0570998771129206e-06,5.787042546587474e-07,0.025726249459997016
47.85,0.004246176138651253,0.0007994727937938028,0.002038142283883606,0.0014224657175838592,0.00017354581034010623,0.0006190489833391415,0.00047807869643468233,0.00010557788061087905,8.39576036754926e-05,4.3968351295151493e-05,0.0001612073584478034,0.00012536711071138852,3.0349958354229986e-05,2.4079824048469104e-05,5.332616220241314e-07,4.4455654154969114e-07,8.85488623557334e-06,2.8770990678172022e-05,2.146101563135692e-05,2.7680551970534264e-06,2.042041645880551e-06,5.784155354001529e-07,0.025650460185242016
47.900000000000006,0.0042403009576556915,0.0007993466271164415,0.002030854232070333,0.0014164174654021494,0.0001735265520559711,0.0006169502924109123,0.00047606595361441217,0.00010484806968255731,8.335114714290842e-05,4.395176514893971e-05,0.00016067488265079027,0.00012484328909419468,3.0138571360894146e-05,2.3904478935140756e-05,5.281396285952631e-07,4.401886111024093e-07,8.850689474343888e-06,2.86766105555119e-05,2.137150442748251e-05,2.748648581652738e-06,2.027105762540115e-06,5.781355343361403e-07,0.025574964100169507
47.95,0.00423443136896612,0.0007992177832511492,0.0020235928091868966,0.0014103955747519223,0.00017350827631849115,0.0006148577420479267,0.00047406128933968796,0.0001041237169550684,8.274939802069662e-05,4.3935730674186254e-05,0.00016014378801621417,0.00012432148873580589,2.992877335077079e-05,2.3730503378393606e-05,5.23070699486374e-07,4.358667718299391e-07,8.846622830392597e-06,2.858246405728987e-05,2.1282328647785568e-05,2.7293977737945533e-06,2.0122949854631666e-06,5.778636417969358e-07,0.025499759849237354
