Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_5s1/2(1),J_total_Nb_relativistic
2.3000000000000003,0.04032697066926461,0.13182042803677485,0.07374975837187721,0.15173615736992163,0.16551560756314904,0.19237981229624201,0.38961797797206915,0.3035461133415306,0.45841549967076356,0.05864359429199664,0.06765668522472142,0.12456677671627812,0.11256757378752481,0.002522717514031799,2.2730656728261454
2.35,0.04031021410869134,0.13114816640986143,0.0737322405649868,0.1516966917207902,0.16004247690712795,0.19055895975097947,0.38567714505766804,0.30278346463276773,0.4572290337232213,0.058545169557836015,0.0615377661405863,0.1131868689976952,0.10282529027493484,0.002407972861686163,2.231681460708833
2.4000000000000004,0.04029310707071,0.13046537558694263,0.07371365877179993,0.1516548377904043,0.15466055307177112,0.18867814259780083,0.3816115913204776,0.3019695888356296,0.4559634428225502,0.058511070265780625,0.056031251460547965,0.10301849378562174,0.09387742992009926,0.0023232749241167737,2.1927718182242524
2.45,0.04027565017821842,0.12977228000337182,0.07369397647610715,0.15161051452628152,0.14937483012671682,0.18673896508024695,0.3774251607750222,0.3011033947947659,0.45461710441060443,0.05850511497612072,0.051096126538596506,0.09397271689209129,0.08566874069698775,0.002262746886167602,2.156117322361299
2.5,0.040257844066429224,0.12906910625568246,0.07367315709526419,0.1515636408073375,0.144189891311127,0.18474317648620034,0.3731220001673534,0.30018391567733416,0.4531885913234774,0.05849687956342922,0.04669173691632392,0.08596241446413191,0.07814694773628085,0.0022212604780901266,2.121510562348462
2.5500000000000003,0.040239689382821006,0.12835608296923018,0.07365116401440723,0.15151413552268894,0.13910991211290374,0.18269266197793074,0.368706537144255,0.29921031274007065,0.4516766772338243,0.05846122146042081,0.042778163557182544,0.07890295148752796,0.07126268371501097,0.0021943798535042926,2.0887565731717785
2.6,0.04022118678708859,0.1276334406656599,0.07362796062050565,0.1514619176499824,0.13413866475660452,0.1805894330612872,0.3641834577619999,0.29818187823030257,0.4500803407346168,0.058377800651638764,0.03931653321925163,0.07271272532984294,0.06496940897356268,0.0021783036924897074,2.057673052134833
2.6500000000000004,0.04020233695109238,0.12690141163031285,0.07360351033621593,0.1514069063331625,0.12927952400898415,0.17843561776714562,0.3595576835037344,0.29709803743556884,0.44839876809175416,0.05823060606558701,0.03626926981375483,0.067313588432953,0.059223323353642575,0.0021698071768132625,2.0280903909007217
2.7,0.04018314055880685,0.1261602297796867,0.07357777665350078,0.15134902095959513,0.12453547420872002,0.17623345061615373,0.35483434796835195,0.29595834990391584,0.44663135470432247,0.05800749432720008,0.03360029262095603,0.0626311638946279,0.053983271520538355,0.0021661850827516117,1.9998515527991272
2.75,0.04016359830626813,0.12541013052906097,0.07355072316697868,0.15128818123646265,0.11990911742526474,0.17398526243530052,0.3500187733865487,0.2947625098635011,0.44477770532130695,0.057699746327465794,0.03127516712562393,0.05859506708192178,0.04921064335969858,0.0021651969101115086,1.972811822475514
2.8000000000000003,0.04014371090152077,0.12465135066039867,0.07352231360696924,0.15122430726635067,0.11540268265088925,0.17169347009193575,0.34511644711177025,0.2935103458758591,0.4428376330722192,0.05730164574192215,0.0292612140240696,0.055139045663333865,0.044869270838695165,0.002165014702357205,1.9468384522082909
2.85,0.040123479064563546,0.12388412819063259,0.07349251187220106,0.1511573196219471,0.11101803592977824,0.1693605662076267,0.34013299822509596,0.29220181976205956,0.44081115737640164,0.056810082478387876,0.027527581671583194,0.05220104958675405,0.04092532256572536,0.0021641740001303936,1.9218102265528874
2.9000000000000004,0.04010290352729454,0.12310870224044401,0.07346128206214911,0.1510871394197773,0.10675669132847872,0.16698910891072324,0.3350741743839041,0.29083702484503704,0.43869850080175893,0.05622418304712932,0.026045286905941926,0.04972324161039974,0.03734719713293183,0.0021615282014055587,1.8976169644173753
2.95,0.04008198503345523,0.12232531290363925,0.07342858850897002,0.1510136883929007,0.10261982265303578,0.16458171168276048,0.3299458190345472,0.28941618355461707,0.4365000849483768,0.05554496901199649,0.024787228818345684,0.0476519580493211,0.03410541617201132,0.0021562064685877107,1.874158975232565
3.0,0.040060724338573876,0.12153420111722743,0.07339439580900413,0.15093688896249646,0.09860827581972083,0.16214103334991048,0.32475384909935945,0.28793964444424075,0.4342165254359942,0.05477504398584645,0.02372817966279784,0.045937628457728925,0.03117251793226714,0.0021475752195135554,1.8513464836346814
3.0500000000000003,0.04003912220990793,0.12073560853230102,0.07335866885381424,0.15085666430826902,0.09472258178832704,0.1596697682666525,0.3195042332382375,0.2864078786701462,0.4318486260766648,0.05391830906416161,0.022844756710541186,0.044534662047842656,0.028522952071605944,0.0021352031601212817,1.829099034998593
3.1,0.040017179426385725,0.1199297773858186,0.07332137286073212,0.1507729384376057,0.09096296996951463,0.15717063673470716,0.3142029707748901,0.2848214759848416,0.42939737231525904,0.052979706133429,0.022115378476892458,0.043401307764097806,0.026132976236398837,0.0021188297567968943,1.8073448922573696
3.1500000000000004,0.03999489677854731,0.1191169503733868,0.07328247340288449,0.15068563625342185,0.08732938202059011,0.1546463756961202,0.3088560713677297,0.28318114029716257,0.42686392402080975,0.05196498813216041,0.021520208380598295,0.04249949409786416,0.02398055492640757,0.002098337003152512,1.7860204327508358
3.2,0.03997227506848446,0.11829737052313644,0.07324193643867152,0.15059468362063125,0.08382148594734867,0.1520997297352235,0.30346953549538436,0.2814876848510973,0.42424960771118403,0.050880515069599265,0.02104108854565251,0.041794653949201,0.02204526104885624,0.002073724305254285,1.7650695523097246
3.25,0.039949315109779886,0.11747128107078478,0.07319972834067172,0.1505000074311822,0.0804386904331438,0.14953344242008043,0.29804933581700593,0.27974202707494283,0.42155590829226297,0.04973307440818149,0.02066146612581063,0.0412555391226673,0.02030818049081772,0.002045086288975365,1.744443082426307
3.3000000000000003,0.039926017727445653,0.11663892533597443,0.07315581592394828,0.1504015356676025,0.07718015932013364,0.14695024800997372,0.29260139945802205,0.2779451831512893,0.41878446039082623,0.04852972427963349,0.020366314225018157,0.04085402838561485,0.018751819979551023,0.0020125933213347436,1.724098225176368
3.35,0.03990238375786081,0.11580054659997563,0.07311016647373299,0.15029919746499912,0.07404482617163553,0.14435286355154484,0.2871315912627809,0.2760982623568674,0.41593703935776416,0.04727765792113062,0.020142049203852024,0.040564932419742995,0.017360018428443705,0.0019764745314828852,1.703998009501814
3.4000000000000004,0.03987841404870822,0.1149563879848368,0.07306274777246487,0.15019292317146116,0.07103140884866098,0.14174398138236785,0.2816456980467226,0.27420246121949665,0.413015552015157,0.04598408767815464,0.019976445903300277,0.04036579845864524,0.016117861915139586,0.0019370031168945319,1.6841107715620105
3.45,0.03985410945891065,0.11410669233406551,0.0730135281261619,0.15008264440681776,0.0681384240379593,0.13912626205706471,0.2761494138723248,0.27225905753729357,0.410022027217271,0.04465614691653054,0.019858552082596136,0.04023671692328733,0.015011602388816403,0.0018944837249431142,1.6644096610840429
3.5,0.039829470858566064,0.11325170209491867,0.07296247639010528,0.14996829411970503,0.06536420167322925,0.13650232770755416,0.2706483263651447,0.2702694043029893,0.40695860629168756,0.043300808210507795,0.019778603156727827,0.040160131940796685,0.01402858015247445,0.0018492417072900735,1.6448721749716968
3.5500000000000003,0.03980449912888217,0.11239165920237872,0.07290956199381692,0.14984980664289912,0.06270689919553096,0.13387475584569647,0.26514790407884803,0.26823492357371537,0.4038275334226994,0.04192481622051516,0.0197279381306644,0.040120657256163796,0.013157150135691275,0.0018016140549772233,1.6254797188824792
3.6,0.03977919516211022,0.11152680496488912,0.0728547549653117,0.14972711774687583,0.06016451560330879,0.13124607361345517,0.25965348491119045,0.26615710032398987,0.40063114603482974,0.040534633738040275,0.019698917460030288,0.04010489871776993,0.012386611938703584,0.0017519418332380481,1.606217197013743
