Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(2),J_6s1/2(2),J_total_Hf_relativistic
2.0,0.010504921178542898,0.03658437335718,0.018311776828235777,0.02014176455230286,0.07266510418247578,0.04846262947067345,0.05153115510466278,0.03355578485937907,0.03425687938183732,0.09312808919166786,0.10077940760736863,0.10535150213904942,0.08884377052209147,0.09058471352649844,0.08680725547186778,0.0879315513826765,0.03328734867093362,0.06083341802882432,0.04770056097111456,0.03106497709085847,0.005408280974461343,4.3839043070994785
2.0500000000000003,0.01050383477803063,0.036541624822631284,0.01831158222290014,0.02014147507146573,0.07218047279641622,0.04844306884292694,0.0515048010898357,0.03355535298398806,0.03425639160516518,0.09030256982926022,0.09998543156499361,0.10432522444674974,0.08862251462859087,0.09033566140083814,0.08635542855291233,0.08743512940716149,0.032395852267565466,0.05546212034395921,0.043024463513101144,0.027997916296538673,0.004793675533193314,4.323697550142542
2.1,0.010502721718485621,0.036497878131666724,0.01831137307513107,0.020141164001022116,0.071687436347437,0.04842214188843052,0.051476626091610155,0.03355486823743657,0.034255844227744275,0.08750765107065475,0.09915475301576435,0.1032556045333502,0.08838221946080865,0.09006560433392033,0.085881258050306,0.08691580587109561,0.03173060692127391,0.05051179223452262,0.03880896719145419,0.025213948032439683,0.004283790297754405,4.2666686701704375
2.15,0.010501582011996254,0.03645313739331858,0.01831114869474443,0.020140830322076746,0.07118622796245903,0.048399795086536745,0.051446561169747905,0.033554325802336714,0.03425523183851978,0.08474708968838038,0.09828770321396701,0.10214348909544349,0.08812217263816041,0.08977381363142983,0.08538520093586256,0.08637416182331603,0.03125151728307286,0.0459685300372498,0.035027151580999186,0.022690652075586987,0.0038657779872048447,4.212543218325494
2.2,0.010500415670938113,0.03640740680515562,0.018310908377564935,0.020140472995648834,0.0706770833091594,0.048375974848070935,0.05141453753443893,0.03355372057806006,0.034254548711064335,0.08202443595637393,0.09738472374966163,0.10098986605235366,0.08784170693995903,0.08945961536763583,0.084867776096534,0.08581083595575098,0.030922094868075147,0.04181632062598443,0.03165121648723655,0.020407062653807265,0.003527551478801585,4.161052367735388
2.25,0.010499222707973706,0.03636069065256063,0.018310651405606865,0.02014009096297601,0.07016024041236966,0.0483506275841784,0.051380486644956716,0.03355304717492119,0.03425378879743289,0.079343029403489,0.09644636388719331,0.09979585844536305,0.08754020441129827,0.08912239461107734,0.08432955779702588,0.08522651756676435,0.03070945360508397,0.038037492107639674,0.028652956104531915,0.01834360283441464,0.0032578871479194884,4.111935686240379
2.3000000000000003,0.010498003136052165,0.036312993307994,0.018310377047258155,0.020139683145823702,0.06963593946997898,0.048323699774887145,0.05134434030750078,0.03355229990880188,0.03425294572253379,0.07670599554012753,0.0954732774027149,0.09856271772372378,0.08721710007558467,0.08876159916622801,0.08377116930425255,0.08462193979231077,0.030584248605944622,0.03461312574796694,0.026004166007704513,0.016482019179494944,0.003046483802640953,4.064943358203251
2.35,0.010496756968408941,0.03626431923024336,0.01831008455746775,0.02013924844679983,0.0691044226685441,0.04829513803729135,0.051306030772078584,0.033551472796236013,0.03425201277903823,0.0741162435344817,0.09446621895754158,0.09729181648747487,0.08687188523212176,0.08837674281238914,0.08319327672118332,0.0839978731415519,0.030520568438732555,0.03152342778776535,0.02367698693751894,0.014805316957995899,0.0028839866752777333,4.0198379093245
2.4000000000000004,0.010495484218565497,0.03621467296365967,0.018309773177936226,0.0201387857496747,0.06856593399880696,0.048264889193262425,0.0512654908282825,0.03355055954997402,0.03425098292284871,0.07157646481064871,0.09342604004579527,0.09598464075785938,0.08650411032276667,0.08796740802769823,0.08259658306770924,0.08335511936420437,0.030495790360640918,0.028748060950518455,0.02164419000958536,0.013297696168493413,0.0027619844030801594,3.9763954884785577
2.45,0.010494184900328989,0.03616405913737986,0.01830944213730956,0.020138293919705983,0.06802071907131843,0.04823290033659616,0.05122265389982073,0.03354955357504439,0.034249848769145434,0.06908913253704307,0.09235368455604177,0.09464278184622885,0.08611338735712928,0.08753324819247867,0.08198182263744144,0.08269450566863591,0.03049040706987376,0.026266436350518584,0.019879408371897847,0.011944488604364976,0.002672985587489348,3.9344067593993173
2.5,0.010492859027791944,0.03611248246453626,0.018309090651376026,0.020137771803968675,0.06746902493236408,0.04819911889950629,0.05117745413766507,0.03354844796532828,0.03424860258902789,0.06665650197008377,0.09125018398748576,0.09326792789177574,0.08569939189099808,0.08707398927212,0.08134975565167034,0.08201687930255686,0.03048783260930033,0.02405796721265938,0.018357320513483783,0.010732096173576199,0.002610380360501884,3.893677452888607
2.5500000000000003,0.010491506615331936,0.03605994774145298,0.01830871792326613,0.020137218231689895,0.06691109988038609,0.04816349271837666,0.051129826511682346,0.033547235500661944,0.034247236306767445,0.06428061161508625,0.0901166523617854,0.09186185513730047,0.08526186455759895,0.08658943098521152,0.08070116322498277,0.08132310250211751,0.03047419412885271,0.022102286337959985,0.01705379043321819,0.00964793065922783,0.0025683913931206833,3.854028627357011
2.6,0.01049012767761124,0.036006459846829576,0.018308323143655544,0.020136632014588433,0.06634719328309188,0.04812597009868642,0.051079706900620477,0.03354590864448031,0.03424574149768473,0.06196328516363839,0.08895428087169491,0.09042641901054585,0.08480061215587521,0.08607944746770753,0.08003684265123387,0.08061404781028188,0.030438115312589706,0.020379429618492605,0.015945969754693735,0.00868035509496711,0.002542017930372438,3.815296682188487
2.6500000000000004,0.010488722229576497,0.03595202374091205,0.01830790549097095,0.020136011947218892,0.0657775553954373,0.04808649987902464,0.05102703218032462,0.03354445954201336,0.03424410938666417,0.05970613416448496,0.08776433230756095,0.08896354507647519,0.08431550830418279,0.08554398744845008,0.07935760301368638,0.07989059376131764,0.030370496417922572,0.018869988146183243,0.015012366654573103,0.007818626903788687,0.0025269757184176052,3.7773331647910555
2.7,0.010487290286458366,0.03589664446465153,0.018307464131598745,0.02013535680732032,0.06520243717866872,0.048045031494113356,0.05097174031006349,0.03354288001904583,0.034242330847315976,0.05751056138308111,0.08654813530220969,0.0874752199232846,0.08380649367159723,0.08498307395539319,0.07866426111908363,0.07915362092486514,0.030264295071438893,0.017555231594410844,0.014232886186621652,0.007052842931655421,0.0025196350860897314,3.740004408450163
2.75,0.010485831863771158,0.035840327138850825,0.018306998220096533,0.020134665356169205,0.06462209012060514,0.0480015150367602,0.050913770416850516,0.033541161581248834,0.03424039640179446,0.05537776480349074,0.08530707843398795,0.08596348204198075,0.08327357580241107,0.08439680357535248,0.07795763775206214,0.07840400830015803,0.03011431122643866,0.016417205599645095,0.013588846254906544,0.006373886483439588,0.002516958937457366,3.7031910343198726
