Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(3),J_6s1/2(2),J_total_Ta_relativistic
1.55,0.010325814636430645,0.03628689216642901,0.01797421848880788,0.019832205748395546,0.0753880249495122,0.047656212580081764,0.05080541388094408,0.03294930899474121,0.03365772330906839,0.11847937707738346,0.10421136300294742,0.1106233371963585,0.08804386924873685,0.08994931974924196,0.08542896126991649,0.08677645169635707,0.06372297068728536,0.1344697505886296,0.12056516937698467,0.09363859597437174,0.020238769324143823,5.178127432251279
1.6,0.010325010647948453,0.03625500903342355,0.017974134039347466,0.019832078415356426,0.07500964302496368,0.04764744880926388,0.050793426348784414,0.03294919518280779,0.03365759409876025,0.11570978725685492,0.10378710311549505,0.11005248037022287,0.08796942581476344,0.0898641489619274,0.08527809811482827,0.08660541850951735,0.05815886616861124,0.12560786818031217,0.11111420431670088,0.08585752852773157,0.01802593224873995,5.071059827556894
1.6500000000000001,0.01032418122943828,0.03622214625320031,0.01797404137152925,0.01983193870222079,0.0746213575859995,0.04763786492496863,0.05078032426260273,0.03294906278568295,0.03365744381337569,0.11292622387071842,0.10333102147730024,0.10944069823053698,0.08788505929678958,0.08976775542585573,0.08511033609466308,0.0864159602340791,0.0532869272371682,0.11702863640390998,0.10213089648981831,0.07862514366002425,0.015983952756689134,4.969160950148521
1.7000000000000002,0.010323326389643148,0.03618830683570071,0.017973939975921553,0.01983178584408901,0.0742233538449101,0.04762741524242823,0.05076604667389926,0.03294890951660605,0.033657269865359545,0.11013358834806224,0.10284242096268453,0.10878736831130867,0.08778997104240256,0.08965926094920852,0.08492500782794461,0.08620744336591178,0.049058214392682604,0.10876522602188222,0.09363705310631261,0.07191422839941876,0.01411992308123794,4.872407432149406
1.75,0.010322446137572829,0.03615349387762373,0.017973829328894395,0.01983161905507402,0.07381582087536269,0.04761605341673849,0.05075053189610968,0.03294873289806198,0.03365706945235008,0.10733668036769389,0.10232069761260705,0.10809200894173153,0.08768335479121635,0.0895377830999939,0.08472152494235664,0.0859793239303773,0.0454220391129319,0.10084486020459395,0.08564686144141377,0.06569756483417433,0.012435345174880309,4.780720519225973
1.8,0.010321540482503642,0.03611771056190464,0.017973708892750354,0.019831437528526282,0.07339895146194837,0.047603732502111196,0.050733717593302426,0.03294853025390449,0.03365683954846761,0.10454018565601017,0.10176534377039889,0.10735428179911738,0.08756440156587245,0.08940244087312059,0.08449938065955087,0.08573114895728673,0.04232692427780783,0.09328902363319255,0.07816757367858779,0.05994817311410155,0.010927331870491764,4.693974353382915
1.85,0.010320609433978249,0.03608096015717988,0.017973578115858837,0.019831240437264534,0.07297294194756077,0.04759040501171538,0.05071554086951036,0.03294829870164766,0.033656576895811426,0.10174866457175286,0.10117595062649691,0.10657399351424177,0.08743230464885293,0.08925236040665885,0.0842581512126326,0.08546255675538701,0.03972144905850422,0.08611375494997099,0.07120023393394505,0.054639505065933076,0.00958965355004984,4.612003883599497
1.9000000000000001,0.010319653001805429,0.036043246017238184,0.01797343643279371,0.019831026933812168,0.0725379920787807,0.047576022978021326,0.050695938358553926,0.03294803514495096,0.03365627799619379,0.09896654150592524,0.1005522101722307,0.10575109634740044,0.08728626459178458,0.08908668068473576,0.0839974962045038,0.08517327612265675,0.03755497803130607,0.07933000275030275,0.06474042193889426,0.04974559784652624,0.008413631404867117,4.534612293841561
1.9500000000000002,0.010318671196059859,0.03600457158045797,0.01797328326447425,0.019830796150639204,0.07209430484944321,0.04756053801356108,0.050674846314213026,0.032947736266322594,0.03365593910313943,0.09619809511965298,0.09989391656695752,0.10488568796029298,0.08712549420521025,0.08890455916683479,0.08371715802079037,0.08486312462916615,0.0357782770576123,0.07294402709387587,0.05877899244417973,0.04524119493847789,0.007388886223439438,4.46157787488785
2.0,0.010317664027081886,0.03596494036923137,0.017973118018309406,0.019830547200409727,0.07164208634256333,0.04754390137201928,0.05065220070060569,0.032947398520065195,0.03365555621417779,0.09344744943734572,0.09920096692687087,0.10397801031511364,0.08694922347879379,0.08870517728637486,0.08341696041263832,0.08453200610615384,0.03434402069452378,0.06695783052281282,0.05330279369367839,0.04110184018356184,0.006503955720669464,4.392660295376584
2.0500000000000003,0.010316631505477292,0.03592435598937482,0.017972940088345248,0.019830279176234755,0.07118154557079817,0.04752606400956812,0.05062793728263228,0.03294701812548743,0.03365512506345484,0.0907185658071912,0.09847336154760183,0.10302844773790418,0.0867567043845288,0.08848774576522485,0.0830968063631045,0.0841799074692216,0.03320719760127129,0.06136960468262811,0.0482953522027381,0.03730394937040631,0.005746795109349572,4.32760625047701
2.1,0.010315573642117049,0.03588282212952656,0.01797274885541564,0.019829991151930397,0.07071289431562276,0.04750697664636072,0.05060199171634517,0.03294659106040417,0.033654641114690034,0.08801523573582784,0.09771120357626494,0.10203752418828008,0.08654721551865446,0.08825150969515348,0.08275667534693924,0.08380689499591183,0.032325421634412446,0.05617418074899302,0.04373751451110468,0.03382486300481579,0.005105175853983373,4.266154484786363
2.15,0.010314490448137075,0.035840342560531,0.017972543687296068,0.019829682182281236,0.07023634696539734,0.047486589828097635,0.05057429963910541,0.03294611305494719,0.033654099554503186,0.08534107459902529,0.09691469815185122,0.10100589978206306,0.0863200665415572,0.08799575334200871,0.0823966200878851,0.08341311016904586,0.03165915713395144,0.05136347389420089,0.03960803954688717,0.030642883208595456,0.004566996948642193,4.2080402003061605
2.2,0.010313381934937983,0.03579692113481033,0.017972323938860505,0.019829351303308842,0.06975212035250332,0.047464853987581684,0.05054479675938925,0.03294557958570742,0.03365349528613496,0.08269951622538814,0.09608415103582665,0.09993436661713005,0.08607460237886584,0.08771980463355242,0.08201676291072457,0.08299876518759469,0.03117186735097471,0.04692691392913005,0.035884137742977204,0.02773729719212274,0.004120521990203899,4.1529988713695465
2.25,0.010312248114184817,0.03575256178572336,0.01797208895224139,0.01982899753254531,0.06926043358972508,0.047441719506177205,0.05051341894610958,0.032944985870228954,0.03365282292358348,0.08009380834550799,0.09521996675744016,0.09882384395591835,0.08581020715114437,0.08742303929723873,0.08161729177764258,0.08256413823695921,0.030830095112615447,0.04285185599474988,0.03254195511557367,0.025088389344286893,0.003754554030737455,4.1007694965836095
2.3000000000000003,0.010311088997806793,0.03570726852691182,0.017971838056992557,0.019828619869311746,0.0687615079060533,0.04741713677509061,0.05048010231731938,0.032944326861873964,0.03365207678617847,0.07752700889464995,0.09432264630057577,0.09767537282051801,0.08552630780396553,0.08710488461971293,0.08119845609039733,0.08210956860068552,0.030603484717493322,0.039123966732084146,0.02955700218167953,0.02267744367147121,0.0034585588463543013,4.051097323724328
2.35,0.010309904597997023,0.03566104545163435,0.017971570570255127,0.019828217295001567,0.06825556648208522,0.04739105625639021,0.05044478332816671,0.032943597245076756,0.03365125089361314,0.07500198315299003,0.09339278436099394,0.096490110058146,0.08522237741463005,0.08676482280532834,0.08076056233161091,0.08163545168606051,0.03046475375578073,0.035727582723024155,0.026904528900469227,0.0204867380813765,0.0032227459311847673,4.00373608744656
2.4000000000000004,0.010308694927212241,0.035613896732088236,0.017971285796926296,0.01982778877336856,0.06774283428519563,0.04736342854368434,0.0504073988579733,0.032942791431004065,0.0336503389614526,0.07252140170363403,0.09243106620449523,0.09526932193605372,0.08489793815630671,0.08640239391644244,0.08030396961042069,0.08114223402686245,0.03038962309950331,0.032646039167353993,0.0245598478166108,0.018499531802154093,0.0030381152731155823,3.958449801902943
2.45,0.010307459998172518,0.03556582661871914,0.017970983029830953,0.019827333250819573,0.06722353790465085,0.047334204422378186,0.05036788629631183,0.03294190355363765,0.033649334397136466,0.07008773918516426,0.09143826415791113,0.09401437732559494,0.08455256390483727,0.08601719838358289,0.07982908516992188,0.08063040831786607,0.030356712752027535,0.029861967751171177,0.022498608306203607,0.016700047068246293,0.002896476824292031,3.91501415128977
