Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Fm_relativistic
71.2,0.002652598327443915,0.0005213604934997237,0.0013133770793163672,0.0006409233618507097,0.00011484143309104875,0.000403236148005582,0.00023577489021630552,4.314043944214322e-05,2.801699867160807e-05,3.1556030119069e-05,0.00011671780100908686,7.109617735945287e-05,1.5242850455302557e-05,9.986625774195595e-06,2.755195530920224e-07,1.9877592034522618e-07,8.711445035469543e-06,3.118750046848364e-05,1.8842889375612165e-05,3.5997700877519423e-06,2.3289927164170086e-06,3.78170556721468e-08,2.6631818419316194e-08,1.7069624764624721e-06,5.089045037481747e-06,2.5375042774145896e-06,7.973156350443195e-08,0.01477118124729034
71.25,0.0026499385123593456,0.0005212630884276488,0.0013103544017238795,0.0006389309628087357,0.00011484052677057202,0.00040235815410940434,0.0002350363095767177,4.2937139313281796e-05,2.7874419679588385e-05,3.155318157754975e-05,0.00011647065620098862,7.087358176547345e-05,1.5170428229479272e-05,9.93536549173142e-06,2.737203046098513e-07,1.9742299006231637e-07,8.710270041278673e-06,3.112205444695901e-05,1.878390132608321e-05,3.5826364103863554e-06,2.317016299358135e-06,3.758360317262323e-08,2.645822483777228e-08,1.70671211497153e-06,5.07855193518747e-06,2.529651845478307e-06,7.971590198054782e-08,0.014742696861862368
71.3,0.0026472808150364555,0.0005211648093988782,0.0013073391802988332,0.000636945156002656,0.00011483970140123954,0.0004014819327478431,0.00023430010931188846,4.273489262465278e-05,2.77326283222884e-05,3.155042589034808e-05,0.00011622395718778926,7.06516931214802e-05,1.5098383699128326e-05,9.884390539135508e-06,2.7193382903025596e-07,1.9608000114167017e-07,8.709128189087442e-06,3.105672225947265e-05,1.872510019327616e-05,3.5655969481272004e-06,2.3051115861333286e-06,3.7351988189394e-08,2.628598279929215e-08,1.7064653531018323e-06,5.068079665935541e-06,2.5218269789384583e-06,7.97000186837106e-08,0.014714287723910518
71.35000000000001,0.002644625235849551,0.0005210656559408016,0.0013043313971081054,0.0006349659191867833,0.00011483895289496621,0.0004006074823469589,0.00023356628223986445,4.253369347611521e-05,2.7591619935484556e-05,3.154776118545293e-05,0.00011597770400655266,7.043050941629646e-05,1.5026714741065268e-05,9.833699216776244e-06,2.701600288796249e-07,1.9474687556929025e-07,8.708018882568979e-06,3.099150405429343e-05,1.8666485807404098e-05,3.5486511190065097e-06,2.2932781059683537e-06,3.712201389623143e-08,2.6114941149862975e-08,1.7062221169922013e-06,5.057625723025409e-06,2.514028186921697e-06,7.968398332459576e-08,0.0146859535653365
71.4,0.0026419717751652943,0.0005209656276164422,0.001301331034252135,0.0006329932301870559,0.00011483827720638244,0.00039973480131669177,0.00023283482119359374,4.2333536002743515e-05,2.7451389884239645e-05,3.154518560876568e-05,0.0001157318966865052,7.021002864163214e-05,1.4955419244771794e-05,9.783289835736257e-06,2.683988074636454e-07,1.9342353596574634e-07,8.706941530334296e-06,3.0926399972516785e-05,1.8608057987533004e-05,3.5317982699368635e-06,2.2815153133998818e-06,3.689347263877317e-08,2.59449332568178e-08,1.7059823859952567e-06,5.047187601153045e-06,2.506253917177647e-06,7.96678817924764e-08,0.014657694117993933
71.45,0.002639320433342718,0.0005208647240241281,0.0012983380738649318,0.0006310270669008484,0.00011483767033251005,0.0003988638880510258,0.00023210571902096354,4.213441437460606e-05,2.731193356270958e-05,3.1542697323966566e-05,0.00011548653524910086,6.999024879210963e-05,1.488449511231601e-05,9.733160717740826e-06,2.6665006885784766e-07,1.9210990557763932e-07,8.705895545978922e-06,3.086141014652776e-05,1.854981653610458e-05,3.5150376791202967e-06,2.2698225907433026e-06,3.666615065935047e-08,2.577578220074605e-08,1.7057461906551117e-06,5.036762838340344e-06,2.498502593855256e-06,7.96517938532168e-08,0.014629509113929257
71.5,0.0026366712107332513,0.0005207629447971661,0.0012953524981140939,0.0006290674072967877,0.00011483712831244007,0.0003979947409281553,0.00023137896858483912,4.193632279654567e-05,2.7173246393951895e-05,3.15402945123819e-05,0.00011524161970808647,6.977116786529001e-05,1.4813940258273376e-05,9.683310195086868e-06,2.649137178985355e-07,1.9080590826945582e-07,8.704880348137911e-06,3.079653469854773e-05,1.849176123370285e-05,3.498368559591924e-06,2.2581992517383584e-06,3.6439835351568686e-08,2.5607307416625216e-08,1.7055136098355238e-06,5.026349058007646e-06,2.4907726617153276e-06,7.96357732374316e-08,0.014601398285688485
71.55,0.0026340241076807385,0.0005206602896035176,0.0012923742892008202,0.000627114229414567,0.0001148366472270127,0.00039712735831064867,0.00023065456276310096,4.173925550796134e-05,2.7035323829735357e-05,3.153797537285214e-05,0.00011499715006956644,6.955278386169837e-05,1.4743752609648026e-05,9.633736610572274e-06,2.631896601741331e-07,1.8951146851584742e-07,8.70389536054747e-06,3.073177373928882e-05,1.843389183414873e-05,3.4817900638357423e-06,2.2466445463059193e-06,3.621432417556387e-08,2.5439332773935758e-08,1.7052847670021344e-06,5.015944010069551e-06,2.483062633362347e-06,7.961983697117082e-08,0.014573361366681907
71.60000000000001,0.002631379124521462,0.0005205567581454769,0.001289403429359922,0.0006251675113647591,0.00011483622319849923,0.00039626173854561135,0.00022993249444868089,4.154320678259131e-05,2.689816135035088e-05,3.1535738121600776e-05,0.00011475312633206698,6.933509478484891e-05,1.4673930105794597e-05,9.584438317425695e-06,2.614778020169813e-07,1.882265113943713e-07,8.70294001211139e-06,3.0667127366738714e-05,1.837620806000206e-05,3.4653012893937988e-06,2.2351576663325407e-06,3.598943385604019e-08,2.5271697824893308e-08,1.7050598256877235e-06,5.005545609863104e-06,2.475371135537838e-06,7.960396816156331e-08,0.014545398091598834
71.65,0.0026287362615841636,0.0005204523501593511,0.0012864399008598376,0.0006232272313286332,0.000114835852390286,0.0003953978799648485,0.00022921275654959835,4.1348170928297915e-05,2.6761754464423912e-05,3.153358099210409e-05,0.00011450954848660037,6.911809864126982e-05,1.4604470698340644e-05,9.535413679236855e-06,2.597780504956133e-07,1.869509625787227e-07,8.702013736970395e-06,3.060259566509682e-05,1.8318709598544054e-05,3.448901285375019e-06,2.2237377523843257e-06,3.5765008168752666e-08,2.510427029402028e-08,1.7048389841974276e-06,4.995151973738621e-06,2.467696950482176e-06,7.958813201093549e-08,0.014517508196831229
71.7,0.002626095519190065,0.0005203470654151426,0.0012834836860026394,0.0006212933675579658,0.00011483553100656033,0.0003945357808850247,0.00022849534198899398,4.1154142286853184e-05,2.6626098708727748e-05,3.1531502234961695e-05,0.00011426641651672818,6.890179344052712e-05,1.4535372351109376e-05,9.486661069887206e-06,2.580903134075203e-07,1.8568474833247578e-07,8.701115974572482e-06,3.053817870388e-05,1.8261396098305475e-05,3.4325890597566755e-06,2.2123839012382387e-06,3.554092277833619e-08,2.4936953664212114e-08,1.7046224696397464e-06,4.984761450259162e-06,2.4600390488522265e-06,7.957229928845071e-08,0.01448969142083186
