Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(7),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Md_relativistic
25.900000000000002,0.005485556830463634,0.005684876801455508,0.008785911974775814,0.009465962471383793,0.003602654813949528,0.0021801029726914558,0.0016756227879648098,0.006870300683341315,0.006375653045332551,0.0010558102121770118,0.0013908153068377446,0.0007502317992198135,0.0018033358656878808,0.0017761655649300614,0.0008669531630343471,0.0007894539593217895,0.00029469713349794107,0.0004667275486866161,0.0002433341094629228,0.0003877472240591831,0.00038346510974192924,0.00012008304312971275,0.00010349753630586543,5.791276354180113e-05,7.983001061780316e-05,3.380354317274562e-05,3.0403181001321807e-06,0.20727126129648685
25.950000000000003,0.0054827334447494335,0.005656705717125718,0.008775107782617501,0.00944739674921871,0.0035966320045013583,0.002162088835509867,0.0016696022849159923,0.006833600144033237,0.006338918251110745,0.0010558052485747905,0.0013774453269802518,0.0007425713258142457,0.0017980755969515653,0.0017698164751952109,0.0008572303815352901,0.0007804060993634981,0.00029459304517133445,0.00046241831095246807,0.00024057115323584187,0.00038693767320454084,0.0003823860282125578,0.00011876498900830416,0.0001023352768737045,5.7875530318619765e-05,7.910371175072966e-05,3.341319108229825e-05,3.0382543582974517e-06,0.20637805938244302
26.0,0.0054799068105118665,0.005628639953379473,0.008764285901462122,0.009428822037857913,0.003590535453956749,0.0021442947765307457,0.001663718806577521,0.0067970522299529,0.0063023546323071125,0.0010557966125971025,0.0013641817987949593,0.0007350274917982728,0.001792787816307839,0.0017634492070480534,0.0008476198454777726,0.0007714648970585824,0.00029449894056288905,0.00045813623883514425,0.0002378464487694825,0.0003861186902896527,0.0003812990667801916,0.00011746158289092387,0.00010118627422348272,5.7841154037180307e-05,7.838164337274114e-05,3.302812642695666e-05,3.036329384754991e-06,0.20548980692183094
26.05,0.005477076938152453,0.005600679457415988,0.008753446469090325,0.009410238627385837,0.003584365621301552,0.0021267189126366512,0.0016579701646412604,0.006760656893084742,0.006265961961603359,0.0010557833187265836,0.0013510246597068412,0.0007275991295906904,0.0017874731209754384,0.0017570644044257566,0.0008381202471982291,0.000762629082469016,0.0002944142386233549,0.00045388148979726297,0.00023515968300795334,0.0003852903912227827,0.0003802043762132291,0.00011617265348233796,0.00010005035266333475,5.7809498400681343e-05,7.766384064750106e-05,3.264830890146311e-05,3.034531574447148e-06,0.20460647021332082
26.1,0.005474243838073648,0.005572824173506453,0.00874258962342416,0.009391646807136505,0.0035781229767047162,0.0021093593670382096,0.0016523541921281129,0.006724414076749129,0.006229740003469964,0.0010557644086628998,0.0013379738306856094,0.0007202850729066257,0.001782132106072304,0.0017506627061645724,0.0008287302939762272,0.0007538974005424927,0.0002943383711202777,0.00044965421321650615,0.00023251054125757276,0.0003844528930270097,0.00037910210715782285,0.00011489803051970239,9.892733674321604e-05,5.778042998357128e-05,7.695033723581963e-05,3.227369785304557e-05,3.0328575096809507e-06,0.20372801581211644
26.150000000000002,0.0054714075206787624,0.005545074043017161,0.0087317155025208,0.009373046865683105,0.0035718080012026986,0.002092214269400911,0.0016468687433294034,0.006688323715715511,0.006193688514295583,0.0010557389509328887,0.0013250292165830394,0.0007130841570087734,0.001776765364478899,0.001744244745924763,0.0008194487078758457,0.0007452686109486809,0.00029427078248500226,0.00044545455051446265,0.000229898707312478,0.00038360631376337226,0.0003779924100843993,0.00011363754956051398,9.781706131144135e-05,5.7753818198951666e-05,7.624116531519014e-05,3.1904252154119584e-05,3.0313101464186594e-06,0.2028544106229914
26.200000000000003,0.005468567996371892,0.0055174290044326295,0.00872082424456631,0.009354439090827692,0.0035654211863879403,0.002075281755968887,0.0016415116937455933,0.00665238573631503,0.006157807242515566,0.0010557060405021201,0.0013121907064672826,0.0007059952189519216,0.001771373486706371,0.0017378111521195705,0.0008102742255883911,0.0007367414879169651,0.0002942109296592438,0.00044128263528510445,0.00022732386357736682,0.0003827507724561195,0.0003768754352360049,0.0001123910552359277,9.671937831143436e-05,5.772953526581804e-05,7.553635560180419e-05,3.153993013804992e-05,3.029894905452988e-06,0.20198562195739
26.25,0.005465725275557844,0.005489888993378702,0.008709915987869436,0.009335823769591035,0.003558963034101403,0.0020585599696856943,0.0016362809400223878,0.006616600056552587,0.006122095928739571,0.0010556647983879829,0.0012994581739541207,0.0006990170978208654,0.0017659570607694477,0.0017313625478481234,0.0008012055982764485,0.0007283148200756679,0.00029415828194130893,0.0004371385934228428,0.0002247856911874062,0.0003818863890200248,0.00037575133257843643,0.00011115840185683915,9.563415795852152e-05,5.7707456176158495e-05,7.483593737557148e-05,3.1180689628675125e-05,3.028615192631213e-06,0.20112161753456856
26.3,0.005462879368642061,0.005462453942645615,0.00869899087085542,0.009317201188202567,0.003552434056129145,0.0020420470603121294,0.0016311743998843025,0.0065809665862183115,0.006086554305878251,0.0010556143712743989,0.001286831477535115,0.0006921486349618027,0.0017605166720639537,0.0017248995508321748,0.0007922415914192608,0.0007199874102927427,0.00029411232083204763,0.0004330225432501162,0.0002222838701253427,0.0003810132841897194,0.0003746202517521143,0.00010993945119668706,9.45612842535868e-05,5.768745866193163e-05,7.413993850767731e-05,3.082648806189695e-05,3.027469061424954e-06,0.2002623654288337
26.35,0.005460030286030548,0.005435123782211062,0.008688049032059848,0.009298571632090481,0.00354583477390292,0.002025741184541124,0.0016261900120657618,0.00654548522699849,0.006051182099269056,0.0010555539311282642,0.0012743104609026284,0.0006853886742073226,0.0017550529032488574,0.0017184227733565783,0.0007833809846594446,0.000711758075517943,0.00029407253988061204,0.0004289345956444673,0.00021981807933585336,0.00038013157945100397,0.0003734823420256593,0.00010873406825111871,9.350064649196917e-05,5.766942316194777e-05,7.344838548931436e-05,3.0477282665299424e-05,3.0264481608142017e-06,0.19940783398143788
26.400000000000002,0.005457178038129798,0.005407898439263211,0.00867709061012253,0.009279935385871942,0.0035391657182047885,0.002009640506109726,0.0016213257362397864,0.0065101558725858665,0.006015979026801081,0.0010554826748177097,0.0012618949532716655,0.0006787360620950709,0.0017495663341327314,0.0017119328222133926,0.000774622571651027,0.0007036256466264507,0.00029403844453009795,0.0004248748541650603,0.0002173879968371691,0.000379241396974096,0.0003723377522511305,0.00010754211644616336,9.24521295776198e-05,5.765323278867876e-05,7.276130345974545e-05,3.013303064068817e-05,3.0255390754510976e-06,0.19855799170561805
26.450000000000003,0.005454322635346722,0.005380777838223714,0.008666115743781403,0.009261292733343425,0.0035324274288757156,0.0019937431959082237,0.0016165795529443406,0.0064749784087893775,0.005980944799038997,0.0010553998237322725,0.0012495847696985128,0.000672189648080203,0.001744057541564535,0.0017054302986495263,0.0007659651599088111,0.0006955889682639653,0.0002940095519631406,0.0004208434151786004,0.00021499329983001042,0.00037834285954877394,0.0003711866308208849,0.00010636345392156349,9.141560660608582e-05,5.763877329502123e-05,7.207871623198387e-05,2.9793689291996247e-05,3.024726241814861e-06,0.197712807216918
26.5,0.005451464088088571,0.0053537619007706745,0.008655124571866459,0.009242643957471187,0.0035256204545281453,0.0019780474320864262,0.0016119494635064013,0.006439952713643261,0.00594607911934605,0.0010553046234050665,0.0012373797113961443,0.0006657482847417156,0.0017385270993286173,0.0016989157983178227,0.0007574075706590628,0.0006876468986932477,0.00029398539094753435,0.00041684036798461394,0.00021263366480387037,0.0003774360905213777,0.0003700291256260178,0.0001051979321217863,9.039093619014138e-05,5.7625933041035734e-05,7.140064631509055e-05,2.9459216058252964e-05,3.0239952327662623e-06,0.19687224921092522
26.55,0.005448602406762863,0.005326850545861588,0.008644117233293712,0.009223989340381851,0.0035187453522625266,0.0019625514001571386,0.0016074334899638105,0.006405078657515556,0.00591138168400611,0.001055196343137033,0.0012252795660463596,0.0006594108279827567,0.0017329755780438405,0.0016923899112314925,0.0007489486386915133,0.0006797983096421075,0.0002939655016819434,0.0004128657949400502,0.00021030876764068133,0.00037652121373362693,0.000368865384016344,0.00010404539712457423,8.937796504038465e-05,5.761460296067983e-05,7.072711493316295e-05,2.9129568442664387e-05,3.0233353400491023e-06,0.1960362864924131
26.6,0.0054457376017773155,0.005300043689756264,0.008633093867059197,0.009205329163353135,0.003511802687387779,0.001947253293096873,0.0016030296749849772,0.006370356103215987,0.005876852182344792,0.001055074275623353,0.0012132841081086449,0.0006531761372250137,0.0017274035450667356,0.001685853221721807,0.000740587212212683,0.0006720420861528374,0.0002939494356417683,0.00040891977158317197,0.00020801828371590475,0.00037559835346322016,0.0003676955527618817,0.00010290569321673134,8.83765348723326e-05,5.7604676528548554e-05,7.005814204217427e-05,2.8804703863883824e-05,3.022740773989183e-06,0.19520488804518996
26.650000000000002,0.005442869683539765,0.005273341246039704,0.008622054612232984,0.009186663706804682,0.0035047930331456715,0.0019321513114438052,0.0015987360817864855,0.0063357849061032095,0.005842490296849612,0.0010549377365820973,0.0012013930991257124,0.0006470430755972704,0.001721811564398587,0.0016793063083989552,0.0007323221527005102,0.0006643771264330771,0.0002939367554252305,0.00040500236675669534,0.00020576188799707753,0.0003746676343661766,0.000366519778015799,0.00010177866749802155,8.73864914171713e-05,5.759604972663155e-05,6.939374634654372e-05,2.848457948245249e-05,3.022210234810491e-06,0.19437802311950525
26.700000000000003,0.005439998662458099,0.005246743125644948,0.008610999607953237,0.009167993250289035,0.0034977169704390964,0.001917243663393028,0.0015945507940486716,0.00630136491419142,0.0058082957032891975,0.0010547860643851876,0.0011896062880257154,0.0006410105101182345,0.0017162001965963613,0.0016727497441159814,0.0007241523347602909,0.0006568023417081072,0.000293927034599735,0.0004011136427301494,0.000203539255139855,0.00037372918142088423,0.0003653382052787878,0.00010066417397825205,8.640769231391147e-05,5.758862101109416e-05,6.873394531743046e-05,2.8169152064966983e-05,3.0217450716910187e-06,0.19355566130593388
26.75,0.005437124548940183,0.005220249236875891,0.0085999289934203,0.00914931807248273,0.003490575087564222,0.001902528564889125,0.0015904719158292306,0.00626709596825632,0.005774268070831541,0.0010546186196917367,0.0011779234114211098,0.0006350773118737272,0.0017105699986873857,0.0016661840959357192,0.0007160766459819207,0.0006493166560745652,0.00029391985754856906,0.0003972536553214237,0.0002013500595815863,0.00037278311987381884,0.000364150979364828,9.95620758320074e-05,8.544001130066839e-05,5.758229127908958e-05,6.807875521418066e-05,2.785837793733116e-05,3.0213467160817114e-06,0.19273777257122965
26.8,0.0054342473533937835,0.005193859485430053,0.008588842907890805,0.009130638451177503,0.0034833679799464935,0.0018880042397160927,0.001586497571474907,0.006232977901940422,0.005740407062161286,0.0010544347850838381,0.001166344193904148,0.0006292423561883317,0.0017049215240876874,0.001659609925100631,0.000708093986798433,0.0006419190063555726,0.0002939148193179922,0.0003934224540174717,0.0001991939756324591,0.00037182957518689644,0.000362958244368308,9.84722451076889e-05,8.448333770363612e-05,5.757696383561114e-05,6.742819110928337e-05,2.7552213049990688e-05,3.0210143722742947e-06,0.1919243272469766
26.85,0.005431367086226501,0.005167573774421334,0.008577741490671822,0.009111954663271641,0.003476096249880472,0.0018736689195846556,0.001582625905531335,0.0061990105418577145,0.005706712333596063,0.0010542339647048654,0.0011548683483389973,0.000623504522791596,0.0016992553225239106,0.0016530277870054797,0.0007002032703458365,0.0006346083419572747,0.00029391152546477114,0.0003896200820941465,0.00019707067756425254,0.00037086867298642554,0.0003617601436324684,9.739456002042712e-05,8.353757140109508e-05,5.757254436039636e-05,6.678226691594143e-05,2.725061314160955e-05,3.020743835178172e-06,0.19111529597473964
26.900000000000002,0.0054284837578456955,0.005141392004402707,0.008566624881115037,0.009093266984761438,0.003468760506273479,0.0018595208442169883,0.001578855082651077,0.006165193707697639,0.005673183535201845,0.0010540155839003427,0.0011434955761504555,0.0006178626959788803,0.0016935719399587181,0.0016464382311727442,0.0006924034223242356,0.0006273836247267748,0.00029390959190421105,0.0003858465767351367,0.00019497983969673268,0.0003699005390136221,0.000360556819719135,9.632890073165309e-05,8.260261479581553e-05,5.75689408748968e-05,6.614099541633709e-05,2.695353395513782e-05,3.0205277622360713e-06,0.19031064962433064
26.950000000000003,0.005425597378658414,0.005115314073388882,0.008555493218610955,0.009074575690732785,0.0034613613643930284,0.0018455582614288883,0.0015751832874999218,0.006131527212328407,0.005639820310907339,0.0010537790888614455,0.0011322255676092675,0.0006123157647669433,0.0016878719185196,0.0016398418012307022,0.000684693380860238,0.000620243828811463,0.00029390864475873225,0.00038210196914998073,0.0001929211364817292,0.0003689252990766534,0.0003593484143797106,9.527514498663473e-05,8.167836466290508e-05,5.756606370932892e-05,6.550438828822243e-05,2.6660931442230625e-05,3.0203570539097785e-06,0.18951035921253495
27.0,0.0054227079590713195,0.0050893398768789315,0.008544346642583144,0.009055881055352877,0.003453899445618025,0.001831779427209427,0.0015716087246614968,0.006098010861899644,0.005606622298617409,0.0010535239462711836,0.0011210580021140254,0.0006068626230443623,0.001682155796431003,0.0016332390348941048,0.0006770720963706404,0.0006131879405197301,0.0002939083202070397,0.00037838628469113474,0.00019089424258492943,0.0003679430790041762,0.0003581350685273939,9.423316499192053e-05,8.076470651175984e-05,5.756382546982046e-05,6.487245612776351e-05,2.6372761894375136e-05,3.020222600279205e-06,0.18871439584732463
27.05,0.005419815509490615,0.005063469307878864,0.008533185292482502,0.009037183351862044,0.0034463753771936966,0.0018181826057981076,0.0015681296185402476,0.006064644455944328,0.0055735891303255085,0.0010532496429533213,0.0011099925484696436,0.0006015021697168717,0.0016764241079496977,0.0016266304639473634,0.0006695385314273843,0.0006062149581830556,0.0002939082643339305,0.0003746995429700699,0.00018889883296542554,0.0003669540046003349,0.0003569169222105935,9.32028264920821e-05,7.986151287835308e-05,5.756214100566492e-05,6.424520846756163e-05,2.6088981961222636e-05,3.02011670010586e-06,0.18792273071167934
27.1,0.00541692004032198,0.00503770225692417,0.008522009307781563,0.009018482852565712,0.003438789791990252,0.0018047660697595696,0.001564744213262842,0.006031427787480077,0.005540720432225167,0.0010529556855240806,0.0010990288651624143,0.0005962333088477211,0.001670677383303312,0.0016200166142301806,0.0006620916606237843,0.0005993238920194696,0.0002939081329807833,0.0003710417579723816,0.00018693458295305308,0.000365958201601187,0.000355694114587508,9.21839902986579e-05,7.896864606629928e-05,5.756092737669391e-05,6.362265379018498e-05,2.580954855162336e-05,3.020033783505841e-06,0.18713533509140898
27.150000000000002,0.005414021561970489,0.00501203861210231,0.00851081882796883,0.008999779828826474,0.0034311433282652208,0.0017915281000558585,0.001561450772578046,0.005998360643109703,0.005508015824820466,0.0010526416000466777,0.001088166600631624,0.0005910549497931317,0.0016649161486319416,0.0016133980056255446,0.0006547304704420128,0.0005925137639983703,0.0002939075915967704,0.00036741293817188595,0.00018500116832355427,0.00036495579563252414,0.0003544667839018389,9.117651575120887e-05,7.808596458811709e-05,5.756010382077479e-05,6.300479953893476e-05,2.5534418649780126e-05,3.019970383712609e-06,0.186352180438637
27.200000000000003,0.005411120084840549,0.0049864782590751605,0.008499613992543148,0.008981074551056284,0.0034234366294294666,0.001778466986116302,0.0015582475797551302,0.005965442803121097,0.005475474923035558,0.001052306931688733,0.001077405393537739,0.0005859660073329479,0.0016591409259327685,0.001606775152050023,0.0006474539591218426,0.000585783607706697,0.0002939063150908334,0.00036381308664368766,0.0001830982653716039,0.00036394691216905554,0.000353235067459608,9.018026500206812e-05,7.721333095794651e-05,5.755959172143957e-05,6.239165212850164e-05,2.5263549106171613e-05,3.019924481486122e-06,0.1855732384483481
27.25,0.005408215619335821,0.00496102108110142,0.008488394941008092,0.008962367288708785,0.00341567034381684,0.001765581025905019,0.0015551329374808521,0.005932674041586395,0.005443097336323196,0.001051951244382598,0.0010667448730271572,0.0005809654017965698,0.0016533522330076092,0.0016001485614462827,0.0006402611365306382,0.0005791324682164466,0.00029390398768445927,0.00036024220117620144,0.00018122555098173298,0.0003629316764949261,0.00035199910160704757,8.919510679009086e-05,7.63506182728059e-05,5.755931457565133e-05,6.178321695831313e-05,2.49968964717967e-05,3.0198944593471162e-06,0.18479848112280123
27.3,0.005405308175859155,0.00493566695905895,0.008477161812866408,0.008943658310271732,0.003407845124457444,0.0017528685259860905,0.0015521051677550698,0.005900054126460433,0.005410882668772276,0.001051574120488638,0.0010561846589935196,0.0005760520591842524,0.001647550583413317,0.0015935187357777676,0.0006331510240345878,0.0005725594019535243,0.00029390030276529427,0.0003567002743821089,0.00017938270269718488,0.00036191021366553693,0.00035075902170953344,8.822091855358091e-05,7.549771392666572e-05,5.755919796171601e-05,6.117949843064739e-05,2.4734416931901222e-05,3.0198780326332232e-06,0.1840278808062843
27.35,0.0054023977648125126,0.004910415771467094,0.008465914747614479,0.008924947883259567,0.0033999616288544966,0.0017403278015864323,0.0015491626117850339,0.005867582819678517,0.005378830519214417,0.0010511751604615066,0.0010457243623356,0.0005712249112838641,0.0016417364864149736,0.001586886171025473,0.0006261226543711765,0.0005660634765679261,0.0002938949627416298,0.0003531872938082391,0.00017756939878674124,0.0003608826484706426,0.0003495149621315343,8.725758626346728e-05,7.465451938863828e-05,5.7559169507349714e-05,6.058049997417922e-05,2.4476066365365668e-05,3.019871601480608e-06,0.18326141018000908
27.400000000000002,0.0053994843965969016,0.004885267394508918,0.008454653884736813,0.00890623627420609,0.0033920205187647524,0.0017279571766563857,0.0015463036298784066,0.005835259877253444,0.0053469404813295375,0.0010507539825194453,0.0010353635852117541,0.0005664828957831823,0.0016359104469417863,0.0015802513571867428,0.0006191750715228842,0.0005596437708052345,0.00029388767889779334,0.00034970324204435476,0.00017578531830955027,0.0003598491053986945,0.00034826705621754644,8.630500206240216e-05,7.382094591771759e-05,5.755915885791375e-05,5.998622407194082e-05,2.4221800517551113e-05,3.0198703383371562e-06,0.18249904221734603
27.450000000000003,0.005396568081612302,0.004860221702053421,0.008443379363700586,0.008887523748657259,0.0033840224599824627,0.0017157549839280691,0.001543526601335058,0.005803085049371824,0.005315212143750459,0.0010503102223166417,0.0010251019212909511,0.0005618249563778179,0.0016300729655456324,0.0015736147782760323,0.0006123073305921088,0.0005532993743794278,0.000293878171250476,0.00034624809683083345,0.0001740301411779942,0.00035880970860240475,0.000347015436273989,8.536306045467606e-05,7.299690779993419e-05,5.755909764483075e-05,5.939667229124041e-05,2.3971575239405827e-05,3.019868964743838e-06,0.18174075011468124
27.5,0.005393648830257596,0.004835278565677684,0.0084320913239502,0.008868810571164105,0.003375968122126847,0.0017037195649715151,0.001540829924337686,0.005771058080489677,0.005283645090166529,0.0010498435326186746,0.0010149389560003843,0.0005572500428748495,0.001624224538362176,0.0015669769123275736,0.0006055184976773054,0.0005470293878469887,0.0002938661684060271,0.0003428218311652319,0.00017230354821863009,0.0003577645818655033,0.0003457602335520342,8.443165421130217e-05,7.218231542149146e-05,5.755891945419436e-05,5.881184531234067e-05,2.372534672470437e-05,3.01986278401748e-06,0.18098650721993353
27.55,0.005390726652930499,0.0048104378546889575,0.008420789904901874,0.008850097005275767,0.0033678581784330453,0.0016918492702486206,0.0015382120158413046,0.005739178709427293,0.005252238899426246,0.0010493535829810743,0.0010048742667696671,0.0005527571112922502,0.0016183656570744913,0.001560338231399878,0.0005988076497503328,0.0005408329224823042,0.0002938514074187433,0.0003394244134077207,0.00017060522123123797,0.0003567138485706616,0.00034450157823134723,8.351067120979149e-05,7.137706991595572e-05,5.755855979558305e-05,5.82317429529112e-05,2.3483071676760358e-05,3.0198484014216166e-06,0.180236286976795
27.6,0.005387801560027486,0.0047856994361467195,0.008409475245938287,0.008831383313532648,0.0033596933055465342,0.0016801424591649523,0.0015356713114616498,0.005707446669463385,0.0052209931456389325,0.0010488400594310227,0.0009949074232716334,0.0005483451239541938,0.001612496808879129,0.0015536992015820251,0.0005921738745350058,0.0005347091001543526,0.00029383363365018063,0.00033605580738538325,0.0001689348430460123,0.000355657631668557,0.0003432395994047143,8.259999312108377e-05,7.058106079386299e-05,5.755795607108479e-05,5.765636418640216e-05,2.3244707355993684e-05,3.019823776401009e-06,0.17949006289912087
27.650000000000002,0.005384873561943727,0.004761063174884652,0.008398147486403235,0.008812669757459682,0.003351474183320963,0.00166859750011942,0.0015332062653625469,0.005675861688428487,0.005189907398275391,0.001048302664152217,0.0009850379876597353,0.0005440130495823157,0.0016066184764545574,0.0015470602830016684,0.0005856162703868386,0.0005286570532046597,0.0002938126006295138,0.00033271597249536503,0.0001672920975789284,0.00035459605364805143,0.00034197442506353427,8.169949629634025e-05,6.979416751476186e-05,5.7557047544536374e-05,5.708570715422049e-05,2.301021149441395e-05,3.0197876410325585e-06,0.17874780858431644
27.700000000000003,0.0053819426690730095,0.004736528933532574,0.008386806765596331,0.008793956597559726,0.003343201494619396,0.0016572127705518612,0.0015308153501422815,0.005644423488797636,0.005158981222267605,0.0010477411151729188,0.0009752655148020626,0.0005397598633830134,0.0016007311379319176,0.0015404219298347107,0.0005791339461739773,0.0005226759243265232,0.0002937880699149679,0.00032940486380686956,0.00016567666988531954,0.0003535292365074588,0.00034070618208415334,8.080905455246558e-05,6.901626438475017e-05,5.75557753109782e-05,5.651976917342515e-05,2.2779542102199688e-05,3.019738608442158e-06,0.17800949776034675
