Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(2),J_7p3/2(3),J_total_Ts_relativistic
86.55000000000001,0.0020452247836394155,0.0003279564264878377,0.0014060425901829018,0.0005223461305210538,7.217638783485918e-05,0.00039488791110418257,0.00020420720886546733,4.037824485096129e-05,2.222731616581921e-05,2.1892261317643193e-05,0.00011612155250828307,6.654287347321197e-05,1.5906958998420006e-05,8.928675551853176e-06,2.9749750362115134e-07,1.9004805447337362e-07,6.894389829453679e-06,3.4830000569951716e-05,2.0212208567622726e-05,4.641574838186889e-06,2.5871064808650904e-06,8.212150760385861e-08,5.20570567119408e-08,1.8131023865296046e-06,8.424731252538329e-06,4.430559088926431e-06,7.411749987713371e-07,3.9081797565004973e-07,2.941303759412539e-07,1.0188096928412599e-06,2.799243533556865e-07,0.01260263971623727
86.60000000000001,0.00204368805541387,0.00032795629168626565,0.0014038089646539525,0.0005210310063421147,7.212632951117255e-05,0.0003943527613952171,0.00020369281437732022,4.022707195389037e-05,2.213487370308352e-05,2.186369485628035e-05,0.00011597657476263624,6.637580540380902e-05,1.584697465047926e-05,8.891240953805762e-06,2.959283103127273e-07,1.889876364740712e-07,6.883812007610164e-06,3.478778737969357e-05,2.0161524834057703e-05,4.624021181212174e-06,2.57621868492077e-06,8.169288615231541e-08,5.177133709750298e-08,1.810254267967037e-06,8.414652293945438e-06,4.419477977663746e-06,7.384215136322432e-07,3.8920387267325216e-07,2.9366641257429915e-07,1.017595518065958e-06,2.792190533562342e-07,0.012583408032669554
86.65,0.0020421521917422334,0.0003279561368263163,0.0014015791206282433,0.0005197194399232688,7.207678596802641e-05,0.0003938181225604448,0.00020317976279661914,4.0076526418263e-05,2.2042850187035566e-05,2.1835380363428573e-05,0.0001158316762681148,6.620916502461745e-05,1.578724046610538e-05,8.85397719312824e-06,2.943681524322861e-07,1.8793361828093262e-07,6.873324186157263e-06,3.474559069267941e-05,2.0110968792504297e-05,4.606541760463938e-06,2.56538157488545e-06,8.126788000317443e-08,5.148835834886156e-08,1.8074286100973362e-06,8.404590721166415e-06,4.408443187009056e-06,7.356788793127187e-07,3.875969044970469e-07,2.932058519372672e-07,1.0163862922765437e-06,2.785181429033668e-07,0.012564218532008542
86.7,0.0020406171928862927,0.0003279559590831511,0.001399353052146463,0.0005184114213468554,7.202775330002397e-05,0.0003932839955399195,0.0002026680508170426,3.9926605413055764e-05,2.1951243575838695e-05,2.1807316112830427e-05,0.0001156868576105285,6.604295135336058e-05,1.5727755314629144e-05,8.816883432976104e-06,2.9281697384412575e-07,1.8688595856122304e-07,6.8629257651518215e-06,3.470341072687037e-05,2.0060540236468124e-05,4.5891364088562366e-06,2.5545950890404343e-06,8.084642543506775e-08,5.120806703785514e-08,1.8046246725793773e-06,8.394546176523113e-06,4.397454164101234e-06,7.329465744677918e-07,3.85996755092904e-07,2.9274849626885786e-07,1.015182071468963e-06,2.778217693915056e-07,0.01254507108671782
86.75,0.0020390830591055942,0.00032795575565350917,0.0013971307532544067,0.0005171069407219695,7.197922762367647e-05,0.00039275038126408446,0.00020215767513794586,3.977730612092099e-05,2.1860051838237832e-05,2.177950038759802e-05,0.00011554211937181708,6.587716340886339e-05,1.5668518070826693e-05,8.779958840855494e-06,2.912747187886331e-07,1.8584461626908428e-07,6.852616147493153e-06,3.46612477000347e-05,2.0010238970254585e-05,4.571804951099612e-06,2.543859156690161e-06,8.042844937230915e-08,5.093040153268238e-08,1.8018417425543147e-06,8.38451817901018e-06,4.386510197626352e-06,7.30224107765502e-07,3.844031330909538e-07,2.922941341426894e-07,1.0139829311322678e-06,2.771301026903253e-07,0.012525965569011893
86.80000000000001,0.0020375497906574462,0.00032795552375559467,0.0013949122180029964,0.0005158059881844016,7.193120507730076e-05,0.0003922172806538176,0.00020164863246437215,3.962862573811696e-05,2.176927295350174e-05,2.1751931480170048e-05,0.00011539746213006469,6.57118002110617e-05,1.560952761489207e-05,8.743202588599519e-06,2.897413318791529e-07,1.8480955064295196e-07,6.842394738886952e-06,3.461910182964345e-05,1.996006480821843e-05,4.554547202261329e-06,2.5331736965767753e-06,8.001386998582948e-08,5.0655292539840196e-08,1.7990791393245353e-06,8.374506129465017e-06,4.3756104257464835e-06,7.275110250992358e-07,3.8281577797731134e-07,2.91842536092314e-07,1.0127889393192883e-06,2.764432620384056e-07,0.012506901850679627
86.85000000000001,0.0020360173877969246,0.0003279552606289647,0.0013926974404483055,0.0005145085538965782,7.18836818209173e-05,0.0003916846946204777,0.00020114091950706455,3.94805614744387e-05,2.1678904911365758e-05,2.1724607692269038e-05,0.00011525288645951448,6.554686078101145e-05,1.555078283240994e-05,8.706613852344717e-06,2.88216758098866e-07,1.8378072120297502e-07,6.832260947812935e-06,3.457697333275628e-05,1.9910017573919493e-05,4.5373629664260725e-06,2.5225386154031326e-06,7.960259736369184e-08,5.0382663704211165e-08,1.796336218735424e-06,8.364509316762315e-06,4.364753845369105e-06,7.248069152795702e-07,3.8123446459107603e-07,2.913934525896525e-07,1.0116001297045463e-06,2.757612458577486e-07,0.01248787980291329
86.9,0.002034485850776877,0.00032795496353441776,0.001390486414651575,0.0005132146280474997,7.183665403614838e-05,0.0003911526240659487,0.0002006345329824759,3.933311055314872e-05,2.1588945711974583e-05,2.1697527334858688e-05,0.0001151083929305827,6.53823441408974e-05,1.549228261432826e-05,8.670191812507512e-06,2.867009427976733e-07,1.8275808774843704e-07,6.822214185496359e-06,3.453486242589814e-05,1.9860097099191673e-05,4.520252035469153e-06,2.5119538064774633e-06,7.919453424347723e-08,5.0112432260085805e-08,1.7936123772276208e-06,8.35452692496465e-06,4.353939322606951e-06,7.221114140088001e-07,3.796590057338158e-07,2.909466145238532e-07,1.0104164785486852e-06,2.7508389405289794e-07,0.012468899296237278
86.95,0.0020329551798479264,0.00032795462975388254,0.0013882791346792385,0.0005119242008526811,7.179011792611693e-05,0.0003906210698826854,0.00020012946961278026,3.918627021090854e-05,2.149939336582565e-05,2.1670688728101403e-05,0.00011496398210987337,6.521824931404216e-05,1.5434025856931246e-05,8.633935653760858e-06,2.851938316890988e-07,1.8174161035518974e-07,6.812253865883603e-06,3.449276932492805e-05,1.9810303223133463e-05,4.503214187953381e-06,2.5014191484918495e-06,7.878957679864946e-08,4.984450972586975e-08,1.7909070555296352e-06,8.344558041354135e-06,4.343165604267759e-06,7.194242060499246e-07,3.780892528382717e-07,2.905017361189824e-07,1.0092378881334242e-06,2.744108983768857e-07,0.012449960200586741
87.0,0.0020314253752584787,0.00032795425659030715,0.0013860755946029414,0.0005106372625540925,7.174406971534553e-05,0.00039009003295375875,0.0001996257261258832,3.904003769771037e-05,2.1410245893712693e-05,2.1644090201315965e-05,0.0001148196545601926,6.505457532491494e-05,1.537601146181236e-05,8.597844565010942e-06,2.836953708472094e-07,1.8073124937309875e-07,6.802379405621896e-06,3.445069424490109e-05,1.976063579102869e-05,4.486249188159416e-06,2.490934504445262e-06,7.838761547092041e-08,4.9578802635287396e-08,1.7882197419629452e-06,8.334601665264263e-06,4.3324313302077e-06,7.167450256107903e-07,3.765250947682073e-07,2.9005852006213497e-07,1.0080641774074227e-06,2.7374185544459147e-07,0.012431062385520735
