Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(6),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Er_relativistic
25.5,0.007956134539615136,0.0015414522095449229,0.008022777990590061,0.007367542484062664,0.0010419979698780934,0.0017868091406783356,0.0018882368734954983,0.0016542023500885213,0.0015132846755955057,0.00035793077020909134,0.0003902260234169184,0.0004229643990851658,0.0004189630568153281,0.00038297677825798945,1.5502242928437693e-05,1.4060152298451048e-05,6.221874741784764e-05,4.9470552263360604e-05,5.105294067948684e-05,3.7741044639849195e-06,0.10119237560754446
25.55,0.007945879443603289,0.0015313844203733301,0.007991003464403212,0.007333895599757032,0.001030243128811388,0.0017842176141716827,0.0018835865056473914,0.0016380690766069784,0.0014981119656525077,0.0003537857336799977,0.0003900094428959841,0.00042229407337407454,0.00041497230818992795,0.0003792126175080831,1.5263159234913266e-05,1.3840911547804586e-05,6.149648871526588e-05,4.945109895644639e-05,5.098144585083574e-05,3.7301788672118857e-06,0.10069616999032045
25.6,0.007935622992999406,0.0015214607572399072,0.007959316001174147,0.007300365584060565,0.0010186192834603094,0.00178159111725382,0.0018789059145315685,0.0016220974510216934,0.0014830954286662197,0.0003496837130120953,0.0003897844143826104,0.000421613123505516,0.0004110191993660443,0.0003754852315116644,1.5028026488558316e-05,1.3625328133200245e-05,6.078158486531615e-05,4.943063996275331e-05,5.090860161915646e-05,3.6865959802832027e-06,0.10020299778587732
25.650000000000002,0.007925365253493967,0.0015116796730660323,0.00792771579373632,0.007266952474117855,0.001007125487946159,0.0017789299265335002,0.0018741956246499,0.0016062858692800466,0.0014682334683727683,0.00034562447336674093,0.0003895508867838004,0.00042092164005470237,0.0004071034101683443,0.0003717942906700019,1.4796778085995869e-05,1.3413341803105974e-05,6.007399974551237e-05,4.940916299605123e-05,5.0834416936642825e-05,3.643390328891305e-06,0.09971283711041515
25.700000000000003,0.00791510629060156,0.0015020396317061045,0.007896203029518472,0.007233656301164017,0.0009957607942473069,0.0017762343240556463,0.001869456159991182,0.0015906327420503604,0.001453524503752199,0.0003416077767327934,0.0003893088140911916,0.00042021971578495864,0.00040322462212641894,0.0003681394674372578,1.4569346883453904e-05,1.3204890658419802e-05,5.937369655521119e-05,4.938665658823136e-05,5.0758901093832686e-05,3.600620635174653e-06,0.09922566629069444
25.75,0.007904846169660414,0.0014925391079346454,0.00786477789058578,0.007200477090586895,0.0009845242524343047,0.0017735045970686959,0.0018646880438809947,0.0015751364946200548,0.0014389669689137052,0.0003376333820608198,0.00038905815523814473,0.0004195074455435466,0.00039938251849419755,0.00036452043633300566,1.4345664798236825e-05,1.2999910537102616e-05,5.8680637841949296e-05,4.936311006714194e-05,5.068206370346029e-05,3.5583471370863725e-06,0.09874146381086686
25.8,0.007894584955831934,0.0014831765874322872,0.007833440553681039,0.007167414861989073,0.0009734149108998573,0.001770741037797155,0.001859891798836246,0.0015597955667936557,0.001424559312980923,0.00033370104539463786,0.0003887988739597181,0.0004187849261601852,0.00039557678426836067,0.00036093687395385066,1.4125663224739584e-05,1.2798335671270038e-05,5.799478552718107e-05,4.933851353604114e-05,5.060391469381111e-05,3.51660866632086e-06,0.09826020827140237
25.85,0.007884322714100249,0.0014739505667706763,0.007802191190265898,0.007134469629249715,0.0009624318165837317,0.0017679439432192801,0.0018550679464243013,0.0015446084127906975,0.0014102999999773289,0.000329810520000228,0.00038853093865548455,0.00041805225634821563,0.00039180710620578065,0.00035738845898418143,1.3909274088750438e-05,1.260010033782738e-05,5.731610093140628e-05,4.931285785436442e-05,5.052446430919094e-05,3.475407956438896e-06,0.09778187837431566
25.900000000000002,0.007874059509271758,0.001464859553396301,0.007771029966562104,0.007101641400586169,0.0009515740151926509,0.0017651136148498,0.0018502170071266,0.0015295735011435238,0.0013961875087117465,0.000325961556492037,0.00038825432225514725,0.000417309536608357,0.00038807317284000973,0.00035387487220607235,1.3696431138354504e-05,1.240514087395704e-05,5.664454479871263e-05,4.9286134619123996e-05,5.044372311237047e-05,3.4347102997534833e-06,0.09730645293872367
25.950000000000003,0.00786379540597469,0.001455902065613274,0.007739957043592778,0.007068930178615394,0.0009408405514152516,0.0017622503585275953,0.0018453395002066694,0.0015146893145950309,0.0013822203326639996,0.0003221539029567086,0.0003879690020869128,0.00041655686913500247,0.0003843746744968435,0.0003503957965083633,1.3487070993398898e-05,1.2213397319982738e-05,5.598007732078931e-05,4.925833614610151e-05,5.0361701982887917e-05,3.394455613541233e-06,0.09683391093953705
