Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(1),J_7s1/2(2),J_total_Bh_relativistic
18.150000000000002,0.005300689258076625,0.01149787061539806,0.00928670214450819,0.011535392726771707,0.00395792001696695,0.01039906144776483,0.0073988336383291236,0.014370175613592783,0.014335410453755783,0.003671957036457863,0.004024640128742598,0.004204624029536655,0.0022183126152838803,0.0022273680338839065,0.0066462393272801795,0.006319580110139798,0.0017332766093985223,0.0010706768196911247,0.0012500137897617355,0.0006693680250180006,0.0005903056867903376,0.0010982242309838309,0.0010337213925812635,0.0004268728372964614,0.0002026741944179517,0.00020441365895811493,5.0951629138545386e-05,3.536020976272713e-05,3.899750346937207e-05,0.47907807875763464
18.2,0.0052990124341974875,0.011461230745079916,0.00928221348253924,0.011524670160799598,0.0039412710334335585,0.010328534720373355,0.007328527485495499,0.014325880782844025,0.014285858400656895,0.003627472659843469,0.004021243045300129,0.00418326485897084,0.0022079218031990774,0.0022214473877756238,0.006578903319583989,0.006253719909501786,0.0017146385179015954,0.0010701961340481825,0.0012469135405177426,0.0006610589040988515,0.0005844782652002259,0.001089137711554871,0.001024758345974136,0.0004226170186717783,0.00020234399742456152,0.00020404816834143652,5.025385657376936e-05,3.495905106951629e-05,3.861498307522905e-05,0.47657067139064696
18.25,0.005297331812888382,0.01142462167858611,0.009277700375449947,0.011513900433271095,0.003925027595969033,0.010258268074133946,0.007258765908730414,0.014281522371264153,0.014236265511782196,0.0035834120928448605,0.004017665703686554,0.004161719547434104,0.0021979217287183095,0.0022158136729756744,0.00651218918690714,0.006188490122323948,0.0016960541714758858,0.0010697808476925112,0.001243712567112775,0.0006529691221773174,0.0005788345166856368,0.0010800925571695069,0.001015842458278993,0.0004183603425598985,0.00020204169959239858,0.00020366572471469373,4.957353624672758e-05,3.4569877387460774e-05,3.8232140394627153e-05,0.47408040002455876
18.3,0.0052956474003317995,0.011388043974945349,0.009273162819568876,0.011503083663532717,0.003909183396247134,0.010188263581925473,0.007189548490687653,0.01423710237669889,0.014186634074418473,0.003539777710687952,0.004013906017323643,0.0041399936108038795,0.002188302091213792,0.0022104574466286185,0.0064460927394023254,0.006123886188456587,0.001677528108941209,0.0010694255360930874,0.001240411483192899,0.0006450946761540865,0.0005733703595778109,0.001071089445002988,0.0010069742730259095,0.00041410418745742403,0.00020176580102584149,0.00020326629782087494,4.891037274215195e-05,3.419243201653776e-05,3.784910602733372e-05,0.47160710804659584
18.35,0.005293959202720247,0.011351498189867274,0.009268600811985508,0.011492219972747752,0.0038937321651327534,0.010118523274833497,0.007120874751600067,0.01419262279216374,0.014136966366091764,0.003496571708414404,0.004009962073611173,0.004118092570521792,0.002179052758637909,0.002205369449855178,0.0063806097775077645,0.006059903544167988,0.0016590647541667779,0.001069124932092697,0.0012370109810482656,0.0006374315928006158,0.0005680817612163053,0.0010621290257876094,0.0009981543086064765,0.00040984990488979894,0.0002015148396302021,0.00020284987664590114,4.826406951432565e-05,3.382644882759352e-05,3.746600864293461e-05,0.46915064074847096
18.400000000000002,0.005292267226256197,0.011314984875735932,0.009264014350549223,0.011481309483884013,0.0038786676732044524,0.010049049142274894,0.007052744150171343,0.014148085605598765,0.014087264654317467,0.0034537961038694337,0.004005832129697904,0.004096021950028162,0.0021701637663524968,0.0022005406058148,0.006315736093097699,0.0059965376232487795,0.0016406684160536113,0.00106887392378151,0.0012335118280345752,0.0006299759298468423,0.0005629647384436055,0.001053211924299683,0.0009893830587850649,0.0004055988190719435,0.00020128739075158988,0.00020241646865326005,4.7634333526373686e-05,3.3471672565231154e-05,3.708297354808066e-05,0.46671084533864843
18.45,0.005290571477152042,0.011278504581603444,0.009259403433868234,0.011470352321701517,0.0038639837312599563,0.009979843132128947,0.006985156084468523,0.01410349279962723,0.014037531196355611,0.0034114527407076672,0.004001514608296716,0.004073787271315902,0.0021616253159230194,0.0021959620177487422,0.006251467470604748,0.005933783858087132,0.0016223432886199151,0.0010686675523376467,0.001229914863078716,0.0006227237770087671,0.0005580153580489346,0.0010443387398446108,0.0009806609932066356,0.00040135222661075404,0.00020108206680087567,0.00020196609903486878,4.7020877727030645e-05,3.312787042085703e-05,3.670012200923224e-05,0.46428757093872014
18.5,0.005288871961630043,0.011242057853183884,0.009254768061308483,0.011459348612740058,0.003849674190804775,0.009910907150874776,0.006918109892814964,0.01405884635131806,0.013987768238971212,0.003369543291414449,0.0039970080935448045,0.004051394051601753,0.002153427773879381,0.002191624967005353,0.006187799688114518,0.005871637680715221,0.0016040934511849007,0.0010685010098379253,0.0012262209932680402,0.0006156712569576076,0.0005532297371630473,0.0010355100467398742,0.0009719885579006843,0.0003971113962478373,0.0002008975168628135,0.000201498809978164,4.6423418756857436e-05,3.279482263687611e-05,3.631757211394382e-05,0.46188066854280485
18.55,0.00528716868592228,0.011205645232847393,0.009250108232992478,0.0114482984853067,0.0038357329445241318,0.009842243063735049,0.00685160485468355,0.014014148231952194,0.013937978018199798,0.003328069260340174,0.003992311326909765,0.004028847800112835,0.0021455616704451085,0.0021875209110491915,0.00612472851843291,0.005810094523827488,0.0015859228686466473,0.0010683696370418609,0.0012224311905226883,0.0006088145262322006,0.0005486040436057648,0.0010267263947956516,0.0009633661757809032,0.0003928775686408918,0.00020073242629134482,0.00020101465994942539,4.584167232191346e-05,3.247230211520399e-05,3.593544035438458e-05,0.45948999095808163
18.6,0.005285461656270606,0.011169267259614465,0.009245423949798102,0.011437202069463175,0.003822153926738358,0.00977385269482574,0.006785640191589796,0.013969400406792771,0.013888162759117988,0.003287031986745173,0.003987423203142343,0.004006154014986416,0.002138017698236565,0.002183641481455557,0.0060622497301264615,0.005749149821771073,0.001567835391849675,0.0010682689211518762,0.0012185464883503062,0.0006021497760962943,0.0005441344961879562,0.001017988309792637,0.000954794247140237,0.00038865195618217603,0.00020058551629207783,0.00020051372299330453,4.527535118828055e-05,3.216006441342909e-05,3.55538422952915e-05,0.4571153927643869
