Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(4),J_7s1/2(2),J_total_Ds_relativistic
1.5,0.005290825030818628,0.01986274794498117,0.009228276557621587,0.012380545555277143,0.0433756243175813,0.025408335870290708,0.030360517350547497,0.019325191743782832,0.020309770502374952,0.07772203312043886,0.052745353781680264,0.06148582460767395,0.04473791296327605,0.04651884279822554,0.03469287212571999,0.0353484497473717,0.1146204189698473,0.10142732605390806,0.11682123220332853,0.09763480410440087,0.10186508567851837,0.09867716262493338,0.10117541496715764,0.08655697318794417,0.1541968885919482,0.13265454658292966,0.10817549811771919,0.10817549811771919,0.03419837657316823,7.373205593620138
1.55,0.0052906920217366685,0.0198575299467097,0.009228272839270702,0.012380534124468398,0.04331208848127103,0.025407965834346513,0.03035963142673369,0.019325189460368885,0.020309767449429042,0.07725107996468539,0.052731022588463156,0.061455228536653445,0.04473730525119281,0.046518057507615986,0.03469285856289655,0.03534843403362824,0.11206486169387016,0.10105848577640629,0.11606757001181597,0.09752686846953065,0.10172384918659423,0.09857331902791025,0.10104823062915148,0.07998364515237162,0.14746250639349087,0.1230987771422424,0.09946149240437734,0.09946149240437734,0.0321961446456266,7.219786683522025
1.6,0.005290554657123585,0.019852142493145486,0.009228268757313798,0.012380521537196147,0.043246572673666904,0.025407558703853948,0.030358657143325512,0.019325186781873564,0.020309763868662723,0.07676784786293851,0.052715313062314896,0.06142174855846948,0.04473659597531432,0.046517141423699344,0.03469284172251009,0.03534841452822561,0.10949116257995982,0.10065993292356559,0.11525930023524071,0.09740394288177744,0.10156345779309632,0.09845307601400478,0.10090164593128492,0.0739717290556299,0.14069593587015747,0.11390357894644527,0.0912915674368225,0.0912915674368225,0.030120869542575757,7.0717818776711905
1.6500000000000001,0.005290412937503808,0.019846585741104126,0.00922826428849031,0.01238050771842104,0.04317908670079944,0.02540711212833911,0.03035758897579182,0.019325183655846442,0.020309759690101372,0.07627262138478372,0.05269814725552972,0.061385231054156254,0.04473577248226686,0.0465160783555766,0.03469282096463297,0.03534839049259626,0.10690401070993978,0.10023082889276186,0.11439578455266698,0.09726476610155911,0.10138239225787632,0.09831495456660119,0.10073404009212202,0.06850872637602294,0.13393309677950543,0.10510838430908774,0.08364964669929369,0.08364964669929369,0.028014036800311587,6.929413533881436
1.7000000000000002,0.005290266863418367,0.019840859852284672,0.009228259408821661,0.01238049259081749,0.043109640652046505,0.025406623692913206,0.030356421257736903,0.019325180024880605,0.02030975483717731,0.0757656908828855,0.05267944623803648,0.06134552168727704,0.04473482107969964,0.046514850802835725,0.034692795553291585,0.035348361077771194,0.10430802345937991,0.09977041476539666,0.11347660689717227,0.09710806374528558,0.10117913349030336,0.0981574841739043,0.10054382182403362,0.0635777700644502,0.1272084796488075,0.09674479221030434,0.07651818503094009,0.07651818503094009,0.02591226993401674,6.792830385375486
1.75,0.005290116435424886,0.01983496499326079,0.009228254093613171,0.012380476074782576,0.04303824489758581,0.02540609091919669,0.0303551481838967,0.019325175826328794,0.02030974922635533,0.0752473522204911,0.05265913021842056,0.06130246572219,0.04473372700003378,0.04651343991301328,0.03469276464644521,0.03534832531295852,0.10170773412020508,0.09927801554029306,0.1125015766452721,0.0969325568646009,0.10095217411224085,0.09797921723655906,0.10032944549208946,0.059158229624030306,0.1205547705934845,0.08883683917476118,0.06987849434417638,0.06987849434417638,0.023846944932246917,6.662112001720549
1.8,0.005289961654097578,0.019828901335471664,0.009228248317456,0.012380458088445194,0.04296491008578002,0.02540551126626695,0.030353763813205367,0.019325170992014477,0.02030974276675193,0.07471790649519729,0.05263711866598489,0.06125590834219843,0.04473247436615815,0.046511825441864774,0.034692727285435584,0.03534828209353655,0.09910758011852583,0.09875304387899148,0.11147073017922741,0.09673697075149698,0.1007000301105919,0.09777874305252522,0.10008942641934634,0.05522631124478756,0.11400253748630178,0.0814013915863848,0.06371101950134274,0.06371101950134274,0.021844151481722862,6.537274131046135
1.85,0.005289802520027241,0.01982266905521265,0.00922824205422917,0.012380438547675485,0.04288964714049557,0.025404882131629117,0.03035226207193031,0.019325165447938168,0.0203097353597487,0.07417765975933861,0.05261333043364961,0.06120569496690402,0.04473104615924501,0.04650998571666451,0.0346926823839257,0.03534823016848513,0.09651189186386291,0.0981950033506716,0.11038433085526078,0.09652004387044621,0.10042125244074755,0.09755470116322439,0.09982235512411848,0.05175564353762403,0.10757997741622274,0.07444863147390708,0.057995574695903364,0.057995574695903364,0.019924885391101595,6.418274617520369
1.9000000000000001,0.005289639033821248,0.019816268333625646,0.009228235277101631,0.0123804173660945,0.04281246725835613,0.02540420085220956,0.030350636756873783,0.019325159113979282,0.020309726898600257,0.07362692273735762,0.05258768388148996,0.06115167156809012,0.04472942418885099,0.04650789760274396,0.03469262871635032,0.035348168127283607,0.09392488226175062,0.09760349116796868,0.10924286742345582,0.09628053681926826,0.10011443844670279,0.09730579387570885,0.09952691031632879,0.0487178407820047,0.10131272394142672,0.06798261003153477,0.052711548078723566,0.052711548078723566,0.018105388196455272,6.305019648830618
1.9500000000000002,0.0052894711961035505,0.019809699356689206,0.00922822795853438,0.01238039445508413,0.042733381905931664,0.02540346470537163,0.0303488815386391,0.019325151903593858,0.020309717268037257,0.07306601054051856,0.05256009700071228,0.061093684983471286,0.044727589065460344,0.046505536473465066,0.03469256490590475,0.03534809438630828,0.09135063691745776,0.09697820040845077,0.10804705095686715,0.09601724122245048,0.0997782429699622,0.09703079780744446,0.09920187052077038,0.04608303697570294,0.09522371145512626,0.06200184577970309,0.04783808036172206,0.04783808036172206,0.01639757346695238,6.197370137260164
2.0,0.005289299007514666,0.01980296231520842,0.00922822007028265,0.012380369723797288,0.04265240281686423,0.025402670909953184,0.03034698996495954,0.019325143723508447,0.02030970634386484,0.07249524237932743,0.052530487537868514,0.06103158322765706,0.04472552017561904,0.0465028761838117,0.03469248941210214,0.03534800717476686,0.08879310505428831,0.09631892171994928,0.1067978103580445,0.09572898846396591,0.09941138902740569,0.09672857433213883,0.09884612423394953,0.04382038531760091,0.08933309304102571,0.056499947126955226,0.043354221660913274,0.043354221660913274,0.014809496777658328,6.095148077938886
2.0500000000000003,0.005289122468711675,0.019796057404804498,0.009228211583398132,0.012380343079168344,0.042569541988931495,0.025401816627325467,0.03034495546408788,0.019325134473410534,0.020309693992557037,0.07191494127402065,0.052498773119110935,0.0609652157996906,0.044723195659798445,0.046499889047768354,0.034692400517933646,0.03534790452021147,0.08625609116564699,0.09562554451126372,0.1054962865207117,0.09541465817114864,0.09901267794777767,0.09639807883597215,0.09845867855731485,0.04189851903715531,0.08365820748545372,0.051466242010387665,0.039239069739082255,0.039239069739082255,0.013345839185852892,5.998142760835892
2.1,0.0052889415803682146,0.019788984825904122,0.009228202468231276,0.012380314425923807,0.04248481168104906,0.02540089896247282,0.030342771348244545,0.019325124045635765,0.020309680070847554,0.07132543376348503,0.05246487137428989,0.06089443398653726,0.04472059239311791,0.046496545819640724,0.03469229631666908,0.03534778423367607,0.08374324741580665,0.0948980576329707,0.1041438252326932,0.09507318636674963,0.09858099886714197,0.09603836872288429,0.09803866628252861,0.04028597068407751,0.07821359061764137,0.04688640015020998,0.035471891984951466,0.035471891984951466,0.012008383499588738,5.906116740470625
2.15,0.0052887563431744744,0.019781744783728527,0.009228192694433628,0.012380283666593257,0.0423982244102127,0.025399914965092803,0.030340430817122337,0.019325112324852352,0.020309664425317436,0.07072704961296991,0.052428700060699565,0.060819091161914085,0.0447176859690451,0.046492815679457664,0.03469217469833941,0.035347643894487975,0.0812580668001198,0.09413654955613435,0.10274196891331999,0.0947035732127558,0.09811533749524867,0.09564861013470562,0.09758535143364966,0.038951548092191784,0.07301102584674261,0.04274303616734459,0.03203223289976208,0.03203223289976208,0.010796469527916578,5.818811490403099
2.2,0.005288566757837189,0.01977433748828233,0.00922818223096023,0.012380250701520528,0.04230979294838164,0.02539886163071621,0.030337926961445594,0.019325099187742972,0.02030964689198005,0.0701201215209513,0.052390177186278614,0.060739043079868466,0.044714450686182336,0.0464886662225784,0.034692033335945636,0.03534748083480674,0.07880387707130479,0.09334120805962313,0.10129244728446152,0.09430489027675444,0.09761478407703178,0.09522808337652197,0.09709813329649992,0.03786466622082799,0.06805962863020582,0.03901628432255727,0.028900008443188234,0.028900008443188234,0.00970741951185896,5.7359526889744465
2.25,0.00528837282507963,0.01976676315434212,0.009228171046072075,0.012380215428875135,0.04221953031930394,0.025397735901846463,0.03033525276658172,0.01932508450268449,0.02030962729586388,0.06950498482550549,0.05234922113207518,0.060654148162532714,0.044710859538236246,0.04648406345361298,0.034691869671441555,0.035347292123947174,0.07638383543442834,0.09251231943946835,0.09979716707902239,0.09387628725940705,0.09707854048614876,0.09477618705950693,0.0965765489870507,0.036995634948751736,0.0633659596182801,0.035684337904823456,0.02605558829545221,0.02605558829545221,0.008736928559239233,5.657255099167743
2.3000000000000003,0.0052881745456416045,0.01975902200144475,0.009228159107338612,0.012380177744663943,0.04212744979528525,0.025396534669117943,0.030332401116202855,0.01932506812942587,0.020309605450593585,0.06888197721054669,0.05230575077378868,0.06056426778150112,0.04470688420725675,0.046478971784747615,0.03469168090154093,0.035347074552546195,0.07400092400932445,0.09165026725623912,0.09825820089423332,0.09341699812980396,0.09650592640034883,0.09429244099243114,0.09602027462848238,0.036315903646980154,0.05893416134921545,0.03272394830697708,0.02347986691417646,0.02347986691417646,0.007879417507579062,5.582427019341742
