Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_7s1/2(2),J_total_Sg_relativistic
0.9,0.0057283954028576325,0.021272193036295857,0.00995999478529179,0.012932642290029066,0.046713137178279934,0.02712136553401434,0.03181940426734161,0.020277815725773213,0.02123107409711319,0.0875873514381504,0.05657398406700843,0.06513130881657801,0.04737500355339916,0.04914284854766355,0.03686810993880094,0.03752259878006822,0.15106730332873758,0.11275730048445032,0.1307927891105802,0.10645375841889722,0.11108779061356987,0.11496493159037313,0.11851310114091197,0.20444487560794616,0.24075344675748378,0.26335389452872054,0.24839765588518858,0.04676138008132701,8.975672673882682
0.9500000000000001,0.005728297511558182,0.02126835279996987,0.009959993577890378,0.012932639121408863,0.046666175809480404,0.027121250501764633,0.03181915124145437,0.020277815458122097,0.021231073746393214,0.08721934143460294,0.05656928985185955,0.06512182639327846,0.04737492363174771,0.04914274644989241,0.03686810910757932,0.037522597821531674,0.14864256000313522,0.11261126167019936,0.13049177093093536,0.10643253530327532,0.1110594483312772,0.11492617019772874,0.11846014156541858,0.1897990743110925,0.2345925112057802,0.25096364845604646,0.23020880858642948,0.04668982836977527,8.803455552677837
1.0,0.005728194331604672,0.021264305828635744,0.009959992176389586,0.012932635412379807,0.046616729918330414,0.02712111593081992,0.03181885532253202,0.020277815110498528,0.021231073290910882,0.08683319769001509,0.05656381270877482,0.06511077474419533,0.04737482019836764,0.04914261435947489,0.03686810791565298,0.03752259644732861,0.14613172200265845,0.11244267444379831,0.13014607258006364,0.10640560166547076,0.11102356429337704,0.11487552781787366,0.11839161902625438,0.17564706361449584,0.22793362254028968,0.23809953927166444,0.2128498327340409,0.04657093992130461,8.631849580223488
1.05,0.0057280858634339675,0.021260052255541947,0.009959990560497026,0.01293263110485821,0.04656480795237407,0.027120959743196987,0.03181851197206765,0.020277814664891074,0.021231072707084634,0.08642918913054005,0.0565574732938793,0.06509799819216967,0.047374688105418325,0.04914244572677621,0.03686810623791648,0.03752259451344464,0.14354103135498428,0.1122497231765117,0.12975256141907915,0.1063719039637278,0.11097877812713115,0.11481070364236855,0.11830474498576023,0.1620738296286995,0.2208169931484413,0.22490441002364914,0.1963667560416557,0.04614759378994995,8.461293916387469
1.1,0.0057279721075053055,0.021255592220712504,0.009959988708892446,0.012932626137832996,0.04651041877509407,0.02712077976079079,0.031818116437753174,0.02027781410042804,0.021231071967592486,0.0860075962740061,0.05655018924556508,0.0650833358387229,0.04737452143511333,0.04914223302812056,0.03686810391578657,0.03752259183739674,0.14087684757368427,0.11203061291787805,0.129308238770346,0.10633028720975125,0.1109236075918544,0.1147292478841494,0.11819660643355773,0.14915029440237684,0.21328990473336407,0.21152064741578644,0.18078233868278795,0.0453052045375129,8.292401679121511
1.1500000000000001,0.005727853064300296,0.02125092587093837,0.009959986599229644,0.012932620447373346,0.04645357166335476,0.027120573706325552,0.031817663756261716,0.020277813393097262,0.021231071041006768,0.08556871091626049,0.05654187533229567,0.06506662194413025,0.047374313436270736,0.049141967686955765,0.03686810075071237,0.03752258819080149,0.1381456230287387,0.11178358197834612,0.1288102678763883,0.10627949821484471,0.11085645489363724,0.11462859775070897,0.11806421463320879,0.13693335402281448,0.20540535774187765,0.19808622773276113,0.16610201612507985,0.04402127198013017,8.125865118844262
1.2000000000000002,0.005727728734322912,0.021246053359768386,0.009959984208138465,0.012932613966636725,0.046394276304728484,0.027120339204348608,0.03181714875615145,0.02027781251545473,0.021231069891414493,0.08511283580605533,0.05653244360529999,0.0650476863180821,0.047374056460585616,0.04914163999497493,0.036868096496894764,0.03752258329104545,0.13535387835552345,0.11150691419535931,0.12825600008436985,0.10621819045672401,0.11077561513426074,0.11450611638917234,0.11790455507783826,0.12546618753775268,0.19722066559413712,0.18473142606907095,0.1523184528882139,0.04232915785708313,7.9623868139775675
1.25,0.005727599118099489,0.021240974847499827,0.009959981511226894,0.012932606625877254,0.046332542794706465,0.02712007378226647,0.03181656606088903,0.02027781143632232,0.021231068478023845,0.0846402843089842,0.0565218035558531,0.06502635471992534,0.04737374189895819,0.04914123903363839,0.03686809085318287,0.03752257679202314,0.13250817802925408,0.11119895079836534,0.12764299903854676,0.10614493051948885,0.11067928678053199,0.11435913331296135,0.11771463685296546,0.11477880207592914,0.18879604605364608,0.1715762215861098,0.1394149889319344,0.04029288975796685,7.802631756449744
1.3,0.005727464216178716,0.02123569050116852,0.009959978483083243,0.012932598352454456,0.04626838163379528,0.027119774871422603,0.03181591009199042,0.02027781012047504,0.021231066754757253,0.08415138006099339,0.05650986227683266,0.06500244926745839,0.04737336011821207,0.04914075259653883,0.03686808345412057,0.03752256827391415,0.1296151062280801,0.11085810179321477,0.12696906269110284,0.10605820602922447,0.11056558399980439,0.11418498493257756,0.11749153988076994,0.10488877697542208,0.18019325518885365,0.1587283897827388,0.12736822898272632,0.03799020100638835,7.647195703880661
1.35,0.005727324029131632,0.021230200494538578,0.00995997509727842,0.012932589070842358,0.04620180372450023,0.02711943980821636,0.031815175072277144,0.020277808528318137,0.021231064669831563,0.08364645661200533,0.056496524628233395,0.06497578885323771,0.04737290039853636,0.049140167113050026,0.03686807386012206,0.03752255723197789,0.12668124310345433,0.11048285679198751,0.12623224297110458,0.1059564349803209,0.11043255067201375,0.11398105397844319,0.1172324588244866,0.09580216866918623,0.17147430158748045,0.14628224112066546,0.11614998172753736,0.035501544873859425,7.496585919943584
1.4000000000000001,0.0057271785575516215,0.021224505008091688,0.009959971326368298,0.012932578702638944,0.046132820368196874,0.02711906583526247,0.03181435502924565,0.02027780661555441,0.02123106216532585,0.08312585706020414,0.05648169340631532,0.06494618956734081,0.047372350871983264,0.049139467573694764,0.03686806154676126,0.03752254306435183,0.12371314157111363,0.11007179522037525,0.12543086298150147,0.10583797632333997,0.1102781758587674,0.11374480679973739,0.11693474273755658,0.08751453835486031,0.16270027033993173,0.1343179433177567,0.10572871246622034,0.032903335552335385,7.351211178784526
1.4500000000000002,0.005727027802054408,0.021218604229016027,0.009959967141896165,0.012932567166575985,0.04606144326189195,0.02711865010259053,0.03181344379854753,0.020277804332842164,0.021231059176737378,0.08258993367754525,0.0564652695160561,0.06491346512552204,0.04737169846234911,0.04913863745766071,0.036868045893166695,0.037522525058846505,0.12071730473006455,0.10962359584127616,0.1245635316247026,0.10570114166452195,0.11010041048627939,0.11347382773123335,0.116595929830257,0.08001206589000372,0.15393027826727967,0.12290135113282157,0.09607063488839804,0.03026410983302166,7.21137857695381
1.5,0.005726871763278047,0.021212498351194733,0.009959962514395272,0.012932554378529207,0.04598768449487521,0.027118189668883866,0.03181243502757831,0.02027780162544418,0.021231055632526297,0.08203904752706065,0.05644715214657309,0.06487742730169095,0.04737092882676147,0.04913765866288413,0.03686802616952014,0.037522502378739074,0.11770016401043346,0.10913704554014417,0.1236291555878477,0.10554420791008108,0.10989718498147044,0.1131658499258376,0.11621377698450328,0.07327271568809376,0.14522057429224816,0.11208426111784484,0.08714053654828736,0.027642657658979136,7.07729524774795
1.55,0.005726710441882924,0.021206187575193998,0.009959957413391469,0.012932540251528821,0.04591155654526339,0.027117681502757125,0.03181132217917229,0.020277798432868102,0.021231051453649598,0.08147356807254139,0.05642723894917682,0.06483788636364053,0.047370026299288576,0.049136511439110374,0.036868001523664644,0.03752247404757502,0.1146680581439896,0.10861104732479977,0.12262694864904916,0.10536543067545798,0.10966642758937642,0.11281878224346725,0.11578628386881427,0.06726742342604046,0.13662379199944344,0.10190500810837493,0.07890240811496813,0.02508744182238098,6.949073511557842
1.6,0.005726543838551741,0.02119967210825073,0.009959951807405923,0.012932524695770404,0.045833072276437896,0.02711712248407198,0.03181009853540109,0.02027779468849867,0.021231046553084946,0.08089387278118605,0.05640542621771444,0.064794651510953,0.0473689738368789,0.049135174324327166,0.03686797096683466,0.03752243893299661,0.11162721304365184,0.10804462749977274,0.12155643829522897,0.10516305827073283,0.10940608309500106,0.11243073196032656,0.11531171168785084,0.06196127589973132,0.12818835547257193,0.09238932370979343,0.07131992779906045,0.022636829933205687,6.8267383384586005
