Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(2),J_7p3/2(4),J_total_Og_relativistic
28.450000000000003,0.004018904363978353,0.006338907807527321,0.006932824746550067,0.008519342980112027,0.002804643498309511,0.003655000044516988,0.0018191441538041291,0.0073660488677567745,0.006833483056910327,0.0009273719250309785,0.0022705148821031344,0.0011609643629586755,0.001782919873908363,0.0018444379859525954,0.0014826493883010221,0.0013324169841707003,0.0003746873574599731,0.0007914030308756034,0.0004541430756940482,0.00043540725489732906,0.0004600537782745083,0.00039856720167027673,0.0003576014076029771,0.00011163932232652144,0.00020136241945103889,0.00010911397121866126,6.990210184958265e-05,7.066180338128268e-05,2.006707279530111e-05,2.685447884841183e-05,7.84963373759789e-06,0.22390697342442467
28.5,0.004017490831096416,0.006317909908570002,0.006928215925485559,0.008506916871450195,0.002804554049211871,0.0036294011800101925,0.0018086377458293777,0.007336316927543621,0.006802624462720126,0.0009232314078097635,0.002259079253121142,0.001150136267951623,0.0017809613893484328,0.0018410382261396072,0.0014689526504848087,0.001319716392870157,0.00037149117243293197,0.0007884333055991772,0.00044991995184747813,0.00043530179701882737,0.0004596508203763894,0.0003950688943378806,0.0003543432109564289,0.00011055462670468343,0.00020069980894928954,0.00010810883629319016,6.989456103596106e-05,7.061475631998154e-05,1.9866940661827513e-05,2.6768853260415487e-05,7.777503298517009e-06,0.2230314576251809
28.55,0.004016075600821602,0.0062969542573306425,0.006923596064947425,0.008494478356681089,0.002804452734004677,0.0036039654037419155,0.001798281363787944,0.0073066616647946316,0.006771864036131642,0.000919187251316674,0.002247643546210133,0.0011394083462924298,0.0017789696798070152,0.0018376053778143238,0.001455383615612043,0.0013071380557374737,0.00036835378931609423,0.0007854469159064183,0.0004457287304529217,0.0004351898071998393,0.0004592376211083062,0.0003916000756524553,0.0003511137400392992,0.00010948866833396317,0.00020003164970741922,0.00010711074371764739,6.988623067767621e-05,7.056616606203424e-05,1.9670216254460766e-05,2.6682459512906695e-05,7.705967743945255e-06,0.22216033639992816
28.6,0.0040146586766779116,0.006276040939003697,0.006918965195576079,0.008482027586400225,0.0028043388894156604,0.0035786922209975077,0.0017880735115668941,0.007277083336362466,0.00674120192298069,0.00091523796483041,0.0022362086549741218,0.0011287802647142442,0.0017769448735114358,0.0018341397879308241,0.0014419411241522644,0.001294680821367242,0.0003652745139328178,0.000782444269883163,0.0004415694546617401,0.0004350711600779462,0.0004588141812800037,0.0003881605340992229,0.000347912772881663,0.00010844124672833374,0.00019935804522504478,0.00010611971738330684,6.987708001044804e-05,7.051602663155173e-05,1.9476863635435947e-05,2.6595306294352093e-05,7.634989049962288e-06,0.22129358368574228
28.650000000000002,0.0040132400621908145,0.006255170037586938,0.006914323348172471,0.008469564711113157,0.0028042118650210275,0.0035535811326453323,0.0017780127005595835,0.007247582193580911,0.006710638263124344,0.0009113820684961835,0.0022247754633003495,0.0011182516804500008,0.0017748871056767878,0.0018306418063668555,0.0014286240261006016,0.0012823435483144997,0.00036225265363079036,0.0007794257747619787,0.0004374421611990223,0.00043494573585528806,0.00045838050538833685,0.0003847500588124856,0.0003447400884759126,0.00010741216130763863,0.0001986790992911143,0.00010513577943855646,6.986707939495768e-05,7.046433281871646e-05,1.9286847225165747e-05,2.6507400822228688e-05,7.564514941690959e-06,0.22043117352773525
28.700000000000003,0.004011819760887227,0.006234341635885261,0.006909670553696822,0.008457089881230163,0.0028040710231310873,0.003528631635221477,0.00176809744971933,0.007218158482300368,0.006680173190492624,0.0009076180934216241,0.0022133448453215783,0.0011078222414737122,0.0017727965183001095,0.001827111785759203,0.0014154311809227841,0.0012701251050297319,0.00035928751742904456,0.0007763918368001623,0.00043334688048261047,0.0004348134201823303,0.00045793660151436836,0.00038136843959575193,0.0003415954667916185,0.00010640121145627916,0.00019799491593624924,0.00010415895031867441,6.985620029522863e-05,7.04110801625603e-05,1.9100131815458305e-05,2.641875051476785e-05,7.494493044026014e-06,0.21957308013767485
28.75,0.004010397776295496,0.006213555815514514,0.006905006843267362,0.008444603247060964,0.0028039157386759352,0.0035038432210139072,0.0017583262856112553,0.007188812442923496,0.0066498068331401735,0.0009039445817679318,0.002201917665381974,0.0010974915867389546,0.0017706732599581884,0.001823550081342694,0.0014023614574999303,0.0012580243697937975,0.00035637841616082094,0.0007733428611615375,0.00042928363674131075,0.000434674104043281,0.00045748248122232766,0.00037801546694119404,0.0003384786887897864,0.00010540819658039465,0.00019730559938641148,0.00010318924877550018,6.984441525623695e-05,7.035626492577404e-05,1.891668247511245e-05,2.6329364672594945e-05,7.424884803747334e-06,0.21871927795146093
28.8,0.004008974111945381,0.006192812656905337,0.006900332248159064,0.00843210495880948,0.0028037453990912087,0.003479215378146051,0.0017486977424623139,0.007159544310440981,0.006619539313297913,0.0009003600868363658,0.0021904947780064968,0.001087259346414534,0.001768517485608946,0.0018199570507927867,0.0013894137340731223,0.0012460402306527954,0.00035352466261233916,0.0007702792518019779,0.0004252524481322633,0.000434527683643147,0.00045701815946040913,0.0003746909320484487,0.0003353895364365211,0.0001044329161635553,0.00019661125401787403,0.00010222669190699003,6.98316978807894e-05,7.029988406270305e-05,1.873646437339129e-05,2.6239255726084762e-05,7.35567565420057e-06,0.21786974167051165
28.85,0.004007548771368035,0.00617211223930704,0.006895646799802377,0.008419595166568624,0.0028035594042039305,0.003454747590659835,0.0017392103622095442,0.007130354314467464,0.0065893707474246836,0.0008968631731501546,0.002179077027873719,0.0010771251421173404,0.0017663293563963635,0.0018163330540716845,0.001376586898187801,0.001234171585352894,0.0003507255716575409,0.000767201411358593,0.0004212533268574511,0.0004343740602964193,0.0004565436544633876,0.0003713946268427786,0.00033232779271611334,0.00010347516982098957,0.00019591198431347386,0.00010127129518664526,6.981802280601951e-05,7.02419351836957e-05,1.8559442568533056e-05,2.6148439710558408e-05,7.286878884661596e-06,0.217024446276348
28.900000000000002,0.0040061217580959875,0.006151454640791481,0.0068909505297819595,0.00840707402031512,0.0028033571661184595,0.0034304393385981373,0.001729862694546548,0.007101242679277578,0.006559301246258844,0.000893452416531911,0.0021676652497919892,0.0010670885871423743,0.0017641090394589023,0.001812678453277922,0.001363879846637973,0.0012224173412751233,0.00034798046038886235,0.0007641097410425015,0.00041728627927931875,0.0004342131403173756,0.0004560589876570289,0.000368126343992603,0.00032929324164355606,0.00010253475735236491,0.00019520789482012536,0.00010032307249279744,6.980336568009223e-05,7.018241652024455e-05,1.8385581818092566e-05,2.6056935827079253e-05,7.218532310633886e-06,0.21618336701461802
