Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(1),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Eu_relativistic
30.0,0.007114916271702561,0.0010901117249392956,0.004644558555755269,0.0040015549679156374,0.00027988092466853844,0.0012694171631146382,0.0011782322795294545,0.00042650878140501863,0.00038184091943695413,7.647825872186007e-05,0.000298205271381176,0.00027929634380195116,0.00010495538923625426,9.37770717586729e-05,1.535582788188573e-06,1.3857655439276222e-06,1.3209205109951555e-05,4.0564756603048855e-05,3.658397947789397e-05,8.838446950308287e-07,0.05662928612829439
30.05,0.007103039538183218,0.0010896466314259104,0.004621821893573581,0.003979712002319023,0.00027838214591184443,0.0012641979035497137,0.0011724683368806042,0.0004222381607518891,0.0003779227211285331,7.590213444966278e-05,0.00029707491895273426,0.000277995774739173,0.00010390105404688094,9.281087642179117e-05,1.5133810363480147e-06,1.3655152995358862e-06,1.3103105284339979e-05,4.0413999550321806e-05,3.641556044541844e-05,8.766783790219567e-07,0.05637468884207224
30.1,0.007091170920144232,0.0010892007515537771,0.004599188075680044,0.003957981370657225,0.00027691503814094085,0.001258987632104077,0.0011667225588840233,0.00041801297938755965,0.0003740471252476451,7.533738206865672e-05,0.00029594493045590923,0.0002766981063139067,0.0001028578991904128,9.185516768991457e-05,1.4915206513323358e-06,1.3455796056441142e-06,1.2999074007048596e-05,4.0263238727782e-05,3.624747940087036e-05,8.696858085090771e-07,0.056121543493856944
30.150000000000002,0.007079310472389586,0.0010887735741318732,0.004576656784987834,0.0039363626274720905,0.0002754790867028405,0.0012537865253817067,0.0011609950516600178,0.00041383273182907823,0.0003702136480714286,7.478382463162737e-05,0.00029481536896519615,0.00027540338486968464,0.00010182580230202929,9.090982806047776e-05,1.4699949198513609e-06,1.3259520061137983e-06,1.2897079356373171e-05,4.011248316370644e-05,3.607974259474864e-05,8.628439643861607e-07,0.05586984022857752
30.200000000000003,0.007067458249425609,0.0010883645952334423,0.004554227703408744,0.003914855327193971,0.00027407378321356914,0.0012485947568568136,0.0011552859181961194,0.00040969691836362644,0.000366421811515192,7.424128729477511e-05,0.00029368629666800926,0.00027411165577072847,0.0001008046423578372,8.997474135410675e-05,1.4487983220640171e-06,1.3066273377913552e-06,1.2797089784613214e-05,3.996174203891452e-05,3.5912356763903485e-05,8.561277157086379e-07,0.055619569272351094
30.25,0.007055614305461303,0.001087973318123147,0.0045319005118848316,0.0038934590241723977,0.0002726986255058882,0.0012434124969012408,0.0011495952583872224,0.00040560504498270107,0.00036267114306656506,7.370959730160928e-05,0.00029255777486932434,0.00027282296341243055,9.979429966091047e-05,8.904979270030073e-05,1.4279264834659642e-06,1.2876016771248618e-06,1.2699074109165082e-05,3.9811024664673524e-05,3.574532909242798e-05,8.495148418118497e-07,0.05537072094133747
30.3,0.0070437786944086735,0.0010875992531846645,0.004509674890419716,0.003872173272706316,0.000271353117577,0.0012382399128119466,0.001143923169075483,0.00040155662331701027,0.0003589611757203887,7.318858396677089e-05,0.0002914298639964541,0.00027153735123182897,9.87946558274404e-05,8.813486852323671e-05,1.4073759003133663e-06,1.2688720372845107e-06,1.260300150565258e-05,3.9660340403115265e-05,3.5578667041766587e-05,8.429902201205783e-07,0.05512328564668853
30.35,0.007031951469883074,0.001087241917848721,0.004487550518109531,0.0038509976270738916,0.00027003676953624996,0.0012330771688385622,0.0011382697440899838,0.00039755117057208174,0.00035529144791433874,7.267807865979138e-05,0.00029030262360395096,0.0002702548617180743,9.780559377299844e-05,8.722985652769933e-05,1.3871435059549883e-06,1.2504358951598554e-06,1.2508841504077813e-05,3.950969854627761e-05,3.5412378085107987e-05,8.365484025046541e-07,0.054877253894697144
30.400000000000002,0.007020132685203549,0.0010869008365215725,0.00446552707317351,0.003829931641561877,0.00026874909755283754,0.00122792442621101,0.0011326350742861496,0.00039358820946457096,0.0003516615034652723,7.217791478879293e-05,0.00028917611237863074,0.0002689755364228817,9.68269976989111e-05,8.633464568513523e-05,1.367226173282273e-06,1.2322906492397153e-06,1.2416563988330987e-05,3.935910817949543e-05,3.524646940297586e-05,8.301941288410596e-07,0.05463261628219397
30.450000000000003,0.007008322393393183,0.001086575540513931,0.0044436042329842424,0.0038089748704945472,0.00026748962380354933,0.0012227818431671772,0.0011270192475849156,0.00038966726815926677,0.00034807089150629264,7.168792778413718e-05,0.000288050388144712,0.00026769941597096783,9.585875307874933e-05,8.544912621983446e-05,1.3476202592524543e-06,1.2144331189070277e-06,1.232613919866297e-05,3.9208578059006195e-05,3.508094760651014e-05,8.239406480263629e-07,0.05438936348800427
30.5,0.006996520647179456,0.0010862655679703364,0.004421781674097572,0.0037881268682622166,0.0002662578764205269,0.0012176495749806312,0.0011214223490116435,0.00038578788020678675,0.00034451916642452444,7.120795508202819e-05,0.00028692550786906597,0.00026642654007046713,9.490074664493291e-05,8.457318959523923e-05,1.328321289399034e-06,1.196859196166738e-06,1.223753773605775e-05,3.9058116531295035e-05,3.491581855003808e-05,8.178061780121272e-07,0.054147486262125455
