Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(2),J_total_Fl_relativistic
40.6,0.0038790276082386,0.0021590547795759594,0.005655755082010631,0.005279442988638424,0.001838051085914372,0.000820387786489273,0.0012881580660650295,0.0021465700099099227,0.001766614044676919,0.0006966723177298837,0.000321611349359055,0.00033657339155912145,0.0007721232172426502,0.000665272095379165,0.00012374512450570924,0.00010386356965668558,0.00022526180383068632,0.00011380391797481093,9.4472912495693e-05,0.00021184050489645267,0.00018276516711760588,3.1520667040065784e-05,2.6161481343665192e-05,5.6909807463370954e-05,2.7327621264934762e-05,1.8784193031653584e-05,2.7280912617093217e-05,2.1478111906969602e-05,7.205350918575549e-06,1.8701760605653702e-06,0.090095433831247
40.650000000000006,0.0038769863591591068,0.002149377179373645,0.005648415325122074,0.005267219565821566,0.001831581896785786,0.0008190324211305078,0.0012877020594877812,0.0021357636949362606,0.001756911381153149,0.0006948516973850685,0.0003196922238288056,0.0003365655172044096,0.0007686860859515587,0.000661931869560015,0.0001226582627824387,0.00010292262167829901,0.00022476188098765845,0.0001129982182099995,9.445267387257895e-05,0.00021094434162390608,0.0001818798477868013,3.1245258504011304e-05,2.592549099123851e-05,5.6790801018796814e-05,2.7127118383293985e-05,1.8778497102510592e-05,2.7166967594174235e-05,2.1375086920959953e-05,7.190336043511986e-06,1.8564057193785429e-06,0.08981723648227478
40.7,0.003874944268768635,0.002139740698861398,0.0056410759462153645,0.005255013579032546,0.0018251182856207594,0.0008177003138522832,0.0012872369824790942,0.0021250106621905356,0.001747261252412348,0.0006930256358315677,0.0003177953637956725,0.000336558742430499,0.0007652609850252657,0.0006586059818864695,0.00012158150052708542,0.00010199066075943234,0.00022425928228716598,0.0001122011446287146,9.443356668615091e-05,0.00021005076268472805,0.0001809979212447762,3.097238258493605e-05,2.569173487125667e-05,5.667104955085424e-05,2.692871670763535e-05,1.8773080579143006e-05,2.7053315036158314e-05,2.127242023981921e-05,7.175245399419086e-06,1.8428019409670408e-06,0.0895401321299155
40.75,0.0038729013413498293,0.002130145225387859,0.00563373698890915,0.005242825073268993,0.0018186604151052778,0.000816391178617236,0.0012867628092608132,0.002114310680920913,0.0017376633999104283,0.0006911942378893158,0.00031592057596104743,0.00033655297859676065,0.0007618479172078204,0.0006552944066547785,0.00012051473974149975,0.00010106759744577218,0.00022375404313981865,0.00011141262960329654,9.441555206116766e-05,0.00020915977685690183,0.00018011938730336867,3.0702015139667825e-05,2.5460191056865326e-05,5.655056192064083e-05,2.6732400308920958e-05,1.8767934953725797e-05,2.6939949570244813e-05,2.1170102796528375e-05,7.160088259665937e-06,1.8293583891857577e-06,0.08926411539777056
40.800000000000004,0.0038708575811817253,0.002120590646224203,0.005626398496686525,0.005230654093026385,0.0018122084463986826,0.0008151047317587733,0.0012862795156102032,0.0021036635209398884,0.001728117565997063,0.0006893576080563991,0.00031406766803271027,0.00033654813857150674,0.0007584468845582926,0.0006519971176745658,0.00011945788340757908,0.00010015334320016833,0.00022324619898580412,0.00011063260575484739,9.439859171190652e-05,0.00020827139265953396,0.00017924424556834727,3.0434132257653075e-05,2.5230837838963454e-05,5.642934701263905e-05,2.6538153307882505e-05,1.8763051851104068e-05,2.6826868063393834e-05,2.1068128539868188e-05,7.144871485934802e-06,1.8160673668699567e-06,0.08898918096145836
40.85,0.0038688129925397354,0.002111076848567506,0.005619060512894677,0.0052185006822997905,0.0018057625391362056,0.0008138406919685907,0.0012857870788371365,0.0020930689526286474,0.0017186234939177113,0.0006875158504979443,0.00031223644872813936,0.00033654413671544076,0.0007550578884600369,0.0006487140882778771,0.00011841083547730687,9.924781039306728e-05,0.00022273578528788808,0.00010986100595664299,9.438264793616904e-05,0.0002073856183557483,0.00017837249544249063,3.016871026000328e-05,2.5003653725856503e-05,5.630741373260633e-05,2.6345959874146976e-05,1.8758423018959904e-05,2.6714070010241316e-05,2.096649495772731e-05,7.129599028906285e-06,1.8029201292529975e-06,0.08871532355268329
40.900000000000006,0.003866767579695633,0.002101603719544079,0.0056117230807445325,0.005206364884585598,0.0017993228514316295,0.0008125987802841773,0.0012852854777615,0.002082526746941315,0.0017091809278155475,0.0006856690690352777,0.00031042672777763816,0.0003365408888652177,0.0007516809296298752,0.000645445291328123,0.00011737350086289122,9.835091229304439e-05,0.00022222283752455806,0.00010909776333744584,9.436768360931865e-05,0.00020650246195556222,0.00017750413612863775,2.9905725698556294e-05,2.4778617442932268e-05,5.618477100544117e-05,2.6155804225402896e-05,1.875404031847294e-05,2.6601557692369077e-05,2.0865203294016144e-05,7.114271683299796e-06,1.7899074958975229e-06,0.08844253796166135
40.95,0.003864721346917541,0.002092171146212797,0.005604386243310415,0.00519424674288328,0.0017928895398800985,0.0008113787200763142,0.001284774692690821,0.002072036675409137,0.0016997896127333215,0.0006838173671353569,0.00030863831592728793,0.0003365383123171145,0.0007483160081272106,0.0006421906992289331,0.00011634578542700583,9.746256305743714e-05,0.00022170739118331084,0.00010834281128472304,9.435366217835061e-05,0.00020562193121874745,0.0001766391666327121,2.964515535484487e-05,2.4555707932203914e-05,5.606142777302934e-05,2.5967670626768477e-05,1.8749895716179253e-05,2.6489336096212706e-05,2.076425844073596e-05,7.098887116085514e-06,1.7770207499028373e-06,0.08817081903775793
41.0,0.003862674298469914,0.00208277901556839,0.005597050043529699,0.005182146299697133,0.001786462759561045,0.000810180237036563,0.0012842547053981078,0.002061598510144547,0.0016904492946151167,0.0006819608479004646,0.00030687102494172177,0.0003365363258108119,0.0007449631233630591,0.0006389502839329043,0.0001153275959731279,9.658267772307421e-05,0.00022118948175407934,0.00010759608344776735,9.434054765599455e-05,0.00020474403365767217,0.00017577758576671563,2.9386976238870694e-05,2.4334904351573104e-05,5.5937392992078905e-05,2.578154339050596e-05,1.874598127760622e-05,2.637741259765786e-05,2.0663668515407777e-05,7.0834401620752475e-06,1.7642525841917241e-06,0.08790016168793739
41.050000000000004,0.0038606264386135286,0.0020734272145447215,0.005589714524202484,0.005170063597038051,0.0017800426640412568,0.0008090030591647486,0.0012837254990999095,0.0020512120238451617,0.0016811597203080365,0.0006800996140581655,0.0003051246676067292,0.0003365348495132869,0.0007416222741090101,0.0006357240169502582,0.00011431884023597562,9.571117219710295e-05,0.00022066914472279904,0.0001068575137407258,9.432830461484994e-05,0.00020386877654012694,0.0001749193921516957,2.9131165587601176e-05,2.4116186073691107e-05,5.581267563195869e-05,2.559740687619976e-05,1.874228916308561e-05,2.6265796441397144e-05,2.0563444163044543e-05,7.067923357295581e-06,1.7515977729340716e-06,0.0876305608726726
41.1,0.0038585777716054668,0.0020641156300180447,0.005582379727991267,0.005157998676425292,0.001773629405378068,0.000807846916756437,0.0012831870584345878,0.002040876989797684,0.0016719206375638098,0.0006782337679515217,0.00030339905773169213,0.0003365338050028172,0.0007382934585061109,0.0006325118693574018,0.00011331942687204279,9.484796324791272e-05,0.0002201464155651112,0.00010612703634553591,9.431689818155493e-05,0.0002029961668921333,0.00017406458422068356,2.8877700863129067e-05,2.3899532684328375e-05,5.5687284672557944e-05,2.5415245491476295e-05,1.8738811625940595e-05,2.615449806053761e-05,2.0463597646847203e-05,7.052327660690616e-06,1.7390533770774181e-06,0.0873620115993979
41.150000000000006,0.0038565283016991025,0.0020548441488102273,0.005575045697420616,0.005145951578888247,0.0017672231341226683,0.0008067115423904072,0.0012826393694408025,0.002030593181881705,0.001662731795040301,0.0006763634115295593,0.0003016940101518518,0.00033653311525309697,0.000734976674073672,0.0006293138118053888,0.0001123292654502284,9.399296849615197e-05,0.0002196213297402003,0.00010540458571476995,9.430629403098865e-05,0.0002021262115007334,0.00017321316022160326,2.862655975046457e-05,2.368492398020499e-05,5.55612291021875e-05,2.523504369329747e-05,1.8735541013024818e-05,2.6043528295168013e-05,2.036414180922251e-05,7.036643301060321e-06,1.7266185444340693e-06,0.08709450891422464
41.2,0.003854478033144089,0.0020456126576919695,0.0055677124748768625,0.00513392234496823,0.0017608239993235446,0.0008055966709161229,0.001282082419536211,0.0020203603745734405,0.0016535929423029604,0.0006744886463379889,0.00030000934073041633,0.00033653270461746497,0.0007316719177180037,0.0006261298145282927,0.00011134826644256344,9.314610640584128e-05,0.00021909392268476582,0.00010469009657439146,9.429645838050745e-05,0.00020125891691676387,0.00017236511822015362,2.8377720154963176e-05,2.3472339966281738e-05,5.5434517915544075e-05,2.5056785989811067e-05,1.873246976738314e-05,2.5932897576483165e-05,2.02650889930096e-05,7.020860679245246e-06,1.7142941564120703e-06,0.08682804789308896
41.25,0.003852426970186344,0.0020364210433859837,0.005560380102607787,0.005121911014720256,0.0017544321485300294,0.0008045020394411995,0.0012815161974963766,0.002010178342949362,0.0016445038298261757,0.0006726095735101695,0.00029834486636050474,0.0003365324988132445,0.0007283791857410707,0.0006229598473514788,0.00011037634121503001,9.230729627557743e-05,0.00021856422980712413,0.00010398350392642198,9.428735798421532e-05,0.00020039428945760988,0.0001715204561026599,2.8131160199423008e-05,2.3261760852556915e-05,5.530716011175716e-05,2.4880456942690817e-05,1.8729590432622996e-05,2.5822615145082016e-05,2.0166450012559602e-05,7.004971254356452e-06,1.7020825710843784e-06,0.08656262363349927
41.300000000000004,0.0038503751170680346,0.002027269192570164,0.005553048622722317,0.005109917627714836,0.001748047727795975,0.0008034273873188729,0.001280940693433887,0.0020000468626897544,0.0016354642089945587,0.0006707262937583178,0.0002967004049669351,0.00033653242490619607,0.0007250984738490767,0.0006198038796997877,0.00010941340201847526,9.147645822983087e-05,0.00021803228648144065,0.00010328474305152219,9.427896012726855e-05,0.0001995323352099426,0.00017067917157889828,2.7886858220917384e-05,2.3053167050459282e-05,5.517916469253608e-05,2.4706041169856017e-05,1.8726895658447904e-05,2.5712688368284883e-05,2.0068233257377875e-05,6.988968345644234e-06,1.689987527576751e-06,0.08629823124763157
41.35,0.003848322478027568,0.0020181569918807335,0.005545718077190237,0.005097942223039782,0.0017416708816835405,0.0008023724561354689,0.001280355898777683,0.0019899657100821903,0.0016264738321041551,0.000668838907364957,0.00029507577550785824,0.0003365324112950823,0.0007218297771609741,0.0006166618806056258,0.00010845936197961767,9.065351321033434e-05,0.00021749812804208973,0.00010259374951148762,9.427123262021521e-05,0.00019867306003243862,0.00016984126218489156,2.7644792767451862e-05,2.2846539168963092e-05,5.505054066042958e-05,2.453352334842362e-05,1.8724378206721175e-05,2.5603122212319243e-05,1.9970443999215066e-05,6.9728477873111146e-06,1.678014056140663e-06,0.08603486585698222
41.400000000000006,0.003846269057299573,0.002009084327915357,0.005538388507841885,0.005085984839302,0.0017353017532670838,0.0008013369896978722,0.001279761806252592,0.0019799346620249098,0.0016175324523635655,0.0006669475141745993,0.00029347079797623706,0.00033653238769634574,0.0007185730902168946,0.0006135338187169588,0.00010751413509214362,8.983838296756038e-05,0.00021696178977813967,0.00010191045915165942,9.426414379336943e-05,0.0001978164695584798,0.00016900672528567568,2.7404942594552677e-05,2.264185801057763e-05,5.4921297017204415e-05,2.4362888217721234e-05,1.8722030957404247e-05,2.5493918911880678e-05,1.9873083957599e-05,6.956608382427889e-06,1.6661681540962063e-06,0.0857725225884913
41.45,0.0038442148591148902,0.0020000510872362535,0.005531059956367881,0.0050740455146293115,0.001728940484137174,0.0008003207340210018,0.0012791584098590689,0.001969953496030135,0.0016086398238950113,0.0006650522135856644,0.00029188529340117985,0.0003365322851288993,0.0007153284069865123,0.000610419662305221,0.00010657763620789666,8.903099005229002e-05,0.00021642330692796306,0.00010123480810325379,9.425766249122078e-05,0.00019696256919883711,0.00016817555807803968,2.7167286661903642e-05,2.2439104567378756e-05,5.4791442762343185e-05,2.4194120582179562e-05,1.8719846913749446e-05,2.5385077862946374e-05,1.9776151158676764e-05,6.940252115351982e-06,1.6544561094211343e-06,0.08551119657212969
41.5,0.003842159887700556,0.001991057156373262,0.0055237324643188385,0.005062124286672254,0.001722587214404699,0.0007993234373152874,0.0012785457048531416,0.001960021990227286,0.0015997957017353072,0.0006631531045426238,0.0002903190838491234,0.0003365320358990296,0.0007120957208773261,0.0006073193792731262,0.00010564978102815436,8.823125780726794e-05,0.00021588271467396845,0.00010056673278560872,9.425175806687901e-05,0.0001961113641443343,0.00016734775759323593,2.6931804130146117e-05,2.2238260017248712e-05,5.46609868916535e-05,2.402720531392529e-05,1.8717819206216657e-05,2.527659574606241e-05,1.9679640097923853e-05,6.923784100648105e-06,1.642883593294433e-06,0.08525088294024061
41.550000000000004,0.00384010414727979,0.001982102421826907,0.005516406073105093,0.005050221192605908,0.0017162420827050871,0.0007983448499741528,0.00127792368772656,0.001950139923366129,0.0015909998418367744,0.0006612502855283726,0.0002887719924248746,0.0003365315735854132,0.0007088750247428723,0.0006042329371623933,0.00010473048609499547,8.743911035894624e-05,0.00021534004813745337,9.990616990835154e-05,9.424640037655422e-05,0.00019526285936849455,0.0001665233206996637,2.6698474357948474e-05,2.2039305720478745e-05,5.4529938395974735e-05,2.3862127354915526e-05,1.8715941094716847e-05,2.516846686817825e-05,1.9583542190456955e-05,6.9072122696994e-06,1.6314548237453874e-06,0.0849915768290969
41.6,0.0038380476420719826,0.0019731867700714337,0.005509080823996438,0.005038336269131729,0.0017099052262026287,0.0007973847245615057,0.0012772923561871466,0.0019403070748198435,0.0015822520010680815,0.0006593438545568239,0.0002872438432725103,0.000336530833024246,0.0007056663108908644,0.0006011603031613824,0.00010381966878275495,8.665447260931478e-05,0.0002147953423735764,9.925305647348765e-05,9.424155977407283e-05,0.000194417059630169,0.0001657022441055255,2.6467276899431402e-05,2.184222321686198e-05,5.439830625996185e-05,2.3698871718485874e-05,1.8714205968949264e-05,2.506068369320202e-05,1.9487846466957855e-05,6.89054682098438e-06,1.6201720916920776e-06,0.08473327338293811
41.650000000000006,0.0038359903762926807,0.001964310087557815,0.005501756758121859,0.0050264695524793596,0.0017035767805948922,0.0007964428157992335,0.0012766517091393492,0.001930523224588001,0.0015735519372150023,0.0006574339091657195,0.00028573446157613636,0.00033652975029448536,0.0007024695710912533,0.0005981014441126372,0.00010291724728956487,8.587727022781599e-05,0.00021424863236644572,9.860732977741088e-05,9.423720710542931e-05,0.00019357396947614568,0.0001648845243614546,2.6238191502009303e-05,2.1646994223367255e-05,5.426609946092097e-05,2.3537423490227212e-05,1.8712607346777843e-05,2.495323751647954e-05,1.9392540452696092e-05,6.873799482230045e-06,1.6090357425068093e-06,0.08447596776021493
41.7,0.0038339323541535745,0.0019554722607167535,0.00549443391646928,0.005014621078408481,0.001697256880117249,0.0007955188805547091,0.0012760017466649923,0.0019207881532994837,0.0015648994089811229,0.0006555205464096601,0.00028424367356051324,0.0003365282627032052,0.0006992847965842235,0.0005950563265203456,0.00010202314062898336,8.510742964334608e-05,0.00021369995302432452,9.79689274128389e-05,9.423331370337402e-05,0.00019273359324374224,0.00016407015786311773,2.6011198104677694e-05,2.145360063244122e-05,5.4133326967669314e-05,2.337776782815767e-05,1.8711138870769492e-05,2.4846119227615694e-05,1.9297611154456275e-05,6.856982648868324e-06,1.5980444595130055e-06,0.08421965514119231
41.75,0.003831873579862484,0.0019466731759616419,0.005487112339885312,0.005002790882210637,0.0016909456575474819,0.0007946126778283049,0.0012753424700042277,0.001911101642215307,0.0015562941759884616,0.0006536038628533432,0.0002827713064915451,0.0003365263087710644,0.0006961119780881068,0.0005920249165577067,0.00010113726862170702,8.434487803633852e-05,0.00021314933917494897,9.733778727067235e-05,9.42298513820372e-05,0.00019189593506337835,0.00016325914085378877,2.578627683674056e-05,2.1262024510935823e-05,5.3999997739390255e-05,2.3219889962209087e-05,1.8709794303176584e-05,2.473932010008368e-05,1.9203046075492257e-05,6.840108471943177e-06,1.587195572777124e-06,0.08396433073577775
41.800000000000004,0.0038298140576233466,0.0019379127196915186,0.005479792069075009,0.004990978998711086,0.001684643244210496,0.0007937239687409181,0.0012746738815366811,0.00190146347323138,0.001547735998778033,0.0006516839545650136,0.0002813171886766393,0.0003365238282178877,0.0006929511058072305,0.0005890071800742143,0.0001002595518873692,8.358954333093154e-05,0.00021259682556095945,9.671384754178103e-05,9.422679243158932e-05,0.00019106099886113126,0.00016245146942689743,2.556340801693901e-05,2.1072248099610843e-05,5.386612072445677e-05,2.3063775193102203e-05,1.8708567519774886e-05,2.463283254497913e-05,1.9108834180267936e-05,6.8231879703346826e-06,1.5764851956635036e-06,0.08370998979061209
41.85,0.0038277537916362042,0.001929190778293998,0.005472473144601631,0.00497918546227065,0.0016783497699831204,0.0007928525165215073,0.0012739959847627971,0.0018918734288811902,0.0015392246388103463,0.0006497609171101186,0.00027988114946493733,0.0003365207619483597,0.0006898021694396911,0.0005860030826028548,9.938991183642175e-05,8.284135418721789e-05,0.00021204244683544233,9.609704671871753e-05,9.422410961293782e-05,0.00019022878836127288,0.00016164713952855113,2.5342572152909824e-05,2.088425381311497e-05,5.373170485919985e-05,2.2909408890732427e-05,1.8707452503055322e-05,2.4526650769822838e-05,1.9014966736665154e-05,6.806230238299102e-06,1.565908204942943e-06,0.08345662759492596
41.900000000000006,0.0038256927860971885,0.0019205072381481682,0.005465155606886404,0.004967410306787555,0.0016720653632989906,0.000791998086494641,0.0012733087842853748,0.0018823312923384023,0.0015307598584658236,0.0006478348455451637,0.0002784630192474169,0.00033651705203783155,0.0006866651581850526,0.0005830125893672146,9.852827066209854e-05,8.210023999357463e-05,0.0002114862375575801,9.548732359735872e-05,9.422177615246056e-05,0.00018939930708878743,0.00016084614696002976,2.512374994087597e-05,2.069802424031069e-05,5.359675906660424e-05,2.2756776492227715e-05,1.8706443335307105e-05,2.4420771291132006e-05,1.8921437972421128e-05,6.78924181100524e-06,1.5554582681398428e-06,0.08320423948511123
41.95,0.0038236310451985104,0.0019118619856274871,0.005457839496208303,0.004955653565699301,0.0016657901511535312,0.0007911604460680604,0.0012726122857913014,0.0018728368474194028,0.0015223414210451746,0.0006459058344117718,0.0002770626294568736,0.00033651264171824036,0.0006835400607519789,0.0005800356652885094,9.767455133246265e-05,8.136613085907521e-05,0.00021092823218840987,9.488461727847838e-05,9.421976573677576e-05,0.00018857255837187234,0.00016004848738025566,2.4906922265453177e-05,2.051354214478144e-05,5.346129225492201e-05,2.2605863499868147e-05,1.8705534192118703e-05,2.431519326109005e-05,1.8828245495022013e-05,6.772226238267024e-06,1.5451281470012244e-06,0.0829528208481034
42.0,0.0038215685731284445,0.001903254907102638,0.005450524852703818,0.004943915271984508,0.0016595242591090106,0.0007903393647202553,0.001271906496033474,0.0018633898785857521,0.0015139690907696865,0.0006439739777309337,0.00027567981256777736,0.00033650747536414106,0.000680426865365789,0.0005770722749925222,9.6828677582533e-05,8.06389576059794e-05,0.0002103684650866868,9.428886716924944e-05,9.421805250754898e-05,0.00018774854534441896,0.00015925415630823586,2.4692070199444693e-05,2.03307904653426e-05,5.332531331620199e-05,2.2456655479068294e-05,1.8704719336764294e-05,2.4209918583349398e-05,1.8735390441108053e-05,6.7551838998634004e-06,1.5349103492006569e-06,0.08270236712348107
42.050000000000004,0.003819505374071318,0.0018946858889443763,0.005443211716366747,0.004932195458164787,0.0016532678112996877,0.0007895346139880566,0.0012711914228129145,0.001853990170946579,0.0015056426327814646,0.0006420393689974555,0.0002743144020960117,0.0003365014984788507,0.0006773255597759441,0.0005741223828164623,9.599057390649254e-05,7.991865176230312e-05,0.00020980697050485242,9.37000129846795e-05,9.421661105633678e-05,0.0001869272709484759,0.00015846314912547934,2.4479175003497757e-05,2.014975231637794e-05,5.318883112474329e-05,2.2309138056621703e-05,1.8703993115843695e-05,2.4104951809781956e-05,1.864287734301089e-05,6.738112075147893e-06,1.5247979710674596e-06,0.08245287380388748
42.1,0.0038174414522074984,0.001886154817526355,0.005435900127047981,0.00492049415630661,0.0016470209304370392,0.0007887459674542445,0.001270467074961073,0.0018446375102609046,0.0014973618131436108,0.0006401021011745953,0.00027296623259849643,0.00033649465768070504,0.0006742361312634643,0.0005711859528157409,9.516016554997598e-05,7.920514555446628e-05,0.0002092437825851056,9.311799474897946e-05,9.421541641946746e-05,0.00018610873793669367,0.0001576754610783881,2.4268218125503905e-05,1.997041098783466e-05,5.305185453548909e-05,2.2163296919387166e-05,1.8703349956413566e-05,2.4000299827503852e-05,1.855071372475655e-05,6.721005257063419e-06,1.5147854319502755e-06,0.082204336433266
