Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(0),J_5s1/2(1),J_total_Nb_relativistic
1.05,0.040630559872618856,0.14460827842240817,0.0739439299892809,0.15217402809334055,0.30961871739408603,0.21737154390903135,0.4442981996076751,0.3107797231755162,0.4697079522256815,0.3184471191768242,0.4605591717239611,0.9225568592600373,0.8869414031797247,0.0,0.044533466045585966,4.796170952075771
1.1,0.040622730681182564,0.14426324740600135,0.07394203543190854,0.15216974341050446,0.3045469905342884,0.21704440339756492,0.4435725271986246,0.31074298923778715,0.46965024324798316,0.28901838473692343,0.4407142156267576,0.8802398153657658,0.8361569932833278,0.0,0.0422876895484984,4.644972009107118
1.1500000000000001,0.04061453956154635,0.14390314828528314,0.07393986936179771,0.1521648451771021,0.2993351654772613,0.21667552624878836,0.44275484311545876,0.31069796194185284,0.46957952688240534,0.2616179146816191,0.42033395190042305,0.8369846000551237,0.7865996158194583,0.0,0.03968749882573426,4.494889007333854
1.2000000000000002,0.040605986815613455,0.14352811136885055,0.07393740772722937,0.1521592791590464,0.29399429019494155,0.2162623253553856,0.44183957050034234,0.31064335925192094,0.46949379906031385,0.23629409398236606,0.3995911200352358,0.7931680448191238,0.7385083943317181,0.0,0.03685007667630652,4.346875859278394
1.25,0.04059707275851513,0.14313827203519985,0.07393462561526849,0.15215298920141604,0.28853550445352616,0.21580229248550883,0.4408213270580429,0.3105777986696404,0.4693909003509148,0.21306111744537257,0.37865490588174144,0.749154079069686,0.6920671308727364,0.0,0.0338843588509174,4.2017723747484865
1.3,0.04058779771858596,0.14273377064260825,0.07393149727742435,0.15214591728877966,0.2829700011659667,0.21529301421669314,0.43969496045239864,0.3104998011305532,0.46926852237765143,0.1919027360063805,0.35768754978632894,0.7052867790606524,0.6474120642466701,0.0,0.030884577122873156,4.0602989884935665
1.35,0.04057816203733824,0.14231475243600777,0.07392799615610691,0.15213800360736118,0.27730898847993346,0.21473218699146457,0.4384555815403471,0.31040779612713426,0.46912421615399547,0.17277618946072704,0.3368415722128244,0.6618848942111901,0.6046389550537731,0.0,0.027927902941288222,3.923057197409492
1.4000000000000001,0.04056816606943523,0.14188136745094818,0.07392409491184561,0.15212918660896338,0.27156365277839967,0.21411763120521848,0.4370985952442419,0.31030012799736956,0.4689554022368456,0.15561619506564148,0.3162576167682071,0.6192378059124528,0.5638094113595404,0.0,0.025074490661535973,3.7905337442706455
1.4500000000000002,0.04055781018266354,0.14143377041474797,0.07391976545123513,0.1521194030765639,0.2657451227586907,0.2134473042480734,0.43561972889079476,0.31017506330039935,0.46875938256847965,0.14033888037716022,0.29606288500278766,0.5776028217174994,0.5249564511425066,0.0,0.022368822838437736,3.66310721197004
1.5,0.040547094757904335,0.14097212064493492,0.07391497895557295,0.15210858819149725,0.2598644347436794,0.2127193124338745,0.4340150578732386,0.3100307991854899,0.4685333538542681,0.1268455683875526,0.2763701185338718,0.5372036720442547,0.48808934305661716,0.0,0.019841670000142964,3.5410561126628988
1.55,0.04053602018910371,0.14049658194507986,0.07390970591015199,0.15209667560213322,0.2539324993659308,0.21193192176118816,0.4322810285218561,0.3098654726476697,0.46827442230342486,0.11502634252694299,0.25727707137071104,0.49823005511667046,0.45319778907152297,0.0,0.017512249004326685,3.4245678353367124
1.6,0.0405245868832419,0.14000732249812983,0.07390391613417147,0.1520835974939621,0.2479600697521528,0.21108356746285245,0.4304144780965119,0.30967717055289595,0.4679796195441137,0.10476333761710772,0.23886640798536946,0.460838066411845,0.4202555205713423,0.0,0.015390340239815758,3.313748001243513
1.6500000000000001,0.040512795260301604,0.13950451475734843,0.07389757881122826,0.15206928466099479,0.24195771132142468,0.21017286231229712,0.4284126518429332,0.3094639403076563,0.4676459195123115,0.09593371985767184,0.2212059597573291,0.42515134886782374,0.38922337923519545,0.0,0.013478235641514853,3.208629902146031
1.7000000000000002,0.040500645753235275,0.1389883353349732,0.07389066252035062,0.1520536665783848,0.2359357732965095,0.20919860366629467,0.4262732170819111,0.3092238010424511,0.46727025610592776,0.08841233401774139,0.20434927298358935,0.3912628071541329,0.36005194939265667,0.0,0.011772458542909633,3.1091837834710683
1.75,0.04048813880793141,0.13845896488870138,0.07388313526753577,0.15203667147617858,0.22990436201322698,0.20815977923493478,0.42399427432704895,0.3089547551755867,0.4668495413916791,0.08207400899794542,0.18833638480783096,0.35923674127792987,0.33268380211015725,0.0,0.010265237762944341,3.0153257975396315
