Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(5),J_7s1/2(2),J_total_Rg_relativistic
1.5,0.0051843325044251785,0.019535569689040792,0.009049257509017911,0.01224872263423002,0.04274511859335119,0.02499516237011486,0.03001541553948883,0.0190989943930277,0.02009150357112689,0.07667258238000382,0.05186222522149887,0.06068619884126546,0.04412100379488976,0.04590603674867545,0.03418955636315855,0.0348457435640498,0.11374776198557765,0.09957824162508971,0.11516975613601489,0.09580504276289573,0.1000029725028753,0.0957167625002481,0.09811149936602981,0.08953911007631513,0.15501928343160123,0.13630331382220373,0.13785099658056135,0.11554413370421968,0.03480176085594337,7.467478192580509
1.55,0.005184205822164329,0.019530595600489708,0.00904925407273888,0.012248711781153393,0.04268439147734568,0.024994820700674852,0.030014577688816955,0.01909899228909548,0.02009150074277016,0.07622260370318616,0.051849022557274284,0.06065745848977703,0.04412045174325387,0.04590532036254233,0.034189544609214605,0.03484572991846762,0.11130071493214372,0.09924067150295023,0.11446732610161443,0.09570958123271348,0.09987762628294272,0.09563741510541579,0.09801434936331893,0.08292064961304255,0.1487388015150786,0.12701268845387595,0.12885591643916863,0.10675990985966136,0.033003364413063105,7.309069634868094
1.6,0.005184074991420331,0.019525459931399224,0.009049250301792247,0.012248699829977082,0.04262176895582319,0.0249944447664642,0.03001365623902747,0.019098989821046696,0.020091497425298813,0.07576079705111345,0.05183454773271386,0.06062600367720978,0.0441198073065202,0.045904484493391594,0.03418953001018192,0.03484571297473653,0.10883398864390244,0.09887562899263924,0.11371332600915642,0.09560072103702644,0.09973508167361463,0.09554498931221735,0.09790167084052166,0.07682608566984812,0.14239756560259034,0.1180211414351757,0.12021203458039159,0.09847438495495886,0.03110180681765523,7.155772851441936
1.6500000000000001,0.005183940012680022,0.019520162826811814,0.009049246174808897,0.012248686709434542,0.04255726012465,0.024994032394023813,0.030012645957580138,0.01909898694052035,0.02009149355384021,0.0752874263234755,0.051818728417784704,0.06059168892264143,0.044119058946088405,0.04590351431187282,0.0341895120091489,0.034845692088732116,0.10635196537998926,0.09848229483292428,0.11290704816806589,0.09547730576465432,0.09957393431897901,0.09543819320602087,0.09777202539384232,0.07124775388074783,0.13602840445639539,0.1093702867077145,0.11193319973224448,0.09067801759039872,0.0291372574201298,7.007864288096378
1.7000000000000002,0.005183800886445648,0.019514704436289308,0.00904924166975953,0.012248672346086106,0.042490874343294474,0.02499358135003491,0.030011541476838353,0.019098983594581162,0.02009148905740357,0.07480276088176217,0.05180149132001373,0.06055436794710277,0.044118194170382104,0.045902393781845456,0.03418948996524823,0.03484566651960863,0.10385896917909282,0.09805991918229302,0.11204798722404222,0.09533816175032497,0.09939277276418922,0.09531572252448538,0.09762397628412643,0.06617371206809679,0.12966328903635857,0.10109474845173594,0.10402905852932723,0.08335925306967348,0.02714636482357903,6.865548896653004
1.75,0.005183657613234862,0.019509084913904958,0.009049236763956357,0.012248656664327262,0.042422621232532674,0.024993089342147657,0.03001033729684485,0.019098979725456926,0.020091483858531555,0.074307075303901,0.05178276229324223,0.06051389396772544,0.04411719950071738,0.04590110561999831,0.03418946314481666,0.034845635419697686,0.1013592544914921,0.09760782565846386,0.11113584390343142,0.09518210550284867,0.0991901886223091,0.09517627248938784,0.09745610221253148,0.061588252618205906,0.1233329663221613,0.09322227706210261,0.09650551842160972,0.07650488420828636,0.02516154852279642,6.7289634028418615
1.8,0.005183510193580715,0.019503304418235275,0.00904923143405484,0.012248639586397185,0.042352510672093086,0.024992554019831022,0.03000902778816301,0.019098975270271098,0.02009147787294588,0.07380064913538771,0.05176246644740316,0.060470119992063046,0.04411606043885639,0.045899631257926496,0.03418943071207307,0.034845597823871685,0.09885699531019365,0.0971254149631036,0.11017052729965601,0.09500795139457154,0.09896478691190883,0.09501854965485035,0.09726701081641301,0.05747241898500138,0.1170666413543225,0.0857739889593017,0.08936517530076071,0.07010035989301962,0.023210689633200877,6.598180564298582
1.85,0.0051833586280316596,0.019497363112351618,0.009049225656055492,0.012248621032387502,0.042280552798241264,0.024991972975243568,0.03000760719478213,0.019098970160770865,0.020091471009187317,0.07328376663722329,0.05174052825914651,0.06042289911196959,0.04411476143640379,0.045897950806868835,0.03418939171932896,0.03484555263839045,0.09635627483458215,0.09661216807914014,0.1091521557232029,0.09481451952858916,0.09871519644556209,0.09484128357683719,0.09705535167315472,0.05380451767792518,0.11089170892932455,0.0787647064532305,0.08260770747415427,0.06413005153903992,0.02131709940826864,6.473214119987298
1.9000000000000001,0.005183202917151536,0.01949126116381155,0.009049219405305712,0.012248600920251294,0.042206758001305265,0.02499134374412469,0.030006069637084857,0.019098964323051002,0.02009146316825056,0.07275671653097313,0.051716871683137745,0.06037208479642578,0.04411328586619728,0.045896043025298386,0.03418934509674894,0.034845498629253416,0.09386107569652213,0.0960676490310191,0.10808105614809234,0.0946006436996461,0.09844008015165703,0.09464323812607695,0.0968198286263208,0.05056061812739832,0.10483353508824643,0.07220337512026588,0.07623023798961276,0.058577485253849926,0.019499675613639075,6.354024189729813
1.9500000000000002,0.005183043061519573,0.019484998744649963,0.009049212656501684,0.012248579165812337,0.042131136923142735,0.024990663806706014,0.030004409114875133,0.019098957677273803,0.020091454243214294,0.07221979174126537,0.05169142026385436,0.060317531182711555,0.044111615995836434,0.04589388528954833,0.034189289641682274,0.03484543441008395,0.09137527077530667,0.09549150720119558,0.10695776229838946,0.09436517936531957,0.0981381452159012,0.09442322228640307,0.09655921127675629,0.04771503389290716,0.09891528741808626,0.06609353788918002,0.07022766743538988,0.053425545715019264,0.01777318064396842,6.240522928887674
