Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(3),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Tb_relativistic
72.8,0.001399091114598544,0.00031698131932856585,0.00012039189264421937,6.575031260560103e-05,7.529881173239832e-05,3.281486484176108e-05,1.859944148710878e-05,8.938937866198577e-07,6.301975511774614e-07,1.8493755724640968e-05,7.85930146997981e-06,4.427540726099235e-06,2.1488984029008352e-07,1.50964234758724e-07,5.017156787294312e-10,4.0260309254810527e-10,3.050603184880734e-06,1.0504089425063406e-06,5.646091851552726e-07,1.9023948061510062e-07,0.004316938563238688
72.85000000000001,0.001396355858518089,0.00031628936683126787,0.00011995730038102354,6.54802531925392e-05,7.513167074993351e-05,3.26927908754467e-05,1.852090147074551e-05,8.889760682008753e-07,6.265419782039223e-07,1.8452565255420638e-05,7.829867239616094e-06,4.4087308775971835e-06,2.136985887530427e-07,1.500816070277594e-07,4.978711578023658e-10,3.994935912429423e-10,3.0437287782718677e-06,1.0463996095953454e-06,5.621655288369039e-07,1.8980097826230264e-07,0.004306941528559655
72.9,0.001393626295385523,0.00031559893622916873,0.0001195244961564105,6.521142634482108e-05,7.496489576665979e-05,3.2571234493127495e-05,1.8442730423314444e-05,8.84088386559744e-07,6.229096810593284e-07,1.841146501701436e-05,7.800557885932358e-06,4.390009055738312e-06,2.1251405092415912e-07,1.4920405198805858e-07,4.941361767346703e-10,3.964727295690581e-10,3.0368560434523355e-06,1.042412780399973e-06,5.597366734090503e-07,1.8936014973807802e-07,0.004296971876187454
72.95,0.001390902413718634,0.0003149100249662437,0.0001190934718295829,6.494382592784186e-05,7.479848624551373e-05,3.245019326863084e-05,1.83649264533406e-05,8.792305408547969e-07,6.193004987591617e-07,1.83704548176907e-05,7.771372760825229e-06,4.37137472643721e-06,2.113362626880047e-07,1.483316103950283e-07,4.905163414623478e-10,3.935451711753335e-10,3.029986274057815e-06,1.0384491577797178e-06,5.573230199733884e-07,1.8891735210685075e-07,0.0042870295248951616
73.0,0.0013881842020529826,0.0003142226304833938,0.00011866421929983072,6.467744583976748e-05,7.463244164771394e-05,3.232966478805591e-05,1.8287487679757576e-05,8.744023316998318e-07,6.157142715189763e-07,1.8329534461508992e-05,7.742311231451369e-06,4.352827373341843e-06,2.1016526775414847e-07,1.4746433043745645e-07,4.870163958884425e-10,3.907149801013655e-10,3.0231209329103893e-06,1.03450935115015e-06,5.549249198517521e-07,1.8847317924310146e-07,0.004277114394360227
73.05,0.0013854716489419083,0.00031353675021851963,0.00011823673050632198,6.441228001134943e-05,7.446676143278758e-05,3.220964664970822e-05,1.8210412231847037e-05,8.696035611527897e-07,6.121508407448399e-07,1.8288703749310158e-05,7.713372680948002e-06,4.334366498805249e-06,2.090011162641769e-07,1.4660226641993497e-07,4.836405163325577e-10,3.879859748624743e-10,3.016261629625498e-06,1.0305938723888916e-06,5.525426760335855e-07,1.880283447844049e-07,0.004267226404878425
73.10000000000001,0.001382764742956537,0.0003128523816065944,0.00011781099742789445,6.414832240574057e-05,7.430144505859667e-05,3.209013646403456e-05,1.8133698249178587e-05,8.648340327045248e-07,6.086100490238548e-07,1.8247962479758595e-05,7.68455650896448e-06,4.315991624620047e-06,2.0784386330801252e-07,1.4574547735825504e-07,4.803923385396791e-10,3.853617286474257e-10,3.0094100963150773e-06,1.0267031313192167e-06,5.501765426390868e-07,1.8758354161102053e-07,0.004257365477013524
73.15,0.001380063472685792,0.00031216952207973757,0.00011738701208284924,6.388556701831251e-05,7.413649198136444e-05,3.1971131853558375e-05,1.8057343881550104e-05,8.600935512676722e-07,6.050917401147609e-07,1.8207310450420203e-05,7.655862131996017e-06,4.297702292504047e-06,2.0669356737253412e-07,1.448940255097355e-07,4.772747465319535e-10,3.828452812348474e-10,3.002568161616158e-06,1.0228374304845505e-06,5.478267219561482e-07,1.8713933555449293e-07,0.004247531531296668
73.2,0.0013773678267363955,0.0003114881690672857,0.00011696476652874417,6.362400787647322e-05,7.397190165570095e-05,3.185263045281527e-05,1.7981347288928222e-05,8.553819231655911e-07,6.015957589386063e-07,1.8166747458860802e-05,7.627288983513458e-06,4.279498064328873e-06,2.055502887465367e-07,1.4404797486147423e-07,4.742895288768744e-10,3.804387228387521e-10,2.9957377232902177e-06,1.0189969592344786e-06,5.454933590588314e-07,1.866961244029881e-07,0.004237724488039435
73.25,0.00137467779373288,0.0003108083199958647,0.00011654425286218952,6.33636390394865e-05,7.380767353462898e-05,3.173462990828911e-05,1.7905706641389377e-05,8.506989561214108e-07,5.981219515695029e-07,1.812627330374913e-05,7.59883651388629e-06,4.261378522087458e-06,2.0441408790671427e-07,1.432073896001579e-07,4.714370246961405e-10,3.781428008512931e-10,2.988920719672312e-06,1.0151817874478292e-06,5.431765344569266e-07,1.862541601869382e-07,0.004227944267260951
