Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_total_Cn_relativistic
96.4,0.0017419616610909491,0.0003683172526258498,0.0008269611458279735,0.00026071142359939233,8.204910198689929e-05,0.00025006885324932546,9.923555944817933e-05,1.3777238088383822e-05,7.105275962623651e-06,2.3131178241690344e-05,7.491790450772566e-05,3.163484503527627e-05,5.229642447656095e-06,2.7374658553477536e-06,6.460919304616051e-08,3.9327864185811384e-08,6.893691062601595e-06,2.2007044410389592e-05,9.262628592904845e-06,1.4413096491672948e-06,7.475783782182988e-07,1.5739336430927215e-08,9.54990323298884e-09,1.64827541735444e-06,4.779386361061262e-06,1.761843686175522e-06,1.557219627569589e-07,6.863625817365377e-08,1.425167916263548e-07,0.008563423725228855
96.45,0.0017404777751339575,0.00036820021954003237,0.0008255597476380907,0.00026005806905974156,8.204331136807739e-05,0.0002496608780271339,9.898196798461768e-05,1.3728502957721815e-05,7.077315768044905e-06,2.3130689899239513e-05,7.479796075604305e-05,3.1553629209396345e-05,5.2109906155067986e-06,2.7266077724256392e-06,6.429538479139074e-08,3.912535360287375e-08,6.893615525494522e-06,2.1972053917757678e-05,9.23887496341045e-06,1.4361473957592854e-06,7.446005037455787e-07,1.565545432526932e-08,9.494900469189276e-09,1.6482601685291547e-06,4.77165383792762e-06,1.7572792516613029e-06,1.551625559212339e-07,6.835990426519647e-08,1.4251578564342954e-07,0.008551649829928962
96.5,0.0017389950074380277,0.0003680828476683797,0.0008241610118772776,0.000259406512778205,8.203744218388658e-05,0.0002492535869131571,9.87290797435843e-05,1.367996057099864e-05,7.04947628580551e-06,2.3130186716063635e-05,7.467820565993833e-05,3.14726386114141e-05,5.1924130985015675e-06,2.715796937621912e-06,6.398324800884977e-08,3.8923975185159675e-08,6.893536649301649e-06,2.1937116311333205e-05,9.215185334029869e-06,1.4310021580569064e-06,7.416323290640984e-07,1.557219892141674e-08,9.440346535842064e-09,1.648243515800053e-06,4.763934788321564e-06,1.7527272484035207e-06,1.5460465125606002e-07,6.808402457602268e-08,1.4251460205358276e-07,0.008539897950142636
96.55000000000001,0.0017375133576397305,0.0003679651377510451,0.0008227649332300578,0.0002587567494749695,8.203149415573765e-05,0.00024884697900259047,9.847689269596471e-05,1.3631610091546095e-05,7.021756951390953e-06,2.3129668516603252e-05,7.455863903972619e-05,3.1391872597980226e-05,5.1739095716352915e-06,2.7050331278046363e-06,6.36727727541315e-08,3.8723721822034236e-08,6.893454369462476e-06,2.1902231427023488e-05,9.191559155473998e-06,1.4258739644657501e-06,7.386738954582635e-07,1.5489630407809617e-08,9.386291305778105e-09,1.648225411846104e-06,4.756230184135984e-06,1.748187971540341e-06,1.5404829412127237e-07,6.780866395111887e-08,1.4251323187131462e-07,0.008528168033546078
96.60000000000001,0.0017360328253742238,0.0003678470905303932,0.0008213715063909113,0.0002581087738862162,8.202546700940432e-05,0.00024844105338992515,9.822540481835289e-05,1.3583450686623734e-05,6.994157203116358e-06,2.3129135127253403e-05,7.443926071503829e-05,3.131133052746085e-05,5.155479711421025e-06,2.6943161209433565e-06,6.336394916865903e-08,3.852458647150497e-08,6.8933686215653084e-06,2.1867399106563806e-05,9.16799589341233e-06,1.4207628668960505e-06,7.357252656179598e-07,1.5407806323472786e-08,9.33278242033895e-09,1.6482058158566982e-06,4.748540971463743e-06,1.743661709548011e-06,1.534935011764105e-07,6.753384731806974e-08,1.4251166486381007e-07,0.008516460027945417
96.65,0.0017345534102752563,0.0003677287067509702,0.0008199807260642602,0.0002574625807640714,8.201936047499144e-05,0.00024803580916896243,9.797461409303748e-05,1.3535481527399085e-05,6.966676482111376e-06,2.312858637635009e-05,7.432007050482985e-05,3.1231011759933325e-05,5.137123195885227e-06,2.6836456961067725e-06,6.305676748094807e-08,3.83265621615619e-08,6.893279341334309e-06,2.1832619198323197e-05,9.144495030827244e-06,1.4156689397944868e-06,7.327865227823804e-07,1.5326781072691833e-08,9.27986486722684e-09,1.6481846940987678e-06,4.740868063471063e-06,1.7391487382575943e-06,1.5294026134741007e-07,6.725957957441288e-08,1.425098889475529e-07,0.008504773881236799
96.7,0.0017330751119751739,0.0003676099871594736,0.0008185925869644584,0.0002568181648765602,8.201317428690345e-05,0.00024763124543282917,9.772451850798876e-05,1.348770178892811e-05,6.939314232305231e-06,2.3128022094156833e-05,7.420106822738658e-05,3.115091565718245e-05,5.1188397045632e-06,2.67302163346064e-06,6.275121800770239e-08,3.8129641991356475e-08,6.893186464620866e-06,2.1797891558068378e-05,9.121056070258492e-06,1.4105922790262705e-06,7.298577697455603e-07,1.5246605477729458e-08,9.22758059345153e-09,1.6481620203954727e-06,4.73321233360822e-06,1.7346493151921915e-06,1.523885396253967e-07,6.698584682626035e-08,1.4250789002443986e-07,0.008493109541387118
96.75,0.0017315979301049235,0.000367490932504723,0.0008172070838157787,0.0002561755210075585,8.200690818381298e-05,0.0002472273612739924,9.74751160568452e-05,1.3440110650135696e-05,6.912069900411815e-06,2.3127442112851273e-05,7.408225370033136e-05,3.1071041582696767e-05,5.100628918494626e-06,2.66244371426582e-06,6.244729115472943e-08,3.7933819132208085e-08,6.893089927399439e-06,2.176321604968039e-05,9.097678535922893e-06,1.4055330006152115e-06,7.2693912773036e-07,1.5167326375589663e-08,9.175968159250895e-09,1.64813777650694e-06,4.725574609239551e-06,1.7301636744581261e-06,1.5183828350654996e-07,6.671261993056436e-08,1.425056523728315e-07,0.008481466956441704
96.80000000000001,0.0017301218642940587,0.0003673715435376304,0.0008158242113524001,0.00025553464395674597,8.200056190862971e-05,0.0002468241557842741,9.722640473890014e-05,1.3392707293796253e-05,6.88494293591487e-06,2.3126846266511896e-05,7.396362674063093e-05,3.099138890166502e-05,5.082490520219214e-06,2.6519117208764772e-06,6.214497741766675e-08,3.773908682842904e-08,6.892989665767952e-06,2.1728592545819072e-05,9.074361975695294e-06,1.4004912393505106e-06,7.240307351386651e-07,1.5088986263887082e-08,9.125062437875153e-09,1.6481119524055235e-06,4.717955665766972e-06,1.7256920223966964e-06,1.5128943158023575e-07,6.643986125828298e-08,1.4250315965888452e-07,0.008469846074563851
96.85000000000001,0.0017286469141707453,0.00036725182101117086,0.0008144439643183979,0.0002548955285395591,8.199413520846926e-05,0.00024642162805486607,9.697838255908866e-05,1.3345490906514488e-05,6.857932791053284e-06,2.3126234391104794e-05,7.384518716460275e-05,3.0911956980973005e-05,5.064424193772457e-06,2.641425436738401e-06,6.18442673825119e-08,3.7545438397960335e-08,6.892885615952819e-06,2.1694020928530806e-05,9.05110596293771e-06,1.3954671472699993e-06,7.211327461865315e-07,1.5011622999785192e-08,9.074894364983474e-09,1.6480845464402005e-06,4.710356221311228e-06,1.7212345341654315e-06,1.507419233591767e-07,6.616753456276426e-08,1.425003965227604e-07,0.008458246844102433
