Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(2),J_total_Po_relativistic
1.6500000000000001,0.008505945557591644,0.030146409554463974,0.014737760843744972,0.016916114689500914,0.06305879357259954,0.039004936940956116,0.04258564376202485,0.02741707149986875,0.02820435911683547,0.10384254302544105,0.0835935271753961,0.09063414237653526,0.06914448185021917,0.07094665650864858,0.057610733724851156,0.05839016243416103,0.08938313326291221,0.1435863871840215,0.14189745769803527,0.15446156110944587,0.1545532433487467,0.04479705739601487,0.015367152918291124,0.012242449102978047,5.803769340679123
1.7000000000000002,0.008505446983147284,0.030126883102409734,0.014737721396677268,0.01691604504772256,0.06282956163138344,0.039000987933743174,0.04257956705153117,0.027417029450634053,0.028204309378980795,0.1021663960594555,0.08342064417043712,0.09037777101491479,0.06912561028100032,0.07092444519165536,0.057606722503177894,0.05838568670293498,0.08365888270515638,0.1392604283276129,0.13634477552799595,0.15022527225114368,0.14986065150944033,0.04379331995053275,0.014749979932247612,0.012212168184132545,5.707531388376648
1.75,0.008504933570237247,0.030106788460535338,0.014737678343125412,0.016915969038854683,0.06259440815239098,0.03899668784325259,0.04257295371744131,0.027416980915622502,0.028204251978296277,0.10047064660499284,0.08323444456216687,0.0901023693928623,0.06910415686787921,0.07089921870506961,0.057601975210750174,0.058380394936732645,0.07826357662939086,0.13485151460351366,0.13076354994151274,0.14587359228485092,0.14506989435755352,0.04257716134859825,0.014358230723413301,0.012207036968949998,5.610499705261109
1.8,0.008504405322769689,0.030086126912158236,0.014737631471887433,0.016915886291172258,0.062353410507281506,0.03899201764459261,0.04256577521826627,0.027416925134407334,0.02820418601824268,0.09875741833977476,0.08303448548530103,0.089807405112816,0.069079882279971,0.0708707021442724,0.05759639387379439,0.058374179729699445,0.07319880079757889,0.13037651565267908,0.12517797864815997,0.14142565624428766,0.140202797946872,0.04116955435129671,0.0141286119473767,0.012201054061198938,5.512876018440798
1.85,0.008503862244765265,0.03006489977595125,0.014737580566087661,0.016915796423129487,0.062106647761670034,0.038986957977377286,0.04255800257235326,0.02741686128489179,0.02820411052990679,0.09702882610974847,0.08282034402529986,0.08949238380556918,0.06905253731132306,0.07083861000613646,0.057589873029977846,0.05836692569456046,0.06846373144449124,0.12585237652789294,0.11961141190549003,0.13690064575025657,0.13528083636634705,0.039596693935113815,0.01400958553805674,0.012175739361936305,5.414901031899528
1.9000000000000001,0.00850330434035706,0.03004310840578724,0.0147375254032144,0.016915699043439654,0.061854200631632175,0.038981489162500854,0.04254960638740103,0.027416788480614417,0.028204024468887267,0.09528697185786848,0.08259161875794732,0.08915685120564885,0.06902186348448326,0.07080264696878623,0.05758229979250658,0.058358509569829166,0.06405531932859747,0.12129594645494964,0.11408614087974359,0.13231755354897634,0.1303248963789254,0.03788772003412582,0.01395974059212535,0.01211862163867054,5.316840427550047
1.9500000000000002,0.008502731613790527,0.03002075419057978,0.014737465755158536,0.01691559375115696,0.06159615143945873,0.03897559121915349,0.04254055689032291,0.027416705768068518,0.028203926712202877,0.09353394066051324,0.08234793119703115,0.08880039503485372,0.06898759372484044,0.0707625087513379,0.05757355397852122,0.05834880039766481,0.059968482270985723,0.1167238195941536,0.10862321745676777,0.12769497543184466,0.12535507750056285,0.03607292466154452,0.0139463275743258,0.012021982414757087,5.218973162251391
2.0,0.008502144069423408,0.02999783855411984,0.014737401388253097,0.0169154801357603,0.06133258406869504,0.038969243882061466,0.042530823957423226,0.02741661212404167,0.028203816055230188,0.09177179688111888,0.0820889271458384,0.0884226466888576,0.06894945310161099,0.07071788304797405,0.057563508301427826,0.058337659771428046,0.05619630312070394,0.11215218923803723,0.10324230551820461,0.12305093003294038,0.12039052654487371,0.03418237584865796,0.013943949837914941,0.011881815908613182,5.121581827990688
2.0500000000000003,0.00850154171172567,0.029974362954908504,0.014737332063313761,0.01691535777723902,0.06106358391850079,0.038962426618934815,0.04252037714485281,0.027416506452981153,0.028203691208677835,0.09000258044998552,0.08181427794870208,0.08802328272294713,0.06890715963084781,0.0706684505301464,0.0575520286259522,0.05832494215105337,0.05273023029479083,0.10759671650009038,0.097961563062158,0.11840270623717869,0.11544930497935833,0.03224489448324805,0.013933404155698643,0.011696970915866238,5.024944845417583
2.1,0.00850092454527942,0.02995032888598578,0.014737257535680283,0.016915226246180547,0.060789237857366236,0.03895511864810544,0.04250918571930892,0.027416387584391116,0.02820355079560431,0.0882283032785642,0.08152368163936266,0.08760202613411276,0.06886042513540372,0.07061388591021323,0.05753897428390726,0.058310495243491106,0.04956027827627632,0.10307241419050743,0.09279755401186969,0.11376673732602129,0.11054828694690073,0.030287325330973964,0.013900660081289153,0.011468445811363756,4.929330270358344
2.15,0.008500292574778844,0.0299257378747555,0.014737177555258852,0.016915085103859948,0.06050963417622112,0.03894729895633846,0.042497218688945036,0.027416254270267226,0.028203393348486205,0.08645094581586624,0.08121686398343857,0.0871586474378453,0.06880895615639472,0.07055385905940671,0.05752419844792495,0.058294160444683454,0.04667522570632718,0.09859354624393667,0.08776518811942467,0.10915850052408699,0.10570308547413453,0.028334049511095173,0.013835967054552893,0.011198812326757518,4.8349910062991315
2.2,0.008499645805030116,0.02990059148280638,0.014737091866565352,0.016914933902331345,0.0602248625409729,0.03893894631679951,0.042484444834455765,0.027416105182574507,0.028203217306343734,0.08467245375395856,0.08089357941282982,0.08669296553909674,0.06875245491037972,0.0704880361726909,0.0575075485597373,0.05827577333883881,0.044062808970756255,0.09417354276489448,0.08287768703035621,0.10459244027216248,0.1009280041900597,0.02640669193935354,0.013733077907516749,0.010891747537835554,4.742161231367765
2.25,0.008498984240951322,0.029874891305729213,0.014737000208769536,0.016914772184521174,0.05993501394451119,0.038930039307160734,0.04247083274030229,0.02741593891077397,0.028203021011930188,0.08289473488881745,0.08055361185040602,0.0862048483979403,0.06869062028620426,0.07041608097281317,0.057488866809003496,0.058255164250163395,0.04170990945016153,0.08982493049141373,0.07814657432324854,0.10008191332269663,0.09623601178941818,0.0245239833897413,0.013588577590541185,0.010551656673408788,4.651053864846271
2.3000000000000003,0.008498307887572384,0.029848638972930323,0.014736902315740083,0.01691459948432329,0.059640180658215365,0.03892055632782794,0.04245635082604372,0.027415753959403544,0.02820280270899197,0.08111965614211733,0.0801967754238503,0.08569421349150139,0.06862314887524679,0.07033765594567253,0.05746799065817617,0.05823215884170345,0.039602732871546455,0.08555927824792875,0.07358168716850676,0.09563915361597639,0.09163873647357244,0.022701742637674275,0.013401306371690966,0.010183372022271436,4.561858914894844
2.35,0.008497616750034968,0.02982183614744121,0.014736797916090541,0.01691441532669584,0.059340456183002745,0.03891047562027173,0.04244096737773987,0.027415548745718738,0.02820256053960558,0.07934904074883108,0.07982291506804251,0.0851610280747261,0.06854973602865622,0.07025242359902213,0.05744475340848356,0.05820657875554744,0.037726979462633446,0.08138715676456851,0.06919120715381319,0.09127525483288744,0.08714647766731425,0.020952949499138125,0.01317186735769037,0.009791915459020415,4.474742565445414
2.4000000000000004,0.008496910833592403,0.02979448452572448,0.014736686733226147,0.016914219227759934,0.05903593519995453,0.038899775285445026,0.04242465057939115,0.027415321597398352,0.028202292541597906,0.0775846656148177,0.07943190701586497,0.08460530924349986,0.06847007693507866,0.07016004773649263,0.05741898480177712,0.05817824228833566,0.036068003864170875,0.07731811208122927,0.06498170779128425,0.08700016851884487,0.08276823242616033,0.01928788440941467,0.012902208866761111,0.009382314000594893,4.389846875777474
