Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_Ac_relativistic
1.9000000000000001,0.007794486562518643,0.02773263232611742,0.013498393798077856,0.015835867982922875,0.05759690932893659,0.035798666150306066,0.039586978735905734,0.025435743053277112,0.026259521748072417,0.09172862323214885,0.07544690713476945,0.08241227153871626,0.06265377441244302,0.0644126344941144,0.05076293798085224,0.05147189026958141,0.07622484995408205,0.12377464614837659,0.12234059395537576,0.13363464941510478,0.13474966348246226,0.04915157420866367,0.026682977988283955,0.022439146805613316,0.13363464941510478,0.004757098540531575,5.400249952147825
1.9500000000000002,0.007794034412223851,0.027715023098840427,0.013498354214816188,0.015835791848310382,0.057392842197870636,0.035794767686607276,0.0395806012034774,0.02543569414682936,0.02625946274156173,0.09032087985188458,0.0752900281091242,0.08217017893525345,0.06263588838268985,0.06439136917001194,0.05076043888501018,0.05146910836026745,0.07200128644566739,0.12059245483093538,0.11819322965918526,0.1311405524324547,0.13195588185675408,0.04866569746868984,0.02486640806912842,0.02194308687182848,0.1311405524324547,0.004749413648804814,5.328198809223924
2.0,0.007793570557756335,0.027696969430002147,0.013498311498725832,0.015835709687234648,0.05718426940811142,0.035790569918243885,0.03957373822870923,0.025435638744700735,0.026259395909112297,0.08890079322177388,0.0751228044016673,0.0819128182426281,0.06261589906996212,0.06436762422237828,0.05075753308159846,0.051465875999150534,0.06799762276652282,0.11735005144169859,0.11401931470842863,0.12854245386764637,0.12905846770049062,0.0480062327302569,0.023470777188591214,0.02164554006800986,0.12854245386764637,0.004748133071268321,5.256372249080844
2.0500000000000003,0.007793095002187472,0.02767847230408266,0.013498265490532617,0.015835621194509007,0.0569712488471236,0.03578605887725204,0.03956636769663096,0.025435576189970378,0.026259320461341048,0.08746980817464797,0.0749449528315772,0.08163985606122826,0.06259363914565796,0.06434120593884657,0.05075417134148194,0.0514621391345637,0.0642147519267985,0.11405680587729768,0.10983302960025669,0.12584757736665256,0.12606641416395206,0.04717075618629696,0.0224258302676732,0.021487284257597633,0.12584757736665256,0.004742956600489336,5.184533172698826
2.1,0.0077926077486657865,0.027659532729106696,0.013498216027259341,0.015835526058005235,0.056753839470929844,0.03578122039538394,0.03955846723045999,0.0254355057798682,0.0262592355540881,0.0860293607367509,0.07475620342635586,0.08135098527113241,0.06256893553347538,0.06431191445754263,0.05075030076316113,0.05145783976416771,0.060652308879868895,0.1107222189332454,0.10564825348993641,0.12306370602395607,0.12298921483604205,0.046163878206859424,0.021667813061280013,0.021418771526940234,0.12306370602395607,0.004726521249084064,5.1125184631869764
2.15,0.0077921088004168975,0.027640151736542093,0.013498162942249927,0.015835423958710817,0.05653210127679516,0.03577604011442943,0.03955001421119307,0.025435426764089615,0.02625914028644329,0.0845808759007156,0.07455630022105833,0.0810459260995013,0.06254160976151572,0.06427954422552205,0.05074586473905253,0.0514529159111392,0.05730875046865276,0.107355846235073,0.10147845737271988,0.12019908665282153,0.11983674874481715,0.044995737354944165,0.021139574116535532,0.02139928381588107,0.12019908665282153,0.004693918504085074,5.040230251805673
2.2,0.007791598160743479,0.027620330381195993,0.013498106065194113,0.015835314570787472,0.05630609527552457,0.03577050349665543,0.0395409857973646,0.025435338343125044,0.026259033698794423,0.08312576545907131,0.07434500201002398,0.08072442708284007,0.06251147834802735,0.06424388449538827,0.050740802943004114,0.05144730162410307,0.054181439534036334,0.10396722527104951,0.09733660807481627,0.11726233400743201,0.1166191679639329,0.04368064454659618,0.02079049732593788,0.021396046800458535,0.11726233400743201,0.00464225202352919,4.967627132805497
2.25,0.0077910758330252084,0.027600069741108773,0.013498045222152668,0.015835197561630866,0.056075883463392574,0.035764595835354615,0.03953135894495218,0.025435239666607313,0.02625891477090113,0.08166542590243428,0.07412208304937051,0.08038626592227022,0.062478353218929576,0.0642047198575168,0.050735051339668664,0.05144092700136733,0.051266732113574465,0.10056580616491873,0.09323508349390544,0.11426233649601462,0.11334678943535044,0.04223588486250911,0.020576301569907064,0.021383335906949085,0.11426233649601462,0.004570240206761356,4.894715577701631
2.3000000000000003,0.007790541820718719,0.02757937091744571,0.013497980235583126,0.015835072591931527,0.055841528793723026,0.03575830226549472,0.03952111042741008,0.025435129831680087,0.026258782419998114,0.08020123638626304,0.07388733370872319,0.08003125023045365,0.062442042155068586,0.06416183080509763,0.05072854221614681,0.05143371823977944,0.04856006670691359,0.09716088672874978,0.0891855993179652,0.11120816472712121,0.11002999234964353,0.04068067794604317,0.020458739737539294,0.021341600416200507,0.11120816472712121,0.004477865234583158,4.821541737145559
2.35,0.00778999612735755,0.027558235034386445,0.013497910924366042,0.015834939315736943,0.05560309514813841,0.035751607774459564,0.03951021685581113,0.025435007881390425,0.026258635498931662,0.07873455676978296,0.07364056107086381,0.079659218169307,0.06240234926698697,0.06411499432901954,0.05072120423609919,0.05142559770828401,0.04605605464132402,0.09376155223821023,0.08519914725764109,0.10810898402946743,0.10667912216176319,0.03903529287133484,0.020405225148218478,0.02125662486463988,0.10810898402946743,0.004366068128462503,4.748183765368355
2.4000000000000004,0.007789438756552093,0.027536663239012237,0.013497837103831761,0.01583479738051484,0.05536064730749733,0.035744497212873184,0.0394986546990778,0.02543487280310851,0.02625847279433304,0.07726672573040022,0.07338158947819683,0.07927003897813067,0.062359075494838045,0.06406398453945829,0.0507129625163167,0.051416484046026806,0.04374857063475289,0.09037662027695272,0.0812859446536752,0.10497397188524624,0.10330440206844232,0.03732030964147266,0.02038840924670221,0.021118741292335576,0.10497397188524624,0.004236487941473872,4.674744757651908
2.45,0.007788869711989541,0.027514656701190996,0.013497758585787688,0.015834646427217592,0.05511425092253941,0.035736955305498266,0.039486400304282895,0.02543472352697756,0.026258293024832527,0.07579905895663934,0.0731102610251428,0.07886361339225229,0.06231201913094512,0.06400857331089524,0.05070373872553143,0.05140629228462211,0.041630842723369296,0.08701459090476449,0.07745539516808171,0.10181224102261473,0.09991585253835383,0.03555601688404912,0.020385730531556758,0.020922101233181972,0.10181224102261473,0.004091242232956851,4.601346354690454
2.5,0.007788288997433836,0.02749221661346018,0.01349767517854606,0.01583448609034779,0.054863972484256666,0.03572896666219996,0.039473429917000785,0.02543455892439688,0.02625809483931766,0.07433284742234607,0.07282643599577968,0.0784398739527448,0.06226097636239539,0.06394853094718479,0.0506934512050518,0.0513949339939817,0.03969554079418178,0.08368360231682818,0.07371606013625101,0.09863276872904252,0.09652321927109288,0.033761933660141095,0.02037895107848215,0.020664012579932122,0.09863276872904252,0.003932745381031427,4.528123038194598
2.5500000000000003,0.007787696616725613,0.027469344190907487,0.013497586686952232,0.015834315998024928,0.05460987929401072,0.0357205157889664,0.0394597197016897,0.02543437780654097,0.026257876815239185,0.07286935574460571,0.07252999324626161,0.07799878520822522,0.06220574183096808,0.06388362686320717,0.05068201511061515,0.051382317450897476,0.0379348630395743,0.08039139207984358,0.07007564004691447,0.09544433277637017,0.09313590976825885,0.031956442416631176,0.020353693779217807,0.0203443434768676,0.09544433277637017,0.003763560966959102,4.455217118811189
