Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(3),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(2),J_total_Nd_relativistic
0.6000000000000001,0.01320420335796306,0.046937531680026484,0.023229427335346862,0.024750851171256173,0.10465269685299475,0.06290227584017158,0.06565692199826667,0.04309890164068559,0.04372273132954087,0.206881638024825,0.14487718344816672,0.15137400096611697,0.1202274273698426,0.12196713817575604,0.12196713817575604,0.32607459876598965,0.3574604094751141,0.3698040019362025,0.06042229324333605,7.380108622527471
0.65,0.013203560096464713,0.0469108990932212,0.023229408594003402,0.024750826648747015,0.10429803971311767,0.0628999980764117,0.06565410659762874,0.043098893273648936,0.043722722198313836,0.20344192114923626,0.1447292269142531,0.1511906118392328,0.12021823803446692,0.12195699103605405,0.12195699103605405,0.2960053132876267,0.34521177786333584,0.35476533341352684,0.05991411372211309,7.223381773550525
0.7000000000000001,0.013202865423258447,0.04688215468102727,0.02322938501598291,0.02475079579673409,0.10391643825820569,0.06289713938525349,0.06565057405668057,0.04309888105063519,0.04372270886001742,0.19979534470204066,0.14454595880774326,0.1509638006683627,0.12020510439129271,0.12194249985861425,0.12194249985861425,0.2669561521494212,0.33151918460142904,0.33818464851590124,0.05956924020435999,7.058827072795144
0.75,0.013202119349695488,0.04685130276133971,0.02322935583545174,0.024750757613491256,0.10350821555030965,0.06289361067873676,0.06564621476969026,0.043098863676048114,0.043722689901757164,0.19595616529867793,0.14432290711006293,0.15068820428479873,0.1201868675967987,0.12192239486546752,0.12192239486546752,0.2392804217519432,0.31655980555003516,0.3203258058744098,0.05826514079373116,6.88630563703791
0.8,0.0132013218879659,0.04681834796587427,0.023229320231445375,0.024750711025379908,0.10307371619631168,0.0628893173317452,0.0656409124317544,0.04309883955881768,0.04372266358873759,0.19193917502315297,0.14405558452089012,0.15035848294002171,0.12016217685543201,0.12189519884259738,0.12189519884259738,0.21326021763838213,0.3005466331689648,0.3014849838020371,0.05574521085164829,6.707471516520824
0.8500000000000001,0.013200473051098161,0.04678329523888547,0.023229277328207988,0.02475065488733523,0.1026133058539227,0.06288415939973359,0.06563454432879351,0.04309880677354442,0.04372262782205293,0.1877596078950642,0.14373954044309262,0.14996938747202468,0.12012948667184846,0.12185922521676093,0.12185922521676093,0.1891066192854435,0.28371604980757176,0.28197346379263505,0.05216805070880201,6.5247758383203385
0.9,0.013199572852958703,0.046746149835799125,0.023229226195554425,0.024750587983384448,0.10212737070941262,0.0628780318481716,0.06562698164278055,0.043098763020247635,0.04372258009499639,0.18343304543124425,0.1433704119027655,0.149515824415741,0.12008705848307746,0.12181258102587993,0.12181258102587993,0.16696249589655046,0.2663157684420267,0.2621021482422821,0.04784708009141919,6.340865011313272
0.9500000000000001,0.013198621308251435,0.04670691732176014,0.023229165849254465,0.024750509027196835,0.1016163169281724,0.06287082479308644,0.0656180897713147,0.04309870558294724,0.04372251744814303,0.17897532212689718,0.14294397279367238,0.14899291822506555,0.12003296676026363,0.1217531748442824,0.1217531748442824,0.1469073991459628,0.24859388416679032,0.24216857961790975,0.04311429541595657,6.15824397017491
1.0,0.013197618432517223,0.046665603570096005,0.02322909525143915,0.024750416662665135,0.10108057007925796,0.0628624237520595,0.06560772866061568,0.0430986312873157,0.04372243642346881,0.17440243165747998,0.14245618087759296,0.14839606984604556,0.1199651095295137,0.12167872956557083,0.12167872956557083,0.1289639978960389,0.2307895289940225,0.22244683161251533,0.03825817492285568,5.979105727350644
1.05,0.013196564242133347,0.04662221476069683,0.023229013311028977,0.024750309464518082,0.10052057453511486,0.06285270990500788,0.06559575315098047,0.04309853645764188,0.04372233301777381,0.1697304345701747,0.14190322202173078,0.14772101096312917,0.1198812231291056,0.12158679979796023,0.12158679979796023,0.11310552671616544,0.21312539155339993,0.2031803209942721,0.03350249291059098,5.80526032927213
