Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Pu_relativistic
82.45,0.001986365568069402,0.0004817096107362923,0.0005727756800074076,0.0002399030685370552,0.00011775065388517626,0.00017841443287611966,8.424166706870131e-05,9.34455894472509e-06,5.672811296654543e-06,3.243401607146988e-05,5.087552194327285e-05,2.442693979583043e-05,3.100626177995504e-06,1.8908724452503938e-06,3.1024869224880103e-08,2.1284527563701773e-08,8.506961565763545e-06,1.2752189886660685e-05,6.060275184976373e-06,6.623797508984109e-07,4.001874809634355e-07,3.254357121980504e-09,1.673955395747696e-06,2.103431835594437e-06,8.84278726857611e-07,1.0057735909000818e-07,0.008413579554927953
82.5,0.0019840608919446047,0.0004812941979184406,0.0005714048134457686,0.00023916202884113663,0.00011767158231359146,0.0001779818811460494,8.397431505654287e-05,9.303806938710214e-06,5.646017999368195e-06,3.241429891375497e-05,5.075198367905991e-05,2.434887815071395e-05,3.086991958163428e-06,1.881871426585647e-06,3.084372422140055e-08,2.1154551866116728e-08,8.50193245019825e-06,1.2721176380266728e-05,6.040819887231503e-06,6.595047757747904e-07,3.9831826647918607e-07,3.2377135991973042e-09,1.672996883297186e-06,2.0983452252190736e-06,8.814267196704892e-07,1.0051896375100477e-07,0.00839911129903623
82.55000000000001,0.001981758758807966,0.0004808785858877967,0.0005700376437613638,0.00023842349917930318,0.00011759235668296029,0.00017755048084708855,8.370788739127125e-05,9.263252511162622e-06,5.619363292151045e-06,3.239453066319505e-05,5.06287715501238e-05,2.4271087648672078e-05,3.073424379109168e-06,1.8729173377699421e-06,3.066376242467143e-08,2.1025462224407588e-08,8.49688836756859e-06,1.269025026665091e-05,6.02144018534295e-06,6.566477563734362e-07,3.964622296760729e-07,3.2210376148223064e-09,1.672038164895337e-06,2.093270944663417e-06,8.785873571096063e-07,1.0046058787277358e-07,0.008384675348353283
82.60000000000001,0.0019794591668500683,0.0004804627773415996,0.0005686741602597638,0.0002376874704728665,0.00011751297789922874,0.00017712022888009298,8.344238070831435e-05,9.222894614339391e-06,5.592846399075127e-06,3.237471157683615e-05,5.050588470828141e-05,2.4193567303398292e-05,3.0599230870372293e-06,1.864009916677059e-06,3.048497638661929e-08,2.0897253061478882e-08,8.491829551675338e-06,1.2659411683853738e-05,6.002136374788587e-06,6.538081046231168e-07,3.9461887222725016e-07,3.2043217690592427e-09,1.67107899729424e-06,2.0882089946130253e-06,8.7576113053061e-07,1.0040220443766699e-07,0.008370271610020382
82.65,0.0019771621142587008,0.00048004677496846384,0.0005673143522778833,0.00023695393367722945,0.0001174334468672682,0.0001766911221530028,8.317779165542263e-05,9.182732206495347e-06,5.566466548868081e-06,3.235484191169433e-05,5.0383322307067945e-05,2.411631613231295e-05,3.046487730191064e-06,1.8551489027738184e-06,3.030735848588433e-08,2.0769918625747817e-08,8.48675624640395e-06,1.2628660706939563e-05,5.982908661930704e-06,6.509852025781928e-07,3.927876701008749e-07,3.1875629542231886e-09,1.6701191227022575e-06,2.0831593870045456e-06,8.729484892735602e-07,1.0034383479106097e-07,0.008355899990713681
82.7,0.0019748675992188776,0.0004796305814483774,0.0005659582091838982,0.0002362228797817589,0.00011735376449085342,0.00017626315758084008,8.291411689262767e-05,9.142764251846444e-06,5.540222974883496e-06,3.233492192474661e-05,5.0261083501737594e-05,2.4039333156548256e-05,3.033117958816645e-06,1.8463340370819756e-06,3.013090092237641e-08,2.0643452985845908e-08,8.48166870395491e-06,1.2597997344869246e-05,5.963757159361465e-06,6.481784081431639e-07,3.909680784924622e-07,3.170764400012591e-09,1.6691582713329004e-06,2.0781221306434038e-06,8.701498146316799e-07,1.0028552313614848e-07,0.00834156039650004
82.75,0.0019725756199128566,0.0004792141994526993,0.0005646057203771614,0.0002354942998096579,0.00011727393167264061,0.0001758363320857055,8.265135309220052e-05,9.102989720533326e-06,5.514114915071414e-06,3.2314951872921985e-05,5.013916744926355e-05,2.396261740093154e-05,3.0198134251262072e-06,1.8375650621402071e-06,2.995559571430712e-08,2.0517850027681018e-08,8.476567182970718e-06,1.256742153806753e-05,5.944681882260397e-06,6.453870609735346e-07,3.891595368900305e-07,3.1539333475125173e-09,1.668196163523218e-06,2.073097218294685e-06,8.673653966548982e-07,1.002273078031064e-07,0.008327252732680375
82.80000000000001,0.001970286174520157,0.000478797631644158,0.0005632568752881183,0.0002347681848178384,0.00011719394931414589,0.0001754106425967752,8.238949693861011e-05,9.063407588585114e-06,5.488141611949038e-06,3.229493201309244e-05,5.0017573308337645e-05,2.3886167893966895e-05,3.006573783262414e-06,1.8288417219664906e-06,2.9781434697724342e-08,2.0393103453884748e-08,8.471451946579e-06,1.2536933156709344e-05,5.92568274579584e-06,6.426104884961239e-07,3.873614742253396e-07,3.1370754980757156e-09,1.6672325114762028e-06,2.0680846163251732e-06,8.645954154111857e-07,1.0016920081950517e-07,0.008312976903658903
82.85000000000001,0.001967999261217579,0.0004783808806768498,0.0005619116633782241,0.00023404452589679517,0.00011711381831572412,0.0001749860860502978,8.212854512848215e-05,9.024016837883498e-06,5.46230231257167e-06,3.227486260206418e-05,4.989630023936976e-05,2.3809983667815427e-05,2.9933986892632136e-06,1.8201637620211762e-06,2.9608409528549384e-08,2.0269206785645072e-08,8.466323260372189e-06,1.250653199974162e-05,5.906759563590774e-06,6.398480119929388e-07,3.855733140661422e-07,3.1201918594765413e-09,1.6662670207197839e-06,2.06308425776752e-06,8.618399281407714e-07,1.001111795773582e-07,0.008298732812886995
82.9,0.0019657148781792202,0.00047796394919623716,0.0005605700741398581,0.00023332331417047863,0.00011703353957654776,0.00017456265938959028,8.186849437055735e-05,8.984816456126935e-06,5.436596268503768e-06,3.225474389656876e-05,4.977534740448651e-05,2.3734063758273773e-05,2.9802878010275745e-06,1.8115309291709948e-06,2.9436511687089877e-08,2.0146153366898498e-08,8.46118139034509e-06,1.2476217794649198e-05,5.887912047261696e-06,6.370989526938947e-07,3.837944798059585e-07,3.1032806123171704e-09,1.6652993914036336e-06,2.058096039399692e-06,8.590988634256447e-07,1.0005318664430583e-07,0.008284520362894898
