Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(1),J_6s1/2(2),J_total_Re_relativistic
0.5,0.009973009131302552,0.035455346131654485,0.017322578959460485,0.019236420849100506,0.07784954501293116,0.04593408063022427,0.049180674724841576,0.03179396935631818,0.03251664354488668,0.1579366843639859,0.10301091520176617,0.11073590782947013,0.08435930082525837,0.08629527617954606,0.0782874926028519,0.07947659455963907,0.3289527917201367,0.2665368614461357,0.2906777072063123,0.33505668039261843,0.35162576553850167,0.18751798678827367,8.315177239486742
0.55,0.009972766453731994,0.035445638554276654,0.017322576280214278,0.01923641672199149,0.0777277886858946,0.04593379397480127,0.04918027180734446,0.03179396896086322,0.03251664309170072,0.1567669530487452,0.10299381474551918,0.11071147247840642,0.08435895983782467,0.08629487649155008,0.07828736279862913,0.0794764388216371,0.3156145232981551,0.2648473863444663,0.28810883015387606,0.32913701891824076,0.3434266952701962,0.1326232826179649,8.1304363036563
0.6000000000000001,0.00997250067369045,0.035435009825165745,0.01732257276913991,0.019236411307562575,0.0775946672851769,0.0459334183067929,0.049179743875666766,0.0317939683409216,0.03251664238129578,0.15549634608960472,0.10297152857278778,0.11067966183023822,0.08435842995643744,0.08629425570660781,0.07828713016633146,0.0794761603922792,0.30167207294214393,0.26273608270123394,0.28493189919958156,0.32200040435232496,0.3338530795591588,0.09546758648270548,7.97017617897062
0.65,0.009972211793816967,0.03542346086451372,0.01732256826933737,0.019236404362590526,0.0774502432439255,0.04593293700502676,0.049179067635373545,0.03179396740459394,0.03251664130840249,0.15412762768695618,0.1029431483682109,0.11063920083028095,0.08435763726144846,0.08629332753236259,0.07828673549692387,0.07947568924439787,0.28726866768876264,0.2601666439524514,0.281108451039372,0.3137375905720415,0.32309705207198264,0.07157360051257951,7.826054287247265
0.7000000000000001,0.00997189981697983,0.03541099267188871,0.017322562610424405,0.019236395622991495,0.07729458420672301,0.045932332093378776,0.04917821791083693,0.03179396603445486,0.03251663973852932,0.15266375719439598,0.1029077127093265,0.11058874587337578,0.0843564892143603,0.08629198407038742,0.0782860966557768,0.0794749286693148,0.2725459147107467,0.25711066017818374,0.2766143370318962,0.30447974240554604,0.3113789111428484,0.05709329066700929,7.691245653377489
0.75,0.009971564746276498,0.03539760632607533,0.017322555608576696,0.01923638480389303,0.07712776297595422,0.045931584262975424,0.04917716768063125,0.03179396408332435,0.032516637503129386,0.15110787853461294,0.10286421297353061,0.11052689431794216,0.0843548723733983,0.08629009322100431,0.07828510384054238,0.07947374998682714,0.25764160414632187,0.2535485259063485,0.27144044358144276,0.29438130555173103,0.29892437427050805,0.04895262486628367,7.560641351816545
0.8,0.009971206585033535,0.03538330298490249,0.017322547066571173,0.019236371599711744,0.0769498574541801,0.04593067289601787,0.0491758881154803,0.03179396136976174,0.03251663439445283,0.14946330904367325,0.10281159950504622,0.11045219436158456,0.08435265019535047,0.08628749620616123,0.07828361494163445,0.07947198746920461,0.24268772898927066,0.24946998261123535,0.26559273321429594,0.28360571649384314,0.28594892263369864,0.04483188460996399,7.430733540532729
0.8500000000000001,0.009970825336806545,0.03536808388505853,0.01732253677383248,0.019236355684236584,0.07676095058258561,0.0459295760911935,0.049174348618694255,0.0317939576732958,0.03251663016010074,0.14773352780074206,0.10274878799920614,0.11036315519992558,0.08434966096794866,0.08628400526283099,0.07828145123791543,0.07946943374930132,0.22780875551964513,0.24487430412005287,0.25909167380021664,0.27231471161258336,0.2726484593019065,0.04306437291718919,7.2993553455416285
0.9,0.00997042100538009,0.035351950341893985,0.017322524506482594,0.019236336710717703,0.07656113027557293,0.04592827069063785,0.0491725168690295,0.031793952729405175,0.03251662449729745,0.14592216350227377,0.10267466606035427,0.11025825738919234,0.08434571591481811,0.08627940155631209,0.07827839364812651,0.07946583596073661,0.21312016751332336,0.23977014889901296,0.25197114830516987,0.2606610979761729,0.25919481273292827,0.04250759452222727,7.165382196841577
0.9500000000000001,0.009969993594767612,0.03533490374921184,0.017322510027393517,0.019236314311960892,0.07635048935157608,0.04592673230840798,0.04917035886590122,0.031793946224264194,0.03251661704689887,0.14403298194129127,0.10258809988904304,0.11013596333271175,0.08434059751206247,0.08627343335885722,0.07827417973184926,0.079460892819371,0.1987272973710761,0.2341751156750004,0.24427695273780975,0.24878441218091873,0.24573457097616777,0.04241736429763631,7.0284522514300924
1.0,0.00996954310921134,0.035316945579045377,0.01732249308624311,0.019236288100427528,0.0761291254601768,0.04592493536042594,0.049167838976874594,0.03179393778926972,0.03251660738715561,0.14206987315355474,0.10248794105395201,0.10999472781186029,0.08433405805195038,0.08626581453433357,0.07826850159573531,0.07945425280471624,0.18472444775415672,0.22811504777571176,0.23606499616668317,0.23680876784847726,0.23238998179102363,0.042339042984377254,6.888730794947983
1.05,0.009969069553182212,0.035298077381423744,0.01732247341957398,0.019236257668340025,0.07589714100560586,0.04592285309584946,0.04916491998735704,0.031793926995365464,0.03251659502724996,0.14003683829318997,0.1023730333040667,0.10983300848314191,0.08432581848501698,0.08625622336424714,0.07826100481532695,0.07944551354262308,0.17119429863023058,0.2216231369500682,0.22739931505993796,0.22484223751587015,0.21926098369523203,0.04202030557266161,6.746724422468984
1.1,0.009968572931379765,0.03527830078412518,0.017322450750855443,0.01923622258779274,0.07565464306671771,0.04592045762982446,0.049161563152410756,0.03179391334718064,0.03251657940062695,0.13793797630070834,0.10224221937712942,0.10964927626490385,0.08431556756728083,0.08624430174456699,0.07825128843402937,0.07943422243156131,0.15820758706614488,0.2147388795106821,0.21835000633268134,0.21297723241393074,0.2064277360009123,0.0413446891850211,6.6031412127986435
1.1500000000000001,0.009968053248732043,0.035257617492418056,0.017322424790548532,0.019236182410868285,0.07540174331353038,0.04591771997757261,0.04915772825060139,0.03179389627700052,0.03251655985813997,0.13577747042631116,0.10209434776119275,0.10944202553970594,0.08430296133430695,0.08622965477649694,0.07823890605237371,0.07941987849837398,0.14582304081486225,0.20750693684461108,0.20899117112359555,0.20129147622346427,0.1939532536308503,0.040282924552515864,6.458789328822667
1.2000000000000002,0.009967510510395489,0.035236029288789744,0.01732239523617405,0.019236136669759245,0.07513855792042594,0.045914610089765134,0.04915337363979581,0.03179387513858692,0.03251653566103229,0.13355957467093826,0.10192827936725543,0.10920978410148917,0.08428762291862155,0.08621185076779651,0.07822336797571257,0.0794019354189562,0.13408754181530935,0.1999759491992575,0.19939894616551296,0.18984928788585434,0.18188592196649703,0.03885845101718435,6.314505836054867
1.25,0.009966944721754833,0.03521353803266341,0.017322361772383596,0.0192360848768952,0.07486520747611049,0.045911096889132544,0.049148456314819025,0.031793849200867,0.032516505973776144,0.13128860020670763,0.10174289407242028,0.10895112278039225,0.08426914272160888,0.0861904216545851,0.078204144349237,0.07937980559722885,0.1230364921661432,0.19219734674603212,0.18964968319126574,0.17870298371382062,0.1702617793967296,0.037123720889200004,6.171108353183921
1.3,0.009966355888422979,0.03519014566010278,0.017322324071033606,0.019236026525075067,0.07458181689043585,0.04590714830825816,0.04914293196687793,0.03179381764150938,0.03251646985679156,0.1289689018372136,0.10153709709476413,0.10866466468228494,0.08424707894559855,0.08616486384690282,0.07818066917721368,0.07935286516336372,0.11269435289607489,0.18422419583024222,0.1798183203932977,0.16789427980374333,0.15910652502481903,0.03514443011228659,6.029363480628394
1.35,0.009965744016240879,0.03516585418350497,0.01732228179126235,0.019235961087604673,0.07428851529818842,0.04590273132850212,0.04913675504465661,0.0317937795404066,0.03251642625906753,0.12660486455662448,0.10130982516312546,0.10834909398476232,0.08422095848648034,0.08613463949477419,0.07815234509936343,0.07932045972986078,0.1030753248336638,0.17611011156330353,0.16997697450370958,0.1574556254749514,0.14843724943475045,0.03298941196121531,5.889967314274417
1.4000000000000001,0.009965109111277414,0.03514066569128144,0.01732223457956986,0.019235888018439548,0.07398543595995366,0.045897812020000886,0.049129878816986175,0.031793733873083575,0.03251637401070833,0.12420089026466458,0.10106005244727145,0.10800316423641172,0.08419027818195793,0.08609917816524,0.07811854878143193,0.07928191073142302,0.0941841409413448,0.16790826096462858,0.16019376825458398,0.1474114317482965,0.13826390777934522,0.03072447975161423,5.753534535357262
