Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_7p1/2(1),J_total_Lr_relativistic
36.9,0.0046950283956433084,0.0019101626428596975,0.006267636588643423,0.0057016249630548735,0.001708749764072243,0.0009911365128226599,0.0014169569930346868,0.0021020935243208244,0.0017803534058970511,0.0006675257139723693,0.00027939501056104725,0.0003595870006700767,0.0007213705843576153,0.000629903592220185,9.867251528490662e-05,8.49940566999446e-05,0.0002058113858881194,8.128502436109983e-05,9.258997094438509e-05,0.0001735675027935954,0.0001504404296771314,1.5517891286623025e-05,1.2837673134981233e-05,4.181241786492064e-05,1.3858544323069715e-05,1.2663560258463917e-05,3.262256600143156e-06,4.871369401454398e-07,0.09288561289477722
36.95,0.0046919727833792295,0.0019000012943216637,0.006256695898228297,0.005686474480370779,0.0017002372515367002,0.0009908480685893411,0.0014161129847709128,0.002089940488541678,0.0017693209559642186,0.0006646590292931182,0.00027846133048950943,0.0003595817114838038,0.0007175760115695154,0.0006262723945336092,9.769842525199377e-05,8.413368432592808e-05,0.00020498707916019054,8.089234410785634e-05,9.258838999823099e-05,0.0001726856259584515,0.0001495953450823398,1.5365165362090482e-05,1.270796352954078e-05,4.1648442340842325e-05,1.378626286830232e-05,1.2663089969790602e-05,3.249325790300197e-06,4.845651379273694e-07,0.09257010081601057
37.0,0.004688916048674901,0.0018898978779295712,0.006245760895393472,0.005671349919709212,0.0016917488963803446,0.0009905713598608013,0.0014152556037909238,0.002077856945160438,0.001758356383504663,0.000661793721910013,0.0002775453817910746,0.0003595753762656764,0.0007137983273538145,0.00062265978083731,9.673453516158201e-05,8.328252173006161e-05,0.00020416222312409863,8.050638650446152e-05,9.258711768903949e-05,0.00017180725169865655,0.00014875426674509123,1.5214036964652344e-05,1.2579648150563285e-05,4.148429870974999e-05,1.3715189794373661e-05,1.266268453486081e-05,3.2363912539549864e-06,4.820342132369221e-07,0.09225594366000217
37.050000000000004,0.004685858199761532,0.0018798521628731178,0.006234831655155431,0.005656251340700917,0.0016832848459144066,0.0009903060851707659,0.0014143848572706315,0.002065842534414734,0.0017474593019472366,0.0006589299336965708,0.00027664691674438117,0.00035956790906988467,0.0007100375064473471,0.0006190656967800011,9.578073307491365e-05,8.244046578500288e-05,0.0002033368702368001,8.012706542278984e-05,9.258611862459521e-05,0.0001709323814677622,0.00014791718801012696,1.5064487196303091e-05,1.2452709580073744e-05,4.1319998034847076e-05,1.364531027230611e-05,1.2662338863138259e-05,3.223467822093093e-06,4.79543489698184e-07,0.09194313435810793
37.1,0.004682799244861057,0.0018698639185685008,0.006223908252144979,0.005641178802122493,0.001674845244499655,0.0009900519469125905,0.0014135007543896378,0.002053896897799663,0.0017366293263899526,0.0006560678049612353,0.000275765690002662,0.00035955922594585937,0.0007062935228064294,0.000615490087500738,9.483690832498913e-05,8.160741455787722e-05,0.00020251107247632225,7.975429548729312e-05,9.25853581247902e-05,0.00017006101644706525,0.00014708410202133833,1.4916496479667947e-05,1.2327129459839744e-05,4.115555131493238e-05,1.3576609718433923e-05,1.2662047998060504e-05,3.2105674237649524e-06,4.77093725114659e-07,0.09163166586944582
37.15,0.004679739192186103,0.0018599329146645124,0.006212990760607146,0.005626132361900056,0.0016664302335678762,0.0009898086513055486,0.0014126033062934699,0.0020420196780723296,0.0017258660736008556,0.0006532074744486125,0.00027490145858178363,0.000359549244910599,0.0007025663496214486,0.0006119328976423203,9.390295150179529e-05,8.078326729613008e-05,0.00020168488133992708,7.938799207264238e-05,9.258480221231903e-05,0.00016919315754984276,0.00014625500172574124,1.4770044853414325e-05,1.2202888865598936e-05,4.0990969489751756e-05,1.3509073740752468e-05,1.2661807074553152e-05,3.197697936761564e-06,4.7468604769909306e-07,0.0913215311817076
37.2,0.004676678049939952,0.001850058921048585,0.00620207925440113,0.005611112077112948,0.0016580399516434253,0.0009895759083612754,0.0014116925260562667,0.00203021051925623,0.001715169162018761,0.0006503490793410096,0.00027405398184816133,0.0003595378859212552,0.000698855959331293,0.0006083940713645172,9.297875443770804e-05,7.996792441355012e-05,0.00020085834784243077,7.902807130129171e-05,9.258441760345276e-05,0.00016832880542555406,0.00014542987987741684,1.4625112331121762e-05,1.2079968761242566e-05,4.082626344132463e-05,1.3442688077534211e-05,1.26616112816664e-05,3.184862407769112e-06,4.7232062294353045e-07,0.09101272331346086
37.25,0.004673615826316521,0.0018402417078527728,0.006191173807000246,0.0055961180039974506,0.0016496745343648328,0.0009893534318503694,0.0014107684286439142,0.002018469066645479,0.0017045382117538456,0.0006474927552602643,0.00027322302150655436,0.0003595250708479758,0.0006951623236376185,0.0006048735523571109,9.2064210193066e-05,7.916128747645941e-05,0.00020003152251467395,7.867445004096562e-05,9.258417169889166e-05,0.00016746796046400705,0.00014460872904141652,1.4481679281551205e-05,1.1958350480365458e-05,4.0661443990897984e-05,1.337743853521515e-05,1.2661455835179078e-05,3.1720587622238913e-06,4.699963881805858e-07,0.09070523531887786
37.300000000000004,0.004670552529500315,0.0018304810454596561,0.0061802744914918805,0.005581150197950488,0.0016413341145064511,0.0009891409392691515,0.0014098310308776226,0.0020067949668088514,0.0016939728445880809,0.0006446386362698534,0.0002724083415877446,0.00035951072344700413,0.0006914854135189477,0.0006013712838527556,9.115921304191192e-05,7.836325919006791e-05,0.00019920445540213812,7.832704590207187e-05,9.258403257469679e-05,0.00016661062279948666,0.0001437915415976283,1.4339726786471964e-05,1.1838016180048772e-05,4.049652189168097e-05,1.3313310932634416e-05,1.2661335963358695e-05,3.159280149731019e-06,4.6771207291458123e-07,0.09039906029472337
37.35,0.004667488167666404,0.0018207767045082038,0.006169381380577487,0.005566208713533369,0.001633018822000166,0.0009889381518065855,0.001408880351397946,0.001995187867593698,0.001683472683975545,0.0006417868548772836,0.0002716097084361066,0.0003594947693340351,0.0006878251992446149,0.0005978872086396656,9.02636584579032e-05,7.757374338499288e-05,0.00019837719606370766,7.798577723504314e-05,9.258396897330054e-05,0.0001657567923148464,0.00014297830974460425,1.4199236935481857e-05,1.1718949215163256e-05,4.0331507818009056e-05,1.325029105797752e-05,1.2661246906991492e-05,3.1465159481185902e-06,4.6546740174775343e-07,0.09009419138790761
