Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(2),J_7s1/2(2),J_total_Rf_relativistic
27.55,0.005159831718884956,0.005211062427204487,0.008250585953757673,0.008880801211522793,0.0033765240794521897,0.001957792300804338,0.0015558266015225752,0.006181280248364336,0.005674970361136172,0.0010095017201244168,0.0012530151186395707,0.0006450826585703491,0.0016996152451480306,0.0016595390042750849,0.0007490616102482088,0.0006763153279175164,0.00028731082973529445,0.00043390094084644153,0.0002117802831497804,0.00038213213354290377,0.00037467004692844053,0.00012303329769817943,0.00010756628764875385,5.846651853104945e-05,7.897630279463891e-05,3.192204495259932e-05,1.456776683963598e-05,4.527997920514972e-06,0.1903045879044106
27.6,0.005157249246914849,0.005186224517921212,0.00824076915845507,0.00886336347185751,0.00337059941259421,0.0019427410495347335,0.0015518126563054764,0.006149029988826865,0.005642912429358966,0.0010094548216530506,0.0012414485735417606,0.0006392214456534537,0.0016944027971000774,0.001653346519432357,0.0007410145945676653,0.0006688786571853678,0.0002872661080527631,0.00043003054879153443,0.00020955540628803527,0.00038125296023644255,0.00037353056836832046,0.00012173875491478176,0.00010640524907486214,5.844609106728383e-05,7.828136072299082e-05,3.157835842148516e-05,1.453625913546198e-05,4.5262684092889766e-06,0.1895215436222802
27.650000000000002,0.005154664060060325,0.005161477326328961,0.008230938158724421,0.008845921476369329,0.003364614456270133,0.0019278685447201203,0.0015478964306250118,0.006116914981878851,0.005611005242207209,0.0010093991793321475,0.0012299734999457878,0.0006334524975981649,0.0016891716735747794,0.001647144735202712,0.0007330567639818884,0.0006615262611022478,0.00028722701943173517,0.0004261849119676262,0.00020736240587912368,0.00038036618694838444,0.0003723853626251839,0.00012045803979344258,0.00010525694148191887,5.842753349334036e-05,7.759055226975904e-05,3.1239489007803695e-05,1.4504388606997437e-05,4.524678009969756e-06,0.1887426556693844
27.700000000000003,0.005152076166991131,0.005136820789277926,0.008221093067653264,0.008828475467702449,0.0033585696498759005,0.0019131732808147942,0.001544076274298119,0.006084935099074183,0.005579248512826813,0.0010093341318033848,0.0012185897651687111,0.0006277748218534847,0.0016839223664349536,0.001640934157004883,0.0007251871181020824,0.0006542571723949581,0.00028719314236512814,0.0004223641255677538,0.00020520099023225167,0.0003794719254795327,0.00037123456294235627,0.00011919100700512852,0.00010412122616668183,5.841074180732857e-05,7.690390194657075e-05,3.0905394851830455e-05,1.4472156227200503e-05,4.52321906354975e-06,0.1879678969726132
27.75,0.005149485576377002,0.005112254841462306,0.008211233998398909,0.008811025687744807,0.003352465439779644,0.0018986537578779767,0.0015403505541581567,0.0060530902059283305,0.005547641948891803,0.0010092590370193825,0.0012072972252844872,0.000622187429283893,0.001678655364674739,0.0016347152853204898,0.0007174046675986815,0.0006470704347689403,0.0002871640648701272,0.0004185682788810917,0.0002030708674046138,0.0003785702879680709,0.00037007830198214586,0.00011793751271422122,0.00010299796601830779,5.8395614240413814e-05,7.62214330917411e-05,3.057603394907726e-05,1.4439579543091722e-05,4.521888055533161e-06,0.18719724069955218
27.8,0.005146892296887613,0.005087779415437619,0.008201361064183954,0.0087935723776211,0.0033463022791080993,0.0018843084816523384,0.00153671765398266,0.006021380162002736,0.005516185252698953,0.0010091732719586873,0.001196095725361003,0.000616689334310245,0.00167337115434984,0.0016284886156692378,0.0007097084340866146,0.000639965102790226,0.0002871393843687194,0.00041479745538958667,0.00020097174527931093,0.00037766138684249814,0.00036891671179678666,0.00011669741469537922,0.00010188702577398841,5.8382051230279775e-05,7.554316788784278e-05,3.0251364122590714e-05,1.4406688870016537e-05,4.520683990053492e-06,0.18643066024889104
27.85,0.005144296337192518,0.005063394441638008,0.008191474378291841,0.00877611577768592,0.0033400806275358597,0.0018701359636405467,0.0015331759744196777,0.005989804820988726,0.005484878121261706,0.001009076232342286,0.0011849850996947977,0.0006112795550463653,0.0016680702185106408,0.0016222546385863696,0.0007020974500115541,0.0006329402417684689,0.0002871187075682911,0.00041105173286413104,0.00019890333164130923,0.000376745334775914,0.0003677499238004984,0.00011547057238307056,0.00010078827214047415,5.83699553945438e-05,7.486912738011505e-05,2.9931343021455592e-05,1.4373519710276396e-05,4.519606186075542e-06,0.18566812923076928
27.900000000000002,0.005141697705961097,0.005039099848393504,0.008181574054062415,0.008758656127516974,0.003333800951077441,0.0018561347211798382,0.0015297239329127236,0.005958364030790897,0.005453720246403296,0.001008967332351702,0.0011739651720434421,0.0006059571134314023,0.0016627530371381197,0.001616013839602298,0.0006945707585371329,0.0006259949276410445,0.0002871016503423342,0.0004073311834602435,0.00019686533425146728,0.00037582224464162417,0.0003665780687426357,0.00011425684683541762,9.97015737424567e-05,5.835923150413609e-05,7.419933149570865e-05,2.9615928150239693e-05,1.4340103599272192e-05,4.518652208316711e-06,0.18490962144248535
27.950000000000003,0.005139096411862497,0.005014895561947277,0.00817166020488751,0.008741193665908411,0.0033274637218821514,0.0018423032775146523,0.0015263599636243929,0.005927057633609982,0.005422711314849128,0.0010088460043487252,0.0011630357558555676,0.0006007210353580188,0.0016574200870825046,0.0016097666992243667,0.000687127413433138,0.0006191282468582225,0.0002870878376113059,0.0004036358738132356,0.0001948574609186621,0.0003748922294700402,0.000365401276681903,0.00011305610061865984,9.862680090802221e-05,5.83497864566546e-05,7.353379906352053e-05,2.9305076925209575e-05,1.430646036870588e-05,4.517816570598204e-06,0.18415511084692684
28.0,0.005136492463565582,0.0049907815064728555,0.008161732944206569,0.008723728630864236,0.003321069418031754,0.001828640161867343,0.0015230825173586794,0.005895885466025211,0.005391851008318391,0.0010087116985968265,0.0011521966544985277,0.000595570350796488,0.0016520718420046008,0.0016035136929206774,0.0006797664789646732,0.0006123392962694,0.00028707690322368474,0.00039996586513283783,0.00019287941957004247,0.0003739554024068453,0.0003642196769616089,0.0001118681976414427,9.756382534761489e-05,5.8341529249708806e-05,7.28725478341774e-05,2.8998746745239194e-05,1.4272593947106551e-05,4.517090541960373e-06,0.18340457155920015
28.05,0.00513388586973887,0.004966757604091316,0.008151792385502258,0.008706261259591825,0.0033146185233408985,0.0018151439095069844,0.0015198900614820374,0.005864847359076129,0.005361139003614898,0.0010085638829843034,0.0011414476614836748,0.0005905040939147614,0.0016467087723197322,0.0015972552911059218,0.0006724870297822852,0.0006056271830103934,0.000287068489837264,0.00039632121329726146,0.00019093091831943776,0.0003730118766724001,0.0003630333981859356,0.0001106930029826792,9.651251981341731e-05,5.8334370954265685e-05,7.221559449964188e-05,2.8696895060697455e-05,1.4238492479079168e-05,4.516462979810298e-06,0.18265797784376023
28.1,0.005131276639050482,0.0049428237748884545,0.008141838642296144,0.008688791788495544,0.003308111527160319,0.0018018130618163083,0.001516781079843229,0.005833943138343916,0.005330574972717181,0.001008402042749204,0.0011307885606892513,0.0005855213031945855,0.0016413313451442342,0.001590991959129169,0.0006652881508130585,0.0005989910243917865,0.0002870622488007222,0.000392701968946677,0.00018901166553395325,0.00037206176552236254,0.00036184256819719895,0.00010953038275890004,9.547275783221243e-05,5.832822468801148e-05,7.156295471196772e-05,2.8399479423615926e-05,1.4204132794324878e-05,4.515921791332215e-06,0.18191530412225718
28.150000000000002,0.005128664780168089,0.004918979936931924,0.008131871828144345,0.00867132045317045,0.003301548924182772,0.0017886461663567717,0.001513754072691993,0.0058031726240321355,0.005300158582867795,0.0010082256802060698,0.0011202191265808677,0.000580621021543726,0.0016359400242444355,0.0015847241572635423,0.0006581689371526651,0.0005924299477883232,0.0002870578400355093,0.0003891081775760836,0.0001871213698987776,0.00037110518220949553,0.0003606473140540738,0.00010838020406637488,9.444441358469211e-05,5.8323005588741516e-05,7.091464310091239e-05,2.8106457507191696e-05,1.4169488179926833e-05,4.515455501655231e-06,0.18117652498971096
28.200000000000003,0.00512605030175885,0.004895226006288339,0.00812189205663325,0.008653847488396095,0.0032949312142517046,0.0017756417769317948,0.0015108075565965777,0.005772535631046983,0.005269889496661864,0.0010080343144745416,0.0011097391244295721,0.0005758022964043761,0.0016305352699880727,0.0015784523406977386,0.0006511284939583719,0.0005859430905293436,0.00028705493191808504,0.00038553987962755304,0.00018525974048023343,0.0003701422399466391,0.00035944776201076063,0.00010724233501289624,9.342736196339647e-05,5.831863078778902e-05,7.027067329038708e-05,2.78177870909249e-05,1.4134537007401087e-05,4.515054479212308e-06,0.18044161523354826
28.25,0.005123433212489363,0.004871561897040357,0.008111899441375229,0.008636373128130424,0.003288258902172636,0.0017627984536481831,0.0015079400643601755,0.005742031969076973,0.005239767372134864,0.0010078274812098658,0.0010993483105274948,0.0005710641798578114,0.0016251175392980777,0.0015721769595293342,0.0006441659363430015,0.0005795295997902593,0.0002870532011625448,0.0003819971105818277,0.00018342648678709825,0.00036917305187082235,0.00035824403749706944,0.00010611664482951308,9.24214787917013e-05,5.8315019383502066e-05,6.963105791401042e-05,2.7533426017165256e-05,1.4099269654369704e-05,4.514711544543506e-06,0.1797105498496604
28.3,0.005120813521025607,0.004847987521303721,0.008101894096004371,0.008618897605503766,0.003281532497527235,0.0017501147629757504,0.0015051501449362958,0.0057116614426720854,0.005209791862849617,0.0010076047323353415,0.0010890464324010622,0.0005664057287253591,0.0016196872856086794,0.0015658984587598207,0.0006372803892698394,0.0005731886324850567,0.0002870523327036679,0.00037847990104925315,0.00018162131883022345,0.0003681977310084913,0.00035703626509939646,0.00010500300403032915,9.142664114172599e-05,5.831209241477632e-05,6.899580863025692e-05,2.725333213290732e-05,1.4063692212910197e-05,4.514421879673476e-06,0.1789833040516667
28.35,0.005118191236032888,0.004824502789244282,0.008091876134172265,0.008601421152812925,0.0032747525144900783,0.0017375892778051794,0.0015024363633431165,0.005681423851322383,0.005179962617982544,0.0010073656357767404,0.0010788332290217807,0.000561826004665752,0.0016142449588237705,0.001559617278291329,0.0006304709874484896,0.0005669193551598312,0.00028705201958041985,0.0003749882768600326,0.00017984394718048113,0.0003672163902418314,0.0003558245685425719,0.00010390128457481244,9.04427276619704e-05,5.830977283465043e-05,6.836493613778884e-05,2.6977463235052933e-05,1.402782611992359e-05,4.514182326252376e-06,0.1782598532709187
28.400000000000002,0.005115566366175783,0.0048011076090949765,0.008081845669543775,0.008583944001515362,0.0032679194716480737,0.0017252205775041204,0.001499797300576847,0.00565131898953606,0.005150279282409119,0.001007109775198736,0.0010687084310145726,0.0005573240742689261,0.0016087910052774742,0.0015533338529249779,0.0006237368752316669,0.000560720943887337,0.00028705196281994104,0.0003715222591537807,0.000178094083025064,0.0003662291422761608,0.0003546090706725543,0.00010281135998576426,8.946961882281117e-05,5.830798548397065e-05,6.773845019149169e-05,2.6705777036784118e-05,1.3991703442558776e-05,4.513990311043229e-06,0.177540173146242
28.450000000000003,0.005112938920118087,0.004777801887172775,0.008071802815792862,0.008566466382223465,0.0032610338918225264,0.001713007247971566,0.0014972315535241424,0.005621346646916948,0.005120741496788569,0.0010068367497433756,0.0010586717608636722,0.0005528990091463315,0.001603325867696864,0.0015470486123608115,0.0006170772065129286,0.0005545925841625539,0.00028705187132205143,0.00036808186446836606,0.0001763714382221675,0.000365236099608373,0.0003533898934399516,0.00010173310538767183,8.850719700991747e-05,5.830665706513182e-05,6.71163596195164e-05,2.6438231167265448e-05,1.3955359146807259e-05,4.5138427472577005e-06,0.17682423950604959
