Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(6),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Ra_relativistic
1.6,0.00793438960854321,0.028279095053928477,0.013737213033167734,0.016042173928700672,0.059602625944276066,0.036425853810771014,0.0401809864385896,0.025811126826907095,0.026627620502138304,0.10098502836311213,0.07762867821299407,0.0849565379511699,0.06392690326672656,0.06570524953319724,0.051992082080454846,0.05271279362041121,0.10429129347872429,0.14288170824981208,0.14678521933038846,0.14940708366255914,0.15199590026698515,0.049450029135887565,0.04156584479966724,0.027786545248814788,0.004201185109517743,5.753179659476172
1.6500000000000001,0.007933989329720486,0.02826344543140582,0.013737187084990644,0.016042124922552047,0.05941824372516663,0.036423265558161826,0.04017679461067649,0.025811103129147684,0.02662759200427048,0.09961829557051531,0.07751772203420801,0.08478461980704094,0.06391729981954888,0.06569380823511711,0.05199093394068111,0.05271151090543003,0.09869829767412105,0.13997224086224647,0.14277393461485688,0.1473054750730726,0.14958918045029024,0.0494371987458715,0.036604619225608474,0.025331008393935272,0.004013791330695075,5.672947209654341
1.7000000000000002,0.007933576765566525,0.02824732437184156,0.013737158689012163,0.016042071288086747,0.059228819173691216,0.03642043835646293,0.04017221817615877,0.025811075640456333,0.026627558952364627,0.09823022331184712,0.07739760693289059,0.08459894808423472,0.06390629529293713,0.06568070817927722,0.05198955237735041,0.05270996847404883,0.09331401904607232,0.13695147124154872,0.13865649313609135,0.14506264673848976,0.1470328666069587,0.04940706577367991,0.032525514330037114,0.023509734325790517,0.0039050079822023557,5.595298247166783
1.75,0.007933151918890784,0.02823073278493383,0.01373712769710235,0.016042012745867147,0.059034407366634754,0.03641735861996359,0.04016723563406267,0.025811043898654615,0.026627520792261414,0.09682237593737303,0.077267967495518,0.08439903808598596,0.06389374651010551,0.065665782011602,0.05198790131149472,0.05270812645673102,0.08814770062714662,0.13382783884052565,0.13444823473387119,0.14268294538713694,0.14433336326021548,0.04929447725709315,0.029219590126929675,0.02220049762182545,0.0038493554011220983,5.519495602523795
1.8,0.007932714792586101,0.028213671606414664,0.013737093956978504,0.016041949008741386,0.05883506469303892,0.036414012486908426,0.04016182509079357,0.02581100740226142,0.02662747692287015,0.09539632211548552,0.07712844740878272,0.08418442568759599,0.06387950259695536,0.06564885374856946,0.05198594095763773,0.052705940946208354,0.08320681076821744,0.13061038362717534,0.13016490153393542,0.1401718257700862,0.14149823673948875,0.04905225220896793,0.026582962380039814,0.021295693216762168,0.00382648900585932,5.4449275491105
1.85,0.00793226538962864,0.0281961417979524,0.013737057312228509,0.01604187978189761,0.05863084882674511,0.03641038583004192,0.04015596428008908,0.025810965608623938,0.026627426693965756,0.09395363207003518,0.07697870059860552,0.08395466908782298,0.06386340515622858,0.06562973903184564,0.05198362768287804,0.0527033638544826,0.07849709233975566,0.1273086522771542,0.12582246645102504,0.1375357560336363,0.1385360853177838,0.04864883178770032,0.024518183752892827,0.020701895670552386,0.0038205317786381018,5.371100838996962
1.9000000000000001,0.007931803713077851,0.028178144347051473,0.01373701760233481,0.016041804762919627,0.05842181869839537,0.036406464267336555,0.040149630583271236,0.02581091793204567,0.026627369403985846,0.09249587485685548,0.07681839232896923,0.08370935046218915,0.06384528848723797,0.06560824543709047,0.051980913885109434,0.052700342791900744,0.07402262371970587,0.12393260285757277,0.12143696820812526,0.13478211267549106,0.13545640097571354,0.048065949869623203,0.022935177102531946,0.02033911933571638,0.003819431364686485,5.297631691790869
1.9500000000000002,0.00793132976607643,0.028159680266949587,0.013736974662698997,0.01604172364184394,0.05820803446691102,0.036402233172895045,0.04014280104977689,0.025810863741915067,0.02662730429783235,0.09102461568578266,0.07664720025732051,0.08344807751298493,0.06382497985042716,0.0655841728356312,0.05197774789226172,0.052696820970283824,0.06978589016688004,0.12049250933475789,0.11702435488016769,0.13191906801321382,0.1322694263208439,0.04729639638176633,0.021751791852960275,0.020139876301386188,0.0038143595405178195,5.224235486919582
2.0,0.007930843551850265,0.02814075059651228,0.013736928324667011,0.01604163610121821,0.05798955749046908,0.036397677688017334,0.04013545241794516,0.02581080236083846,0.02662723056468216,0.08954141329421873,0.0764648154435084,0.08317048491132888,0.06380229977569568,0.06555731380731307,0.0519740738842296,0.05269273713183214,0.06578786415815555,0.1169988671420553,0.11260033764279978,0.12895547294362722,0.1289860098915598,0.046341925187879,0.020894050268827607,0.020048110341291277,0.0037991640479768237,5.150715766308618
2.0500000000000003,0.007930345073708385,0.028121356400124902,0.013736878415554947,0.01604154181616105,0.05776645029699678,0.03639278273242263,0.040127561136040636,0.02581073306278082,0.026627147335811254,0.08804781737801559,0.07627094330945869,0.08287623562723015,0.06377706241312121,0.06552745410247156,0.05196983183891895,0.052688025505251,0.06202809326816538,0.11346230093443929,0.10818025607954286,0.12590073756539213,0.1256174627262513,0.04521134090587267,0.020296144748470052,0.02001806872431414,0.0037698774315302456,5.076953027550577
2.1,0.007929834335042922,0.02810149876758205,0.013736824758675466,0.016041440454423225,0.05753877655420482,0.03638753301561691,0.04011910338349096,0.025810655071218016,0.02662705368243671,0.08654536608517407,0.07606530454702196,0.08256502214419481,0.06374907592442426,0.0654943731506294,0.051964957503586345,0.0526826157902466,0.05850479418976819,0.10989347553801963,0.1037789560810996,0.1227647119897198,0.12217541870097179,0.043918784690131454,0.01990024070459087,0.020013159682205947,0.0037242838638996568,5.00289367757028
2.15,0.007929311339329052,0.028081178813974414,0.013736767173364797,0.016041331676450134,0.05730660103918013,0.03638191304839604,0.040110055092317194,0.02581056755730411,0.026626948613581,0.08503558357755406,0.07584763597167665,0.08223656755551448,0.06371814291325183,0.06545784461320653,0.05195938239238187,0.05267643317123605,0.05521495153037357,0.1063030109776907,0.09941068106494493,0.11955756939035111,0.11867170074887386,0.04248222752718784,0.019656132740816883,0.02000483146398683,0.0036615425111607724,4.92853942293604
2.2,0.007928776090124946,0.028060397679573138,0.013736705475010338,0.016041215135445694,0.05706998960755921,0.03637590715447469,0.04010039196873542,0.02581046963805727,0.026626831073962957,0.08351997766548266,0.0756176913200175,0.08189062653997169,0.0636840608921079,0.06541763697724445,0.05195303381073172,0.0526693983608044,0.05215442007105599,0.10270140233814237,0.0950889769566878,0.11628969305619978,0.11511819468689925,0.04092217068070038,0.019520795044468926,0.019971499059815948,0.0035818644222609997,4.853937294265293
2.25,0.007928228591071713,0.02803915652971165,0.01373663947507884,0.016041090477437483,0.056829009162303316,0.03636949948223115,0.04009008951490773,0.02581036037456784,0.026626699941919713,0.082000037519828,0.07537524198921126,0.08152698621528812,0.06364662278353185,0.06537351418688973,0.0519458349069208,0.05266142767312932,0.04931802924014229,0.09909894508495706,0.0908266111109266,0.11297156891917046,0.11152673200079481,0.039260546256531734,0.01945786045658999,0.019897536632171402,0.0034862389733512364,4.779170437238208
2.3000000000000003,0.007927668845893352,0.02801745655466498,0.013736568981145168,0.016040957341343212,0.056583727622096784,0.03636267401655802,0.040079123050821126,0.02581023877023203,0.02662655402736385,0.08047723146577766,0.0751200777168559,0.08114546686822587,0.06360561745292104,0.06532523630915554,0.051937704750959726,0.05265243312728566,0.04669968862842543,0.09550566634597031,0.08663550511126132,0.10961368474451666,0.10790898258728841,0.037519806107004255,0.01943705671049332,0.019772347223309793,0.003376205380536519,4.704349750068258
2.35,0.007927096858396692,0.02799529896952666,0.013736493796921647,0.016040815359038472,0.05633421388939026,0.03635541459080886,0.040067467736272365,0.02581010376901472,0.026626392069780038,0.07895300486222685,0.07485200719993369,0.08074592256082552,0.0635608302702138,0.06527256023028685,0.05192855844055023,0.05264232258004212,0.04429249345719999,0.0919312625305706,0.08252668117859663,0.10622643689874148,0.10427635812850185,0.035722184131729416,0.019433622939730683,0.019589516195072244,0.0032536645856696416,4.629606405350362
2.4000000000000004,0.007926512632471338,0.027972685014083096,0.01373641372228797,0.016040664155425762,0.05608053781811029,0.036347704898830595,0.040055098592937176,0.025809954253744764,0.02662621273626521,0.07742877807033906,0.07457085865180295,0.08032824161282415,0.06351204369749265,0.06521524037889377,0.051918307233700486,0.05263099988747403,0.042088829000861694,0.08838504354792147,0.07851022173478384,0.10282004535579195,0.10063992648255411,0.033889115160667976,0.019427724783766698,0.019346050893041773,0.0031207268273921694,4.555085261529512
2.45,0.007925916172089612,0.02794961595268559,0.01373632855332167,0.01604050334850475,0.05582277018105735,0.0363395285070718,0.04004199052650219,0.025809789044446144,0.026626014619616414,0.07590594451449882,0.07427648029642542,0.07989234696084023,0.06345903789943644,0.06515302947188965,0.05190685870729187,0.052618365094443995,0.040080473060909096,0.08487588377565419,0.0745952415151468,0.09940447736993084,0.0970103372181409,0.032040792753741984,0.019403882266453586,0.019041706022765285,0.0029795903707364635,4.480939144416768
2.5,0.00792530748130649,0.02792609307411989,0.013736238082329155,0.016040332549443783,0.055560982637014006,0.03633086886675659,0.04002811834883794,0.025809606896708304,0.026625796236470285,0.07438586883852766,0.07396874079927573,0.07943819639543669,0.06340159137344399,0.06508567927917544,0.05189411694066255,0.05260431465074833,0.03825869568599333,0.08141217982951977,0.07078987149796048,0.09598938003558452,0.09339775820043741,0.030195848184681455,0.0193504210651861,0.01867839201379067,0.0028324471243512173,4.40732396092941
2.5500000000000003,0.007924686564259553,0.027902117691473365,0.01373614209787729,0.01604015136265262,0.05529524769758532,0.03632170932611423,0.04001345680019149,0.025809406500098848,0.026625556025498036,0.07286988515968652,0.07364752963462501,0.07896578267767661,0.06333948159617132,0.065012941402949,0.05187998272305522,0.05258874165249502,0.03661435543150953,0.07800181509263565,0.06710125382040709,0.09258402177190479,0.08981182295051604,0.028371133393454154,0.01925895478786814,0.018259662082133275,0.002681411191689012,4.33439459441457
2.6,0.007924053425168907,0.02787769114199984,0.013736040384825525,0.01603995938585635,0.05502563869379356,0.036312033142654125,0.03999798057137734,0.02580918647662181,0.026625292345659773,0.07135929542263979,0.07331275738913094,0.07847513353726648,0.06327248568316815,0.06493456806748735,0.051864353783576664,0.052571536107069786,0.035137991550590365,0.07465213088085482,0.06353554677736756,0.08919724261300692,0.0862615883491808,0.026581591623103064,0.01912390338187552,0.017790272657586235,0.0025284667441505216,4.262301522502562
2.6500000000000004,0.00792340806833714,0.027852814786982028,0.013735932724358574,0.016039756210170522,0.05475222974244918,0.036301823495476435,0.03998166432594531,0.02580894537922455,0.026625003474521843,0.06985536785520895,0.07296435600190133,0.07796631155483628,0.06320038105826829,0.06485031291524979,0.051847125042138835,0.052552585219862974,0.033819911604910116,0.07136990404871571,0.0600979389497318,0.0858374130533471,0.08275550213658384,0.024840200665007115,0.018942050761126202,0.01727581121079923,0.00237543196259362,4.1911880935732935
