Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(1),J_total_Ba_relativistic
1.5,0.014300880532028831,0.05000399985413429,0.025326985232185344,0.026750148032772744,0.10146915970700265,0.06903940782013913,0.07162804422953606,0.04759041205816405,0.04819393226756995,0.12284961988235048,0.14392639003452282,0.1470309594917203,0.13165271280143898,0.13302226087519906,0.04564744222024959,0.06259842842195658,0.05398010792610691,0.005741587937346933,4.283634500299403
1.55,0.014298897559458703,0.049922498905336066,0.025326577287950205,0.026749633803251446,0.10046912561717364,0.06899134518625882,0.07157066479311565,0.047589111801579716,0.04819253168429835,0.11716731385788616,0.14188447524471268,0.14468543171004283,0.1309054904247513,0.13222617647006366,0.04502682901860747,0.054535306031448454,0.04681330608021886,0.0050679940692679795,4.201147528934213
1.6,0.014296849973105225,0.04983848009882517,0.025326128594677793,0.026749068276906388,0.09944731352066219,0.06893885970988124,0.07150804484785826,0.04758759972647115,0.048190903268940044,0.11161273281143011,0.139733961492293,0.14222343025437847,0.13008282390208045,0.13135094190266577,0.044712543505464886,0.04756284248165042,0.040737906476853,0.0045852336222485775,4.124916456588304
1.6500000000000001,0.01429473781173431,0.04975195802836066,0.025325636594089155,0.026748448244841853,0.09840465945262722,0.06888173266436433,0.07143993155337981,0.04758585068125081,0.04818902004336772,0.10619862673834238,0.13747865863838915,0.13965030148805954,0.12918278130215513,0.13039473706483512,0.04458906906435972,0.04159068116705125,0.035643289558239644,0.0042518267588901055,4.054040127797341
1.7000000000000002,0.014292561115325222,0.04966294769806707,0.02532509866081878,0.02674777041550998,0.09734211029672601,0.06881974642910647,0.07136607419423298,0.04758383767609464,0.04818685307171339,0.10093640389910903,0.13512300120617793,0.13697207283813098,0.1282039183229448,0.12935626801908554,0.044560960503745736,0.03652589831582124,0.03142023932619462,0.004032273725957192,3.987676381338935
1.75,0.014290319925068958,0.04957146451766032,0.02532451210367797,0.02674703141642258,0.09626062235939373,0.06875268505022193,0.07128622486866523,0.047581531852221706,0.048184371429862954,0.0958361283934329,0.1326719999273244,0.13419538521590083,0.1271452923966696,0.1282347786409161,0.044551391199361516,0.03227551548357851,0.02796318109988217,0.0038967135240695508,3.925052192791302
1.8,0.014288014283366587,0.04947752429755498,0.025323874166947976,0.026746227795902234,0.09516115994664023,0.06868033479301472,0.07120013916449078,0.0475789024578779,0.048181542182285646,0.09090652839237673,0.13013118917932553,0.13132742158838065,0.12600646924153971,0.12703005416101695,0.044500446765521236,0.028748514965667746,0.02517185396931305,0.0038204570472123636,3.865469722605089
1.85,0.014285644233827537,0.049381143243855244,0.025323182031702064,0.02674535602487152,0.0940446939463532,0.06860248468476557,0.0711075768201708,0.04757591683125814,0.04817833036643967,0.08615501428892813,0.12750657119819106,0.1283758328716191,0.12478752220165776,0.12574241705178277,0.04436327831716018,0.025857403642741417,0.022952493752583243,0.003783456326369004,3.808309022345764
1.9000000000000001,0.014283209821267837,0.04928233795323207,0.02532243281715573,0.026744412498679263,0.09291220041903385,0.06851892704640067,0.07100830236927906,0.04757254039056183,0.048174698984951275,0.08158770596792164,0.12480455793452912,0.12534866226919483,0.12348902484298095,0.12437271583085006,0.04410820673150024,0.023519376565225063,0.021218601526654196,0.0037697525453293103,3.7530280800873994
1.9500000000000002,0.014280711091708304,0.04918112540768909,0.025321623582044303,0.026743393538962552,0.09176465919982146,0.06842945801166968,0.07090208576661793,0.04756873663133591,0.0481706090057198,0.07720946835166591,0.12203191139186886,0.1222542691160544,0.1221120373737348,0.12292230745332178,0.043714849371855616,0.021657133514549298,0.01989136894471716,0.0037669316412498855,3.699160807368185
2.0,0.014278148092372695,0.0490775229692197,0.025320751326027038,0.026742295395543417,0.09060305251458527,0.06833387803252289,0.07078870299434294,0.047564467131219215,0.04816601937005627,0.07302395434731891,0.119195683245691,0.11910125321223088,0.12065808753267185,0.1213930340349367,0.043172322966044535,0.020199400936666854,0.0188998257548323,0.0037656062377831715,3.6463134898497835
2.0500000000000003,0.0142755208716858,0.04897154837435813,0.025319812991116943,0.026741114248358892,0.08942836361277763,0.06823199236944362,0.07066793664655201,0.047559691562161055,0.048160887008918275,0.06903365430527701,0.11630315449195258,0.11589838054551381,0.11912914663934797,0.11978719469250923,0.042477560953779685,0.019081208905458114,0.018180768078678623,0.003758935406691819,3.5941601456560974
2.1,0.014272829479271486,0.04886321972862694,0.025318805463135436,0.026739846209423285,0.08824157541965194,0.06812361156556128,0.07053957649089666,0.04755436771014643,0.04815516686725954,0.06523995109367894,0.11336177581668921,0.11265451120952368,0.11752760152901158,0.11810751330793383,0.04163377066090246,0.01824396883194526,0.017678518739393675,0.003742188575916286,3.5424371618754997
2.15,0.014270073965950704,0.048752555500883824,0.025317725573191008,0.026738487324821366,0.0870436692103509,0.068008551903443,0.07040342000587828,0.047548451502420284,0.048148811936468305,0.061643179901527026,0.11037910931532441,0.10937853022638692,0.11585622310306719,0.11635710302074316,0.040649045024098204,0.017635393019106372,0.01734456369455792,0.003712356249531304,3.4909375124986104
2.2,0.014267254383739441,0.04863957451757027,0.025316570099181,0.026737033576731243,0.08583562330826922,0.0678866358435364,0.07025927289260013,0.04754189704216391,0.04814177329482617,0.058242691900763637,0.10736277212330708,0.10607928188363919,0.11411813221695065,0.11453942823468241,0.039535135095554785,0.01720929226506427,0.017137101734734032,0.0036678076720791874,3.439504800982458
2.25,0.014264370785846628,0.04852429595686506,0.025315335767315636,0.026735480885475643,0.08461841180998657,0.06775769244331316,0.07010694955985657,0.04753465665053816,0.04813400015587696,0.05503692092470556,0.10432038245021927,0.10276550809520145,0.11231676360333549,0.11265826488913872,0.038306382973388245,0.016925282822379747,0.017020538235548176,0.0036079938569002976,3.3880273179717566
2.3000000000000003,0.014261423226671992,0.048406739342745204,0.025314019253663392,0.02673382511160031,0.0833930033389547,0.06762155775624211,0.06994627358155284,0.04752668091597105,0.04812543992455485,0.05202345235530321,0.10125950843900916,0.09944579119813637,0.11045582849258766,0.11071765969961961,0.036978809880308605,0.01674842932248555,0.016964948004067348,0.003533193287143034,3.336432259365763
