Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Sm_relativistic
0.5,0.012694566224337704,0.04513108885524976,0.022280698274006014,0.023851752844573405,0.10071629501993959,0.06005658926396881,0.06286751554052918,0.04115373439345294,0.041789055954198136,0.2041609807301961,0.1379353415094186,0.14466931766856397,0.11398720991377957,0.11576977420638475,0.11576977420638475,0.38434284186429357,0.36530315945222913,0.38448415162136024,0.07646335462783575,7.662604126989152
0.55,0.012694083949897302,0.04511122151830214,0.022280689197268538,0.023851740740464367,0.10045359209668454,0.06005550848066765,0.06286615947071424,0.041153731860941976,0.04178905317414619,0.20155423430419075,0.13786436378196232,0.1445795325599802,0.11398437757160841,0.11576661505695707,0.11576661505695707,0.3560196802968714,0.3575858261054937,0.3744803210082942,0.06199678245245093,7.5142059177327685
0.6000000000000001,0.012693555774022142,0.045089473157529134,0.022280677292888185,0.0238517248634569,0.10016670118468908,0.06005409346668975,0.06286438441518226,0.04115372789533505,0.041789048821210144,0.1987397738855692,0.1377723713605227,0.1444633131404665,0.11398001690898545,0.11576175450080002,0.11576175450080002,0.3275973972369953,0.3484015588736686,0.3627330259840125,0.05702244644165102,7.373708930877429
0.65,0.01269298170474533,0.04506584679338341,0.022280662027497625,0.02385170450198497,0.09985584597257072,0.06005228248558906,0.06286211316694013,0.041153721913331054,0.041789042255408415,0.1957279428575493,0.1376559257623113,0.14431640500547746,0.11397355873884386,0.11575456119554903,0.11575456119554903,0.29950874136599687,0.33778919035730515,0.34934755056612254,0.05596837309728905,7.231294069678623
0.7000000000000001,0.012692361750797364,0.04504034570559188,0.022280642822238284,0.02385167888391407,0.0995212682916517,0.060050009009935866,0.06285926259397583,0.041153713171568344,0.04178903266127113,0.19252968787456595,0.1375114717572057,0.14413443462466352,0.1139643061599028,0.1157442633935795,0.1157442633935795,0.2721389767409338,0.3258376217697424,0.33448988307440375,0.05579406105432221,7.082461292102
0.75,0.012691695921605847,0.04501297343231623,0.022280619052981204,0.02385164717686594,0.09916322779643823,0.060047201861387664,0.06285574383005069,0.041153700740974616,0.04178901901977338,0.18915649305868304,0.13733537573151214,0.14391296109614451,0.11395142521045289,0.11572993919688004,0.11572993919688004,0.245819633675031,0.3126788180062434,0.31837374277562147,0.055079420342634945,6.92612780244432
0.8,0.012690984227295182,0.04498373376924785,0.022280590050565086,0.023851608488568356,0.09878200162252918,0.06004378536028623,0.06285146247826112,0.041153683479717755,0.04178900007875632,0.1856203119761417,0.1371239645282257,0.14364752814282727,0.11393393791616759,0.11571050957340667,0.11571050957340667,0.22082492605144427,0.29847901090743334,0.30124620644694283,0.053342976539962624,6.76318085065165
0.8500000000000001,0.012690226678686245,0.04495263076863757,0.02228055510105138,0.02385156186722998,0.09837788402261882,0.06003967948441052,0.06284631882682218,0.04115366000489752,0.04178897432199268,0.18193349797084452,0.1368735643074516,0.1433337156874663,0.11391071803646732,0.11568473445940286,0.11568473445940286,0.19737064057842307,0.2834290216617126,0.2833733024367076,0.05058995763214234,6.595493518694298
0.9,0.012689423287296026,0.044919668738260546,0.02228051344599629,0.023851506301939933,0.09795118598129803,0.06003480003649387,0.06284020807649472,0.04115362866312426,0.04178893993706055,0.17810873343310155,0.13658053898165864,0.14296719036726457,0.11388048972985455,0.11565121217329105,0.11565121217329105,0.17561520319362428,0.267734503521782,0.2650266372052032,0.04703903493395407,6.425306398907551
0.9500000000000001,0.012688574065337258,0.04488485224031675,0.022280464282739595,0.023851440723091966,0.09750223480939621,0.06002905882009384,0.06283302057904931,0.04115358750013669,0.041788894782195364,0.1741589585771003,0.1362413277976211,0.14254375438238434,0.11384182927036618,0.11560838226396705,0.11560838226396705,0.15566256246836366,0.25160674690864016,0.24647178564232258,0.04297075282873408,6.2548647266996635
