Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(1),J_5s1/2(1),J_total_Tc_relativistic
2.25,0.03832320645685754,0.12676289336733274,0.06970778684040321,0.14384571879579566,0.17514039758275612,0.1854097157451605,0.3768442361164998,0.2823700337197217,0.42677772369615824,0.059160876476861135,0.10209513997407155,0.1895910080716756,0.2151309870440867,0.052273440975690935,0.008158589505689652,2.451591754368761
2.3000000000000003,0.03830912996504778,0.12619534967490242,0.06969527006255764,0.1438171616456376,0.1701036041966878,0.18406540449545106,0.3739012799937705,0.2819307048402806,0.42609114835494766,0.05826474660370427,0.09383510411320704,0.17374557739059587,0.19976074620414488,0.04849026645372402,0.007408109352922975,2.3956136033475826
2.35,0.03829475145028727,0.12561824398957924,0.06968196648479,0.1437868155150599,0.16512142157737547,0.18266856581321253,0.3708468868472821,0.28145755888578056,0.42535202886865336,0.05762202338774283,0.08618580963688355,0.15916005568316832,0.1853405731072241,0.044945439864745036,0.006787685133190046,2.342869826244974
2.4000000000000004,0.03828007138690206,0.12503174908153883,0.06966784749006824,0.14375461599163752,0.16019894480987273,0.18121984556532145,0.3676827829095716,0.28094941567312587,0.4245585680256387,0.057182658728905995,0.07912583883499244,0.14578139749310967,0.17183001852097254,0.04162838457401911,0.006280799896524917,2.2931729389822015
2.45,0.038265090258879704,0.12443603971304373,0.06965288431686313,0.14372049839511503,0.15534097997291874,0.17972001485553213,0.36441096632713166,0.280405151379735,0.4237090591124063,0.05690155440453724,0.07263166016688366,0.13355312667394242,0.15918835592526778,0.03852851237131562,0.0058721307643693176,2.2463360246379414
2.5,0.03824980855983546,0.12383129254485613,0.06963704808356226,0.14368439783469747,0.15055204153640644,0.17816996583259423,0.3610336964003576,0.2798237035214672,0.4228018935130083,0.05673842513204248,0.06667810061357227,0.12241630660659446,0.14737489764922496,0.03563529769339506,0.0055475946288359775,2.20217447015045
2.5500000000000003,0.03823422679297788,0.12321768604224331,0.06962030981287011,0.14364624926624245,0.14583635084297894,0.17657070707229328,0.3575534819258455,0.2792040755271616,0.421835567659015,0.05665761577243025,0.06123877637839567,0.11231041041380864,0.1363492653866991,0.0329383406662042,0.0052943596166508036,2.1605074231758166
2.6,0.0382183454710738,0.12259540038065125,0.06960264045616979,0.1436059875492942,0.1411978356335029,0.1749233585745411,0.3539730687415483,0.2785453408892621,0.42080868930000537,0.056627882580099875,0.05628648160475222,0.1031740930766924,0.12607161968588013,0.030427420136730388,0.0051008298076893055,2.1211589938878928
2.6500000000000004,0.038202165116412605,0.1219646173511211,0.0695840109178226,0.14356354750390232,0.13664013057288232,0.17322914641708873,0.3502954265754895,0.2778466468747242,0.4197199830720506,0.05662214739486538,0.05179353560828523,0.094945868851082,0.11650285266472604,0.028092537765429054,0.0049566095041815505,2.0839592261900637
2.7,0.03818568626076995,0.12132552026552339,0.06956439207938189,0.14351886396716743,0.13216657872981857,0.1714893971075542,0.3465237352981632,0.27710721778499287,0.4185682953489239,0.05661723266397456,0.0477320897799688,0.0875646985077428,0.10760474786608563,0.025923954155909684,0.004852452301419849,2.0487448621173967
2.75,0.038168909445370824,0.12067829386168347,0.0695437548236978,0.14347187184945806,0.12778023396168553,0.16970553167527208,0.34266137067746083,0.2763263577582539,0.4173525983677295,0.05659358419788097,0.044074395825597905,0.08097049173159059,0.09934011083045365,0.023912217916392635,0.004780199309601161,2.015359922232129
2.8000000000000003,0.03815183522085196,0.12002312420847172,0.06952207005889002,0.14342250619024327,0.12348386415367084,0.16787905954399907,0.33871188973302613,0.2755034531113626,0.41607199362722275,0.0565349876213521,0.0407930373854932,0.07510453055898282,0.0916728736636947,0.022048188472004248,0.004732710097745788,1.9836561236470116
2.85,0.03813446414722366,0.11936019861093083,0.06949930874216613,0.14337070221348663,0.11927995525971824,0.16601157222577548,0.3346790157844029,0.27463797422279734,0.41472571456326357,0.05642828359398524,0.037861127344262904,0.0699098200527691,0.08456817660979785,0.020323053372052875,0.00470378925982552,1.9534931560024582
2.9000000000000004,0.038116796793831016,0.11868970551551174,0.06947544190346314,0.14331639538254895,0.11517071609158233,0.16410473687526675,0.3305666232842704,0.2737294769616621,0.41331312851154084,0.05626308605012768,0.03525247331149046,0.06533137255209258,0.07799242937427155,0.01872834076711945,0.004688110933714851,1.9247388343084937
2.95,0.0380988337393145,0.11801183441548928,0.06945044066889082,0.1432595214545473,0.11115808380146153,0.16216028974271743,0.3263787225245207,0.2727776036711327,0.4118337379729259,0.05603150695293468,0.03294171384607172,0.06131643182337493,0.07191335468620165,0.01725592767069714,0.0046811431198556415,1.897269146090136
3.0,0.03808057557156993,0.11732677575662707,0.0694242762839554,0.14320001653412004,0.10724373000318496,0.16018002956226407,0.32211944429897915,0.27178208371780627,0.4102871812015129,0.0557278903734399,0.030904428023883414,0.057814643311612096,0.06630001636113933,0.015898044563266524,0.0046790732373512105,1.8709682088007125
