Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(7),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(1),J_6s1/2(2),J_total_Lu_relativistic
0.5,0.01071788420933877,0.03806440154580123,0.018661491204076487,0.020465312080179647,0.08386454602998986,0.04962451533332102,0.052726729489635145,0.03418945389673005,0.0348839077562282,0.17118393472019605,0.11264773794358438,0.12030457764284726,0.09278187771092589,0.09477376659224167,0.09772407443348997,0.0999636847058977,0.3598576078195531,0.31104837049864653,0.3367999898319563,0.4272357154692392,0.12115161070200485,7.673987963724404
0.55,0.010717586881971036,0.03805242229090818,0.018661487375783648,0.020465306460148883,0.08371246056416604,0.0496240949797624,0.05272616085646921,0.03418945323042325,0.03488390700327582,0.1696846935337463,0.11262106720481906,0.12026766393877322,0.09278117437096801,0.09477294829821657,0.09771825036071186,0.0999551046879539,0.34096175108853366,0.30752686248074873,0.3316226383764501,0.39030722385539185,0.08412544093726519,7.493828914252633
0.6000000000000001,0.0107172612511433,0.03803930694405551,0.01866148235671889,0.020465299087421333,0.08354622512307107,0.04962354422345265,0.052725415966804974,0.03418945218614928,0.034883905823275566,0.16805866793333607,0.11258635905414573,0.12021968415201478,0.09278008450550176,0.09477168110474966,0.09770884136369024,0.09994149817995246,0.32149587129301743,0.30321437779217625,0.3253690788334242,0.355174168811897,0.06339581858072932,7.340625113850815
0.65,0.010716907320517992,0.03802505680905973,0.018661475922174733,0.02046528963099061,0.08336593004756467,0.049622838776361415,0.05272446206376088,0.03418945060938167,0.03488390404168719,0.1663100279600308,0.11254223002961364,0.12015876145900564,0.09277845909382791,0.09476979252053802,0.09769448451433112,0.09992111174303737,0.3017016932198796,0.298078091696481,0.3180284582778182,0.3224189909007772,0.05293357462385525,7.2032510369115945
0.7000000000000001,0.010716525094075625,0.038009673302070945,0.01866146782816968,0.02046527773151283,0.08317167316858345,0.049621952392799915,0.052723263775999445,0.03418944830279157,0.03488390143565482,0.16444322478471246,0.1124872244520762,0.12008293104083569,0.09277611282590964,0.09476706837070147,0.09767361003589986,0.09989199174497222,0.2818098184790619,0.29210667250378336,0.30962328972866804,0.2922767978433746,0.048403408008365414,7.073772792761982
0.75,0.010716114576114703,0.03799315795131327,0.0186614578115144,0.02046526300141748,0.08296355971719548,0.04962085690722884,0.05272178317489802,0.034189445019209924,0.034883897726076266,0.16246297189187953,0.11241982517159257,0.11999015659663019,0.09277282017674028,0.09476324842481547,0.09764448214972836,0.09985204781086308,0.2620357338022445,0.28531024382018494,0.3002071452246034,0.2647627944597726,0.04690376333112494,6.947038721674318
0.8,0.010715675771251616,0.03797551239680488,0.01866144558988308,0.020465245025027032,0.08274170222803946,0.049619522274783584,0.05271997983577223,0.03418944045414569,0.03488389256917636,0.16037422534751533,0.11233846469803528,0.1198783473334117,0.09276831181233981,0.09475802244657021,0.09760524764695776,0.09979911935125091,0.24257656134034677,0.27771933752605144,0.2898609120690358,0.23976639993260435,0.046624488349488985,6.820066028530917
0.8500000000000001,0.01071520868442052,0.03795673839005765,0.018661430861889945,0.02046522335868511,0.08250622043627931,0.04961791661444814,0.052717810903036,0.03418943423788592,0.0348838855476147,0.15818216327035364,0.11224153662363051,0.11974537527321051,0.09276227142057558,0.09475102677290223,0.09755398732543695,0.09973103922780666,0.22360858360351313,0.2693830161455775,0.2786880545875023,0.21711395107726664,0.04652553499873876,6.691434001929037
0.9,0.010714713320873235,0.03793683779375664,0.01866141330717093,0.02046519753089327,0.08225724116821258,0.04961600625480448,0.052715231159174834,0.03418942592720549,0.03488387616115985,0.15589216462902317,0.11212740724414287,0.11958909271809008,0.09275433305059572,0.0947418415182011,0.09748876625154777,0.09964569051654773,0.20528554187194253,0.26036636843288596,0.2668093167445799,0.19660742249916108,0.046077224146318076,6.560774384560865
0.9500000000000001,0.010714189686179097,0.03791581258141934,0.018661392586470437,0.020465167042456295,0.08199489822568028,0.04961375578228022,0.052712193097402264,0.03418941499671524,0.03488386381696353,0.1535097874897171,0.11199442728535236,0.11940734971547111,0.09274407903358957,0.0947299884850036,0.09740767990011474,0.099541054141451,0.18773767741155767,0.2507475880012638,0.2543572591176895,0.17804672397257082,0.045068337091278464,6.428380880470913
1.0,0.010713637786224839,0.03789366483703491,0.018661368341733185,0.02046513136663593,0.08171933226443256,0.049611128091813395,0.052708646997862735,0.03418940082987879,0.034883847819469856,0.15104074684021127,0.11184094364233507,0.11919801136960088,0.09273103854517514,0.09471492984688382,0.09730889432580905,0.09941524661224181,0.1710714606279523,0.24061483504724349,0.2414709592709521,0.16124151027227543,0.04347312630589334,6.294927509601116
1.05,0.010713057627214438,0.03787039675468339,0.018661340196201096,0.02046508994931307,0.08143069066661317,0.04960808443984914,0.05270454100723821,0.03418938270972929,0.03488382735999592,0.1484908921162557,0.11166531104081776,0.11895897485012612,0.09271468685630775,0.09469606765248349,0.09719067946606959,0.09926654812828459,0.15536993487759895,0.23006305976458244,0.22829112897669807,0.14601664307644577,0.04136385918676544,6.1612743975845445
1.1,0.010712449215668973,0.0378460106381352,0.01866130775451521,0.020465042209158228,0.08112912740753209,0.049604584499579836,0.05269982122160972,0.03418935980931849,0.03488380150602127,0.14586618455561406,0.11146590353248571,0.11868818595537135,0.09269444530556405,0.09467274418226061,0.09705143540041343,0.09909342193876179,0.14069358908707966,0.21919093710039722,0.21495582450695502,0.1322139993655343,0.03885607581849225,6.028338894719947
1.1500000000000001,0.010711812558426457,0.03782050890043072,0.018661270602822567,0.020464987537810325,0.08081480291690363,0.04960058641833635,0.052694431772419656,0.0341893311819315,0.034883769190224775,0.14317267450334925,0.11124112573953035,0.11838365509596573,0.09266968201133685,0.09464424317201951,0.0968897118900034,0.09889452616089302,0.12708166631082282,0.20809802991865897,0.20159685438804603,0.1196922989482873,0.03607614934431553,5.897013349965258
1.2000000000000002,0.010711147662641684,0.03779389406344043,0.01866122830888803,0.020464925300063663,0.08048788393473297,0.04959604687703519,0.052688314915375664,0.034189295751101224,0.03488372919930842,0.14041647878939598,0.11098942376786448,0.11804347257374756,0.09263971332822316,0.09460979190004927,0.09670422182512553,0.09866871934571061,0.11455381331606106,0.1968822646060418,0.18833692707974234,0.10832595056076312,0.03314341528403292,5.768115232540921
1.25,0.01071045453578604,0.037766168757405454,0.018661180422211033,0.020464854834063045,0.08014854336204127,0.049590921151583124,0.05268141112213184,0.03418925230045737,0.03488368016264821,0.13760375829606433,0.1107092957132422,0.11766582304124693,0.0926038060380225,0.09456856411813898,0.09649384936004066,0.09841506102806537,0.1031119784701718,0.1856377721083983,0.175287531275623,0.09800349185632483,0.030161447987501578,5.642359236952738
