Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(2),J_7p3/2(2),J_total_Lv_relativistic
0.5,0.004660615990834939,0.017994965730272844,0.008170408558589765,0.011623738989637124,0.0403382517299614,0.023000489792143617,0.02839149849742256,0.018032712182388576,0.01906496553118882,0.07645274908777334,0.04772548583578078,0.057102384351678734,0.04125674770617471,0.04306552305318418,0.03188093156503497,0.032541996287193745,0.13858242687314556,0.0924557640714026,0.11124552387000129,0.08774709750974023,0.09188186872115364,0.0835894952932189,0.08560353246349951,0.2609860447149959,0.19666365763649543,0.2480273273406129,0.2341952676563985,0.2525279823673024,0.37329758488325493,0.4717047680318851,0.37331862545715466,11.678421698395644
0.55,0.004660582005974357,0.017993619456746573,0.008170408394493187,0.011623738642346454,0.04032131831015443,0.023000480306504683,0.028391471789609764,0.018032712175294063,0.019064965521369066,0.07632039264936406,0.04772510701878449,0.05710144565351164,0.0412567458642508,0.04306552059546891,0.03188093156112233,0.032541996282587755,0.1377026371593064,0.09244487586572737,0.11121815230107904,0.08774673655921274,0.09188137093931409,0.08358946827366699,0.08560349823813135,0.2543252462850195,0.19623949768701132,0.24675394812381948,0.23384684585718624,0.25193426813275677,0.32010517936804944,0.4324432214520852,0.2921956148624722,11.30484665581657
0.6000000000000001,0.004660544784907074,0.01799214509817939,0.008170408196075599,0.011623738186644136,0.040302780796966454,0.023000467862854427,0.02839143675874598,0.018032712164160997,0.019064965505958837,0.07617570628809438,0.04772461060159507,0.05710021629155948,0.041256742977950976,0.04306551674485129,0.03188093155380155,0.03254199627397047,0.13674581124560656,0.09243066466224495,0.11118251621640392,0.08774617491386927,0.09188059709263732,0.08358941861492415,0.08560343541877143,0.24723734640195283,0.19569665057749275,0.2451496092888765,0.23334411293416785,0.2510928936496645,0.27165961356841756,0.391737411830354,0.22547627169182358,10.961939298655606
0.65,0.004660504327754904,0.01799054269041446,0.008170407958242348,0.011623737602005007,0.04028264153441979,0.023000451902640884,0.02839139183603637,0.01803271214732726,0.019064965482657445,0.07601876450052145,0.047723974639783964,0.0570986423942422,0.041256738620648215,0.04306551093280119,0.03188093154079337,0.032541996258660104,0.13571373521585195,0.09241253813767833,0.11113718556098336,0.08774533349694501,0.09187943892734247,0.0835893320729139,0.08560332609675307,0.23977180998102485,0.19501887186273595,0.24318016764275363,0.23264914287215946,0.24995126397413453,0.2285616330276362,0.35087831085679727,0.17206480356904874,10.650749425528666
0.7000000000000001,0.004660460634650251,0.017988812272404585,0.008170407675457238,0.011623736866128276,0.040260903068172364,0.02300043181952267,0.028391335319485823,0.018032712122663806,0.01906496544851809,0.0758496479902589,0.04772317540541915,0.05709666584375611,0.04125673224774924,0.04306550243385832,0.03188093151867295,0.03254199623262768,0.13460832674849552,0.0923898656265879,0.11108065305072076,0.0877441130111403,0.09187776080327761,0.08358918795113189,0.0856031443151825,0.23197960607891774,0.1941904339674049,0.24081635667956827,0.23172317642701165,0.24845895313584096,0.19107825658673844,0.31097841423237144,0.13021896037422434,10.370042263364429
0.75,0.0046604137057361045,0.0179869538862104,0.00817040734174289,0.011623735954939821,0.040237568144971654,0.023000406959563204,0.028391265374697945,0.018032712087494903,0.019064965399837642,0.07566844360118313,0.04772218741770732,0.05709422438297582,0.04125672317739027,0.043065490340073655,0.03188093148245373,0.0325419961900081,0.13343162948012277,0.09236198119892307,0.11101134483145503,0.08774239132792945,0.09187539628622796,0.08358895718782361,0.08560285372232167,0.2239126554088945,0.1931964565628358,0.2380347026174191,0.23052832252735456,0.24657032702944937,0.15919490957043086,0.2729250212709903,0.09801315926877785,10.117261282416642
0.8,0.004660363541166044,0.017984967576998457,0.008170406950681145,0.011623734842594656,0.040212639712065734,0.023000376621440097,0.028391180035735916,0.018032712038512394,0.019064965332038133,0.07547524424566586,0.0477209834758757,0.05709125172985877,0.04125671056994567,0.04306547353391979,0.031880931425069974,0.03254199612249251,0.13218580703131916,0.09232818690174803,0.11092763156799357,0.08774002092938232,0.09187214485421312,0.0835886001732127,0.08560240491256245,0.21562328420094537,0.19202321423188654,0.23481822953711676,0.22902921612171287,0.24424678279183634,0.1326745613853544,0.23736940118380778,0.07360629465487668,9.889182809861255
0.8500000000000001,0.004660310141104231,0.017982853393039136,0.00817040649541348,0.011623733501479582,0.04018612091657162,0.02300034005666967,0.028391077206044744,0.018032711971683955,0.01906496523954006,0.07527014882791609,0.04771953469424599,0.057087677699118725,0.041256693406427826,0.04306545065978234,0.031880931336744314,0.03254199601858582,0.13087313671908013,0.0922877561479696,0.1108278398789436,0.08773682644843356,0.09186776878339456,0.08358806432153477,0.08560173249196965,0.2071636921760711,0.190658415389891,0.23115694163237252,0.22719451780297753,0.2414584689876073,0.1111174129618471,0.20474071148379763,0.05537084980453055,9.682339180662288
0.9,0.0046602535057254126,0.017980611385704434,0.008170405968641464,0.011623731902216031,0.04015801510480117,0.0230002964698465,0.028390954659434402,0.01803271188215551,0.01906496511562764,0.07505326216252094,0.0477178105394496,0.05708342833091997,0.041256670465860845,0.0430654200941503,0.031880931204226144,0.032541995862713106,0.12949600298101308,0.09223993723423729,0.11071026403144486,0.0877326023523098,0.09186199027660585,0.08358728143466553,0.08560075192018822,0.19858544183980462,0.1890914473956282,0.2270480800597461,0.22499816852487955,0.2381854221527471,0.09401643446331184,0.17527439110575999,0.041935904649062265,9.493284922378228
0.9500000000000001,0.004660193635214918,0.01797824160946561,0.008170405362627252,0.011623730013663068,0.04012832582154466,0.02300024501889788,0.028390810041123316,0.01803271176414786,0.019064964952306127,0.07482469488827927,0.04771577886973057,0.05707842602633084,0.04125664030171465,0.04306537991462904,0.03188093100988654,0.032541995634158265,0.12805689053753647,0.09218395696964234,0.11057317780898418,0.08772711081192422,0.09185448889387461,0.08358616490522354,0.08559935619376077,0.18993897561800868,0.18731358383899982,0.22249616059262148,0.22242034401117755,0.2344181176064657,0.08080577719714875,0.1490469445662359,0.03218279487800941,9.3187611614271
