Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(5),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Pm_relativistic
1.05,0.012937839210719764,0.045701580574614424,0.022746948011195388,0.02429298200855836,0.09849668107156648,0.06140454166932957,0.0641758139704327,0.04210365445234186,0.04273311162866704,0.1678428232204637,0.13858382284257054,0.14454230708552943,0.11670908390581006,0.11843879406673784,0.11843879406673784,0.117289446494796,0.21624642320274567,0.2066914760973753,0.033826956416566654,5.8663074613732435
1.1,0.012936795190753518,0.045658769212338524,0.022746862831224682,0.02429286950873262,0.09794940135461717,0.06139459424597192,0.06416346677110185,0.042103553347977184,0.04273300108156819,0.1633516322246312,0.13802820422337445,0.14385959097926812,0.11662238599534695,0.11834348254870082,0.11834348254870082,0.10314198879235506,0.19948026795130955,0.188504747551349,0.02948680319218279,5.702708337403002
1.1500000000000001,0.012935702738004522,0.04561401413649064,0.02274676530526557,0.024292740711816842,0.09738011594012137,0.06138325023760122,0.06414939205515091,0.042103427211932304,0.04273286318331634,0.15879037708488206,0.13740749440920863,0.14309874949712886,0.11651772544086232,0.11822855781678969,0.11822855781678969,0.09083954011673503,0.1831281411765077,0.17104861928688242,0.025451292057429176,5.545994388881855
1.2000000000000002,0.012934561869672564,0.04556732176378102,0.022746654306459637,0.02429259413284153,0.09678927152483677,0.06137039265579853,0.06413344650594575,0.04210327142468768,0.04273269289256657,0.15417345304407615,0.136718898043295,0.1422568277419035,0.1163927955936392,0.11809154027329716,0.11809154027329716,0.08027528599641558,0.16733662648856004,0.1544602208891816,0.02178483884396341,5.396923964795533
1.25,0.012933372603717214,0.04551869878236456,0.022746528661486447,0.024292428226085246,0.09617732958623496,0.06135590151338352,0.06411548338601238,0.04210308078985069,0.04273248454014134,0.1495150502173869,0.135959930954383,0.14133129577496034,0.11624521560065845,0.1179298798837533,0.1179298798837533,0.07132308371171417,0.15222696948430345,0.13884347601960478,0.01851780022830783,5.255967060452136
1.3,0.012932134958857222,0.0454681521500777,0.022746387151026413,0.02429224138574409,0.09554476577465712,0.06133965408140961,0.06409535287789554,0.04210284949688095,0.04273223178884286,0.14482908638982542,0.13512844367146565,0.14032007396649912,0.11607255466033187,0.11774098337122306,0.11774098337122306,0.06384365365510859,0.13789515769920163,0.12427109069118206,0.015655511523305875,5.123344064111243
1.35,0.012930848954569885,0.04541568909260642,0.02274622851024142,0.024292031946626564,0.09489206929045044,0.061321525151098524,0.06407290243083906,0.042102571084365756,0.042731927593931296,0.14012914387440437,0.1342226411637136,0.13922155297758393,0.11587235763476068,0.117522242695359,0.117522242695359,0.05769011598120191,0.1244128754990152,0.11078731643560112,0.01318580451154811,4.999064999395756
1.4000000000000001,0.012929514611090386,0.045361317101586196,0.022746051429272916,0.024291798184873446,0.0942197422472744,0.06130138730007521,0.0640479771123762,0.04210223840404678,0.04273156416449028,0.13542841077029671,0.1332410987163202,0.138034608335315,0.11564217150737455,0.11727106423684261,0.11727106423684261,0.05271279854449891,0.11182911220426459,0.09841119130134038,0.011084959512746318,4.882967384127638
1.4500000000000002,0.012928131949411122,0.04530504393263461,0.022745854553757282,0.02429153831870224,0.09352829902278295,0.061279111162258565,0.06402041996391361,0.04210184358579527,0.04273113292589719,0.13073962690500054,0.1321827739050967,0.13675860963775355,0.1153795721758433,0.11698489811569898,0.11698489811569898,0.048763287287481256,0.10017222185086519,0.0871400130794797,0.009322252141811106,4.774751577379693
1.5,0.012926700991280987,0.04524687760331747,0.022745636485358153,0.024291250509175848,0.09281826559790247,0.061254565700760134,0.06399007235939029,0.04210137800372875,0.04273062448361008,0.12607503468868386,0.13104701468262764,0.1353934244956341,0.11508219108458852,0.11666126709470984,0.11666126709470984,0.04569772663411832,0.08945225957044577,0.07695285083562804,0.007863324814738188,4.674012960064607
1.55,0.01292522175920465,0.04518682639104923,0.022745395782315478,0.02429093286099501,0.09209017888593662,0.06122761848314099,0.06395677436609364,0.04210083224365673,0.042730028588477006,0.12144633505329068,0.12983356363591664,0.13393941738256293,0.11474774122745549,0.1162977945547482,0.1162977945547482,0.043379405235018,0.0796634488390552,0.06781394894516499,0.006672616486074389,4.580270609104344
1.6,0.012923694276441784,0.0451248988309286,0.02274513096001105,0.024290583423314114,0.09134458605273638,0.06119813595837775,0.0639203651067187,0.0421001960720368,0.04272933410376603,0.11686464859432885,0.12854255851913943,0.13239744362356665,0.11437404208731496,0.11589223107506195,0.11589223107506195,0.041680682256259684,0.07078666306149571,0.05967592023478459,0.005715059081119181,4.492992343764678
1.6500000000000001,0.012922118567006298,0.04506110371351026,0.02274484049155018,0.02429020019057992,0.09058204382917864,0.061165983734890676,0.06388068312176332,0.04209945840661509,0.04272852897410586,0.11234048198016318,0.12717452920489608,0.13076883880296156,0.11395904312359255,0.1154424792059835,0.1154424792059835,0.040484322262006926,0.0627918323114886,0.052482660586463135,0.0049572149895432864,4.411616178809938
1.7000000000000002,0.012920494655665516,0.04499545008251347,0.022744522808359296,0.024289781103392753,0.08980311781719828,0.06113102685899098,0.0638375667313612,0.0420986072889176,0.042727600196518084,0.10788369964268105,0.1257303912328428,0.12905540391618783,0.11350084546897532,0.11494661608187798,0.11494661608187798,0.039684313718079546,0.05564021045387367,0.046171946352021806,0.004367995950786362,4.335568330425427
1.75,0.012918822567939353,0.0449279472324686,0.022744176300799092,0.024289324049389688,0.08900838179061689,0.06109313009311052,0.0637908543956672,0.04209762985874987,0.0427265337937119,0.10350350071488361,0.12421143616551635,0.12725938662628794,0.11299772155085622,0.11440291358608216,0.11440291358608216,0.03918624837982637,0.04928645881296277,0.04067769857250389,0.0039190735173257225,4.264277998010089
1.8,0.012917102330099454,0.044858604706302596,0.022743799318793025,0.024288826864149297,0.08819841699200738,0.06105215819318466,0.06374038507292376,0.04209651233085343,0.042725314789801565,0.0992084011357214,0.12261931898737045,0.12538345901406892,0.11244813240958552,0.1138098558450072,0.1138098558450072,0.03890733741374219,0.04368051990018944,0.035931915002433146,0.0035850661853904834,4.197189195240975
1.85,0.012915333969168306,0.044787432292864124,0.022743390172470755,0.02428828733211741,0.08737381142682611,0.061007976184568546,0.06368599857435496,0.04209523997385752,0.042723927188595426,0.09500622080070206,0.12095604280445191,0.12343069223178352,0.11185074254259286,0.11316615389356667,0.11316615389356667,0.038776136026804936,0.038769268619875896,0.031866283136519596,0.0033435680944265307,4.133769932278753
1.9000000000000001,0.012913517512918334,0.044714440024389665,0.022742947132826288,0.024287703187553463,0.086535159156034,0.06096044963587837,0.06362753591505417,0.042093797091653874,0.04272235395459338,0.0909040755987379,0.11922394111876866,0.12140452848363939,0.11120443215940093,0.11247075741697928,0.11247075741697928,0.03873204249717572,0.03449793914105101,0.028413495674717595,0.0031750683386921512,4.073519062428729
1.9500000000000002,0.01291165298987097,0.0446396381739114,0.022742468432390448,0.024287072115496886,0.08568305958841535,0.060909444930161635,0.0635648396600534,0.04209216700731172,0.04272057699681718,0.0869083741415916,0.1174256579633433,0.11930875076295978,0.11050830678616765,0.11172286353338848,0.11172286353338848,0.03872463052830632,0.030811333645803497,0.025508294940673616,0.0030627976390620493,4.015971104810071
2.0,0.012909740429295692,0.044563037252608,0.0227419522659174,0.024286391752753034,0.08481811677378705,0.060854829532814986,0.06349775426478683,0.04209033204963849,0.04271857715558491,0.08302481896226628,0.11556412619137045,0.11714745077583077,0.10976170420858683,0.11092192263651963,0.11092192263651963,0.03871286635770537,0.027654824859176377,0.02308827540260273,0.002992529677631242,3.960699342880674
2.0500000000000003,0.012907779861209038,0.04448464800709932,0.02274139679108484,0.024285659688898138,0.08394093869827308,0.06079647225568376,0.06342612640918716,0.04208827354248002,0.042716334192327704,0.07925841193285008,0.11364254421604016,0.1149249954751129,0.10896419878790238,0.11006764136691967,0.11006764136691967,0.038664254482196646,0.02497516804297233,0.021094474246635093,0.0029523571851000963,3.907317480190075
2.1,0.0129057713163736,0.044404481416686216,0.022740800129207574,0.024284873467302747,0.0830521365827981,0.06073424351679471,0.06334980532468172,0.0420859717968421,0.04271382678253311,0.07561346363068515,0.11166435149673515,0.11264599261736614,0.1081156032258246,0.10915998282361421,0.10915998282361421,0.03855394853749404,0.022721140376942728,0.01947177942859449,0.002932457372555847,3.8554801116709956
2.15,0.012903714826297,0.04432254869053636,0.02274016036596406,0.02428403058617312,0.08215232418593041,0.06066801559519155,0.06326864311338569,0.0420834061059026,0.04271103251188554,0.07209360636424195,0.10963320306278534,0.11031525573916964,0.10721596788986991,0.10819916416493681,0.10819916416493681,0.038363857016051654,0.020844026694391216,0.01816918319114302,0.0029248571282332325,3.804882243186225
2.2,0.01290161042323082,0.04423886126481742,0.022739475552135655,0.024283128499610025,0.08124211711217988,0.060597662880363,0.06318249505882076,0.04208055474297141,0.04270792787566023,0.06870181055665131,0.10755294335812685,0.10793776892917331,0.10626557784086084,0.10718565177771629,0.10718565177771629,0.03808176726647302,0.01929797067675107,0.017139907002599212,0.0029232052396195355,3.755258065565159
2.25,0.012899458140169526,0.04415343079977857,0.02273874370435815,0.024282164618684394,0.0803221321268278,0.06052306211577361,0.06309121992752179,0.04207739496244233,0.0427044882814132,0.06544040417533471,0.10542757967944595,0.10551865174866354,0.1052649477289775,0.10612015421801778,0.10612015421801778,0.037700505668390484,0.01804021008739869,0.016341421500565084,0.00292255651810814,3.706379162948091
2.3000000000000003,0.012897258010849365,0.04406626917678152,0.022737962805885237,0.024281136312529258,0.07939298647833626,0.060444092636029435,0.06299468026092775,0.04207390300376887,0.04270068805499516,0.06231109489039732,0.1032612554670848,0.10306312462712146,0.10421481474394864,0.10500361314444964,0.10500361314444964,0.03721714704693033,0.017031213638736928,0.01573538249473575,0.002919170917707646,3.65805230995415
2.35,0.012895010069747227,0.04397738849528228,0.022737130807363587,0.024280040909447412,0.07845529722935271,0.06036063659723385,0.06289274265698985,0.04207005409848312,0.042696500449903765,0.059314994642193454,0.10105822369254423,0.1005764750308453,0.10311612981893631,0.10383719247702326,0.10383719247702326,0.03663228227218749,0.016234735798586388,0.015287501534986137,0.0029103294096266483,3.6101169885028086
2.4000000000000004,0.012892714352079497,0.043886801069764836,0.022736245627619108,0.02427887569803423,0.07750968059729185,0.060272579200112,0.06278527804096605,0.0420658224802644,0.04269189765997419,0.05645264629949154,0.09882282056923317,0.09806402467280885,0.1019700472967264,0.1026222660211365,0.1026222660211365,0.03594934954727026,0.015617804377754792,0.014967367078380967,0.0028941673949078733,3.5624427333153132
2.45,0.012890370893800872,0.04379451942662787,0.02273530515445407,0.02427763792831504,0.07655675130544137,0.060179808905507316,0.06267216192490933,0.0420611813980521,0.04268685083539474,0.05372405209369456,0.0965594397945719,0.09553109800111778,0.10077791327138785,0.10136040379796474,0.10136040379796474,0.035174032072241596,0.015150654196469038,0.014748229955763185,0.002869525723635043,3.514926395569342
2.5,0.012887979731603156,0.04370055630102583,0.022734307245454666,0.024276324812896485,0.07559712194550132,0.0600822176418783,0.06255327465539573,0.04205610313218495,0.04268133010202031,0.051128703521323156,0.09427250751202391,0.09298299217223248,0.09954125281905331,0.10005335731994731,0.10005335731994731,0.034313722519554155,0.014806618574725134,0.014606764684559416,0.0028358188779978874,3.4674893967548845
2.5500000000000003,0.012885540902914034,0.04360492463366553,0.022733249728808684,0.02427493352813128,0.07463140235242849,0.05997970100444984,0.06242850164907709,0.04205055901353705,0.04267530458394387,0.04866561241615497,0.09196645816146007,0.09042494868403868,0.09826175632838838,0.09870304404373978,0.09870304404373978,0.033377053003649286,0.014561988882044697,0.014522816220901416,0.002792919520924584,3.4200750295221063
2.6,0.012883054445895823,0.043507637567559536,0.022732130404132845,0.024273461215295757,0.07366019899241737,0.05987215844569931,0.062297733615683484,0.042044519445609566,0.04266874242927284,0.04633334290373188,0.08964571136577201,0.08786212681329164,0.09694126513514865,0.09731153122354966,0.09731153122354966,0.03237348790694206,0.014395850951115202,0.014479139999283228,0.0027410583783071068,3.3726458492030935
2.6500000000000004,0.012880520399444189,0.04340870844473759,0.02273094704330946,0.024271904981779606,0.07268411436480836,0.05975949345688442,0.062160866768139915,0.04203795392952561,0.04266161083904549,0.04413004396410032,0.08731464998114616,0.08529957897231555,0.09558175665647024,0.09588101937576143,0.09588101937576143,0.031312975972308775,0.014289905830316236,0.0144611415702991,0.002680738281129801,3.3251811884271456
