Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(1),J_total_Tl_relativistic
43.85,0.004739842738447622,0.0007739483890341158,0.0029254065138275545,0.0021618752185665596,0.00018564275818280448,0.0008601922716967968,0.0007233395330745266,0.00022094777592221337,0.0001797200648507703,5.2009222564555676e-05,0.00022315270128511896,0.00019108651939505526,6.540933258201394e-05,5.318158146163835e-05,1.6487579500813674e-06,1.3967421359575491e-06,1.1258799751053445e-05,4.2068302685940464e-05,3.4850600434834475e-05,7.4549089810100406e-06,5.814449482447354e-06,1.0605692951976295e-06,1.6547404358338856e-06,0.0347040378893595
43.900000000000006,0.004733840705775452,0.0007739126100355435,0.0029153651326752064,0.002152917640695919,0.00018522981527717362,0.0008576412321295609,0.0007205140005544661,0.00021937877965276718,0.00017838695328829669,5.18206405818525e-05,0.00022253773299279754,0.00019036180054638578,6.494265554218799e-05,5.27847709094412e-05,1.6320534628903436e-06,1.382286938691791e-06,1.121354844241836e-05,4.195471097824609e-05,3.471943753464109e-05,7.401673605641765e-06,5.771050722529664e-06,1.0561509508231668e-06,1.6502904832199715e-06,0.034594246068497904
43.95,0.004727842835976381,0.0007738790568532932,0.002905357159558067,0.00214399673944258,0.0001848241555725532,0.0008550945380578924,0.0007176975704254431,0.00021782173269750568,0.00017706438678607094,5.163505156009468e-05,0.00022192328617288444,0.00018963911474011822,6.447952957139364e-05,5.239110359948373e-05,1.6155312891617567e-06,1.3679922946073968e-06,1.1169000200591531e-05,4.184118815748186e-05,3.4588628160235865e-05,7.348820612992487e-06,5.727972399193284e-06,1.051819802069385e-06,1.6458440063843469e-06,0.034484908473230394
44.0,0.004721849140255182,0.0007738476486387722,0.002895382507555223,0.0021351123823660258,0.00018442568300257217,0.000852552218596788,0.0007148902391142287,0.00021627653910495575,0.00017575227765254415,5.1452418648591225e-05,0.0002213093739148865,0.000188918465616397,6.401992646324287e-05,5.200055356672584e-05,1.5991892989392812e-06,1.3538562992980244e-06,1.1125146493778462e-05,4.172773678692699e-05,3.445817263416507e-05,7.296346174511102e-06,5.685210977896177e-06,1.0475755956043784e-06,1.6414018778011816e-06,0.03437602282611958
44.050000000000004,0.00471585962975736,0.0007738183055113596,0.0028854410897223726,0.0021262644372913348,0.00018403430243467707,0.0008500143024050513,0.0007120920026961143,0.0002147431037217997,0.00017445053895124766,5.127270534557187e-05,0.00022069600915528928,0.00018819985667578405,6.35638182390805e-05,5.161309506489599e-05,1.5830253889322844e-06,1.3398770725812456e-06,1.1081978874605118e-05,4.161435941075011e-05,3.432807127659685e-05,7.244248069060103e-06,5.642764605345233e-06,1.0434167344550123e-06,1.6369637396119394e-06,0.03426758687496487
44.1,0.004709874315569258,0.0007737909485503652,0.0028755328190946633,0.002117452772311059,0.00018364991966327376,0.0008474808176888225,0.0007093028568996185,0.00021322133218614725,0.00017315908449418762,5.1095875495728544e-05,0.0002200832046784374,0.00018748329128086418,6.311117714619366e-05,5.122870256467809e-05,1.5670374822694706e-06,1.3260527582996428e-06,1.1039488978791657e-05,4.150105856453396e-05,3.419832444174277e-05,7.192525609249895e-06,5.600633031493311e-06,1.0393403973904257e-06,1.6325284351727311e-06,0.034159598392799376
44.150000000000006,0.00470389320871815,0.000773765499787036,0.002865657608689482,0.002108677255787057,0.00018327244140289373,0.0008449517922050973,0.0007065227971111503,0.00021171113092086102,0.00017187782883529474,5.0921893287762603e-05,0.00021947097311741858,0.0001867687726578378,6.266197565603334e-05,5.0847350751911805e-05,1.5512235282373455e-06,1.312381524103477e-06,1.0997668523583229e-05,4.138783678459648e-05,3.4068932550668576e-05,7.141179467129463e-06,5.5588174268610195e-06,1.0353427186610358e-06,1.6280948958791778e-06,0.03405205517741486
44.2,0.004697916320172349,0.0007737418821966104,0.0028558153715092386,0.002099937756352313,0.0001829017752813868,0.0008424272532652413,0.0007037518183796385,0.0002102124071269403,0.00017060668726393347,5.0750723251938605e-05,0.00021885932695495287,0.00018605630389810404,6.221618646244947e-05,5.046901452580741e-05,1.5355815019977437e-06,1.298861561208041e-06,1.0956509306001154e-05,4.127469661546104e-05,3.393989611824802e-05,7.090211412091506e-06,5.517320108922402e-06,1.0314190085300666e-06,1.6236629469648462e-06,0.03394495504996315
44.25,0.004691943660841303,0.0007737200196904183,0.002846006020544107,0.0020912341429127016,0.00018253782983313876,0.000839907227738491,0.0007009899154211153,0.00020872506877695642,0.00016934557579846454,5.0582330257644126e-05,0.00021824827852428476,0.00018534588795983084,6.177378247993754e-05,5.009366899717356e-05,1.5201094042801827e-06,1.2854910841205907e-06,1.0916003200990602e-05,4.1161640614941974e-05,3.381121577238772e-05,7.0396239793205445e-06,5.476144196439845e-06,1.0275640065018098e-06,1.6192335558328339e-06,0.03383829585231959
44.300000000000004,0.004685975241575704,0.0007736998371080307,0.0028362294687747456,0.0020825662846487387,0.00018218051449231596,0.0008373917420554488,0.0006982370826232644,0.00020724902460854467,0.00016809441117986515,5.0416679510956393e-05,0.00021763784001007963,0.00018463752766951475,6.133473684189832e-05,4.9721289486659105e-05,1.5048052610468645e-06,1.2722683303340905e-06,1.087614215954927e-05,4.1048671356463624e-05,3.36828922641546e-05,6.989420091421795e-06,5.435293214769318e-06,1.0237721656590143e-06,1.6148083697868982e-06,0.033732075443274556
