Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_total_Kr_relativistic
4.2,0.04497267554754238,0.10295122866489928,0.08253636973804848,0.1682251652207501,0.028077787764570608,0.07445180384958466,0.143202606630189,0.22173561427222108,0.3314768503493678,0.00801410062180974,0.010618066130484705,0.020221455340335724,1.2364837241298037
4.25,0.0449284322203865,0.10172218283279276,0.082378718271308,0.16788365746761924,0.02754103680598878,0.07181581150645237,0.13796022116814072,0.21776793080037685,0.32547507709363266,0.007526958791264556,0.01031690373494047,0.01960916766707126,1.2149260983599743
4.3,0.04488372600315875,0.10049513732126329,0.08221720935819231,0.167533914948717,0.027061668721627706,0.06924927091688896,0.13286447821507907,0.21383462762143027,0.3195274520752507,0.0070774417549535175,0.010015921387226878,0.018999918727579664,1.193760767051368
4.3500000000000005,0.044838558930305014,0.09927042691480405,0.08205183361619005,0.16717592400563927,0.026635447043457022,0.0667521049086686,0.12791478795908048,0.2099374602488112,0.3136365641458,0.006663546835438084,0.009715912873836177,0.018395169497766293,1.172987736979796
4.4,0.04479293305399374,0.09804838000260858,0.08188258372598888,0.16680967550981488,0.02625830617423004,0.06432411315446562,0.12311031742675567,0.20607805540842228,0.30780480597665844,0.00628329730198609,0.009417608547919917,0.017796249164032565,1.1526063254468768
4.45,0.044746850443922855,0.0968293184827625,0.08170945442661069,0.16643516484451795,0.025926351856527897,0.061964979884236,0.11845000727271883,0.20225791492041226,0.3020343802414269,0.005934752081432597,0.009121676550250757,0.017204359303051264,1.1326152103078706
4.5,0.04470031318712541,0.09561355767378447,0.0815324425083794,0.16605239188211326,0.02563586093266291,0.05967428147517849,0.11393258819971683,0.19847841971322908,0.29632730597720575,0.005616013924769329,0.00882872449571526,0.016620578761435023,1.1130124787313154
4.55,0.04465332338777408,0.09440140623344696,0.08135154680377268,0.1656613609566607,0.025383280458638,0.057451493894245864,0.10955659696333485,0.19474083393880232,0.2906854250780766,0.005325236174613585,0.008539301526660903,0.016045869059690573,1.0937956744757171
4.6000000000000005,0.04460588316698446,0.09319316608479906,0.08116676817621134,0.16526208083200988,0.025165226232875298,0.05529599997138113,0.10532039192202514,0.1910463091604944,0.2851104088784584,0.005060628271530163,0.008253900647531535,0.015481080170767757,1.0749618435150685
4.65,0.044557994662617305,0.0919891323493072,0.08097810950684196,0.16485456466551926,0.024978480797810853,0.053207096484666004,0.10122216809956934,0.1873958885881161,0.27960376478809496,0.0048204601294006034,0.007972961267074932,0.014926956545844495,1.056507577884863
4.7,0.044509660029079606,0.09078959328702105,0.08078557567937007,0.16443882996753814,0.02481999096973892,0.05118400104138781,0.09725997173298612,0.18379051133681715,0.2741668429442996,0.004603065501874924,0.007696871885318657,0.014384143279129609,1.0384290576545618
4.75,0.044460881437124664,0.08959483024366666,0.08058917356300274,0.16401489855679335,0.024686864949509123,0.049225858741659405,0.09343171428434668,0.1802310166890407,0.26880084285072353,0.004406844453617355,0.007425972872169264,0.01385319232093939,1.020722090962593
4.800000000000001,0.04441166107365107,0.08840511760456096,0.08038891199356113,0.16358279651182472,0.024576369063860647,0.04733174861366214,0.08973518589996399,0.1767181483409596,0.26350681997532205,0.004230265041751392,0.007160559292712199,0.013334568664352352,1.0033821520761825
4.8500000000000005,0.044362001141500754,0.08722072275523689,0.08018480175282454,0.1631425541186167,0.02448592418434448,0.04550068981183234,0.08616806830499882,0.17325255861690475,0.2582856922833816,0.0040718643047469374,0.006900883741518554,0.012828656444354412,0.9864044174602609
4.9,0.04431190385925599,0.08604190604866148,0.07997685554616893,0.16269420581457483,0.024413101867959006,0.04373164757137795,0.08272794712568575,0.16983481263724404,0.2531382466844317,0.003930248648043508,0.006647159154924877,0.012335764899575951,0.9697837998579039
4.95,0.04426137146103552,0.08486892077892504,0.07976508797856371,0.16223779012899886,0.024355620260825696,0.04202353891440362,0.07941232363514888,0.16646539242698444,0.2480651453746161,0.0038040937080124995,0.006399561576160704,0.011856134156819872,0.953514980400495
5.0,0.044210406196289735,0.08370201316127343,0.0795495155289917,0.1617733496202044,0.024311339803476134,0.04037523810464161,0.07621862592216128,0.16314470095404648,0.24306693205863597,0.003692143768473041,0.0061582328530561045,0.011389940808055915,0.9375924387793056
5.050000000000001,0.04415901032959499,0.08254142231835143,0.07933015652335745,0.1613009308094472,0.024278258773624058,0.03878558184934373,0.07314421948523092,0.15987306608771,0.2381440380377114,0.003593210796945867,0.005923283252119494,0.010937303257505394,0.922010481520942
5.1000000000000005,0.044107186140447056,0.08138738027252038,0.07910703110595038,0.16082058411180494,0.024254508699668033,0.03725337424829161,0.0701864172570847,0.1566507444691535,0.23329678815215366,0.0035061731612080907,0.005694793976502052,0.01049828682254628,0.9067632684173307
5.15,0.044054935923053797,0.08024011194410935,0.07888016120952883,0.16033236376417123,0.024238349675622252,0.03577739149113639,0.06734248906699142,0.15347792528731274,0.2285254065690917,0.0034299740805242914,0.005472819578745328,0.010072908577455549,0.8918448371677429
5.2,0.044002261986127,0.0790998351554558,0.0786495705240922,0.15983632775051795,0.024228165605712542,0.034356386305395566,0.06460967055043926,0.15035473395447424,0.2238300224076804,0.0033636198601714757,0.0052573902619169385,0.009661141934084932,0.8772491262960683
5.25,0.043949166652673496,0.07796676064058737,0.07841528446440815,0.15933253772458095,0.024222459404508987,0.03298909215841829,0.06198517151747654,0.14728123567709975,0.2192106751957255,0.0033061779525261946,0.005048514064829941,0.009262920957727908,0.8629699964105632
5.300000000000001,0.04389565225978554,0.07684109206039451,0.0781773301363618,0.15882105893012458,0.02421984817620021,0.03167422721749319,0.059466183792563215,0.14425743891835677,0.21466732015311848,0.0032567748830246517,0.004846178928931598,0.008878144419204854,0.8490012498755594
5.3500000000000005,0.043841721158430505,0.07572302602314006,0.07793573630219429,0.15830196011893974,0.024219058394451147,0.030410498073020757,0.05704988854008024,0.1412832987497132,0.21019983329878045,0.003214594074736927,0.004650354646255597,0.008506679586375519,0.8353366489661185
5.4,0.043787375713239894,0.07461275211014981,0.07769053334469733,0.15777531346672893,0.024218921102228667,0.029196603230313794,0.05473346309072363,0.13835872008974684,0.20580801637898533,0.0031788736011161963,0.004460994689265136,0.008148365760632987,0.8219699325778285
5.45,0.04373261830229776,0.07351045290652623,0.07744175323043063,0.1572411944870315,0.0242183671490286,0.02803123637613398,0.05251408728489189,0.13548356082903196,0.20149160161597832,0.003148903892686361,0.004278037924366837,0.007803017565961135,0.8088948315643653
5.5,0.04367745131692847,0.07241630403672518,0.07718942947202831,0.15669968194334022,0.02421642248109449,0.026913089426525254,0.05038894934987048,0.1326576348405969,0.1972502562767315,0.0031240254199943617,0.004101410211660836,0.007470427999232498,0.7961050827747286
